energy_ev,total_up,Cu_p_up,Cu_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
-6.00000000,2.29562334,0.50744042,0.93715859,0.52731617,0.00166241,0.70469250,0.00000000
-5.99399700,2.28387031,0.50773580,0.93776547,0.52494155,0.00165719,0.70000253,0.00000000
-5.98799400,2.27332969,0.50774095,0.93911628,0.52095276,0.00165170,0.69770238,0.00000000
-5.98199100,2.26522390,0.50773675,0.94176054,0.51558342,0.00164664,0.69816831,0.00000000
-5.97598799,2.26089485,0.50804366,0.94629870,0.50912203,0.00164279,0.70178849,0.00000000
-5.96998499,2.26177218,0.50901425,0.95336749,0.50190621,0.00164104,0.70895270,0.00000000
-5.96398199,2.26933503,0.51102423,0.96362265,0.49431517,0.00164240,0.72004020,0.00000000
-5.95797899,2.28506878,0.51446192,0.97771950,0.48676066,0.00164793,0.73540591,0.00000000
-5.95197599,2.31041828,0.51971677,0.99629220,0.47967660,0.00165876,0.75536556,0.00000000
-5.94597299,2.34673937,0.52716721,1.01993244,0.47350789,0.00167606,0.78018055,0.00000000
-5.93996998,2.39525061,0.53716839,1.04916840,0.46869855,0.00170098,0.81004307,0.00000000
-5.93396698,2.45698708,0.55004000,1.08444481,0.46567982,0.00173465,0.84506228,0.00000000
-5.92796398,2.53275796,0.56605488,1.12610481,0.46485832,0.00177815,0.88525231,0.00000000
-5.92196098,2.62310938,0.58542854,1.17437430,0.46660470,0.00183245,0.93052251,0.00000000
-5.91595798,2.72829409,0.60831001,1.22934933,0.47124302,0.00189838,0.98067080,0.00000000
-5.90995498,2.84824865,0.63477437,1.29098688,0.47904117,0.00197660,1.03538028,0.00000000
-5.90395198,2.98257908,0.66481703,1.35909929,0.49020239,0.00206758,1.09421949,0.00000000
-5.89794897,3.13055526,0.69834992,1.43335246,0.50485814,0.00217153,1.15664644,0.00000000
-5.89194597,3.29111410,0.73519983,1.51326779,0.52306254,0.00228843,1.22201638,0.00000000
-5.88594297,3.46287138,0.77510877,1.59822764,0.54478825,0.00241795,1.28959301,0.00000000
-5.87993997,3.64414172,0.81773633,1.68748418,0.56992416,0.00255947,1.35856286,0.00000000
-5.87393697,3.83296602,0.86266420,1.78017118,0.59827475,0.00271207,1.42805235,0.00000000
-5.86793397,4.02714571,0.90940245,1.87531850,0.62956131,0.00287452,1.49714682,0.00000000
-5.86193097,4.22428277,0.95739769,1.97186881,0.66342508,0.00304527,1.56491105,0.00000000
-5.85592796,4.42182461,1.00604290,2.06869626,0.69943225,0.00322250,1.63041040,0.00000000
-5.84992496,4.61711292,1.05468866,2.16462664,0.73708093,0.00340412,1.69273192,0.00000000
-5.84392196,4.80743536,1.10265574,2.25845872,0.77581002,0.00358782,1.75100480,0.00000000
-5.83791896,4.99007917,1.14924869,2.34898651,0.81500993,0.00377108,1.80441944,0.00000000
-5.83191596,5.16238575,1.19377024,2.43502204,0.85403503,0.00395127,1.85224475,0.00000000
-5.82591296,5.32180508,1.23553626,2.51541838,0.89221749,0.00412565,1.89384298,0.00000000
-5.81990995,5.46594917,1.27389087,2.58909263,0.92888258,0.00429148,1.92868216,0.00000000
-5.81390695,5.59264337,1.30822143,2.65504854,0.96336463,0.00444606,1.95634548,0.00000000
-5.80790395,5.69997459,1.33797312,2.71239828,0.99502364,0.00458680,1.97653795,0.00000000
-5.80190095,5.78633539,1.36266256,2.76038310,1.02326186,0.00471131,1.98909004,0.00000000
-5.79589795,5.85046287,1.38189026,2.79839235,1.04753986,0.00481745,1.99395853,0.00000000
-5.78989495,5.89147145,1.39535147,2.82598037,1.06739161,0.00490337,1.99122485,0.00000000
-5.78389195,5.90887842,1.40284516,2.84288077,1.08243801,0.00496762,1.98109085,0.00000000
-5.77788894,5.90262162,1.40428067,2.84901756,1.09239837,0.00500915,1.96387264,0.00000000
-5.77188594,5.87306833,1.39968201,2.84451268,1.09709947,0.00502737,1.93999243,0.00000000
-5.76588294,5.82101496,1.38918947,2.82968943,1.09648178,0.00502215,1.90996891,0.00000000
-5.75987994,5.74767719,1.37305851,2.80507150,1.09060259,0.00499389,1.87440626,0.00000000
-5.75387694,5.65467040,1.35165588,2.77137731,1.07963594,0.00494341,1.83398209,0.00000000
-5.74787394,5.54398071,1.32545305,2.72950952,1.06386941,0.00487206,1.78943459,0.00000000
-5.74187094,5.41792697,1.29501711,2.68053973,1.04369763,0.00478159,1.74154897,0.00000000
-5.73586793,5.27911451,1.26099926,2.62568855,1.01961301,0.00467416,1.69114336,0.00000000
-5.72986493,5.13038159,1.22412139,2.56630142,0.99219379,0.00455226,1.63905446,0.00000000
-5.72386193,4.97473986,1.18516076,2.50382057,0.96208993,0.00441869,1.58612294,0.00000000
-5.71785893,4.81531010,1.14493352,2.43975376,0.93000713,0.00427642,1.53317883,0.00000000
-5.71185593,4.65525491,1.10427716,2.37564074,0.89668965,0.00412859,1.48102708,0.00000000
-5.70585293,4.49770993,1.06403255,2.31301798,0.86290224,0.00397840,1.43043346,0.00000000
-5.69984992,4.34571537,1.02502580,2.25338287,0.82941180,0.00382901,1.38211102,0.00000000
-5.69384692,4.20214937,0.98805048,2.19815818,0.79696911,0.00368351,1.33670744,0.00000000
-5.68784392,4.06966506,0.95385058,2.14865791,0.76629117,0.00354482,1.29479351,0.00000000
-5.68184092,3.95063276,0.92310450,2.10605534,0.73804444,0.00341562,1.25685298,0.00000000
-5.67583792,3.84708873,0.89641051,2.07135438,0.71282944,0.00329831,1.22327415,0.00000000
-5.66983492,3.76069189,0.87427400,2.04536489,0.69116687,0.00319493,1.19434348,0.00000000
-5.66383192,3.69268957,0.85709675,2.02868289,0.67348571,0.00310713,1.17024141,0.00000000
-5.65782891,3.64389314,0.84516849,2.02167621,0.66011343,0.00303616,1.15104067,0.00000000
-5.65182591,3.61466442,0.83866111,2.02447607,0.65126850,0.00298279,1.13670708,0.00000000
-5.64582291,3.60491314,0.83762542,2.03697502,0.64705552,0.00294735,1.12710311,0.00000000
-5.63981991,3.61410585,0.84199096,2.05883140,0.64746306,0.00292972,1.12199388,0.00000000
-5.63381691,3.64128605,0.85156863,2.08948026,0.65236436,0.00292929,1.12105570,0.00000000
-5.62781391,3.68510539,0.86605633,2.12815072,0.66152095,0.00294506,1.12388684,0.00000000
-5.62181091,3.74386524,0.88504763,2.17388921,0.67458924,0.00297563,1.13002011,0.00000000
-5.61580790,3.81556758,0.90804309,2.22558823,0.69113015,0.00301922,1.13893708,0.00000000
-5.60980490,3.89797428,0.93446445,2.28201982,0.71062142,0.00307380,1.15008324,0.00000000
