energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.50734935,0.25468888,0.00065092,0.05155071,0.00211705,0.24199261,0.10250644,0.04699710
-5.99399700,0.55308483,0.27627219,0.00077251,0.05631827,0.00235474,0.26407369,0.11005201,0.05164611
-5.98799400,0.60210172,0.29867943,0.00091102,0.06131629,0.00264229,0.28798046,0.11773296,0.05667499
-5.98199100,0.65435685,0.32181258,0.00106748,0.06653894,0.00298225,0.31370787,0.12550336,0.06208890
-5.97598799,0.70983673,0.34558033,0.00124273,0.07198147,0.00337774,0.34126735,0.13332708,0.06789445
-5.96998499,0.76855378,0.36989862,0.00143737,0.07764011,0.00383225,0.37068423,0.14117897,0.07409905
-5.96398199,0.83053994,0.39469036,0.00165168,0.08351173,0.00434957,0.40199381,0.14904544,0.08071000
-5.95797899,0.89583776,0.41988414,0.00188562,0.08959333,0.00493362,0.43523612,0.15692450,0.08773339
-5.95197599,0.96448885,0.44541219,0.00213870,0.09588128,0.00558826,0.47044932,0.16482506,0.09517274
-5.94597299,1.03652007,0.47120735,0.00241006,0.10237039,0.00631712,0.50766203,0.17276550,0.10302753
-5.93996998,1.11192767,0.49719937,0.00269831,0.10905276,0.00712335,0.54688460,0.18077157,0.11129156
-5.93396698,1.19066018,0.52331074,0.00300162,0.11591660,0.00800941,0.58809982,0.18887353,0.11995131
-5.92796398,1.27260061,0.54945213,0.00331768,0.12294495,0.00897683,0.63125329,0.19710286,0.12898429
-5.92196098,1.35754894,0.57551796,0.00364371,0.13011444,0.01002596,0.67624403,0.20548844,0.13835750
-5.91595798,1.44520587,0.60138233,0.00397650,0.13739420,0.01115575,0.72291576,0.21405255,0.14802620
-5.90995498,1.53515880,0.62689562,0.00431246,0.14474487,0.01236352,0.77104942,0.22280690,0.15793282
-5.90395198,1.62687114,0.65188213,0.00464769,0.15211804,0.01364475,0.82035750,0.23174877,0.16800643
-5.89794897,1.71967588,0.67613909,0.00497804,0.15945594,0.01499297,0.87048054,0.24085776,0.17816260
-5.89194597,1.81277413,0.69943706,0.00529925,0.16669153,0.01639958,0.92098643,0.25009310,0.18830383
