energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,3.22241416,0.00351327,0.38807435,0.66709052,1.49993656,0.03572110,0.92656455,0.71760444,0.54541714
-5.99399700,3.18306736,0.00340849,0.38073909,0.65694609,1.49131998,0.03402690,0.90963597,0.69283730,0.54092939
-5.98799400,3.13907187,0.00328922,0.37377490,0.64477464,1.47860974,0.03228288,0.89060261,0.67145637,0.53650911
-5.98199100,3.09009600,0.00315658,0.36701940,0.63056742,1.46173925,0.03050656,0.86954920,0.65300958,0.53200524
-5.97598799,3.03597941,0.00301201,0.36032836,0.61436989,1.44074441,0.02871506,0.84660765,0.63706647,0.52728706
-5.96998499,2.97671799,0.00285721,0.35357703,0.59627799,1.41575367,0.02692478,0.82194880,0.62322172,0.52224364
-5.96398199,2.91244430,0.00269410,0.34666058,0.57643316,1.38697556,0.02515116,0.79577353,0.61109682,0.51678245
-5.95797899,2.84340520,0.00252473,0.33949397,0.55501613,1.35468460,0.02340848,0.76830353,0.60034053,0.51082747
-5.95197599,2.76993831,0.00235127,0.33201136,0.53224004,1.31920667,0.02170972,0.73977244,0.59062844,0.50431705
-5.94597299,2.69244898,0.00217587,0.32416515,0.50834302,1.28090436,0.02006653,0.71041757,0.58166218,0.49720186
-5.93996998,2.61138905,0.00200065,0.31592484,0.48358069,1.24016334,0.01848916,0.68047276,0.57316861,0.48944304
-5.93396698,2.52723854,0.00182765,0.30727584,0.45821881,1.19738032,0.01698652,0.65016238,0.56489934,0.48101078
-5.92796398,2.44049115,0.00165874,0.29821829,0.43252632,1.15295287,0.01556626,0.61969697,0.55663080,0.47188357
-5.92196098,2.35164385,0.00149559,0.28876594,0.40676919,1.10727169,0.01423481,0.58927022,0.54816505,0.46204794
-5.91595798,2.26119080,0.00133967,0.27894526,0.38120495,1.06071516,0.01299761,0.55905747,0.53933132,0.45149900
-5.90995498,2.16962133,0.00119220,0.26879463,0.35607842,1.01364624,0.01185915,0.52921554,0.52998825,0.44024143
-5.90395198,2.07742138,0.00105415,0.25836366,0.33161834,0.96641147,0.01082318,0.49988358,0.52002667,0.42829104
