energy_ev,total_up,P_s_up,P_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
1.02351176,5.00992088,0.01613872,0.32577704,1.95137796,2.86176247,1.72743207,0.00000000
1.02951476,5.08298896,0.01622127,0.33889187,1.99368550,2.87918269,1.77612303,0.00000000
1.03551776,5.15850912,0.01630061,0.35215892,2.03699452,2.89584158,1.82846596,0.00000000
1.04152076,5.23639419,0.01638206,0.36549533,2.08132596,2.91176422,1.88451293,0.00000000
1.04752376,5.31635814,0.01647035,0.37881094,2.12661247,2.92689997,1.94419668,0.00000000
1.05352676,5.39790836,0.01656943,0.39200744,2.17268801,2.94112040,2.00732086,0.00000000
1.05952976,5.48034425,0.01668227,0.40497765,2.21928071,2.95421967,2.07355372,0.00000000
1.06553277,5.56276267,0.01681068,0.41760528,2.26600967,2.96591774,2.14242577,0.00000000
1.07153577,5.64407085,0.01695522,0.42976506,2.31238625,2.97586645,2.21333189,0.00000000
1.07753877,5.72300688,0.01711511,0.44132350,2.35782020,2.98365854,2.28553834,0.00000000
1.08354177,5.79816781,0.01728823,0.45214020,2.40163078,2.98883971,2.35819450,0.00000000
1.08954477,5.86804522,0.01747119,0.46206990,2.44306275,2.99092339,2.43034971,0.00000000
1.09554777,5.93106728,0.01765942,0.47096505,2.48130701,2.98940818,2.50097460,0.00000000
1.10155078,5.98564660,0.01784733,0.47867906,2.51552515,2.98379735,2.56898659,0.00000000
1.10755378,6.03023219,0.01802853,0.48507011,2.54487725,2.97361995,2.63327887,0.00000000
1.11355678,6.06336393,0.01819610,0.49000524,2.56855170,2.95845279,2.69275177,0.00000000
1.11955978,6.08372743,0.01834281,0.49336477,2.58579601,2.93794236,2.74634559,0.00000000
1.12556278,6.09020702,0.01846147,0.49504672,2.59594706,2.91182586,2.79307351,0.00000000
1.13156578,6.08193466,0.01854521,0.49497116,2.59845970,2.87995028,2.83205341,0.00000000
1.13756878,6.05833229,0.01858773,0.49308405,2.59293211,2.84228860,2.86253716,0.00000000
1.14357179,6.01914567,0.01858363,0.48936067,2.57912678,2.79895214,2.88393620,0.00000000
1.14957479,5.96446774,0.01852860,0.48380818,2.55698618,2.75019834,2.89584231,0.00000000
1.15557779,5.89475027,0.01841959,0.47646724,2.52664221,2.69643332,2.89804266,0.00000000
1.16158079,5.81080290,0.01825499,0.46741267,2.48841892,2.63820891,2.89052838,0.00000000
1.16758379,5.71377925,0.01803471,0.45675288,2.44282850,2.57621404,2.87349655,0.00000000
1.17358679,5.60515066,0.01776015,0.44462823,2.39056056,2.51126067,2.84734524,0.00000000
1.17958979,5.48666844,0.01743422,0.43120818,2.33246529,2.44426472,2.81266217,0.00000000
1.18559280,5.36031631,0.01706124,0.41668759,2.26953131,2.37622279,2.77020743,0.00000000
1.19159580,5.22825510,0.01664677,0.40128196,2.20285923,2.30818560,2.72089109,0.00000000
1.19759880,5.09276207,0.01619749,0.38522215,2.13363216,2.24122927,2.66574684,0.00000000
1.20360180,4.95616770,0.01572095,0.36874853,2.06308442,2.17642562,2.60590274,0.00000000
1.20960480,4.82079237,0.01522537,0.35210501,1.99246996,2.11481285,2.54255040,0.00000000
1.21560780,4.68888574,0.01471935,0.33553302,1.92303146,2.05736763,2.47691381,0.00000000
1.22161081,4.56257102,0.01421172,0.31926585,1.85597153,2.00497988,2.41021894,0.00000000
1.22761381,4.44379605,0.01371122,0.30352340,1.79242677,1.95843089,2.34366516,0.00000000
1.23361681,4.33429272,0.01322631,0.28850765,1.73344540,1.91837566,2.27839931,0.00000000
1.23961981,4.23554546,0.01276500,0.27439894,1.67996893,1.88532983,2.21549290,0.00000000
1.24562281,4.14876923,0.01233464,0.26135312,1.63281801,1.85966123,2.15592300,0.00000000
1.25162581,4.07489679,0.01194178,0.24949968,1.59268240,1.84158612,2.10055675,0.00000000
1.25762881,4.01457453,0.01159208,0.23894080,1.56011475,1.83116980,2.05013961,0.00000000
1.26363182,3.96816579,0.01129018,0.22975121,1.53552776,1.82833090,2.00528696,0.00000000
1.26963482,3.93576048,0.01103965,0.22197890,1.51919417,1.83284907,1.96647880,0.00000000
1.27563782,3.91718940,0.01084294,0.21564645,1.51124893,1.84437504,1.93405720,0.00000000
1.28164082,3.91204197,0.01070137,0.21075281,1.51169301,1.86244263,1.90822588,0.00000000
1.28764382,3.91968590,0.01061511,0.20727551,1.52039833,1.88648181,1.88905172,0.00000000
1.29364682,3.93928789,0.01058320,0.20517296,1.53711332,1.91583255,1.87646782,0.00000000
1.29964982,3.96983442,0.01060358,0.20438690,1.56146888,1.94975867,1.87027778,0.00000000
1.30565283,4.01015207,0.01067315,0.20484479,1.59298465,1.98746164,1.87016127,0.00000000
1.31165583,4.05892750,0.01078781,0.20646196,1.63107547,2.02809412,1.87568070,0.00000000
1.31765883,4.11472682,0.01094256,0.20914373,1.67505834,2.07077310,1.88628918,0.00000000
1.32366183,4.17601519,0.01113161,0.21278719,1.72415998,2.11459286,1.90133987,0.00000000
1.32966483,4.24117677,0.01134849,0.21728285,1.77752550,2.15863775,1.92009688,0.00000000
1.33566783,4.30853595,0.01158621,0.22251609,1.83422825,2.20199516,1.94174792,0.00000000
1.34167084,4.37638033,0.01183743,0.22836854,1.89328146,2.24376864,1.96541880,0.00000000
1.34767384,4.44298584,0.01209465,0.23471934,1.95365173,2.28309145,1.99018984,0.00000000
1.35367684,4.50664434,0.01235038,0.24144651,2.01427445,2.31914044,2.01511406,0.00000000
1.35967984,4.56569362,0.01259742,0.24842829,2.07407134,2.35115024,2.03923709,0.00000000
1.36568284,4.61854940,0.01282902,0.25554472,2.13196969,2.37842759,2.06161820,0.00000000
1.37168584,4.66373869,0.01303913,0.26267922,2.18692306,2.40036526,2.08135223,0.00000000
1.37768884,4.69993349,0.01322256,0.26972043,2.23793283,2.41645539,2.09759162,0.00000000
1.38369185,4.72598348,0.01337524,0.27656409,2.28407003,2.42630135,2.10956795,0.00000000
1.38969485,4.74094644,0.01349425,0.28311496,2.32449643,2.42962785,2.11661208,0.00000000
1.39569785,4.74411465,0.01357805,0.28928874,2.35848425,2.42628839,2.11817225,0.00000000
1.40170085,4.73503591,0.01362644,0.29501381,2.38543346,2.41626969,2.11382921,0.00000000
1.40770385,4.71352770,0.01364059,0.30023275,2.40488585,2.39969241,2.10330788,0.00000000
1.41370685,4.67968344,0.01362302,0.30490349,2.41653516,2.37680800,2.08648474,0.00000000
1.41970985,4.63386986,0.01357743,0.30899999,2.42023265,2.34799136,2.06339073,0.00000000
1.42571286,4.57671534,0.01350857,0.31251237,2.41598767,2.31372931,2.03420932,0.00000000
1.43171586,4.50908902,0.01342201,0.31544647,2.40396320,2.27460526,1.99926979,0.00000000
1.43771886,4.43207141,0.01332387,0.31782270,2.38446633,2.23128041,1.95903583,0.00000000
1.44372186,4.34691739,0.01322055,0.31967442,2.35793412,2.18447207,1.91409002,0.00000000
1.44972486,4.25501319,0.01311841,0.32104562,2.32491535,2.13493012,1.86511464,0.00000000
1.45572786,4.15782887,0.01302347,0.32198829,2.28604913,2.08341240,1.81286962,0.00000000
1.46173087,4.05686865,0.01294111,0.32255939,2.24204119,2.03066010,1.75816858,0.00000000
1.46773387,3.95362108,0.01287583,0.32281770,2.19363902,1.97737429,1.70185377,0.00000000
1.47373687,3.84951121,0.01283097,0.32282070,2.14160701,1.92419447,1.64477104,0.00000000
1.47973987,3.74585712,0.01280861,0.32262162,2.08670275,1.87168026,1.58774580,0.00000000
1.48574287,3.64383238,0.01280940,0.32226695,2.02965543,1.82029683,1.53156070,0.00000000
1.49174587,3.54443614,0.01283256,0.32179436,1.97114731,1.77040478,1.47693600,0.00000000
1.49774887,3.44847205,0.01287587,0.32123133,1.91179892,1.72225484,1.42451318,0.00000000
1.50375188,3.35653655,0.01293584,0.32059453,1.85215849,1.67598750,1.37484223,0.00000000
1.50975488,3.26901677,0.01300778,0.31988988,1.79269572,1.63163745,1.32837294,0.00000000
1.51575788,3.18609775,0.01308610,0.31911337,1.73380000,1.58914253,1.28545020,0.00000000
1.52176088,3.10777814,0.01316454,0.31825253,1.67578257,1.54835664,1.24631328,0.00000000
1.52776388,3.03389333,0.01323648,0.31728851,1.61888232,1.50906576,1.21109879,0.00000000
1.53376688,2.96414438,0.01329524,0.31619845,1.56327445,1.47100642,1.17984683,0.00000000
1.53976988,2.89813104,0.01333443,0.31495820,1.50908118,1.43388543,1.15251001,0.00000000
1.54577289,2.83538716,0.01334820,0.31354506,1.45638369,1.39740004,1.12896445,0.00000000
1.55177589,2.77541645,0.01333157,0.31194046,1.40523456,1.36125755,1.10902240,0.00000000
1.55777889,2.71772693,0.01328063,0.31013229,1.35566961,1.32519338,1.09244566,0.00000000
1.56378189,2.66186246,0.01319270,0.30811698,1.30771878,1.28898690,1.07895921,0.00000000
1.56978489,2.60743002,0.01306650,0.30590102,1.26141527,1.25247435,1.06826455,0.00000000
1.57578789,2.55412168,0.01290215,0.30350196,1.21680262,1.21555847,1.06005220,0.00000000
1.58179090,2.50173071,0.01270119,0.30094890,1.17393946,1.17821437,1.05401287,0.00000000
1.58779390,2.45016132,0.01246652,0.29828248,1.13290199,1.14049182,1.04984721,0.00000000
1.59379690,2.39943220,0.01220221,0.29555439,1.09378408,1.10251392,1.04727363,0.00000000
1.59979990,2.34967414,0.01191341,0.29282654,1.05669544,1.06447240,1.04603431,0.00000000
1.60580290,2.30112235,0.01160606,0.29016996,1.02175807,1.02662006,1.04589920,0.00000000
1.61180590,2.25410419,0.01128672,0.28766357,0.98910147,0.98926086,1.04666817,0.00000000
1.61780890,2.20902338,0.01096226,0.28539278,0.95885693,0.95273822,1.04817132,0.00000000
1.62381191,2.16634164,0.01063962,0.28344826,0.93115158,0.91742217,1.05026768,0.00000000
1.62981491,2.12655876,0.01032563,0.28192461,0.90610241,0.88369609,1.05284254,0.00000000
1.63581791,2.09019221,0.01002670,0.28091924,0.88381070,0.85194354,1.05580355,0.00000000
1.64182091,2.05775708,0.00974871,0.28053126,0.86435724,0.82253583,1.05907604,0.00000000
1.64782391,2.02974713,0.00949681,0.28086046,0.84779850,0.79582067,1.06259778,0.00000000
