energy_ev,total_up,As_p_up,As_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,2.14016129,0.54298890,0.00000000,1.72087552,0.91650155,0.01652395,0.51830137
-5.99399700,2.07711070,0.52464907,0.00000000,1.63230460,0.90478122,0.01628916,0.50177731
-5.98799400,2.02189520,0.50693242,0.00000000,1.54755922,0.89697429,0.01605813,0.48842597
-5.98199100,1.97486476,0.48997186,0.00000000,1.46699589,0.89322888,0.01583115,0.47830278
-5.97598799,1.93631189,0.47390655,0.00000000,1.39089391,0.89368132,0.01560931,0.47142442
-5.96998499,1.90648567,0.45888254,0.00000000,1.31946861,0.89846088,0.01539458,0.46777531
-5.96398199,1.88560073,0.44505181,0.00000000,1.25288292,0.90769143,0.01518973,0.46731334
-5.95797899,1.87384034,0.43256959,0.00000000,1.19125676,0.92148999,0.01499823,0.46997454
-5.95197599,1.87135337,0.42159022,0.00000000,1.13467347,0.93996179,0.01482410,0.47567642
-5.94597299,1.87824518,0.41226166,0.00000000,1.08318349,0.96319231,0.01467165,0.48431978
-5.93996998,1.89456321,0.40471883,0.00000000,1.03680503,0.99123640,0.01454529,0.49578901
-5.93396698,1.92027822,0.39907643,0.00000000,0.99552237,1.02410529,0.01444921,0.50995104
-5.92796398,1.95526259,0.39542141,0.00000000,0.95928205,1.06175219,0.01438717,0.52665309
-5.92196098,1.99926757,0.39380570,0.00000000,0.92798794,1.10405742,0.01436218,0.54571958
-5.91595798,2.05190109,0.39423967,0.00000000,0.90149575,1.15081427,0.01437634,0.56694866
-5.90995498,2.11260833,0.39668676,0.00000000,0.87960789,1.20171645,0.01443063,0.59010880
-5.90395198,2.18065682,0.40105963,0.00000000,0.86206956,1.25634848,0.01452479,0.61493588
-5.89794897,2.25512776,0.40721831,0.00000000,0.84856654,1.31417972,0.01465726,0.64113136
-5.89194597,2.33491498,0.41497046,0.00000000,0.83872557,1.37456305,0.01482520,0.66836182
-5.88594297,2.41873265,0.42407394,0.00000000,0.83211741,1.43673881,0.01502458,0.69626035
-5.87993997,2.50513212,0.43424165,0.00000000,0.82826302,1.49984415,0.01525029,0.72442995
-5.87393697,2.59252811,0.44514871,0.00000000,0.82664268,1.56292814,0.01549639,0.75244899
-5.86793397,2.67923357,0.45644140,0.00000000,0.82670791,1.62497210,0.01575635,0.77987896
-5.86193097,2.76350227,0.46774798,0.00000000,0.82789587,1.68491479,0.01602335,0.80627397
-5.85592796,2.84357761,0.47869049,0.00000000,0.82964543,1.74168142,0.01629063,0.83119205
-5.84992496,2.91774563,0.48889744,0.00000000,0.83141443,1.79421562,0.01655181,0.85420758
-5.84392196,2.98439000,0.49801654,0.00000000,0.83269718,1.84151269,0.01680122,0.87492448
-5.83791896,3.04204666,0.50572702,0.00000000,0.83304145,1.88265315,0.01703425,0.89298941
-5.83191596,3.08945541,0.51175098,0.00000000,0.83206403,1.91683466,0.01724757,0.90810451
-5.82591296,3.12560614,0.51586325,0.00000000,0.82946410,1.94340122,0.01743937,0.92003894
-5.81990995,3.14977757,0.51789931,0.00000000,0.82503375,1.96186809,0.01760953,0.92863861
-5.81390695,3.16156640,0.51776087,0.00000000,0.81866504,1.97194137,0.01775969,0.93383362
-5.80790395,3.16090573,0.51541896,0.00000000,0.81035326,1.97353126,0.01789321,0.93564301
-5.80190095,3.14807160,0.51091435,0.00000000,0.80019619,1.96675863,0.01801516,0.93417645
-5.79589795,3.12367750,0.50435539,0.00000000,0.78838927,1.95195423,0.01813207,0.92963272
-5.78989495,3.08865703,0.49591332,0.00000000,0.77521704,1.92965106,0.01825178,0.92229514
-5.78389195,3.04423548,0.48581534,0.00000000,0.76104110,1.90056997,0.01838304,0.91252387
-5.77788894,2.99189180,0.47433592,0.00000000,0.74628523,1.86559931,0.01853524,0.90074567
-5.77188594,2.93331253,0.46178654,0.00000000,0.73141834,1.82576961,0.01871794,0.88744123
-5.76588294,2.87033996,0.44850466,0.00000000,0.71693600,1.78222435,0.01894052,0.87313096
-5.75987994,2.80491666,0.43484210,0.00000000,0.70334146,1.73618816,0.01921172,0.85835960
-5.75387694,2.73902869,0.42115360,0.00000000,0.69112708,1.68893365,0.01953927,0.84368036
-5.74787394,2.67464997,0.40778591,0.00000000,0.68075682,1.64174831,0.01992954,0.82963930
-5.74187094,2.61368974,0.39506783,0.00000000,0.67265077,1.59590246,0.02038721,0.81676048
-5.73586793,2.55794505,0.38330151,0.00000000,0.66717217,1.55261951,0.02091508,0.80553257
-5.72986493,2.50905976,0.37275540,0.00000000,0.66461758,1.51304928,0.02151388,0.79639709
-5.72386193,2.46849109,0.36365888,0.00000000,0.66521044,1.47824507,0.02218221,0.78973906
-5.71785893,2.43748442,0.35619865,0.00000000,0.66909810,1.44914483,0.02291660,0.78587980
-5.71185593,2.41705653,0.35051692,0.00000000,0.67635251,1.42655676,0.02371156,0.78507245
-5.70585293,2.40798708,0.34671129,0.00000000,0.68697400,1.41114927,0.02455981,0.78749975
-5.69984992,2.41081775,0.34483610,0.00000000,0.70089803,1.40344509,0.02545251,0.79327426
-5.69384692,2.42585828,0.34490505,0.00000000,0.71800426,1.40381934,0.02637960,0.80244066
-5.68784392,2.45319823,0.34689491,0.00000000,0.73812725,1.41250095,0.02733012,0.81497972
