energy_ev,total_up,Hf_p_up,Hf_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.95551757,0.92946822,0.55863640,0.25053157,0.00000000,0.03090545,0.25424547,0.04425341,1.03466269
-5.99399700,1.91380347,0.92046127,0.54231341,0.24239641,0.00000000,0.02989926,0.25008594,0.04199405,1.01118878
-5.98799400,1.87290185,0.91440383,0.52592229,0.23381250,0.00000000,0.02878831,0.24679091,0.03976140,0.98757279
-5.98199100,1.83416739,0.91198839,0.50985841,0.22497234,0.00000000,0.02758838,0.24452502,0.03758228,0.96456901
-5.97598799,1.79896748,0.91389708,0.49452160,0.21607348,0.00000000,0.02631673,0.24345229,0.03548312,0.94293688
-5.96998499,1.76863417,0.92077293,0.48030261,0.20731293,0.00000000,0.02499163,0.24372885,0.03348923,0.92341612
-5.96398199,1.74441682,0.93319129,0.46757000,0.19888158,0.00000000,0.02363190,0.24549575,0.03162410,0.90670226
-5.95797899,1.72743691,0.95163232,0.45665790,0.19095893,0.00000000,0.02225646,0.24887202,0.02990875,0.89342348
-5.95197599,1.71864678,0.97645555,0.44785517,0.18370827,0.00000000,0.02088386,0.25394838,0.02836134,0.88411950
-5.94597299,1.71879379,1.00787763,0.44139621,0.17727234,0.00000000,0.01953192,0.26078170,0.02699671,0.87922332
-5.93996998,1.72839125,1.04595408,0.43745374,0.17176981,0.00000000,0.01821734,0.26939054,0.02582625,0.87904653
-5.93396698,1.74769723,1.09056588,0.43613395,0.16729246,0.00000000,0.01695539,0.27975194,0.02485776,0.88376863
-5.92796398,1.77670217,1.14141165,0.43747389,0.16390327,0.00000000,0.01575972,0.29179956,0.02409550,0.89343083
-5.92196098,1.81512580,1.19800602,0.44144147,0.16163537,0.00000000,0.01464214,0.30542343,0.02354039,0.90793460
-5.91595798,1.86242366,1.25968436,0.44793774,0.16049204,0.00000000,0.01361253,0.32047123,0.02319026,0.92704507
-5.90995498,1.91780308,1.32561419,0.45680165,0.16044747,0.00000000,0.01267880,0.33675117,0.02304025,0.95039911
-5.90395198,1.98024814,1.39481309,0.46781680,0.16144852,0.00000000,0.01184695,0.35403638,0.02308321,0.97751798
-5.89794897,2.04855279,1.46617269,0.48072015,0.16341728,0.00000000,0.01112110,0.37207086,0.02331018,1.00782395
-5.89194597,2.12136098,1.53848816,0.49521215,0.16625429,0.00000000,0.01050362,0.39057644,0.02371092,1.04066049
-5.88594297,2.19721226,1.61049238,0.51096805,0.16984242,0.00000000,0.00999533,0.40926099,0.02427434,1.07531502
-5.87993997,2.27459112,1.68089341,0.52764980,0.17405119,0.00000000,0.00959561,0.42782710,0.02498901,1.11104370
-5.87393697,2.35197821,1.74841420,0.54491812,0.17874144,0.00000000,0.00930264,0.44598132,0.02584353,1.14709691
-5.86793397,2.42790126,1.81183289,0.56244432,0.18377005,0.00000000,0.00911359,0.46344321,0.02682689,1.18274478
-5.86193097,2.50098362,1.87002204,0.57992118,0.18899475,0.00000000,0.00902474,0.47995411,0.02792869,1.21730144
-5.85592796,2.56998843,1.92198525,0.59707267,0.19427859,0.00000000,0.00903169,0.49528510,0.02913931,1.25014716
-5.84992496,2.63385651,1.96688959,0.61366190,0.19949410,0.00000000,0.00912947,0.50924372,0.03044997,1.28074745
-5.84392196,2.69173624,2.00409221,0.62949713,0.20452688,0.00000000,0.00931263,0.52167939,0.03185266,1.30866824
-5.83791896,2.74300426,2.03316002,0.64443540,0.20927851,0.00000000,0.00957530,0.53248692,0.03334004,1.33358650
-5.83191596,2.78727599,2.05388141,0.65838380,0.21366863,0.00000000,0.00991125,0.54160821,0.03490518,1.35529603
