energy_ev,total_up,Ga_p_up,Ga_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-5.73586793,7.80674459,0.25981671,0.00000000,2.69294767,4.31729325,0.05346131,3.96749869
-5.72986493,7.92307630,0.26782074,0.00000000,2.72935675,4.39183130,0.05541797,4.05555814
-5.72386193,8.02649376,0.27540233,0.00000000,2.76260160,4.45959676,0.05718529,4.13728803
-5.71785893,8.11721111,0.28252875,0.00000000,2.79286322,4.52049309,0.05873982,4.21253916
-5.71185593,8.19536553,0.28916600,0.00000000,2.82024049,4.57437658,0.06006033,4.28114382
-5.70585293,8.26099695,0.29527841,0.00000000,2.84474064,4.62105408,0.06112828,4.34290671
-5.69984992,8.31403968,0.30082840,0.00000000,2.86627661,4.66028729,0.06192830,4.39760095
-5.69384692,8.35432651,0.30577662,0.00000000,2.88467153,4.69180377,0.06244855,4.44496972
-5.68784392,8.38160541,0.31008233,0.00000000,2.89967000,4.71531433,0.06268107,4.48473392
-5.68184092,8.39556798,0.31370410,0.00000000,2.91095572,4.73053623,0.06262201,4.51660572
-5.67583792,8.39588805,0.31660078,0.00000000,2.91817434,4.73722097,0.06227173,4.54030726
-5.66983492,8.38226834,0.31873270,0.00000000,2.92096045,4.73518520,0.06163487,4.55559393
-5.66383192,8.35449236,0.32006305,0.00000000,2.91896708,4.72434311,0.06072026,4.56228068
-5.65782891,8.31247865,0.32055932,0.00000000,2.91189636,4.70473830,0.05954074,4.56027007
-5.65182591,8.25633399,0.32019484,0.00000000,2.89952951,4.67657327,0.05811294,4.54958047
-5.64582291,8.18640261,0.31895024,0.00000000,2.88175480,4.64023449,0.05645688,4.53037257
-5.63981991,8.10330842,0.31681486,0.00000000,2.85859211,4.59631160,0.05459561,4.50297278
-5.63381691,8.00798770,0.31378792,0.00000000,2.83021291,4.54560910,0.05255469,4.46789197
-5.62781391,7.90171052,0.30987962,0.00000000,2.79695482,4.48914975,0.05036173,4.42583839
-5.62181091,7.78608935,0.30511189,0.00000000,2.75933019,4.42816893,0.04804588,4.37772388
-5.61580790,7.66307440,0.29951893,0.00000000,2.71802855,4.36410005,0.04563726,4.32466279
-5.60980490,7.53493578,0.29314755,0.00000000,2.67391284,4.29855133,0.04316655,4.26796356
-5.60380190,7.40423308,0.28605710,0.00000000,2.62800981,4.23327479,0.04066445,4.20911295
-5.59779890,7.27377379,0.27831929,0.00000000,2.58149511,4.17012873,0.03816139,4.14975370
