energy_ev,total_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up,Y_p_up,Y_d_up
-6.00000000,2.27521330,0.00969451,1.36286145,0.08556935,0.00028858,1.46215924,0.72874149
-5.99399700,2.17466099,0.00942013,1.30568687,0.08073741,0.00027794,1.39904125,0.69777724
-5.98799400,2.06939245,0.00912722,1.24526522,0.07595148,0.00026645,1.33270835,0.66504157
-5.98199100,1.96024168,0.00881534,1.18208319,0.07123348,0.00025421,1.26365189,0.63081535
-5.97598799,1.84812483,0.00848454,1.11668854,0.06660491,0.00024136,1.19243220,0.59541014
-5.96998499,1.73401891,0.00813542,1.04967652,0.06208686,0.00022800,1.11966376,0.55916069
-5.96398199,1.61893862,0.00776917,0.98167468,0.05769994,0.00021427,1.04599846,0.52241676
-5.95797899,1.50391243,0.00738748,0.91332704,0.05346438,0.00020032,0.97210786,0.48553452
-5.95197599,1.38995883,0.00699260,0.84527809,0.04940006,0.00018627,0.89866519,0.44886805
-5.94597299,1.27806363,0.00658719,0.77815737,0.04552651,0.00017227,0.82632799,0.41276112
-5.93996998,1.16915934,0.00617431,0.71256525,0.04186295,0.00015844,0.75572207,0.37753978
-5.93396698,1.06410725,0.00575729,0.64906042,0.03842836,0.00014490,0.68742742,0.34350580
-5.92796398,0.96368271,0.00533962,0.58814949,0.03524142,0.00013177,0.62196655,0.31093132
-5.92196098,0.86856423,0.00492486,0.53027905,0.03232055,0.00011915,0.55979554,0.28005490
-5.91595798,0.77932622,0.00451652,0.47583019,0.02968383,0.00010712,0.50129803,0.25107882
-5.90995498,0.69643576,0.00411796,0.42511575,0.02734898,0.00009575,0.44678213,0.22416787
-5.90395198,0.62025285,0.00373229,0.37837990,0.02533326,0.00008510,0.39648009,0.19944942
-5.89794897,0.55103406,0.00336230,0.33580003,0.02365336,0.00007521,0.35055059,0.17701466
-5.89194597,0.48893891,0.00301040,0.29749067,0.02232529,0.00006610,0.30908310,0.15692088
-5.88594297,0.43403861,0.00267858,0.26350878,0.02136414,0.00005780,0.27210423,0.13919451
-5.87993997,0.38632630,0.00236834,0.23386044,0.02078394,0.00005028,0.23958525,0.12383479
-5.87393697,0.34572840,0.00208077,0.20850803,0.02059731,0.00004356,0.21145066,0.11081775
-5.86793397,0.31211624,0.00181648,0.18737791,0.02081523,0.00003760,0.18758712,0.10010027
-5.86193097,0.28531755,0.00157566,0.17036782,0.02144663,0.00003239,0.16785248,0.09162413
-5.85592796,0.26512720,0.00135812,0.15735403,0.02249802,0.00002789,0.15208451,0.08531969
-5.84992496,0.25131688,0.00116332,0.14819759,0.02397302,0.00002407,0.14010899,0.08110927
-5.84392196,0.24364329,0.00099047,0.14274978,0.02587191,0.00002089,0.13174707,0.07890988
-5.83791896,0.24185484,0.00083852,0.14085640,0.02819116,0.00001831,0.12682152,0.07863546
-5.83191596,0.24569659,0.00070629,0.14236095,0.03092293,0.00001631,0.12516201,0.08019853
-5.82591296,0.25491360,0.00059248,0.14710675,0.03405463,0.00001484,0.12660920,0.08351116
-5.81990995,0.26925273,0.00049577,0.15493788,0.03756855,0.00001389,0.13101782,0.08848550
-5.81390695,0.28846311,0.00041483,0.16569937,0.04144156,0.00001343,0.13825854,0.09503385
-5.80790395,0.31229561,0.00034842,0.17923655,0.04564487,0.00001344,0.14821907,0.10306829
-5.80190095,0.34050152,0.00029537,0.19539398,0.05014405,0.00001391,0.16080415,0.11250023
-5.79589795,0.37283085,0.00025469,0.21401406,0.05489911,0.00001483,0.17593494,0.12323970
-5.78989495,0.40903051,0.00022551,0.23493570,0.05986481,0.00001620,0.19354764,0.13519482
-5.78389195,0.44884276,0.00020719,0.25799314,0.06499120,0.00001803,0.21359154,0.14827126
-5.77788894,0.49200423,0.00019926,0.28301528,0.07022430,0.00002032,0.23602663,0.16237209
