energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.12194647,0.19845972,0.15563599,0.02115148,0.06340639,0.01922201,0.36392457,0.25486002,0.27548807
-5.99399700,1.11454703,0.19898865,0.16068047,0.02095905,0.06043574,0.02115100,0.36989476,0.24755356,0.26414825
-5.98799400,1.11399089,0.20060470,0.16653385,0.02097610,0.05764436,0.02319014,0.37776657,0.24094260,0.25511698
-5.98199100,1.11946313,0.20318871,0.17304163,0.02118650,0.05500568,0.02531749,0.38724520,0.23489609,0.24821024
-5.97598799,1.13010365,0.20661356,0.18003484,0.02157152,0.05249717,0.02750834,0.39801403,0.22929367,0.24323519
-5.96998499,1.14503131,0.21074856,0.18733377,0.02211049,0.05010095,0.02973571,0.40974260,0.22402856,0.23999686
-5.96398199,1.16336724,0.21546362,0.19475221,0.02278159,0.04780410,0.03197103,0.42209493,0.21900950,0.23830397
-5.95797899,1.18425692,0.22063324,0.20210205,0.02356249,0.04559866,0.03418489,0.43473803,0.21416170,0.23797399
-5.95197599,1.20689042,0.22614009,0.20919813,0.02443105,0.04348124,0.03634786,0.44735035,0.20942708,0.23883713
-5.94597299,1.23052045,0.23187814,0.21586322,0.02536599,0.04145257,0.03843145,0.45962994,0.20476371,0.24073936
-5.93996998,1.25447764,0.23775512,0.22193284,0.02634740,0.03951667,0.04040899,0.47130197,0.20014464,0.24354442
-5.93396698,1.27818274,0.24369439,0.22725993,0.02735725,0.03768003,0.04225660,0.48212541,0.19555629,0.24713477
-5.92796398,1.30115518,0.24963591,0.23171890,0.02837965,0.03595066,0.04395396,0.49189857,0.19099646,0.25141150
-5.92196098,1.32301777,0.25553647,0.23520914,0.02940118,0.03433715,0.04548507,0.50046313,0.18647215,0.25629336
-5.91595798,1.34349726,0.26136903,0.23765767,0.03041086,0.03284779,0.04683875,0.50770667,0.18199721,0.26171486
-5.90995498,1.36242073,0.26712123,0.23902078,0.03140019,0.03148965,0.04800905,0.51356337,0.17758999,0.26762364
-5.90395198,1.37970787,0.27279314,0.23928469,0.03236290,0.03026798,0.04899532,0.51801286,0.17327112,0.27397718
-5.89794897,1.39535947,0.27839427,0.23846509,0.03329475,0.02918555,0.04980212,0.52107736,0.16906133,0.28073907
-5.89194597,1.40944259,0.28394011,0.23660550,0.03419307,0.02824226,0.05043884,0.52281699,0.16497956,0.28787501
-5.88594297,1.42207313,0.28944828,0.23377476,0.03505639,0.02743490,0.05091911,0.52332373,0.16104126,0.29534869
-5.87993997,1.43339662,0.29493454,0.23006346,0.03588392,0.02675705,0.05125999,0.52271421,0.15725710,0.30311787
-5.87393697,1.44356830,0.30040890,0.22557976,0.03667513,0.02619916,0.05148099,0.52112162,0.15363188,0.31113081
-5.86793397,1.45273344,0.30587207,0.22044454,0.03742924,0.02574878,0.05160298,0.51868732,0.15016385,0.31932327
-5.86193097,1.46100920,0.31131239,0.21478641,0.03814490,0.02539091,0.05164704,0.51555260,0.14684445,0.32761632
-5.85592796,1.46846887,0.31670367,0.20873653,0.03881985,0.02510850,0.05163328,0.51185083,0.14365836,0.33591512
-5.84992496,1.47512962,0.32200383,0.20242369,0.03945074,0.02488294,0.05157972,0.50770069,0.14058389,0.34410866
-5.84392196,1.48094430,0.32715466,0.19596982,0.04003305,0.02469471,0.05150138,0.50320070,0.13759379,0.35207076
-5.83791896,1.48579802,0.33208271,0.18948606,0.04056114,0.02452406,0.05140941,0.49842527,0.13465629,0.35966215
-5.83191596,1.48950959,0.33670121,0.18306967,0.04102841,0.02435158,0.05131054,0.49342260,0.13173647,0.36673356
-5.82591296,1.49183781,0.34091306,0.17680180,0.04142757,0.02415892,0.05120673,0.48821437,0.12879777,0.37312990
-5.81990995,1.49249226,0.34461474,0.17074618,0.04175101,0.02392931,0.05109515,0.48279719,0.12580366,0.37869504
-5.81390695,1.49114787,0.34770074,0.16494875,0.04199123,0.02364814,0.05096832,0.47714572,0.12271940,0.38327722
-5.80790395,1.48746251,0.35006858,0.15943818,0.04214126,0.02330336,0.05081466,0.47121712,0.11951374,0.38673469
-5.80190095,1.48109635,0.35162384,0.15422715,0.04219515,0.02288587,0.05061910,0.46495647,0.11616058,0.38894125
-5.79589795,1.47173202,0.35228510,0.14931431,0.04214839,0.02238970,0.05036405,0.45830293,0.11264039,0.38979151
-5.78989495,1.45909414,0.35198835,0.14468662,0.04199825,0.02181221,0.05003034,0.45119600,0.10894151,0.38920543
-5.78389195,1.44296723,0.35069079,0.14032209,0.04174408,0.02115406,0.04959838,0.44358165,0.10506110,0.38713203
-5.77788894,1.42321082,0.34837359,0.13619253,0.04138743,0.02041912,0.04904928,0.43541784,0.10100581,0.38355199
-5.77188594,1.39977095,0.34504360,0.13226634,0.04093215,0.01961435,0.04836587,0.42667913,0.09679215,0.37847893
-5.76588294,1.37268742,0.34073385,0.12851096,0.04038427,0.01874946,0.04753376,0.41736012,0.09244647,0.37195945
-5.75987994,1.34209647,0.33550283,0.12489510,0.03975179,0.01783663,0.04654214,0.40747755,0.08800473,0.36407181
-5.75387694,1.30822871,0.32943252,0.12139048,0.03904438,0.01689011,0.04538440,0.39707102,0.08351190,0.35492332
-5.74787394,1.27140271,0.32262548,0.11797308,0.03827296,0.01592585,0.04405863,0.38620229,0.07902116,0.34464661
-5.74187094,1.23201454,0.31520095,0.11462394,0.03744922,0.01496103,0.04256776,0.37495337,0.07459291,0.33339505
-5.73586793,1.19052406,0.30729036,0.11132948,0.03658513,0.01401368,0.04091959,0.36342351,0.07029363,0.32133740
-5.72986493,1.14743878,0.29903240,0.10808133,0.03569236,0.01310228,0.03912649,0.35172533,0.06619463,0.30865209
-5.72386193,1.10329634,0.29056806,0.10487594,0.03478186,0.01224541,0.03720499,0.33998049,0.06237077,0.29552140
-5.71785893,1.05864643,0.28203568,0.10171382,0.03386335,0.01146141,0.03517517,0.32831503,0.05889913,0.28212577
-5.71185593,1.01403333,0.27356659,0.09859867,0.03294498,0.01076810,0.03305991,0.31685488,0.05585773,0.26863852
-5.70585293,0.96997981,0.26528123,0.09553645,0.03203308,0.01018255,0.03088408,0.30572159,0.05332422,0.25522130
-5.69984992,0.92697317,0.25728611,0.09253446,0.03113199,0.00972089,0.02867365,0.29502870,0.05137465,0.24202023
-5.69384692,0.88545398,0.24967175,0.08960058,0.03024404,0.00939813,0.02645489,0.28487879,0.05008228,0.22916312
