energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,4.04912645,0.00225884,1.05175071,2.09969958,2.19460877,0.01041229,0.75315044
-5.99399700,3.95121855,0.00222565,1.01052576,2.10041641,2.10178695,0.01083520,0.75945649
-5.98799400,3.88011927,0.00218520,0.97786849,2.11732850,2.02528617,0.01141405,0.76800964
-5.98199100,3.83825585,0.00213946,0.95432203,2.15153089,1.96640933,0.01214360,0.77941613
-5.97598799,3.82748725,0.00209052,0.94021687,2.20377115,1.92606055,0.01301854,0.79427667
-5.96998499,3.84902000,0.00204057,0.93565772,2.27440072,1.90471517,0.01403285,0.81315675
-5.96398199,3.90334179,0.00199183,0.94051706,2.36333674,1.90240232,0.01517934,0.83655698
-5.95797899,3.99017527,0.00194647,0.95443549,2.47003620,1.91870017,0.01644910,0.86488472
-5.95197599,4.10845442,0.00190658,0.97682878,2.59348439,1.95274407,0.01783110,0.89842837
-5.94597299,4.25632496,0.00187408,1.00690150,2.73219872,2.00324711,0.01931187,0.93733579
-5.93996998,4.43116999,0.00185073,1.04366678,2.88424902,2.06853289,0.02087532,0.98159771
-5.93396698,4.62966101,0.00183808,1.08597181,3.04729444,2.14657939,0.02250269,1.03103748
-5.92796398,4.84783392,0.00183746,1.13252831,3.21863665,2.23507317,0.02417267,1.08530757
-5.92196098,5.08118852,0.00184999,1.18194725,3.39528827,2.33147238,0.02586165,1.14389356
-5.91595798,5.32480906,0.00187660,1.23277687,3.57405478,2.43307713,0.02754420,1.20612551
-5.90995498,5.57350259,0.00191805,1.28354283,3.75162724,2.53710498,0.02919363,1.27119658
-5.90395198,5.82195064,0.00197499,1.33278938,3.92468289,2.64076972,0.03078270,1.33818831
-5.89794897,6.06486919,0.00204800,1.37912025,4.08998982,2.74136066,0.03228447,1.40610149
-5.89194597,6.29717103,0.00213764,1.42123779,4.24451155,2.83632007,0.03367314,1.47389147
-5.88594297,6.51412437,0.00224451,1.45797924,4.38550745,2.92331593,0.03492502,1.54050618
-5.87993997,6.71150122,0.00236931,1.48834864,4.51062451,3.00030744,0.03601939,1.60492543
-5.87393697,6.88570945,0.00251290,1.51154335,4.61797661,3.06560073,0.03693943,1.66619927
-5.86793397,7.03390267,0.00267627,1.52697416,4.70620765,3.11789272,0.03767290,1.72348391
-5.86193097,7.15406330,0.00286065,1.53427827,4.77453565,3.15630121,0.03821285,1.77607328
-5.85592796,7.24505487,0.00306746,1.53332473,4.82277589,3.18038012,0.03855805,1.82342463
-5.84992496,7.30664146,0.00329828,1.52421208,4.85134198,3.19011920,0.03871326,1.86517719
