energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,W_p_up,W_d_up
-6.00000000,2.03752635,0.03012452,0.32585539,0.00880656,0.90756987,0.47017749,0.14312327,1.37252463,0.48301254
-5.99399700,2.09009957,0.03025164,0.35222027,0.00850288,0.90694808,0.47206718,0.14275554,1.46235156,0.50568336
-5.98799400,2.14619550,0.03046189,0.37876733,0.00819013,0.90862159,0.47529119,0.14276188,1.55357243,0.52870527
-5.98199100,2.20446997,0.03073429,0.40508160,0.00787223,0.91222634,0.47957019,0.14308801,1.64465882,0.55169149
-5.97598799,2.26341349,0.03104533,0.43072252,0.00755275,0.91732013,0.48457825,0.14366796,1.73397027,0.57421942
-5.96998499,2.32140015,0.03136989,0.45523539,0.00723491,0.92340096,0.48995513,0.14442671,1.81979864,0.59584242
-5.96398199,2.37674218,0.03168212,0.47816398,0.00692151,0.92992752,0.49531972,0.14528329,1.90041722,0.61610325
-5.95797899,2.42774816,0.03195638,0.49906399,0.00661492,0.93634095,0.50028424,0.14615403,1.97413274,0.63454854
-5.95197599,2.47278235,0.03216818,0.51751661,0.00631710,0.94208698,0.50446843,0.14695581,2.03933828,0.65074385
-5.94597299,2.51032266,0.03229502,0.53314176,0.00602963,0.94663746,0.50751339,0.14760929,2.09456488,0.66428856
-5.93996998,2.53901477,0.03231715,0.54561043,0.00575373,0.94951034,0.50909434,0.14804195,2.13852955,0.67482991
-5.93396698,2.55772000,0.03221821,0.55465551,0.00549033,0.95028737,0.50893188,0.14819071,2.17017776,0.68207569
-5.92796398,2.56555477,0.03198578,0.56008074,0.00524012,0.94862859,0.50680132,0.14800416,2.18871831,0.68580474
-5.92196098,2.56192013,0.03161168,0.56176719,0.00500364,0.94428322,0.50253973,0.14744427,2.19364912,0.68587505
-5.91595798,2.54651980,0.03109217,0.55967725,0.00478131,0.93709639,0.49605047,0.14648740,2.18477284,0.68222886
-5.90995498,2.51936655,0.03042794,0.55385562,0.00457347,0.92701168,0.48730506,0.14512480,2.16220143,0.67489466
-5.90395198,2.48077645,0.02962396,0.54442760,0.00438052,0.91406952,0.47634253,0.14336242,2.12634984,0.66398598
-5.89794897,2.43135194,0.02868915,0.53159451,0.00420287,0.89840159,0.46326624,0.14122011,2.07791897,0.64969714
-5.89194597,2.37195468,0.02763594,0.51562666,0.00404103,0.88022194,0.44823851,0.13873040,2.01786902,0.63229607
-5.88594297,2.30367001,0.02647973,0.49685415,0.00389561,0.85981523,0.43147336,0.13593677,1.94738453,0.61211482
-5.87993997,2.22776488,0.02523823,0.47565595,0.00376740,0.83752322,0.41322792,0.13289165,1.86783282,0.58953808
-5.87393697,2.14564191,0.02393079,0.45244778,0.00365732,0.81372998,0.39379279,0.12965423,1.78071807,0.56499042
-5.86793397,2.05879164,0.02257771,0.42766936,0.00356649,0.78884711,0.37348198,0.12628831,1.68763290,0.53892288
-5.86193097,1.96874568,0.02119958,0.40177157,0.00349620,0.76329951,0.35262297,0.12286009,1.59020995,0.51179949
-5.85592796,1.87703278,0.01981665,0.37520408,0.00344796,0.73751268,0.33154716,0.11943627,1.49007534,0.48408443
-5.84992496,1.78513974,0.01844825,0.34840385,0.00342350,0.71190204,0.31058130,0.11608245,1.38880595,0.45623022
-5.84392196,1.69447872,0.01711238,0.32178506,0.00342475,0.68686471,0.29004012,0.11286176,1.28789206,0.42866754
-5.83791896,1.60636178,0.01582529,0.29573058,0.00345390,0.66277407,0.27022033,0.10983401,1.18870654,0.40179689
-5.83191596,1.52198319,0.01460126,0.27058531,0.00351332,0.63997705,0.25139627,0.10705513,1.09248139,0.37598229
-5.82591296,1.44240942,0.01345238,0.24665147,0.00360564,0.61879401,0.23381702,0.10457705,1.00029185,0.35154708
-5.81990995,1.36857624,0.01238858,0.22418577,0.00373366,0.59952075,0.21770507,0.10244783,0.91304810,0.32877174
-5.81390695,1.30129199,0.01141755,0.20339840,0.00390031,0.58243232,0.20325625,0.10071199,0.83149399,0.30789360
-5.80790395,1.24124572,0.01054490,0.18445367,0.00410865,0.56778780,0.19064079,0.09941106,0.75621218,0.28910799
-5.80190095,1.18901870,0.00977426,0.16747204,0.00436171,0.55583550,0.18000513,0.09858410,0.68763442,0.27257073
-5.79589795,1.14509781,0.00910748,0.15253320,0.00466245,0.54681786,0.17147431,0.09826820,0.62605604,0.25840142
-5.78989495,1.10988921,0.00854480,0.13968003,0.00501361,0.54097542,0.16515450,0.09849880,0.57165318,0.24668717
-5.78389195,1.08373091,0.00808504,0.12892305,0.00541754,0.53854924,0.16113540,0.09930980,0.52450167,0.23748645
-5.77788894,1.06690311,0.00772579,0.12024507,0.00587607,0.53978147,0.15949242,0.10073348,0.48459619,0.23083279
-5.77188594,1.05963544,0.00746355,0.11360588,0.00639035,0.54491372,0.16028815,0.10280001,0.45186882,0.22673795
-5.76588294,1.06211055,0.00729387,0.10894666,0.00696061,0.55418312,0.16357328,0.10553679,0.42620600,0.22519451
-5.75987994,1.07446397,0.00721143,0.10619410,0.00758606,0.56781619,0.16938665,0.10896747,0.40746320,0.22617772
-5.75387694,1.09678028,0.00721014,0.10526398,0.00826471,0.58602085,0.17775454,0.11311080,0.39547687,0.22964662
-5.74787394,1.12908632,0.00728316,0.10606424,0.00899322,0.60897679,0.18868934,0.11797937,0.39007344,0.23554442
-5.74187094,1.17134188,0.00742296,0.10849750,0.00976688,0.63682488,0.20218747,0.12357826,0.39107519,0.24379844
-5.73586793,1.22342917,0.00762134,0.11246311,0.01057951,0.66965613,0.21822698,0.12990385,0.39830331,0.25431952
-5.72986493,1.28514178,0.00786945,0.11785861,0.01142352,0.70750099,0.23676489,0.13694268,0.41157817,0.26700133
-5.72386193,1.35617451,0.00815788,0.12458095,0.01228999,0.75031946,0.25773449,0.14467064,0.43071745,0.28171966
-5.71785893,1.43611492,0.00847668,0.13252724,0.01316880,0.79799284,0.28104295,0.15305246,0.45553245,0.29833190
-5.71185593,1.52443762,0.00881550,0.14159536,0.01404885,0.85031759,0.30656931,0.16204160,0.48582312,0.31667705
-5.70585293,1.62050208,0.00916370,0.15168435,0.01491835,0.90700175,0.33416318,0.17158058,0.52137240,0.33657614
-5.69984992,1.72355439,0.00951051,0.16269476,0.01576509,0.96766432,0.36364425,0.18160172,0.56194047,0.35783348
-5.69384692,1.83273340,0.00984524,0.17452889,0.01657686,1.03183775,0.39480280,0.19202836,0.60725927,0.38023851
-5.68784392,1.94708117,0.01015749,0.18709105,0.01734177,1.09897365,0.42740123,0.20277643,0.65702795,0.40356852
-5.68184092,2.06555763,0.01043735,0.20028787,0.01804869,1.16845157,0.46117672,0.21375636,0.71090947,0.42759199
-5.67583792,2.18705887,0.01067572,0.21402860,0.01868758,1.23959053,0.49584489,0.22487530,0.76852878,0.45207253
-5.66983492,2.31043851,0.01086445,0.22822546,0.01924983,1.31166314,0.53110441,0.23603940,0.82947280,0.47677335
-5.66383192,2.43453127,0.01099662,0.24279395,0.01972858,1.38391154,0.56664254,0.24715619,0.89329224,0.50146196
-5.65782891,2.55817785,0.01106673,0.25765328,0.02011892,1.45556481,0.60214116,0.25813697,0.95950531,0.52591502
-5.65182591,2.68025009,0.01107082,0.27272660,0.02041801,1.52585708,0.63728334,0.26889885,1.02760326,0.54992301
-5.64582291,2.79967538,0.01100659,0.28794136,0.02062520,1.59404569,0.67176004,0.27936679,1.09705752,0.57329470
-5.63981991,2.91545942,0.01087346,0.30322947,0.02074195,1.65942874,0.70527663,0.28947507,1.16732804,0.59586107
-5.63381691,3.02670625,0.01067255,0.31852746,0.02077171,1.72136143,0.73755919,0.29916849,1.23787262,0.61747851
-5.62781391,3.13263500,0.01040660,0.33377646,0.02071975,1.77927047,0.76836003,0.30840311,1.30815659,0.63803127
-5.62181091,3.23259254,0.01007987,0.34892215,0.02059284,1.83266618,0.79746243,0.31714653,1.37766247,0.65743301
-5.61580790,3.32606171,0.00969799,0.36391449,0.02039898,1.88115184,0.82468427,0.32537768,1.44589897,0.67562728
-5.60980490,3.41266489,0.00926768,0.37870745,0.02014696,1.92442988,0.84988047,0.33308629,1.51240892,0.69258707
-5.60380190,3.49216275,0.00879658,0.39325850,0.01984604,1.96230496,0.87294409,0.34027189,1.57677567,0.70831341
-5.59779890,3.56444864,0.00829291,0.40752817,0.01950551,1.99468364,0.89380607,0.34694260,1.63862749,0.72283299
-5.59179590,3.62953870,0.00776528,0.42147934,0.01913436,2.02157107,0.91243371,0.35311368,1.69763987,0.73619509
-5.58579290,3.68755853,0.00722234,0.43507672,0.01874095,2.04306459,0.92882786,0.35880592,1.75353553,0.74846784
-5.57978989,3.73872704,0.00667259,0.44828614,0.01833276,2.05934489,0.94301921,0.36404409,1.80608213,0.75973403
-5.57378689,3.78333837,0.00612409,0.46107406,0.01791616,2.07066499,0.95506363,0.36885536,1.85508810,0.77008673
