energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.09969246,0.00863269,0.06992535,0.00077184,0.00020056,0.00128861,0.01726355,0.01510664,0.00367810
-5.99399700,0.08594208,0.00767662,0.06060757,0.00065766,0.00020050,0.00107093,0.01476695,0.01296460,0.00307380
-5.98799400,0.07589564,0.00703814,0.05392343,0.00056756,0.00021136,0.00089960,0.01288326,0.01141583,0.00259691
-5.98199100,0.06935493,0.00671528,0.04973590,0.00049997,0.00023413,0.00077083,0.01157922,0.01043390,0.00223698
-5.97598799,0.06618323,0.00671160,0.04795143,0.00045357,0.00027010,0.00068161,0.01083149,0.01000441,0.00198549
-5.96998499,0.06630916,0.00703676,0.04852188,0.00042729,0.00032096,0.00062986,0.01062752,0.01012610,0.00183604
-5.96398199,0.06972836,0.00770698,0.05144482,0.00042031,0.00038875,0.00061443,0.01096632,0.01081171,0.00178450
-5.95797899,0.07650303,0.00874519,0.05676228,0.00043213,0.00047594,0.00063520,0.01185870,0.01208851,0.00182909
-5.95197599,0.08675926,0.01018105,0.06455787,0.00046247,0.00058539,0.00069309,0.01332730,0.01399841,0.00197037
-5.94597299,0.10068225,0.01205066,0.07495240,0.00051134,0.00072039,0.00079009,0.01540619,0.01659781,0.00221121
-5.93996998,0.11850935,0.01439599,0.08809786,0.00057893,0.00088458,0.00092922,0.01814018,0.01995697,0.00255669
-5.93396698,0.14052089,0.01726408,0.10416999,0.00066559,0.00108196,0.00111456,0.02158368,0.02415901,0.00301395
-5.92796398,0.16702884,0.02070587,0.12335926,0.00077177,0.00131683,0.00135112,0.02579923,0.02929829,0.00359195
-5.92196098,0.19836334,0.02477478,0.14586058,0.00089797,0.00159369,0.00164483,0.03085556,0.03547841,0.00430120
-5.91595798,0.23485719,0.02952489,0.17186171,0.00104462,0.00191715,0.00200239,0.03682530,0.04280946,0.00515342
-5.90995498,0.27682852,0.03500888,0.20153071,0.00121204,0.00229184,0.00243113,0.04378217,0.05140478,0.00616111
-5.90395198,0.32456191,0.04127570,0.23500264,0.00140033,0.00272223,0.00293882,0.05179793,0.06137700,0.00733706
-5.89794897,0.37828841,0.04836792,0.27236598,0.00160933,0.00321245,0.00353344,0.06093880,0.07283358,0.00869377
-5.89194597,0.43816506,0.05631904,0.31364913,0.00183849,0.00376618,0.00422293,0.07126172,0.08587175,0.01024290
-5.88594297,0.50425444,0.06515060,0.35880761,0.00208684,0.00438639,0.00501485,0.08281032,0.10057300,0.01199453
-5.87993997,0.57650518,0.07486938,0.40771249,0.00235293,0.00507518,0.00591603,0.09561088,0.11699738,0.01395649
-5.87393697,0.65473431,0.08546470,0.46014073,0.00263477,0.00583357,0.00693224,0.10966832,0.13517759,0.01613362
-5.86793397,0.73861221,0.09690604,0.51576798,0.00292983,0.00666130,0.00806776,0.12496234,0.15511327,0.01852708
-5.86193097,0.82765141,0.10914097,0.57416457,0.00323501,0.00755674,0.00932498,0.14144415,0.17676564,0.02113364
-5.85592796,0.92119979,0.12209381,0.63479500,0.00354670,0.00851667,0.01070403,0.15903360,0.20005288,0.02394511
-5.84992496,1.01843933,0.13566478,0.69702159,0.00386077,0.00953628,0.01220243,0.17761728,0.22484647,0.02694781
-5.84392196,1.11839089,0.14973013,0.76011237,0.00417271,0.01060913,0.01381478,0.19704745,0.25096878,0.03012221
-5.83791896,1.21992541,0.16414306,0.82325340,0.00447768,0.01172722,0.01553256,0.21714228,0.27819226,0.03344277
-5.83191596,1.32178201,0.17873569,0.88556540,0.00477061,0.01288107,0.01734396,0.23768719,0.30624043,0.03687790
-5.82591296,1.42259253,0.19332193,0.94612430,0.00504638,0.01406002,0.01923392,0.25843765,0.33479075,0.04039026
-5.81990995,1.52091237,0.20770144,1.00398530,0.00529994,0.01525248,0.02118422,0.27912329,0.36347959,0.04393719
-5.81390695,1.61525676,0.22166440,1.05820952,0.00552644,0.01644638,0.02317377,0.29945341,0.39190923,0.04747145
-5.80790395,1.70414145,0.23499706,1.10789251,0.00572143,0.01762960,0.02517900,0.31912359,0.41965677,0.05094217
-5.80190095,1.78612636,0.24748794,1.15219342,0.00588097,0.01879058,0.02717445,0.33782348,0.44628476,0.05429605
-5.79589795,1.85986083,0.25893442,1.19036373,0.00600175,0.01991889,0.02913349,0.35524526,0.47135319,0.05747868
-5.78989495,1.92412855,0.26914944,1.22177433,0.00608125,0.02100593,0.03102910,0.37109276,0.49443255,0.06043607
-5.78389195,1.97789038,0.27796813,1.24593987,0.00611781,0.02204559,0.03283484,0.38509055,0.51511724,0.06311622
-5.77788894,2.02032331,0.28525405,1.26253918,0.00611065,0.02303488,0.03452580,0.39699303,0.53303901,0.06547077
-5.77188594,2.05085376,0.29090466,1.27143084,0.00605996,0.02397460,0.03607963,0.40659274,0.54787972,0.06745652
-5.76588294,2.06918374,0.29485602,1.27266334,0.00596684,0.02486982,0.03747746,0.41372782,0.55938286,0.06903694
-5.75987994,2.07530846,0.29708613,1.26647898,0.00583331,0.02573035,0.03870489,0.41828813,0.56736328,0.07018343
-5.75387694,2.06952470,0.29761707,1.25331156,0.00566220,0.02657100,0.03975270,0.42021976,0.57171471,0.07087637
-5.74787394,2.05242901,0.29651557,1.23377765,0.00545707,0.02741167,0.04061750,0.41952770,0.57241458,0.07110588
-5.74187094,2.02490590,0.29389201,1.20866180,0.00522208,0.02827727,0.04130216,0.41627650,0.56952593,0.07087226
-5.73586793,1.98810614,0.28989792,1.17889610,0.00496186,0.02919737,0.04181593,0.41058894,0.56319621,0.07018604
-5.72986493,1.94341581,0.28472187,1.14553497,0.00468136,0.03020565,0.04217441,0.40264260,0.55365312,0.06906773
-5.72386193,1.89241717,0.27858403,1.10972580,0.00438570,0.03133909,0.04239915,0.39266453,0.54119743,0.06754716
-5.71785893,1.83684277,0.27172952,1.07267671,0.00407999,0.03263687,0.04251704,0.38092432,0.52619316,0.06566251
-5.71185593,1.77852432,0.26442079,1.03562244,0.00376924,0.03413916,0.04255938,0.36772556,0.50905559,0.06345911
-5.70585293,1.71933817,0.25692924,0.99978940,0.00345819,0.03588562,0.04256082,0.35339646,0.49023750,0.06098789
-5.69984992,1.66114934,0.24952654,0.96636115,0.00315119,0.03791375,0.04255800,0.33827954,0.47021426,0.05830381
-5.69384692,1.60575605,0.24247580,0.93644541,0.00285218,0.04025724,0.04258812,0.32272121,0.44946839,0.05546408
-5.68784392,1.55483655,0.23602304,0.91104339,0.00256452,0.04294412,0.04268740,0.30706143,0.42847421,0.05252640
-5.68184092,1.50990027,0.23038917,0.89102259,0.00229105,0.04599512,0.04288959,0.29162383,0.40768329,0.04954723
-5.67583792,1.47224467,0.22576285,0.87709369,0.00203399,0.04942200,0.04322442,0.27670682,0.38751106,0.04658024
-5.66983492,1.44291934,0.22229447,0.86979216,0.00179499,0.05322616,0.04371630,0.26257586,0.36832530,0.04367482
-5.66383192,1.42269846,0.22009146,0.86946518,0.00157514,0.05739751,0.04438314,0.24945714,0.35043682,0.04087494
-5.65782891,1.41206240,0.21921505,0.87626407,0.00137499,0.06191364,0.04523542,0.23753295,0.33409255,0.03821815
-5.65182591,1.41118910,0.21967872,0.89014246,0.00119463,0.06673950,0.04627561,0.22693881,0.31947133,0.03573499
-5.64582291,1.41995524,0.22144828,0.91086031,0.00103373,0.07182747,0.04749784,0.21776231,0.30668245,0.03344857
-5.63981991,1.43794723,0.22444356,0.93799337,0.00089161,0.07711799,0.04888800,0.21004376,0.29576683,0.03137453
-5.63381691,1.46448146,0.22854185,0.97094819,0.00076732,0.08254066,0.05042417,0.20377835,0.28670065,0.02952124
-5.62781391,1.49863302,0.23358261,1.00898174,0.00065968,0.08801589,0.05207735,0.19891996,0.27940131,0.02789021
-5.62181091,1.53927183,0.23937366,1.05122550,0.00056737,0.09345698,0.05381256,0.19538599,0.27373528,0.02647679
-5.61580790,1.58510488,0.24569830,1.09671297,0.00048900,0.09877264,0.05559019,0.19306335,0.26952742,0.02527098
-5.60980490,1.63472298,0.25232335,1.14440978,0.00042315,0.10386980,0.05736755,0.19181509,0.26657140,0.02425834
-5.60380190,1.68665032,0.25900758,1.19324560,0.00036840,0.10865661,0.05910051,0.19148744,0.26464078,0.02342109
-5.59779890,1.73939510,0.26551041,1.24214651,0.00032343,0.11304555,0.06074530,0.19191704,0.26350018,0.02273906
-5.59179590,1.79149931,0.27160046,1.29006705,0.00028699,0.11695646,0.06226020,0.19293799,0.26291625,0.02219079
-5.58579290,1.84158597,0.27706363,1.33602057,0.00025797,0.12031937,0.06360717,0.19438853,0.26266791,0.02175447
-5.57978989,1.88840199,0.28171050,1.37910700,0.00023542,0.12307701,0.06475323,0.19611713,0.26255562,0.02140886
-5.57378689,1.93085535,0.28538271,1.41853704,0.00021855,0.12518687,0.06567174,0.19798778,0.26240932,0.02113401
-5.56778389,1.96804528,0.28795813,1.45365185,0.00020678,0.12662270,0.06634322,0.19988442,0.26209487,0.02091193
-5.56178089,1.99928445,0.28935475,1.48393768,0.00019969,0.12737533,0.06675597,0.20171432,0.26151892,0.02072706
-5.55577789,2.02411274,0.28953307,1.50903493,0.00019710,0.12745294,0.06690628,0.20341052,0.26063196,0.02056663
-5.54977489,2.04230228,0.28849701,1.52874152,0.00019900,0.12688055,0.06679830,0.20493317,0.25942987,0.02042082
-5.54377189,2.05385406,0.28629342,1.54301037,0.00020561,0.12569890,0.06644363,0.20627001,0.25795374,0.02028286
-5.53776888,2.05898644,0.28301024,1.55194163,0.00021736,0.12396276,0.06586055,0.20743589,0.25628837,0.02014890
-5.53176588,2.05811674,0.27877338,1.55576984,0.00023489,0.12173869,0.06507311,0.20847156,0.25455942,0.02001793
-5.52576288,2.05183677,0.27374262,1.55484698,0.00025902,0.11910250,0.06410998,0.20944181,0.25292951,0.01989146
-5.51975988,2.04088372,0.26810663,1.54962223,0.00029079,0.11613638,0.06300316,0.21043303,0.25159353,0.01977322
-5.51375688,2.02610787,0.26207736,1.54061933,0.00033140,0.11292601,0.06178681,0.21155037,0.25077313,0.01966883
-5.50775388,2.00843866,0.25588403,1.52841293,0.00038221,0.10955759,0.06049587,0.21291461,0.25071089,0.01958540
-5.50175088,1.98885029,0.24976681,1.51360460,0.00044474,0.10611513,0.05916498,0.21465867,0.25166395,0.01953116
-5.49574787,1.96832847,0.24397056,1.49679990,0.00052061,0.10267797,0.05782741,0.21692404,0.25389748,0.01951504
