energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,5.06755048,1.09680056,2.90731329,0.00210015,0.53913280,1.33562245,0.77122875,0.04706330,0.55304918
-5.99399700,5.02305905,1.09738817,2.88922449,0.00204715,0.52826327,1.31278699,0.75903481,0.04614054,0.54970923
-5.98799400,4.97166075,1.09558008,2.86638329,0.00199654,0.51683816,1.28762374,0.74631199,0.04511307,0.54570264
-5.98199100,4.91332980,1.09144004,2.83882695,0.00194921,0.50486380,1.26028754,0.73308116,0.04398936,0.54097144
-5.97598799,4.84819389,1.08508064,2.80669061,0.00190615,0.49235821,1.23096573,0.71938351,0.04278047,0.53546976
-5.96998499,4.77655565,1.07666307,2.77021352,0.00186833,0.47935580,1.19988122,0.70528528,0.04149980,0.52916799
-5.96398199,4.69890521,1.06639515,2.72974041,0.00183674,0.46591104,1.16729430,0.69088084,0.04016285,0.52205600
-5.95797899,4.61592287,1.05452743,2.68571767,0.00181235,0.45210110,1.13350298,0.67629384,0.03878681,0.51414548
-5.95197599,4.52847166,1.04134767,2.63868458,0.00179607,0.43802726,1.09884173,0.66167631,0.03739008,0.50547118
-5.94597299,4.43757978,1.02717356,2.58925967,0.00178873,0.42381481,1.06367851,0.64720583,0.03599170,0.49609094
-5.93996998,4.34441402,1.01234429,2.53812298,0.00179105,0.40961172,1.02841021,0.63308070,0.03461075,0.48608466
-5.93396698,4.25024540,0.99721100,2.48599516,0.00180365,0.39558588,0.99345649,0.61951364,0.03326579,0.47555217
-5.92796398,4.15640879,0.98212685,2.43361419,0.00182697,0.38192115,0.95925231,0.60672419,0.03197421,0.46461020
-5.92196098,4.06425888,0.96743685,2.38171126,0.00186135,0.36881245,0.92623937,0.59493035,0.03075172,0.45338864
-5.91595798,3.97512469,0.95346822,2.33098681,0.00190696,0.35646001,0.89485672,0.58433983,0.02961186,0.44202632
-5.90995498,3.89026509,0.94052151,2.28208807,0.00196383,0.34506316,0.86553101,0.57514162,0.02856566,0.43066647
-5.90395198,3.81082772,0.92886304,2.23558927,0.00203189,0.33481394,0.83866663,0.56749804,0.02762133,0.41945222
-5.89794897,3.73781334,0.91871892,2.19197551,0.00211093,0.32589082,0.81463624,0.56153803,0.02678411,0.40852235
-5.89194597,3.67204747,0.91027106,2.15163108,0.00220070,0.31845274,0.79377200,0.55735183,0.02605629,0.39800736
-5.88594297,3.61416043,0.90365505,2.11483274,0.00230087,0.31263393,0.77635783,0.55498738,0.02543724,0.38802629
-5.87993997,3.56457683,0.89896021,2.08174829,0.00241110,0.30853956,0.76262315,0.55444862,0.02492365,0.37868411
-5.87393697,3.52351445,0.89623157,2.05244024,0.00253104,0.30624249,0.75273808,0.55569576,0.02450982,0.37007004
-5.86793397,3.49099249,0.89547355,2.02687440,0.00266037,0.30578119,0.74681055,0.55864739,0.02418799,0.36225655
-5.86193097,3.46684806,0.89665514,2.00493261,0.00279877,0.30715896,0.74488520,0.56318441,0.02394881,0.35529920
-5.85592796,3.45075991,0.89971609,1.98642896,0.00294599,0.31034439,0.74694420,0.56915533,0.02378177,0.34923721
-5.84992496,3.44227764,0.90457376,1.97112837,0.00310175,0.31527302,0.75290984,0.57638287,0.02367563,0.34409453
-5.84392196,3.44085455,0.91113002,1.95876653,0.00326580,0.32185009,0.76264884,0.58467122,0.02361892,0.33988139
-5.83791896,3.44588222,0.91927807,1.94907003,0.00343785,0.32995424,0.77597808,0.59381383,0.02360026,0.33659623
-5.83191596,3.45672483,0.92890837,1.94177562,0.00361752,0.33944188,0.79267151,0.60360107,0.02360878,0.33422765
-5.82591296,3.47275147,0.93991376,1.93664763,0.00380431,0.35015208,0.81246805,0.61382760,0.02363434,0.33275652
