energy_ev,total_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.69094600,0.19319298,0.00000000,1.07173870,0.00000000,1.42676527,0.21554094
-5.99399700,2.53348273,0.17968299,0.00000000,0.99806547,0.00000000,1.35108589,0.20270295
-5.98799400,2.37423312,0.16609064,0.00000000,0.92499260,0.00000000,1.27335735,0.18976198
-5.98199100,2.21456840,0.15258051,0.00000000,0.85305782,0.00000000,1.19436482,0.17683690
-5.97598799,2.05584292,0.13930431,0.00000000,0.78277579,0.00000000,1.11488686,0.16404400
-5.96998499,1.89937056,0.12639810,0.00000000,0.71462928,0.00000000,1.03568173,0.15149517
-5.96398199,1.74640229,0.11398033,0.00000000,0.64906100,0.00000000,0.95747494,0.13929634
-5.95797899,1.59810582,0.10215052,0.00000000,0.58646644,0.00000000,0.88094803,0.12754612
-5.95197599,1.45554791,0.09098866,0.00000000,0.52718802,0.00000000,0.80672922,0.11633465
-5.94597299,1.31967999,0.08055521,0.00000000,0.47151087,0.00000000,0.73538574,0.10574281
-5.93996998,1.19132728,0.07089180,0.00000000,0.41966030,0.00000000,0.66741817,0.09584160
-5.93396698,1.07118184,0.06202227,0.00000000,0.37180108,0.00000000,0.60325668,0.08669186
-5.92796398,0.95979922,0.05395430,0.00000000,0.32803846,0.00000000,0.54325912,0.07834420
-5.92196098,0.85759875,0.04668115,0.00000000,0.28842078,0.00000000,0.48771085,0.07083907
-5.91595798,0.76486696,0.04018375,0.00000000,0.25294344,0.00000000,0.43682614,0.06420707
-5.90995498,0.68176371,0.03443275,0.00000000,0.22155396,0.00000000,0.39075079,0.05846928
-5.90395198,0.60833037,0.02939071,0.00000000,0.19415784,0.00000000,0.34956585,0.05363771
-5.89794897,0.54449956,0.02501410,0.00000000,0.17062481,0.00000000,0.31329212,0.04971569
-5.89194597,0.49010568,0.02125521,0.00000000,0.15079527,0.00000000,0.28189510,0.04669826
-5.88594297,0.44489579,0.01806386,0.00000000,0.13448646,0.00000000,0.25529019,0.04457253
-5.87993997,0.40854028,0.01538892,0.00000000,0.12149830,0.00000000,0.23334788,0.04331787
-5.87393697,0.38064290,0.01317956,0.00000000,0.11161853,0.00000000,0.21589885,0.04290609
-5.86793397,0.36074996,0.01138626,0.00000000,0.10462717,0.00000000,0.20273869,0.04330148
-5.86193097,0.34835850,0.00996160,0.00000000,0.10030010,0.00000000,0.19363228,0.04446089
-5.85592796,0.34292347,0.00886086,0.00000000,0.09841194,0.00000000,0.18831779,0.04633368
-5.84992496,0.34386399,0.00804238,0.00000000,0.09873805,0.00000000,0.18651029,0.04886180
-5.84392196,0.35056884,0.00746776,0.00000000,0.10105599,0.00000000,0.18790508,0.05197983
-5.83791896,0.36240165,0.00710199,0.00000000,0.10514643,0.00000000,0.19218082,0.05561532
-5.83191596,0.37870586,0.00691339,0.00000000,0.11079370,0.00000000,0.19900264,0.05968916
-5.82591296,0.39880993,0.00687357,0.00000000,0.11778617,0.00000000,0.20802532,0.06411624
-5.81990995,0.42203301,0.00695719,0.00000000,0.12591656,0.00000000,0.21889661,0.06880642
-5.81390695,0.44769134,0.00714190,0.00000000,0.13498237,0.00000000,0.23126095,0.07366567
-5.80790395,0.47510543,0.00740805,0.00000000,0.14478646,0.00000000,0.24476347,0.07859760
-5.80190095,0.50360821,0.00773857,0.00000000,0.15513789,0.00000000,0.25905442,0.08350516
-5.79589795,0.53255385,0.00811875,0.00000000,0.16585304,0.00000000,0.27379396,0.08829261
-5.78989495,0.56132725,0.00853607,0.00000000,0.17675695,0.00000000,0.28865718,0.09286761
-5.78389195,0.58935382,0.00898007,0.00000000,0.18768481,0.00000000,0.30333932,0.09714339
-5.77788894,0.61610919,0.00944211,0.00000000,0.19848366,0.00000000,0.31756089,0.10104095
