energy_ev,total_up,Bi_p_up,Bi_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,3.65352087,0.44086218,0.00620354,2.29194576,0.76211681,2.20482808,0.00000000
-5.99399700,3.58492659,0.42927087,0.00608546,2.26895083,0.74903519,2.16519682,0.00000000
-5.98799400,3.52018114,0.41741915,0.00596910,2.24905492,0.73695966,2.12864280,0.00000000
-5.98199100,3.45976986,0.40550504,0.00585649,2.23231886,0.72598656,2.09536517,0.00000000
-5.97598799,3.40404485,0.39372872,0.00574946,2.21870133,0.71617449,2.06546128,0.00000000
-5.96998499,3.35323586,0.38228788,0.00564961,2.20807199,0.70754723,2.03893797,0.00000000
-5.96398199,3.30746386,0.37137298,0.00555829,2.20022688,0.70009757,2.01572486,0.00000000
-5.95797899,3.26675598,0.36116275,0.00547656,2.19490514,0.69379174,1.99568883,0.00000000
-5.95197599,3.23106093,0.35182009,0.00540519,2.19180603,0.68857409,1.97864851,0.00000000
-5.94597299,3.20026353,0.34348825,0.00534465,2.19060534,0.68437176,1.96438819,0.00000000
-5.93996998,3.17419766,0.33628775,0.00529510,2.19097029,0.68109912,1.95267018,0.00000000
-5.93396698,3.15265675,0.33031369,0.00525642,2.19257212,0.67866164,1.94324507,0.00000000
-5.92796398,3.13540137,0.32563384,0.00522820,2.19509606,0.67695910,1.93585967,0.00000000
-5.92196098,3.12216364,0.32228729,0.00520978,2.19824812,0.67588808,1.93026217,0.00000000
-5.91595798,3.11264859,0.32028375,0.00520025,2.20175868,0.67534363,1.92620472,0.00000000
-5.90995498,3.10653268,0.31960347,0.00519851,2.20538313,0.67522014,1.92344349,0.00000000
-5.90395198,3.10346008,0.32019767,0.00520327,2.20889958,0.67541162,1.92173679,0.00000000
-5.89794897,3.10303751,0.32198967,0.00521309,2.21210458,0.67581136,1.92084150,0.00000000
-5.89194597,3.10482846,0.32487645,0.00522643,2.21480710,0.67631133,1.92050866,0.00000000
-5.88594297,3.10834788,0.32873079,0.00524169,2.21682181,0.67680133,1.92047881,0.00000000
-5.87993997,3.11305823,0.33340396,0.00525720,2.21796238,0.67716833,1.92047768,0.00000000
-5.87393697,3.11836790,0.33872885,0.00527133,2.21803561,0.67729591,1.92021305,0.00000000
-5.86793397,3.12363280,0.34452367,0.00528245,2.21683704,0.67706425,1.91937313,0.00000000
-5.86193097,3.12816168,0.35059616,0.00528901,2.21414879,0.67635059,1.91762711,0.00000000
-5.85592796,3.13122551,0.35674813,0.00528957,2.20973997,0.67503040,1.91462796,0.00000000
-5.84992496,3.13207116,0.36278045,0.00528282,2.20336990,0.67297919,1.91001764,0.00000000
-5.84392196,3.12993878,0.36849835,0.00526759,2.19479423,0.67007494,1.90343476,0.00000000
-5.83791896,3.12408279,0.37371679,0.00524294,2.18377364,0.66620117,1.89452425,0.00000000
-5.83191596,3.11379524,0.37826585,0.00520811,2.17008479,0.66125042,1.88294871,0.00000000
-5.82591296,3.09843077,0.38199602,0.00516260,2.15353284,0.65512793,1.86840086,0.00000000
-5.81990995,3.07743182,0.38478298,0.00510614,2.13396473,0.64775553,1.85061646,0.00000000
-5.81390695,3.05035272,0.38653188,0.00503872,2.11128251,0.63907523,1.82938687,0.00000000
-5.80790395,3.01688147,0.38718078,0.00496062,2.08545552,0.62905255,1.80457062,0.00000000
