energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,3.96387528,1.24745850,0.68071397,0.00131831,0.64027734,0.03737265,1.77121206,0.91514721,0.56268562
-5.99399700,3.78494867,1.18075050,0.64507138,0.00135188,0.62665744,0.03668729,1.67638593,0.89607464,0.54972167
-5.98799400,3.61287304,1.11261984,0.60871547,0.00139670,0.61623081,0.03621005,1.58273660,0.88146948,0.53920965
-5.98199100,3.45237931,1.04445467,0.57238584,0.00145500,0.61003510,0.03600193,1.49211901,0.87281386,0.53204418
-5.97598799,3.30808414,0.97761194,0.53680141,0.00152894,0.60909244,0.03612467,1.40633336,0.87156370,0.52910378
-5.96998499,3.18438379,0.91338876,0.50264342,0.00162056,0.61438297,0.03663952,1.32708777,0.87911122,0.53122755
-5.96398199,3.08535296,0.85299705,0.47054037,0.00173163,0.62681819,0.03760591,1.25596377,0.89674736,0.53919183
-5.95797899,3.01465069,0.79754177,0.44105521,0.00186361,0.64721474,0.03908005,1.19438557,0.92562486,0.55368731
-5.95197599,2.97543533,0.74800323,0.41467487,0.00201759,0.67626913,0.04111356,1.14359357,0.96672282,0.57529716
-5.94597299,2.97029005,0.70522346,0.39180246,0.00219415,0.71453410,0.04375201,1.10462242,1.02081371,0.60447665
-5.93996998,3.00116052,0.66989657,0.37275198,0.00239337,0.76239736,0.04703351,1.07828403,1.08843385,0.64153483
-5.93396698,3.06930608,0.64256305,0.35774554,0.00261474,0.82006327,0.05098735,1.06515545,1.16985836,0.68661893
-5.92796398,3.17526568,0.62360760,0.34691294,0.00285711,0.88753850,0.05563275,1.06557181,1.26508184,0.73970208
-5.92196098,3.31883974,0.61326022,0.34029348,0.00311871,0.96462229,0.06097774,1.07962419,1.37380580,0.80057498
-5.91595798,3.49908919,0.61160026,0.33783973,0.00339712,1.05090219,0.06701818,1.10716233,1.49543410,0.86884230
-5.90995498,3.71435242,0.61856304,0.33942304,0.00368931,1.14575593,0.07373713,1.14780229,1.62907726,0.94392420
-5.90395198,3.96228113,0.63394875,0.34484063,0.00399170,1.24836019,0.08110444,1.20093868,1.77356659,1.02506360
-5.89794897,4.23989519,0.65743343,0.35382397,0.00430021,1.35770640,0.08907670,1.26576164,1.92747852,1.11133948
-5.89194597,4.54365663,0.68858171,0.36604833,0.00461037,1.47262394,0.09759761,1.34127812,2.08916938,1.20168629
-5.88594297,4.86956173,0.72686118,0.38114322,0.00491744,1.59181042,0.10659871,1.42633748,2.25682024,1.29491947
-5.87993997,5.21325004,0.77165816,0.39870358,0.00521653,1.71386855,0.11600058,1.51966088,2.42849096,1.38976640
-5.87393697,5.57012768,0.82229469,0.41830146,0.00550277,1.83734870,0.12571447,1.61987415,2.60218201,1.48490231
-5.86793397,5.93550197,0.87804642,0.43949814,0.00577146,1.96079567,0.13564430,1.72554337,2.77590218,1.57898991
-5.86193097,6.30472315,0.93816122,0.46185622,0.00601821,2.08279822,0.14568900,1.83521250,2.94773962,1.67072146
-5.85592796,6.67332849,1.00187802,0.48495167,0.00623912,2.20203911,0.15574521,1.94744200,3.11593322,1.75886160
-5.84992496,7.03718324,1.06844545,0.50838546,0.00643091,2.31734367,0.16571006,2.06084728,3.27894138,1.84228932
-5.84392196,7.39261277,1.13713984,0.53179452,0.00659106,2.42772439,0.17548408,2.17413583,3.43550444,1.92003695
-5.83791896,7.73651975,1.20728184,0.55486170,0.00671791,2.53241935,0.18497415,2.28614154,3.58469784,1.99132455
-5.83191596,8.06648097,1.27825116,0.57732444,0.00681072,2.63092226,0.19409616,2.39585489,3.72597259,2.05558780
-5.82591296,8.38081847,1.34949881,0.59898198,0.00686974,2.72300233,0.20277742,2.50244770,3.85918062,2.11249789
-5.81990995,8.67864091,1.42055619,0.61970052,0.00689620,2.80871246,0.21095878,2.60529114,3.98458298,2.16197226
-5.81390695,8.95985205,1.49104058,0.63941652,0.00689230,2.88838487,0.21859602,2.70396622,4.10283951,2.20417536
-5.80790395,9.22512501,1.56065676,0.65813750,0.00686114,2.96261401,0.22566087,2.79826572,4.21497979,2.23950923
-5.80190095,9.47584210,1.62919445,0.67594059,0.00680660,3.03222681,0.23214118,2.88818758,4.32235593,2.26859393
-5.79589795,9.71400221,1.69652163,0.69296850,0.00673327,3.09824172,0.23804058,2.97391944,4.42657870,2.29223872
-5.78989495,9.94209912,1.76257404,0.70942311,0.00664627,3.16181774,0.24337736,3.05581502,4.52943963,2.31140512
-5.78389195,10.16297570,1.82734117,0.72555669,0.00655106,3.22419605,0.24818276,3.13436308,4.63282216,2.32716338
-5.77788894,10.37966028,1.89084960,0.74166097,0.00645328,3.28663650,0.25249876,3.21015022,4.73860597,2.34064450
-5.77188594,10.59519253,1.95314430,0.75805442,0.00635859,3.35035218,0.25637532,3.28381910,4.84856858,2.35298978
-5.76588294,10.81244665,2.01426903,0.77506801,0.00627240,3.41644487,0.25986746,3.35602396,4.96428895,2.36530032
-5.75987994,11.03396014,2.07424677,0.79302995,0.00619977,3.48584454,0.26303202,3.42738538,5.08705746,2.37858860
-5.75387694,11.26177581,2.13306134,0.81224989,0.00614519,3.55925564,0.26592457,3.49844640,5.21779644,2.39373440
