energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up
-6.00000000,2.99207236,0.00810605,0.07149651,0.49012550,0.69266329,0.59431653,0.00000000,0.16207252,1.06438198
-5.99399700,3.09195729,0.00828206,0.07382034,0.50758657,0.72305703,0.61004371,0.00000000,0.16445016,1.09690655
-5.98799400,3.18196492,0.00843386,0.07585600,0.52398627,0.75231674,0.62329806,0.00000000,0.16577653,1.12563244
-5.98199100,3.26212374,0.00855482,0.07759190,0.53936807,0.78047519,0.63409489,0.00000000,0.16603495,1.15060026
-5.97598799,3.33278352,0.00864041,0.07902601,0.55382967,0.80762409,0.64252030,0.00000000,0.16523232,1.17196740
-5.96998499,3.39458528,0.00868809,0.08016556,0.56751574,0.83390446,0.64872568,0.00000000,0.16339880,1.18999707
-5.96398199,3.44841703,0.00869727,0.08102640,0.58060821,0.85949385,0.65291941,0.00000000,0.16058663,1.20504212
-5.95797899,3.49535709,0.00866921,0.08163198,0.59331458,0.88459095,0.65535590,0.00000000,0.15686823,1.21752450
-5.95197599,3.53660764,0.00860694,0.08201206,0.60585460,0.90939848,0.65632276,0.00000000,0.15233363,1.22791124
-5.94597299,3.57342210,0.00851517,0.08220109,0.61844608,0.93410504,0.65612645,0.00000000,0.14708734,1.23668819
-5.93996998,3.60703021,0.00840017,0.08223654,0.63129046,0.95886723,0.65507741,0.00000000,0.14124487,1.24433301
-5.93396698,3.63856516,0.00826968,0.08215702,0.64455896,0.98379309,0.65347522,0.00000000,0.13492898,1.25128880
-5.92796398,3.66899720,0.00813288,0.08200054,0.65838018,1.00892801,0.65159484,0.00000000,0.12826586,1.25794002
-5.92196098,3.69907776,0.00800032,0.08180277,0.67282976,1.03424411,0.64967454,0.00000000,0.12138149,1.26459201
-5.91595798,3.72929773,0.00788392,0.08159563,0.68792288,1.05963420,0.64790616,0.00000000,0.11439818,1.27145556
-5.90995498,3.75986283,0.00779703,0.08140603,0.70361017,1.08491073,0.64642850,0.00000000,0.10743152,1.27863727
-5.90395198,3.79068784,0.00775449,0.08125510,0.71977727,1.10981030,0.64532386,0.00000000,0.10058789,1.28613655
-5.89794897,3.82141053,0.00777279,0.08115769,0.73624833,1.13400381,0.64461827,0.00000000,0.09396250,1.29384948
-5.89194597,3.85142490,0.00787024,0.08112235,0.75279335,1.15711188,0.64428518,0.00000000,0.08763801,1.30157940
-5.88594297,3.87993202,0.00806720,0.08115168,0.76913908,1.17872488,0.64425241,0.00000000,0.08168392,1.30905367
-5.87993997,3.90600576,0.00838632,0.08124308,0.78498297,1.19842688,0.64441205,0.00000000,0.07615637,1.31594570
-5.87393697,3.92866970,0.00885281,0.08138972,0.80000959,1.21582188,0.64463261,0.00000000,0.07109863,1.32190098
-5.86793397,3.94698074,0.00949467,0.08158185,0.81390851,1.23056135,0.64477271,0.00000000,0.06654196,1.32656565
-5.86193097,3.96011428,0.01034292,0.08180816,0.82639277,1.24237113,0.64469552,0.00000000,0.06250690,1.32961590
-5.85592796,3.96744608,0.01143174,0.08205726,0.83721700,1.25107632,0.64428306,0.00000000,0.05900476,1.33078640
-5.84992496,3.96862536,0.01279850,0.08231902,0.84619398,1.25662254,0.64344942,0.00000000,0.05603927,1.32989615
-5.84392196,3.96363483,0.01448373,0.08258581,0.85320886,1.25909217,0.64215219,0.00000000,0.05360828,1.32687018
-5.83791896,3.95283347,0.01653085,0.08285350,0.85823009,1.25871438,0.64040129,0.00000000,0.05170536,1.32175563
