energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,5.29418899,0.44917702,0.01373868,0.15808765,3.16703726,2.08688957,2.08039834
-5.99399700,5.24422833,0.43012120,0.01327904,0.15715842,3.16662366,2.05634886,2.08040033
-5.98799400,5.18471784,0.41086939,0.01278811,0.15542155,3.16150978,2.02735121,2.07614301
-5.98199100,5.11796886,0.39142007,0.01227230,0.15290746,3.15337643,2.00097036,2.06863344
-5.97598799,5.04668612,0.37180922,0.01173871,0.14966202,3.14412318,1.97836875,2.05904703
-5.96998499,4.97387126,0.35210667,0.01119498,0.14574514,3.13580139,1.96075986,2.04868357
-5.96398199,4.90271359,0.33241119,0.01064903,0.14122893,3.13053953,1.94936609,2.03891770
-5.95797899,4.83647262,0.31284477,0.01010886,0.13619566,3.13046385,1.94537396,2.03114599
-5.95197599,4.77835753,0.29354640,0.00958237,0.13073549,3.13761759,1.94988830,2.02673291
-5.94597299,4.73140852,0.27466574,0.00907711,0.12494418,3.15388202,1.96388751,2.02695775
-5.93996998,4.69838510,0.25635713,0.00860014,0.11892076,3.18090244,1.98818146,2.03296491
-5.93396698,4.68166579,0.23877404,0.00815784,0.11276527,3.22002231,2.02337399,2.04571947
-5.92796398,4.68316315,0.22206436,0.00775579,0.10657668,3.27222802,2.06983127,2.06597002
-5.92196098,4.70425746,0.20636664,0.00739868,0.10045099,3.33810662,2.12765764,2.09421992
-5.91595798,4.74575132,0.19180728,0.00709024,0.09447957,3.41781825,2.19667974,2.13070845
-5.90995498,4.80784676,0.17849883,0.00683322,0.08874769,3.51108427,2.27643973,2.17540222
-5.90395198,4.89014527,0.16653933,0.00662936,0.08333339,3.61719160,2.36619822,2.22799726
-5.89794897,4.99167040,0.15601251,0.00647952,0.07830656,3.73501311,2.46494674,2.28793142
-5.89194597,5.11091152,0.14698879,0.00638363,0.07372822,3.86304333,2.57142969,2.35440660
-5.88594297,5.24588668,0.13952693,0.00634090,0.06965007,3.99944784,2.68417519,2.42641963
-5.87993997,5.39422169,0.13367603,0.00634985,0.06611421,4.14212473,2.80153375,2.50280055
-5.87393697,5.55324183,0.12947779,0.00640846,0.06315297,4.28877540,2.92172379,2.58225653
-5.86793397,5.72007242,0.12696872,0.00651434,0.06078888,4.43698220,3.04288222,2.66341969
-5.86193097,5.89174390,0.12618213,0.00666481,0.05903479,4.58428963,3.16311856,2.74489663
-5.85592796,6.06529708,0.12714978,0.00685703,0.05789399,4.72828600,3.28057053,2.82531786
-5.84992496,6.23788424,0.12990289,0.00708818,0.05736043,4.86668235,3.39345908,2.90338483
-5.84392196,6.40686184,0.13447252,0.00735545,0.05741898,4.99738539,3.50014074,2.97791287
-5.83791896,6.56987138,0.14088915,0.00765619,0.05804576,5.11856166,3.59915528,3.04786811
-5.83191596,6.72490482,0.14918144,0.00798793,0.05920846,5.22869026,3.68926665,3.11239705
-5.82591296,6.87035247,0.15937419,0.00834839,0.06086686,5.32660229,3.76949568,3.17084759
-5.81990995,7.00503139,0.17148549,0.00873544,0.06297327,5.41150536,3.83914294,3.22278083
-5.81390695,7.12819370,0.18552324,0.00914709,0.06547320,5.48299240,3.89780107,3.26797312
-5.80790395,7.23951501,0.20148114,0.00958142,0.06830611,5.54103480,3.94535589,3.30640885
-5.80190095,7.33906403,0.21933433,0.01003644,0.07140626,5.58596048,3.98197648,3.33826420
-5.79589795,7.42725566,0.23903494,0.01051004,0.07470376,5.61841822,4.00809472,3.36388303
-5.78989495,7.50479031,0.26050781,0.01099986,0.07812571,5.63933036,4.02437546,3.38374631
-5.78389195,7.57258321,0.28364659,0.01150316,0.08159759,5.64983643,4.03167879,3.39843674
-5.77788894,7.63168776,0.30831059,0.01201673,0.08504461,5.65123078,4.03101658,3.40860045
-5.77188594,7.68321728,0.33432257,0.01253684,0.08839331,5.64489742,4.02350532,3.41490790
-5.76588294,7.72826968,0.36146771,0.01305917,0.09157317,5.63224550,4.01031787,3.41801610
-5.75987994,7.76785912,0.38949406,0.01357877,0.09451821,5.61464874,3.99263646,3.41853396
-5.75387694,7.80285848,0.41811448,0.01409017,0.09716857,5.59339171,3.97160937,3.41699268
-5.74787394,7.83395557,0.44701019,0.01458737,0.09947206,5.56962557,3.94831317,3.41382267
-5.74187094,7.86162537,0.47583598,0.01506401,0.10138544,5.54433517,3.92372249,3.40933795
-5.73586793,7.88611941,0.50422690,0.01551354,0.10287562,5.51831881,3.89868814,3.40372877
-5.72986493,7.90747248,0.53180631,0.01592937,0.10392054,5.49218098,3.87392462,3.39706266
-5.72386193,7.92552584,0.55819504,0.01630518,0.10450975,5.46633805,3.85000670,3.38929350
-5.71785893,7.93996489,0.58302130,0.01663513,0.10464471,5.44103563,3.82737494,3.38027798
-5.71185593,7.95036896,0.60593095,0.01691413,0.10433874,5.41637612,3.80634883,3.36979827
-5.70585293,7.95626956,0.62659782,0.01713808,0.10361659,5.39235411,3.78714628,3.35758946
-5.69984992,7.95721355,0.64473350,0.01730417,0.10251373,5.36889718,3.76990774,3.34337013
-5.69384692,7.95282716,0.66009625,0.01741104,0.10107534,5.34590923,3.75472278,3.32687424
-5.68784392,7.94287705,0.67249865,0.01745898,0.09935500,5.32331356,3.74165736,3.30788260
-5.68184092,7.92732469,0.68181366,0.01745001,0.09741315,5.30109301,3.73077976,3.28625212
-5.67583792,7.90637087,0.68797875,0.01738798,0.09531546,5.27932467,3.72218339,3.26194135
-5.66983492,7.88048783,0.69099799,0.01727852,0.09313098,5.25820733,3.71600512,3.23503098
-5.66383192,7.85043709,0.69094198,0.01712897,0.09093030,5.23807993,3.71243809,3.20573829
-5.65782891,7.81727199,0.68794570,0.01694826,0.08878368,5.21943011,3.71173819,3.17442484
-5.65182591,7.78232460,0.68220427,0.01674661,0.08675923,5.20289255,3.71422419,3.14159708
-5.64582291,7.74717745,0.67396695,0.01653536,0.08492116,5.18923693,3.72027141,3.10789970
-5.63981991,7.71362133,0.66352951,0.01632654,0.08332816,5.17934642,3.73029972,3.07410223
-5.63381691,7.68360078,0.65122542,0.01613260,0.08203194,5.17418748,3.74475640,3.04107915
-5.62781391,7.65914945,0.63741617,0.01596596,0.08107596,5.17477253,3.76409510,3.00978451
-5.62181091,7.64231805,0.62248106,0.01583863,0.08049431,5.18211705,3.78875183,2.98122179
-5.61580790,7.63509736,0.60680685,0.01576181,0.08031091,5.19719295,3.81911939,2.95641036
-5.60980490,7.63933950,0.59077773,0.01574554,0.08053885,5.22088022,3.85552127,2.93634944
-5.60380190,7.65668012,0.57476572,0.01579832,0.08118002,5.25391876,3.89818629,2.92198113
-5.59779890,7.68846463,0.55912199,0.01592684,0.08222501,5.29686241,3.94722501,2.91415349
-5.59179590,7.73568101,0.54416917,0.01613571,0.08365331,5.35003700,4.00260883,2.91358536
-5.58579290,7.79890188,0.53019493,0.01642731,0.08543368,5.41350420,4.06415262,2.92083385
-5.57978989,7.87823828,0.51744685,0.01680168,0.08752498,5.48703281,4.13150169,2.93626595
-5.57378689,7.97330695,0.50612869,0.01725647,0.08987712,5.57007882,4.20412343,2.96003532
-5.56778389,8.08321311,0.49639811,0.01778702,0.09243240,5.66177538,4.28130440,2.99206536
-5.56178089,8.20654981,0.48836576,0.01838647,0.09512705,5.76093369,4.36215293,3.03203930
-5.55577789,8.34141476,0.48209566,0.01904597,0.09789306,5.86605519,4.44560769,3.07939817
-5.54977489,8.48544488,0.47760691,0.01975494,0.10066013,5.97535530,4.53045208,3.13334690
-5.54377189,8.63586811,0.47487638,0.02050139,0.10335786,6.08679856,4.61533451,3.19286882
-5.53776888,8.78957156,0.47384250,0.02127228,0.10591794,6.19814437,4.69879425,3.25674836
-5.53176588,8.94318423,0.47440976,0.02205395,0.10827642,6.30700227,4.77929231,3.32360142
-5.52576288,9.09317173,0.47645392,0.02283249,0.11037591,6.41089529,4.85524674,3.39191272
-5.51975988,9.23594021,0.47982759,0.02359418,0.11216758,6.50732914,4.92507128,3.46007879
-5.51375688,9.36794556,0.48436612,0.02432587,0.11361301,6.59386508,4.98721633,3.52645517
-5.50775388,9.48580399,0.48989347,0.02501536,0.11468566,6.66819371,5.04021075,3.58940625
-5.50175088,9.58639962,0.49622799,0.02565170,0.11537204,6.72820674,5.08270303,3.64735557
-5.49574787,9.66698447,0.50318781,0.02622548,0.11567237,6.77206398,5.11350028,3.69883484
-5.48974487,9.72526689,0.51059575,0.02672897,0.11560076,6.79825253,5.13160333,3.74252944
-5.48374187,9.75948422,0.51828361,0.02715630,0.11518492,6.80563570,5.13623650,3.77731864
-5.47773887,9.76845660,0.52609566,0.02750346,0.11446531,6.79348926,5.12687076,3.80230873
-5.47173587,9.75161932,0.53389139,0.02776830,0.11349381,6.76152347,5.10323901,3.81685771
-5.46573287,9.70903231,0.54154740,0.02795041,0.11233189,6.70988965,5.06534309,3.82059047
-5.45972986,9.64136627,0.54895854,0.02805098,0.11104839,6.63917100,5.01345185,3.81340395
-5.45372686,9.54986613,0.55603829,0.02807257,0.10971697,6.55035785,4.94809077,3.79546207
-5.44772386,9.43629375,0.56271857,0.02801889,0.10841333,6.44480870,4.87002333,3.76718099
-5.44172086,9.30285265,0.56894915,0.02789451,0.10721225,6.32419855,4.78022545,3.72920538
