energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,3.27937382,0.69958795,1.51056720,0.00649320,0.18550667,0.53235459,1.16333382,0.38825787,0.00000000
-5.99399700,3.16469461,0.65692042,1.41360224,0.00683806,0.18715757,0.51283583,1.16250217,0.38024825,0.00000000
-5.98799400,3.06130372,0.61669395,1.32323012,0.00724795,0.18882568,0.49600413,1.16490292,0.37323906,0.00000000
-5.98199100,2.97016853,0.57930063,1.24020580,0.00772166,0.19049921,0.48206307,1.17058054,0.36728507,0.00000000
-5.97598799,2.89188112,0.54504606,1.16506639,0.00825614,0.19216441,0.47115917,1.17947026,0.36240331,0.00000000
-5.96998499,2.82667086,0.51414962,1.09813499,0.00884644,0.19380590,0.46337957,1.19140704,0.35857535,0.00000000
-5.96398199,2.77442848,0.48674763,1.03953118,0.00948566,0.19540706,0.45875143,1.20613765,0.35575106,0.00000000
-5.95797899,2.73473955,0.46289884,0.98918706,0.01016510,0.19695038,0.45724298,1.22333544,0.35385340,0.00000000
-5.95197599,2.70692550,0.44259200,0.94686772,0.01087431,0.19841792,0.45876622,1.24261685,0.35278415,0.00000000
-5.94597299,2.69009006,0.42575496,0.91219489,0.01160137,0.19979169,0.46318100,1.26355907,0.35243040,0.00000000
-5.93996998,2.68316912,0.41226498,0.88467269,0.01233311,0.20105418,0.47030052,1.28571814,0.35267122,0.00000000
-5.93396698,2.68498196,0.40195974,0.86371438,0.01305548,0.20218892,0.47989794,1.30864689,0.35338466,0.00000000
-5.92796398,2.69428228,0.39464863,0.84866898,0.01375395,0.20318100,0.49171413,1.33191205,0.35445440,0.00000000
-5.92196098,2.70980729,0.39012414,0.83884694,0.01441388,0.20401787,0.50546627,1.35511007,0.35577619,0.00000000
-5.91595798,2.73032350,0.38817278,0.83354422,0.01502102,0.20469004,0.52085717,1.37788132,0.35726354,0.00000000
-5.90995498,2.75466829,0.38858546,0.83206402,0.01556194,0.20519194,0.53758507,1.39992211,0.35885268,0.00000000
-5.90395198,2.78178596,0.39116691,0.83373587,0.01602446,0.20552287,0.55535362,1.42099447,0.36050649,0.00000000
-5.89794897,2.81075780,0.39574401,0.83793163,0.01639810,0.20568784,0.57388184,1.44093336,0.36221730,0.00000000
-5.89194597,2.84082541,0.40217266,0.84407835,0.01667435,0.20569849,0.59291361,1.45965109,0.36400843,0.00000000
-5.88594297,2.87140674,0.41034321,0.85166776,0.01684707,0.20557384,0.61222630,1.47713901,0.36593443,0.00000000
-5.87993997,2.90210471,0.42018396,0.86026253,0.01691259,0.20534090,0.63163825,1.49346617,0.36807982,0.00000000
-5.87393697,2.93270795,0.43166285,0.86949923,0.01686993,0.20503500,0.65101455,1.50877515,0.37055654,0.00000000
-5.86793397,2.96318382,0.44478701,0.87908824,0.01672074,0.20469977,0.67027085,1.52327488,0.37349987,0.00000000
-5.86193097,2.99366376,0.45960019,0.88881081,0.01646930,0.20438684,0.68937472,1.53723072,0.37706319,0.00000000
-5.85592796,3.02442126,0.47617792,0.89851338,0.01612228,0.20415498,0.70834451,1.55095177,0.38141136,0.00000000
-5.84992496,3.05584308,0.49462066,0.90809971,0.01568855,0.20406885,0.72724533,1.56477594,0.38671318,0.00000000
-5.84392196,3.08839467,0.51504478,0.91752102,0.01517883,0.20419730,0.74618231,1.57905287,0.39313308,0.00000000
-5.83791896,3.12258069,0.53757190,0.92676465,0.01460527,0.20461118,0.76529122,1.59412536,0.40082214,0.00000000
-5.83191596,3.15890227,0.56231673,0.93584168,0.01398108,0.20538090,0.78472668,1.61030983,0.40990904,0.00000000
-5.82591296,3.19781255,0.58937390,0.94477408,0.01332002,0.20657355,0.80464858,1.62787663,0.42049112,0.00000000
-5.81990995,3.23967248,0.61880441,0.95358195,0.01263596,0.20825005,0.82520720,1.64703083,0.43262602,0.00000000
-5.81390695,3.28470891,0.65062215,0.96227144,0.01194246,0.21046214,0.84652775,1.66789455,0.44632421,0.00000000
-5.80790395,3.33297705,0.68478136,0.97082385,0.01125230,0.21324954,0.86869528,1.69049161,0.46154294,0.00000000
-5.80190095,3.38432942,0.72116555,0.97918660,0.01057720,0.21663744,0.89174072,1.71473539,0.47818189,0.00000000
-5.79589795,3.43839313,0.75957864,0.98726643,0.00992744,0.22063429,0.91562896,1.74042081,0.49608085,0.00000000
-5.78989495,3.49455722,0.79973899,0.99492530,0.00931166,0.22523025,0.94024970,1.76722095,0.51501965,0.00000000
-5.78389195,3.55197105,0.84127671,1.00197922,0.00873672,0.23039625,0.96541191,1.79468892,0.53472060,0.00000000
-5.77788894,3.60955468,0.88373485,1.00820025,0.00820757,0.23608379,0.99084216,1.82226520,0.55485336,0.00000000
-5.77188594,3.66602113,0.92657448,1.01332149,0.00772731,0.24222546,1.01618740,1.84929046,0.57504226,0.00000000
-5.76588294,3.71991017,0.96918385,1.01704511,0.00729720,0.24873627,1.04102201,1.87502347,0.59487585,0.00000000
-5.75987994,3.76963236,1.01089137,1.01905282,0.00691682,0.25551567,1.06485917,1.89866374,0.61391841,0.00000000
-5.75387694,3.81352165,1.05098211,1.01901850,0.00658425,0.26245019,1.08716593,1.91937782,0.63172292,0.00000000
-5.74787394,3.84989428,1.08871717,1.01662226,0.00629630,0.26941661,1.10738142,1.93632823,0.64784510,0.00000000
-5.74187094,3.87711128,1.12335520,1.01156525,0.00604875,0.27628547,1.12493739,1.94870391,0.66185787,0.00000000
-5.73586793,3.89364162,1.15417515,1.00358442,0.00583667,0.28292485,1.13927999,1.95575056,0.67336562,0.00000000
