energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.37212421,0.01158075,0.94714183,0.07615406,0.20951058,0.98680693,0.59180173
-5.99399700,2.60438262,0.01253162,1.04097627,0.08265615,0.23004693,1.08922132,0.64858287
-5.98799400,2.85134061,0.01350303,1.14058555,0.08960084,0.25193443,1.19750466,0.70874256
-5.98199100,3.11085684,0.01448084,1.24509521,0.09691744,0.27500115,1.31070812,0.77175221
-5.97598799,3.38041520,0.01545026,1.35348312,0.10452462,0.29903932,1.42773111,0.83699219
-5.96998499,3.65713420,0.01639609,1.46458358,0.11233097,0.32380590,1.54732523,0.90375531
-5.96398199,3.93779068,0.01730297,1.57709707,0.12023597,0.34902451,1.66810368,0.97125386
-5.95797899,4.21885869,0.01815569,1.68960590,0.12813155,0.37438875,1.78855650,1.03863027
-5.95197599,4.49656366,0.01893958,1.80059595,0.13590396,0.39956706,1.90707197,1.10497148
-5.94597299,4.76695149,0.01964078,1.90848417,0.14343613,0.42420888,2.02196381,1.16932681
-5.93996998,5.02597104,0.02024663,2.01165138,0.15061042,0.44795223,2.13150392,1.23072881
-5.93396698,5.26956784,0.02074602,2.10847946,0.15731158,0.47043223,2.23395986,1.28821667
-5.92796398,5.49378631,0.02112966,2.19739187,0.16342986,0.49129058,2.32763593,1.34086133
-5.92196098,5.69487674,0.02139038,2.27689605,0.16886421,0.51018542,2.41091667,1.38779148
-5.91595798,5.86940299,0.02152333,2.34562602,0.17352535,0.52680136,2.48231108,1.42821929
-5.90995498,6.01434657,0.02152618,2.40238361,0.17733859,0.54085920,2.54049587,1.46146499
-5.90395198,6.12720249,0.02139917,2.44617641,0.18024630,0.55212494,2.58435605,1.48697905
-5.89794897,6.20606255,0.02114516,2.47625069,0.18220988,0.56041761,2.61302088,1.50436106
-5.89194597,6.24968196,0.02076955,2.49211785,0.18321109,0.56561566,2.62589371,1.51337431
-5.88594297,6.25752601,0.02028015,2.49357285,0.18325276,0.56766143,2.62267417,1.51395534
-5.87993997,6.22979413,0.01968699,2.48070383,0.18235871,0.56656359,2.60337149,1.50621787
-5.87393697,6.16741973,0.01900201,2.45389205,0.18057292,0.56239736,2.56830830,1.49045096
-5.86793397,6.07204556,0.01823881,2.41380226,0.17795805,0.55530240,2.51811455,1.46711115
-5.86193097,5.94597510,0.01741220,2.36136353,0.17459316,0.54547849,2.45371149,1.43680910
-5.85592796,5.79210204,0.01653789,2.29774136,0.17057095,0.53317915,2.37628656,1.40029104
-5.84992496,5.61382070,0.01563203,2.22430239,0.16599449,0.51870354,2.28725987,1.35841597
-5.84392196,5.41492132,0.01471088,2.14257296,0.16097369,0.50238683,2.18824395,1.31212959
-5.83791896,5.19947483,0.01379035,2.05419351,0.15562153,0.48458962,2.08099827,1.26243594
-5.83191596,4.97171190,0.01288576,1.96087075,0.15005036,0.46568689,1.96738040,1.21036824
-5.82591296,4.73590172,0.01201143,1.86432951,0.14436841,0.44605675,1.84929593,1.15695992
-5.81990995,4.49623530,0.01118054,1.76626645,0.13867650,0.42606973,1.72864904,1.10321716
-5.81390695,4.25671800,0.01040483,1.66830724,0.13306539,0.40607892,1.60729557,1.05009407
-5.80790395,4.02107522,0.00969454,1.57196891,0.12761353,0.38641121,1.48700025,0.99847118
-5.80190095,3.79267436,0.00905831,1.47862848,0.12238555,0.36736024,1.36939960,0.94913817
-5.79589795,3.57446524,0.00850313,1.38949887,0.11743142,0.34918092,1.25597119,0.90278111
-5.78989495,3.36893983,0.00803438,1.30561224,0.11278625,0.33208582,1.14801034,0.85997437
