energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,4.52127344,-4.71833801,0.66341751,-0.69870258,3.11681862,-3.20520443,0.50952054,-0.53062551,0.39989114,-0.43734236,0.00714813,-0.00678659,0.32109922,-0.33228013,0.01323774,-0.01157634,0.47877269,-0.54140928
-5.99399700,4.41306128,-4.57650279,0.65269507,-0.68528496,3.02970192,-3.10195882,0.50732998,-0.51889670,0.39495707,-0.42666223,0.00708415,-0.00676132,0.32198396,-0.32740558,0.01351820,-0.01173525,0.46092840,-0.51865246
-5.98799400,4.31545564,-4.43854916,0.64289706,-0.67179083,2.94713380,-3.00058840,0.50808845,-0.50847136,0.39202753,-0.41646142,0.00699749,-0.00671067,0.32501497,-0.32314690,0.01384263,-0.01192313,0.44436653,-0.49673251
-5.98199100,4.23030598,-4.30708212,0.63427849,-0.65852874,2.87042295,-2.90275352,0.51200026,-0.49974306,0.39127407,-0.40705366,0.00689065,-0.00663628,0.33035707,-0.31979999,0.01421671,-0.01214651,0.42918999,-0.47586246
-5.97598799,4.15911262,-4.18453923,0.62707386,-0.64581869,2.80066996,-2.80998478,0.51920566,-0.49308981,0.39281711,-0.39873837,0.00676649,-0.00654033,0.33812207,-0.31765196,0.01464569,-0.01241220,0.41547588,-0.45622933
-5.96998499,4.10298486,-4.07313587,0.62148912,-0.63398410,2.73874094,-2.72364973,0.52977330,-0.48886422,0.39672109,-0.39179308,0.00662804,-0.00642543,0.34836280,-0.31697266,0.01513421,-0.01272710,0.40327564,-0.43799349
-5.96398199,4.06260994,-3.97481503,0.61769393,-0.62334272,2.68524919,-2.64492464,0.54369396,-0.48738322,0.40299086,-0.38646604,0.00647841,-0.00629456,0.36106825,-0.31800610,0.01568616,-0.01309796,0.39261515,-0.42128810
-5.95797899,4.03823384,-3.89120280,0.61581460,-0.61419688,2.64054537,-2.57477180,0.56087582,-0.48891764,0.41156944,-0.38296928,0.00632070,-0.00615097,0.37616044,-0.32096209,0.01630457,-0.01353120,0.38349488,-0.40621859
-5.95197599,4.02965520,-3.82357049,0.61592815,-0.60682325,2.60471645,-2.51392268,0.58114181,-0.49368207,0.42233725,-0.38147221,0.00615784,-0.00599803,0.39349301,-0.32600840,0.01699153,-0.01403265,0.37589007,-0.39286205
-5.94597299,4.03623286,-3.77280466,0.61805783,-0.60146276,2.57759331,-2.46286743,0.60422932,-0.50182522,0.43511320,-0.38209602,0.00599256,-0.00583914,0.41285196,-0.33326370,0.01774818,-0.01460742,0.36975125,-0.38126666
-5.93996998,4.05690734,-3.73938587,0.62217041,-0.59831092,2.55876683,-2.42185044,0.62979257,-0.51342155,0.44965760,-0.38490918,0.00582723,-0.00567760,0.43395853,-0.34279154,0.01857475,-0.01525969,0.36500502,-0.37145115
-5.93396698,4.09023602,-3.72337710,0.62817553,-0.59750925,2.54761150,-2.39087243,0.65740791,-0.52846428,0.46567703,-0.38992404,0.00566385,-0.00551648,0.45647435,-0.35459574,0.01947064,-0.01599264,0.36155537,-0.36340451
-5.92796398,4.13444131,-3.72442266,0.63592728,-0.59913809,2.54331595,-2.36969846,0.68658202,-0.54686045,0.48283116,-0.39709498,0.00550396,-0.00535854,0.48000889,-0.36861728,0.02043455,-0.01680830,0.35928569,-0.35708594
-5.92196098,4.18747036,-3.74175794,0.64522800,-0.60321136,2.54491905,-2.35787208,0.71676300,-0.56842833,0.50074149,-0.40631804,0.00534862,-0.00520611,0.50412902,-0.38473305,0.02146460,-0.01770762,0.35806138,-0.35242531
-5.91595798,4.24706461,-3.77423042,0.65583438,-0.60967357,2.55135017,-2.35473487,0.74735419,-0.59289756,0.51900176,-0.41743230,0.00519842,-0.00506104,0.52837049,-0.40275658,0.02255854,-0.01869037,0.35773328,-0.34932425
-5.90995498,4.31083668,-3.82033175,0.66746546,-0.61839939,2.56147215,-2.35945105,0.77773015,-0.61991224,0.53718973,-0.43022303,0.00505349,-0.00492464,0.55225094,-0.42244082,0.02371383,-0.01975526,0.35814180,-0.34765803
-5.90395198,4.37635196,-3.87824056,0.67981238,-0.62919586,2.57412513,-2.37103657,0.80725443,-0.64903698,0.55488011,-0.44442666,0.00491355,-0.00479765,0.57528410,-0.44348300,0.02492783,-0.02089999,0.35912168,-0.34727818
-5.89794897,4.44121156,-3.94587490,0.69254941,-0.64180731,2.58816964,-2.38839162,0.83529837,-0.67976608,0.57165802,-0.45973749,0.00477795,-0.00468027,0.59699456,-0.46553152,0.02619787,-0.02212138,0.36050729,-0.34801616
-5.89194597,4.50313344,-4.02095310,0.70534573,-0.65592290,2.60252710,-2.41033587,0.86126023,-0.71153548,0.58713256,-0.47581597,0.00464575,-0.00457214,0.61693261,-0.48819480,0.02752129,-0.02341541,0.36213813,-0.34968770
-5.88594297,4.56002829,-4.10106129,0.71787740,-0.67118643,2.61621615,-2.43564525,0.88458368,-0.74373724,0.60094994,-0.49229847,0.00451583,-0.00447243,0.63468844,-0.51105168,0.02889542,-0.02477739,0.36386451,-0.35209808
-5.87993997,4.61006693,-4.18372527,0.72983894,-0.68720812,2.62838337,-2.46308902,0.90477505,-0.77573599,0.61280555,-0.50880814,0.00438694,-0.00437990,0.64990520,-0.53366321,0.03031751,-0.02620201,0.36555289,-0.35504797
-5.87393697,4.65173628,-4.26648435,0.74095396,-0.70357779,2.63832709,-2.49146601,0.92141829,-0.80688693,0.62245443,-0.52496647,0.00425783,-0.00429297,0.66229024,-0.55558537,0.03178455,-0.02768341,0.36709082,-0.35833967
-5.86793397,4.68388146,-4.34696440,0.75098425,-0.71987894,2.64551350,-2.51963868,0.93418714,-0.83655444,0.62971980,-0.54040533,0.00412730,-0.00420983,0.67162411,-0.57638223,0.03329309,-0.02921521,0.36839103,-0.36178356
-5.86193097,4.70573241,-4.42294733,0.75973694,-0.73570303,2.64958446,-2.54656383,0.94285384,-0.86413071,0.63449888,-0.55477880,0.00399430,-0.00412855,0.67776681,-0.59563906,0.03483896,-0.03079046,0.36939458,-0.36520439
-5.85592796,4.71691368,-4.49243429,0.76706940,-0.75066328,2.65035693,-2.57131872,0.94729400,-0.88905361,0.63676618,-0.56777453,0.00385802,-0.00404717,0.68066108,-0.61297498,0.03641702,-0.03240168,0.37007268,-0.36844715
-5.84992496,4.71743760,-4.55369997,0.77289164,-0.76440755,2.64781440,-2.59312191,0.94748754,-0.91082290,0.63657360,-0.57912392,0.00371789,-0.00396380,0.68033265,-0.62805441,0.03802084,-0.03404068,0.37042729,-0.37138223
-5.84392196,4.70768114,-4.60533591,0.77716614,-0.77662941,2.64209086,-2.61134781,0.94351560,-0.92901424,0.63404768,-0.58861096,0.00357366,-0.00387673,0.67688727,-0.64059707,0.03964248,-0.03569855,0.37049020,-0.37390961
-5.83791896,4.68834832,-4.64628115,0.77990529,-0.78707725,2.63344862,-2.62553469,0.93555376,-0.94329035,0.62938391,-0.59607911,0.00342541,-0.00378451,0.67050497,-0.65038601,0.04127222,-0.03736548,0.37032075,-0.37596173
-5.83191596,4.66042014,-4.67583908,0.78116659,-0.79556079,2.62225123,-2.63538603,0.92386193,-0.95340882,0.62283845,-0.60143598,0.00327355,-0.00368600,0.66143161,-0.65727331,0.04289849,-0.03903072,0.37000226,-0.37750511
-5.82591296,4.62509514,-4.69368008,0.78104599,-0.80195494,2.60893322,-2.64076534,0.90877171,-0.95922641,0.61471758,-0.60465564,0.00311878,-0.00358042,0.64996845,-0.66118331,0.04450776,-0.04068247,0.36963726,-0.37854039
-5.81990995,4.58372376,-4.69983029,0.77966985,-0.80620083,2.59396838,-2.64168500,0.89067164,-0.96069966,0.60536550,-0.60577836,0.00296213,-0.00346741,0.63645995,-0.66211319,0.04608464,-0.04230789,0.36934191,-0.37910090
-5.81390695,4.53774011,-4.69464742,0.77718597,-0.80830410,2.57783840,-2.63829000,0.86999150,-0.95788194,0.59515083,-0.60490790,0.00280483,-0.00334700,0.62128078,-0.66013096,0.04761210,-0.04389308,0.36923969,-0.37924983
-5.80790395,4.48859466,-4.67878521,0.77375436,-0.80833060,2.56100358,-2.63083759,0.84718629,-0.95091717,0.58445277,-0.60220627,0.00264834,-0.00321963,0.60482241,-0.65537101,0.04907173,-0.04542324,0.36945489,-0.37907603
