energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,7.33219215,2.24205446,3.22553157,0.05251270,0.14626476,0.06117792,2.57677494,1.46657241,0.29359337
-5.99399700,7.06648671,2.14971815,3.13365734,0.05019582,0.13776439,0.05899175,2.47377134,1.40053913,0.28132237
-5.98799400,6.80700529,2.05397831,3.04987084,0.04784502,0.12898999,0.05681275,2.37088580,1.33353071,0.26891166
-5.98199100,6.56034683,1.95682828,2.97704150,0.04548338,0.12008049,0.05470220,2.27041085,1.26691117,0.25665066
-5.97598799,6.33281551,1.86019032,2.91791772,0.04313331,0.11116871,0.05272050,2.17451070,1.20197543,0.24481729
-5.96998499,6.13029297,1.76586748,2.87508326,0.04081626,0.10237847,0.05092560,2.08516958,1.13991754,0.23367132
-5.96398199,5.95813082,1.67550149,2.85092148,0.03855235,0.09382226,0.04937157,2.00414834,1.08180353,0.22344867
-5.95797899,5.82106495,1.59053755,2.84758746,0.03635999,0.08559951,0.04810731,1.93295029,1.02854947,0.21435678
-5.95197599,5.72315178,1.51219690,2.86698740,0.03425564,0.07779538,0.04717548,1.87279683,0.98090523,0.20657114
-5.94597299,5.66772566,1.44145745,2.91076402,0.03225350,0.07048014,0.04661167,1.82461279,0.93944405,0.20023290
-5.93996998,5.65737513,1.37904274,2.98028658,0.03036526,0.06370907,0.04644372,1.78902120,0.90455769,0.19544768
-5.93396698,5.69393559,1.32541886,3.07664362,0.02859997,0.05752279,0.04669133,1.76634664,0.87645722,0.19228530
-5.92796398,5.77849469,1.28079898,3.20063646,0.02696384,0.05194801,0.04736577,1.75662627,0.85517851,0.19078044
-5.92196098,5.91140718,1.24515477,3.35277182,0.02546030,0.04699856,0.04846987,1.75962719,0.84059232,0.19093405
-5.91595798,6.09231563,1.21823369,3.53325184,0.02408996,0.04267664,0.04999810,1.77486888,0.83241789,0.19271535
-5.90995498,6.32017384,1.19958142,3.74196046,0.02285078,0.03897422,0.05193679,1.80164919,0.83023953,0.19606423
-5.90395198,6.59327060,1.18856809,3.97844569,0.02173820,0.03587446,0.05426449,1.83907261,0.83352535,0.20089402
-5.89794897,6.90925215,1.18441721,4.24189788,0.02074546,0.03335315,0.05695244,1.88607960,0.84164733,0.20709431
-5.89194597,7.26514258,1.18623630,4.53112506,0.01986388,0.03138012,0.05996504,1.94147577,0.85390211,0.21453388
-5.88594297,7.65736271,1.19304807,4.84452688,0.01908327,0.02992043,0.06326048,2.00396022,0.86953179,0.22306363
-5.87993997,8.08174874,1.20382099,5.18006978,0.01839225,0.02893560,0.06679136,2.07215224,0.88774414,0.23251937
-5.87393697,8.53357302,1.21749874,5.53526613,0.01777874,0.02838456,0.07050536,2.14461619,0.90773185,0.24272453
-5.86793397,9.00756981,1.23302739,5.90716075,0.01723031,0.02822450,0.07434605,2.21988421,0.92869037,0.25349287
-5.86193097,9.49796947,1.24938007,6.29232829,0.01673460,0.02841164,0.07825361,2.29647702,0.94983405,0.26463098
-5.85592796,9.99854441,1.26557844,6.68688462,0.01627966,0.02890184,0.08216571,2.37292300,0.97041053,0.27594089
-5.84992496,10.50266994,1.28071094,7.08651507,0.01585426,0.02965108,0.08601841,2.44777585,0.98971322,0.28722265
-5.84392196,11.00340253,1.29394756,7.48652164,0.01544815,0.03061598,0.08974718,2.51963135,1.00709184,0.29827700
-5.83791896,11.49357674,1.30455122,7.88189021,0.01505225,0.03175413,0.09328785,2.58714356,1.02196120,0.30890812
-5.83191596,11.96592126,1.31188602,8.26737758,0.01465879,0.03302457,0.09657777,2.64904082,1.03380816,0.31892658
-5.82591296,12.41319262,1.31542243,8.63761703,0.01426137,0.03438807,0.09955695,2.70414183,1.04219708,0.32815230
-5.81990995,12.82832376,1.31473990,8.98723958,0.01385500,0.03580756,0.10216917,2.75137170,1.04677372,0.33641771
-5.81390695,13.20458345,1.30952715,9.31100696,0.01343605,0.03724849,0.10436322,2.78977807,1.04726780,0.34357088
-5.80790395,13.53574073,1.29958052,9.60395131,0.01300220,0.03867921,0.10609405,2.81854676,1.04349435,0.34947861
