energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.85698533,0.58576289,0.18879642,0.01071639,0.11963646,0.11981416,0.05341323,0.28861933,0.00000000
-5.99399700,0.89564590,0.61348117,0.19464399,0.01123081,0.12595313,0.13338305,0.05700254,0.30390012,0.00000000
-5.98799400,0.93639268,0.64333030,0.20042024,0.01173191,0.13276223,0.14823472,0.06086917,0.32051639,0.00000000
-5.98199100,0.97952860,0.67561781,0.20615094,0.01221530,0.14012670,0.16439923,0.06502758,0.33863746,0.00000000
-5.97598799,1.02534116,0.71064215,0.21186201,0.01267634,0.14810608,0.18189331,0.06948984,0.35842427,0.00000000
-5.96998499,1.07408470,0.74867705,0.21757731,0.01311035,0.15675328,0.20071748,0.07426449,0.38002074,0.00000000
-5.96398199,1.12596275,0.78995561,0.22331658,0.01351260,0.16611122,0.22085321,0.07935546,0.40354490,0.00000000
-5.95797899,1.18111078,0.83465441,0.22909353,0.01387851,0.17620960,0.24226027,0.08476092,0.42908017,0.00000000
-5.95197599,1.23958021,0.88287833,0.23491419,0.01420375,0.18706175,0.26487412,0.09047227,0.45666700,0.00000000
-5.94597299,1.30132424,0.93464665,0.24077558,0.01448439,0.19866177,0.28860381,0.09647325,0.48629540,0.00000000
-5.93996998,1.36618598,0.98988095,0.24666475,0.01471700,0.21098212,0.31333017,0.10273917,0.51789842,0.00000000
-5.93396698,1.43388954,1.04839528,0.25255811,0.01489880,0.22397169,0.33890465,0.10923633,0.55134722,0.00000000
-5.92796398,1.50403441,1.10988925,0.25842121,0.01502772,0.23755451,0.36514876,0.11592170,0.58644769,0.00000000
-5.92196098,1.57609352,1.17394427,0.26420881,0.01510248,0.25162921,0.39185436,0.12274282,0.62293903,0.00000000
-5.91595798,1.64941533,1.24002338,0.26986538,0.01512265,0.26606919,0.41878477,0.12963804,0.66049448,0.00000000
-5.90995498,1.72323004,1.30747491,0.27532586,0.01508858,0.28072374,0.44567685,0.13653704,0.69872425,0.00000000
-5.90395198,1.79666005,1.37554007,0.28051677,0.01500147,0.29541997,0.47224405,0.14336164,0.73718071,0.00000000
-5.89794897,1.86873450,1.44336449,0.28535763,0.01486320,0.30996564,0.49818042,0.15002699,0.77536586,0.00000000
-5.89194597,1.93840782,1.51001364,0.28976258,0.01467633,0.32415279,0.52316568,0.15644308,0.81274093,0.00000000
-5.88594297,2.00458177,1.57449170,0.29364231,0.01444394,0.33776216,0.54687104,0.16251644,0.84873781,0.00000000
-5.87993997,2.06613064,1.63576366,0.29690613,0.01416949,0.35056827,0.56896585,0.16815222,0.88277224,0.00000000
-5.87393697,2.12192875,1.69277993,0.29946427,0.01385675,0.36234500,0.58912486,0.17325639,0.91425813,0.00000000
-5.86793397,2.17087967,1.74450275,0.30123019,0.01350961,0.37287151,0.60703579,0.17773812,0.94262273,0.00000000
-5.86193097,2.21194606,1.78993372,0.30212308,0.01313197,0.38193832,0.62240714,0.18151217,0.96732213,0.00000000
-5.85592796,2.24417931,1.82814135,0.30207028,0.01272770,0.38935335,0.63497580,0.18450132,0.98785647,0.00000000
-5.84992496,2.26674775,1.85828781,0.30100964,0.01230046,0.39494762,0.64451435,0.18663867,1.00378440,0.00000000
-5.84392196,2.27896257,1.87965381,0.29889172,0.01185372,0.39858047,0.65083761,0.18786971,1.01473620,0.00000000
-5.83791896,2.28030023,1.89166070,0.29568182,0.01139070,0.40014412,0.65380834,0.18815413,1.02042508,0.00000000
-5.83191596,2.27042063,1.89388889,0.29136157,0.01091435,0.39956721,0.65334172,0.18746730,1.02065618,0.00000000
-5.82591296,2.24918012,1.88609185,0.28593025,0.01042740,0.39681736,0.64940848,0.18580122,1.01533293,0.00000000
-5.81990995,2.21663881,1.86820508,0.27940557,0.00993233,0.39190253,0.64203653,0.18316513,1.00446049,0.00000000
-5.81390695,2.17306181,1.84034960,0.27182394,0.00943149,0.38487119,0.63131098,0.17958543,0.98814617,0.00000000
-5.80790395,2.11891425,1.80282994,0.26324024,0.00892708,0.37581109,0.61737252,0.17510527,0.96659666,0.00000000
-5.80190095,2.05485014,1.75612640,0.25372695,0.00842123,0.36484700,0.60041423,0.16978345,0.94011242,0.00000000
-5.79589795,1.98169569,1.70088218,0.24337278,0.00791605,0.35213719,0.58067693,0.16369302,0.90907922,0.00000000
-5.78989495,1.90042738,1.63788556,0.23228079,0.00741363,0.33786897,0.55844316,0.15691927,0.87395723,0.00000000
-5.78389195,1.81214592,1.56804812,0.22056602,0.00691611,0.32225344,0.53403009,0.14955755,0.83526826,0.00000000
-5.77788894,1.71804695,1.49237964,0.20835276,0.00642564,0.30551960,0.50778159,0.14171074,0.79358132,0.00000000
-5.77188594,1.61938964,1.41196075,0.19577161,0.00594441,0.28790814,0.48005978,0.13348657,0.74949745,0.00000000
-5.76588294,1.51746445,1.32791442,0.18295629,0.00547459,0.26966508,0.45123623,0.12499488,0.70363402,0.00000000
-5.75987994,1.41356110,1.24137726,0.17004050,0.00501834,0.25103558,0.42168333,0.11634495,0.65660935,0.00000000
-5.75387694,1.30893810,1.15347170,0.15715479,0.00457773,0.23225798,0.39176593,0.10764293,0.60902802,0.00000000
-5.74787394,1.20479466,1.06528007,0.14442371,0.00415471,0.21355850,0.36183365,0.09898955,0.56146742,0.00000000
-5.74187094,1.10224597,0.97782132,0.13196318,0.00375106,0.19514656,0.33221397,0.09047804,0.51446591,0.00000000
-5.73586793,1.00230255,0.89203106,0.11987823,0.00336836,0.17721095,0.30320638,0.08219248,0.46851294,0.00000000
-5.72986493,0.90585409,0.80874548,0.10826128,0.00300790,0.15991688,0.27507774,0.07420650,0.42404130,0.00000000
-5.72386193,0.81365807,0.72868938,0.09719083,0.00267070,0.14340403,0.24805877,0.06658241,0.38142163,0.00000000
-5.71785893,0.72633318,0.65246850,0.08673060,0.00235745,0.12778546,0.22234193,0.05937069,0.34095920,0.00000000
