energy_ev,total_up,Ir_p_up,Ir_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,4.55684128,1.08131429,2.75557489,0.01435825,0.20131569,1.42715608,0.00000000
-5.99399700,4.43128277,1.03447678,2.70260139,0.01366164,0.18927851,1.36394388,0.00000000
-5.98799400,4.31501868,0.98987200,2.65530377,0.01302848,0.17793213,1.30367539,0.00000000
-5.98199100,4.20960526,0.94822295,2.61428226,0.01247074,0.16735970,1.24713969,0.00000000
-5.97598799,4.11630624,0.91018446,2.57996218,0.01199929,0.15762774,1.19502693,0.00000000
-5.96998499,4.03606954,0.87633339,2.55258429,0.01162356,0.14878640,1.14791711,0.00000000
-5.96398199,3.96951276,0.84716096,2.53220013,0.01135130,0.14086992,1.10627203,0.00000000
-5.95797899,3.91691738,0.82306704,2.51867256,0.01118840,0.13389741,1.07043029,0.00000000
-5.95197599,3.87823165,0.80435622,2.51168145,0.01113862,0.12787367,1.04060543,0.00000000
-5.94597299,3.85308172,0.79123557,2.51073429,0.01120349,0.12279017,1.01688711,0.00000000
-5.93996998,3.84079047,0.78381364,2.51518127,0.01138219,0.11862615,0.99924506,0.00000000
-5.93396698,3.84040327,0.78210072,2.52423467,0.01167143,0.11534962,0.98753570,0.00000000
-5.92796398,3.85071994,0.78601008,2.53699160,0.01206547,0.11291849,0.98151110,0.00000000
-5.92196098,3.87033185,0.79536017,2.55245986,0.01255617,0.11128163,0.98083002,0.00000000
-5.91595798,3.89766343,0.80987779,2.56958601,0.01313302,0.11037993,0.98507084,0.00000000
-5.90995498,3.93101693,0.82920218,2.58728495,0.01378337,0.11014736,0.99374599,0.00000000
-5.90395198,3.96861983,0.85289036,2.60447045,0.01449258,0.11051205,1.00631775,0.00000000
-5.89794897,4.00867358,0.88042367,2.62008575,0.01524433,0.11139739,1.02221502,0.00000000
-5.89194597,4.04940324,0.91121592,2.63313359,0.01602097,0.11272317,1.04085092,0.00000000
-5.88594297,4.08910672,0.94462312,2.64270499,0.01680387,0.11440680,1.06164086,0.00000000
-5.87993997,4.12620305,0.97995514,2.64800617,0.01757389,0.11636466,1.08402084,0.00000000
-5.87393697,4.15927854,1.01648917,2.64838281,0.01831184,0.11851345,1.10746565,0.00000000
-5.86793397,4.18713003,1.05348511,2.64334139,0.01899894,0.12077173,1.13150651,0.00000000
-5.86193097,4.20880406,1.09020254,2.63256668,0.01961736,0.12306149,1.15574780,0.00000000
-5.85592796,4.22363102,1.12591899,2.61593528,0.02015066,0.12530979,1.17988241,0.00000000
-5.84992496,4.23125305,1.15994914,2.59352446,0.02058427,0.12745045,1.20370503,0.00000000
-5.84392196,4.23164462,1.19166407,2.56561607,0.02090586,0.12942563,1.22712295,0.00000000
-5.83791896,4.22512459,1.22051002,2.53269523,0.02110572,0.13118741,1.25016368,0.00000000
-5.83191596,4.21235868,1.24602577,2.49544346,0.02117697,0.13269909,1.27297872,0.00000000
-5.82591296,4.19435150,1.26785765,2.45472624,0.02111576,0.13393638,1.29584303,0.00000000
-5.81990995,4.17242720,1.28577144,2.41157487,0.02092136,0.13488810,1.31914970,0.00000000
-5.81390695,4.14819855,1.29966035,2.36716293,0.02059607,0.13555664,1.34339927,0.00000000
-5.80790395,4.12352417,1.30954830,2.32277738,0.02014514,0.13595786,1.36918389,0.00000000
-5.80190095,4.10045443,1.31558829,2.27978505,0.01957653,0.13612056,1.39716596,0.00000000
-5.79589795,4.08116681,1.31805532,2.23959501,0.01890062,0.13608535,1.42805181,0.00000000
-5.78989495,4.06789229,1.31733415,2.20361765,0.01812981,0.13590311,1.46256099,0.00000000
-5.78389195,4.06283470,1.31390212,2.17322175,0.01727809,0.13563287,1.50139186,0.00000000
-5.77788894,4.06808561,1.30830759,2.14969058,0.01636059,0.13533932,1.54518480,0.00000000
-5.77188594,4.08553768,1.30114504,2.13417856,0.01539311,0.13508993,1.59448446,0.00000000
-5.76588294,4.11680014,1.29302777,2.12766996,0.01439160,0.13495190,1.64970247,0.00000000
-5.75987994,4.16311957,1.28455948,2.13094125,0.01337176,0.13498897,1.71108254,0.00000000
-5.75387694,4.22531010,1.27630626,2.14452869,0.01234859,0.13525822,1.77866970,0.00000000
-5.74787394,4.30369626,1.26877014,2.16870262,0.01133603,0.13580717,1.85228535,0.00000000
-5.74187094,4.39807181,1.26236570,2.20344988,0.01034671,0.13667109,1.93150975,0.00000000
-5.73586793,4.50767722,1.25740086,2.24846523,0.00939167,0.13787087,2.01567339,0.00000000
-5.72986493,4.63119770,1.25406283,2.30315286,0.00848024,0.13941138,2.10385810,0.00000000
-5.72386193,4.76678292,1.25240988,2.36663805,0.00761994,0.14128055,2.19490849,0.00000000
-5.71785893,4.91208846,1.25236948,2.43778914,0.00681650,0.14344917,2.28745396,0.00000000
-5.71185593,5.06433816,1.25374263,2.51524922,0.00607389,0.14587144,2.37994061,0.00000000
-5.70585293,5.22040527,1.25621430,2.59747659,0.00539446,0.14848622,2.47067237,0.00000000
-5.69984992,5.37690957,1.25936931,2.68279260,0.00477902,0.15121899,2.55785967,0.00000000
-5.69384692,5.53032668,1.26271278,2.76943511,0.00422712,0.15398439,2.63967397,0.00000000
-5.68784392,5.67710498,1.26569403,2.85561547,0.00373719,0.15668930,2.71430587,0.00000000
-5.68184092,5.81378543,1.26773279,2.93957680,0.00330676,0.15923616,2.78002439,0.00000000
-5.67583792,5.93711900,1.26824619,3.01965107,0.00293269,0.16152658,2.83523488,0.00000000
-5.66983492,6.04417686,1.26667538,3.09431281,0.00261139,0.16346494,2.87853310,0.00000000
-5.66383192,6.13244844,1.26251046,3.16222701,0.00233896,0.16496185,2.90875311,0.00000000
-5.65782891,6.19992336,1.25531244,3.22228946,0.00211140,0.16593738,2.92500688,0.00000000
-5.65182591,6.24515391,1.24473156,3.27365778,0.00192475,0.16632384,2.92671417,0.00000000
-5.64582291,6.26729552,1.23052100,3.31577197,0.00177517,0.16606808,2.91362122,0.00000000
-5.63981991,6.26612415,1.21254570,3.34836393,0.00165907,0.16513317,2.88580792,0.00000000
-5.63381691,6.24203007,1.19078610,3.37145550,0.00157314,0.16349945,2.84368315,0.00000000
-5.62781391,6.19598923,1.16533677,3.38534571,0.00151438,0.16116489,2.78796892,0.00000000
-5.62181091,6.12951377,1.13640039,3.39058782,0.00148015,0.15814490,2.71967413,0.00000000
-5.61580790,6.04458470,1.10427766,3.38795748,0.00146811,0.15447139,2.64005946,0.00000000
-5.60980490,5.94357010,1.06935357,3.37841373,0.00147623,0.15019142,2.55059505,0.00000000
-5.60380190,5.82913278,1.03208125,3.36305474,0.00150274,0.14536534,2.45291294,0.00000000
-5.59779890,5.70413182,0.99296392,3.34307029,0.00154610,0.14006457,2.34875639,0.00000000
-5.59179590,5.57152218,0.95253606,3.31969324,0.00160494,0.13436918,2.23992810,0.00000000
-5.58579290,5.43425662,0.91134459,3.29415203,0.00167802,0.12836529,2.12823942,0.00000000
-5.57978989,5.29519380,0.86993081,3.26762629,0.00176417,0.12214242,2.01546232,0.00000000
-5.57378689,5.15701570,0.82881386,3.24120713,0.00186228,0.11579098,1.90328560,0.00000000
-5.56778389,5.02215729,0.78847617,3.21586371,0.00197120,0.10939983,1.79327674,0.00000000
-5.56178089,4.89275020,0.74935135,3.19241706,0.00208979,0.10305405,1.68685009,0.00000000
-5.55577789,4.77058158,0.71181475,3.17152187,0.00221681,0.09683302,1.58524210,0.00000000
-5.54977489,4.65706879,0.67617677,3.15365655,0.00235096,0.09080878,1.48949378,0.00000000
-5.54377189,4.55324935,0.64267902,3.13912146,0.00249087,0.08504467,1.40044013,0.00000000
-5.53776888,4.45978547,0.61149298,3.12804480,0.00263505,0.07959441,1.31870644,0.00000000
-5.53176588,4.37698159,0.58272110,3.12039551,0.00278195,0.07450133,1.24471068,0.00000000
-5.52576288,4.30481311,0.55640003,3.11600196,0.00292993,0.06979811,1.17867134,0.00000000
-5.51975988,4.24296423,0.53250545,3.11457546,0.00307728,0.06550669,1.12061991,0.00000000
-5.51375688,4.19087250,0.51095840,3.11573708,0.00322223,0.06163845,1.07041716,0.00000000
-5.50775388,4.14777793,0.49163251,3.11904655,0.00336300,0.05819470,1.02777226,0.00000000
-5.50175088,4.11277431,0.47436193,3.12403185,0.00349778,0.05516730,0.99226407,0.00000000
-5.49574787,4.08486088,0.45894960,3.13021830,0.00362478,0.05253956,0.96336380,0.00000000
-5.48974487,4.06299228,0.44517549,3.13715599,0.00374224,0.05028717,0.94045825,0.00000000
-5.48374187,4.04612560,0.43280478,3.14444473,0.00384845,0.04837939,0.92287332,0.00000000
-5.47773887,4.03326302,0.42159560,3.15175557,0.00394181,0.04678020,0.90989698,0.00000000
-5.47173587,4.02348923,0.41130629,3.15884852,0.00402080,0.04544965,0.90080154,0.00000000
-5.46573287,4.01600306,0.40170205,3.16558595,0.00408408,0.04434511,0.89486463,0.00000000
-5.45972986,4.01014260,0.39256089,3.17194136,0.00413044,0.04342266,0.89138874,0.00000000
-5.45372686,4.00540390,0.38367890,3.17800366,0.00415888,0.04263839,0.88971891,0.00000000
-5.44772386,4.00145285,0.37487473,3.18397662,0.00416863,0.04194962,0.88925833,0.00000000
-5.44172086,3.99813045,0.36599323,3.19017383,0.00415913,0.04131613,0.88948162,0.00000000
-5.43571786,3.99545146,0.35690836,3.19700918,0.00413011,0.04070120,0.88994548,0.00000000
-5.42971486,3.99359657,0.34752525,3.20498312,0.00408157,0.04007255,0.89029656,0.00000000
-5.42371186,3.99289844,0.33778141,3.21466494,0.00401381,0.03940312,0.89027638,0.00000000
-5.41770885,3.99382188,0.32764712,3.22667148,0.00392740,0.03867168,0.88972305,0.00000000
-5.41170585,3.99693856,0.31712494,3.24164257,0.00382325,0.03786321,0.88856995,0.00000000
-5.40570285,4.00289698,0.30624843,3.26021393,0.00370251,0.03696909,0.88684119,0.00000000
-5.39969985,4.01238838,0.29508003,3.28298802,0.00356662,0.03598717,0.88464418,0.00000000
-5.39369685,4.02610957,0.28370815,3.31050382,0.00341729,0.03492149,0.88215935,0.00000000
-5.38769385,4.04472389,0.27224361,3.34320635,0.00325642,0.03378196,0.87962766,0.00000000
-5.38169085,4.06882177,0.26081543,3.38141723,0.00308611,0.03258378,0.87733609,0.00000000
-5.37568784,4.09888225,0.24956619,3.42530742,0.00290860,0.03134680,0.87560193,0.00000000
-5.36968484,4.13523741,0.23864697,3.47487340,0.00272624,0.03009470,0.87475633,0.00000000
-5.36368184,4.17804132,0.22821216,3.52991839,0.00254145,0.02885414,0.87512797,0.00000000
-5.35767884,4.22724535,0.21841427,3.59003962,0.00235666,0.02765385,0.87702747,0.00000000
-5.35167584,4.28258143,0.20939894,3.65462309,0.00217432,0.02652371,0.88073333,0.00000000
-5.34567284,4.34355460,0.20130023,3.72284667,0.00199682,0.02549387,0.88647988,0.00000000
-5.33966983,4.40944611,0.19423662,3.79369231,0.00182654,0.02459390,0.89444810,0.00000000
-5.33366683,4.47932749,0.18830758,3.86596754,0.00166577,0.02385202,0.90475938,0.00000000
-5.32766383,4.55208588,0.18359110,3.93833634,0.00151677,0.02329443,0.91747282,0.00000000
-5.32166083,4.62646022,0.18014213,4.00935864,0.00138178,0.02294475,0.93258603,0.00000000
-5.31565783,4.70108720,0.17799208,4.07753738,0.00126302,0.02282358,0.95003943,0.00000000
-5.30965483,4.77455557,0.17714934,4.14137175,0.00116277,0.02294817,0.96972384,0.00000000
-5.30365183,4.84546669,0.17760092,4.19941436,0.00108342,0.02333225,0.99149095,0.00000000
-5.29764882,4.91249880,0.17931498,4.25033035,0.00102750,0.02398590,1.01516614,0.00000000
-5.29164582,4.97447227,0.18224431,4.29295562,0.00099780,0.02491564,1.04056309,0.00000000
-5.28564282,5.03041271,0.18633048,4.32635167,0.00099739,0.02612453,1.06749921,0.00000000
-5.27963982,5.07960899,0.19150852,4.34985435,0.00102973,0.02761240,1.09581136,0.00000000
-5.27363682,5.12166305,0.19771192,4.36311396,0.00109868,0.02937615,1.12537074,0.00000000
-5.26763382,5.15652888,0.20487769,4.36612459,0.00120861,0.03141009,1.15609635,0.00000000
-5.26163082,5.18453818,0.21295117,4.35924077,0.00136436,0.03370633,1.18796611,0.00000000
-5.25562781,5.20641104,0.22189042,4.34318032,0.00157129,0.03625519,1.22102488,0.00000000
-5.24962481,5.22325013,0.23166985,4.31901250,0.00183524,0.03904562,1.25538894,0.00000000
-5.24362181,5.23651794,0.24228282,4.28813151,0.00216246,0.04206551,1.29124634,0.00000000
-5.23761881,5.24799713,0.25374312,4.25221591,0.00255952,0.04530211,1.32885276,0.00000000
-5.23161581,5.25973479,0.26608506,4.21317513,0.00303315,0.04874220,1.36852292,0.00000000
-5.22561281,5.27397200,0.27936209,4.17308481,0.00359005,0.05237230,1.41061740,0.00000000
-5.21960980,5.29306095,0.29364392,4.13411332,0.00423668,0.05617875,1.45552524,0.00000000
-5.21360680,5.31937219,0.30901220,4.09844206,0.00497898,0.06014760,1.50364284,0.00000000
-5.20760380,5.35519529,0.32555478,4.06818248,0.00582203,0.06426448,1.55534959,0.00000000
-5.20160080,5.40263649,0.34335888,4.04529311,0.00676978,0.06851427,1.61098144,0.00000000
-5.19559780,5.46351708,0.36250342,4.03149945,0.00782466,0.07288073,1.67080321,0.00000000
-5.18959480,5.53927675,0.38305073,4.02822027,0.00898725,0.07734596,1.73498092,0.00000000
-5.18359180,5.63088578,0.40503832,4.03650287,0.01025597,0.08188987,1.80355550,0.00000000
-5.17758879,5.73877018,0.42847095,4.05697016,0.01162678,0.08648965,1.87641929,0.00000000
-5.17158579,5.86275325,0.45331358,4.08978181,0.01309297,0.09111919,1.95329667,0.00000000
-5.16558279,6.00201712,0.47948577,4.13461124,0.01464499,0.09574868,2.03373016,0.00000000
-5.15957979,6.15508680,0.50685778,4.19063981,0.01627038,0.10034430,2.11707341,0.00000000
-5.15357679,6.31983877,0.53524905,4.25656887,0.01795385,0.10486814,2.20249174,0.00000000
-5.14757379,6.49353538,0.56442916,4.33064982,0.01967742,0.10927831,2.28897137,0.00000000
-5.14157079,6.67288518,0.59412155,4.41073168,0.02142073,0.11352943,2.37533737,0.00000000
-5.13556778,6.85412835,0.62401005,4.49432491,0.02316145,0.11757331,2.46028048,0.00000000
