energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,10.08550842,1.48187685,3.71461568,0.01724035,1.35191104,0.06608736,2.18213907,4.01858685,1.83843612
-5.99399700,10.39167922,1.53061233,3.81841543,0.01744764,1.39881153,0.06901150,2.25817525,4.12966952,1.89911891
-5.98799400,10.70645047,1.57853937,3.93042542,0.01762421,1.44458942,0.07195281,2.33660516,4.23744341,1.95893423
-5.98199100,11.02823509,1.62548516,4.05073409,0.01777288,1.48872655,0.07491631,2.41699775,4.34033290,2.01726814
-5.97598799,11.35556864,1.67131266,4.17934077,0.01789726,1.53078882,0.07790830,2.49891578,4.43703106,2.07359015
-5.96998499,11.68705809,1.71590970,4.31612377,0.01800163,1.57042560,0.08093542,2.58190771,4.52650092,2.12745116
-5.96398199,12.02131921,1.75917584,4.46080884,0.01809063,1.60736547,0.08400369,2.66549811,4.60796522,2.17847737
-5.95797899,12.35690794,1.80100799,4.61294027,0.01816906,1.64140891,0.08711755,2.74917757,4.68088618,2.22636087
-5.95197599,12.69225173,1.84128605,4.77185676,0.01824160,1.67241850,0.09027886,2.83239321,4.74493744,2.27084804
-5.94597299,13.02558687,1.87985956,4.93667429,0.01831254,1.70030767,0.09348613,2.91454107,4.79997067,2.31172660
-5.93996998,13.35490807,1.91653658,5.10627784,0.01838558,1.72502877,0.09673385,2.99496152,4.84597935,2.34881282
-5.93396698,13.67793548,1.95107582,5.27932352,0.01846364,1.74656149,0.10001204,3.07293856,4.88306250,2.38193959
-5.92796398,13.99210354,1.98318279,5.45425209,0.01854867,1.76490236,0.10330603,3.14770384,4.91139069,2.41094674
-5.92196098,14.29457460,2.01251056,5.62931434,0.01864156,1.78005606,0.10659654,3.21844588,4.93117643,2.43567416
-5.91595798,14.58227858,2.03866536,5.80260792,0.01874211,1.79202922,0.10986002,3.28432432,4.94265067,2.45595838
-5.90995498,14.85197800,2.06121688,5.97212484,0.01884899,1.80082675,0.11306925,3.34448917,4.94604621,2.47163287
-5.90395198,15.10035596,2.07971279,6.13580780,0.01895985,1.80645105,0.11619408,3.39810409,4.94158850,2.48253200
-5.89794897,15.32412295,2.09369684,6.29161312,0.01907138,1.80890377,0.11920252,3.44437279,4.92949361,2.48849835
-5.89194597,15.52013674,2.10272930,6.43757754,0.01917950,1.80818984,0.12206177,3.48256715,4.90997227,2.48939262
-5.88594297,15.68552866,2.10640862,6.57188563,0.01927955,1.80432318,0.12473945,3.51205553,4.88323881,2.48510545
-5.87993997,15.81782861,2.10439296,6.69293465,0.01936648,1.79733338,0.12720475,3.53232966,4.84952323,2.47557008
-5.87393697,15.91508148,2.09642010,6.79939347,0.01943508,1.78727279,0.12942952,3.54302841,4.80908440,2.46077467
-5.86793397,15.97594741,2.08232456,6.89025243,0.01948022,1.77422291,0.13138929,3.54395705,4.76222257,2.44077340
-5.86193097,15.99977981,2.06205076,6.96486169,0.01949702,1.75829979,0.13306406,3.53510076,4.70928947,2.41569521
-5.85592796,15.98667572,2.03566141,7.02295567,0.01948111,1.73965757,0.13443888,3.51663136,4.65069451,2.38574947
-5.84992496,15.93749546,2.00334046,7.06466256,0.01942871,1.71848987,0.13550426,3.48890688,4.58690618,2.35122801
-5.84392196,15.85384966,1.96539061,7.09049787,0.01933681,1.69502880,0.13625628,3.45246369,4.51844821,2.31250314
-5.83791896,15.73805422,1.92222538,7.10134265,0.01920324,1.66954153,0.13669652,3.40800164,4.44589062,2.27002168
-5.83191596,15.59305549,1.87435639,7.09840706,0.01902670,1.64232466,0.13683177,3.35636290,4.36983627,2.22429530
-5.82591296,15.42232949,1.82237648,7.08318115,0.01880680,1.61369666,0.13667355,3.29850552,4.29090414,2.17588760
-5.81990995,15.22976070,1.76694000,7.05737529,0.01854400,1.58398898,0.13623751,3.23547299,4.20971061,2.12539865
-5.81390695,15.01950661,1.70874110,7.02285288,0.01823955,1.55353634,0.13554275,3.16836151,4.12685059,2.07344797
-5.80790395,14.79585517,1.64849163,6.98155860,0.01789546,1.52266690,0.13461108,3.09828631,4.04288001,2.02065662
-5.80190095,14.56308196,1.58689965,6.93544552,0.01751434,1.49169290,0.13346621,3.02634872,3.95830138,1.96762969
-5.79589795,14.32531397,1.52464983,6.88640402,0.01709935,1.46090234,0.13213308,2.95360543,3.87355361,1.91493972
-5.78989495,14.08640596,1.46238661,6.83619583,0.01665405,1.43055215,0.13063714,2.88104113,3.78900716,1.86311210
-5.78389195,13.84983423,1.40070090,6.78639551,0.01618230,1.40086324,0.12900372,2.80954554,3.70496472,1.81261286
-5.77788894,13.61861177,1.34012065,6.73834176,0.01568819,1.37201750,0.12725751,2.73989556,3.62166775,1.76383936
-5.77188594,13.39522688,1.28110569,6.69309991,0.01517594,1.34415686,0.12542209,2.67274287,3.53930795,1.71711417
-5.76588294,13.18160647,1.22404645,6.65143683,0.01464981,1.31738426,0.12351955,2.60860708,3.45804304,1.67268195
-5.75987994,12.97910360,1.16926642,6.61380847,0.01411404,1.29176626,0.12157020,2.54787429,3.37801532,1.63070952
-5.75387694,12.78850778,1.11702766,6.58035994,0.01357281,1.26733699,0.11959237,2.49080047,3.29937152,1.59128855
-5.74787394,12.61007572,1.06753865,6.55093749,0.01303021,1.24410300,0.11760220,2.43751930,3.22228230,1.55444060
-5.74187094,12.44357936,1.02096381,6.52511118,0.01249017,1.22204866,0.11561358,2.38805343,3.14695982,1.52012413
-5.73586793,12.28836761,0.97743354,6.50220682,0.01195647,1.20114164,0.11363811,2.34232854,3.07367173,1.48824285
-5.72986493,12.14343806,0.93705431,6.48134550,0.01143271,1.18133818,0.11168510,2.30018928,3.00275060,1.45865503
-5.72386193,12.00751501,0.89991779,6.46148872,0.01092227,1.16258775,0.10976164,2.26141627,2.93459773,1.43118328
-5.71785893,11.87912997,0.86610848,6.44148723,0.01042833,1.14483707,0.10787276,2.22574340,2.86968098,1.40562449
-5.71185593,11.75670171,0.83570938,6.42013162,0.00995383,1.12803322,0.10602160,2.19287465,2.80852645,1.38175944
-5.70585293,11.63861267,0.80880539,6.39620270,0.00950145,1.11212584,0.10420967,2.16250002,2.75170443,1.35936198
-5.69984992,11.52327947,0.78548414,6.36851993,0.00907360,1.09706855,0.10243717,2.13430983,2.69981020,1.33820745
