energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Co_p_up,Co_d_up,Te_p_up,Te_d_up
-6.00000000,4.73186732,0.26957542,0.22126926,1.44346820,0.64865903,0.79769136,0.74189900,1.96683207,0.00000000
-5.99399700,4.71598103,0.27036504,0.22293381,1.42689374,0.64958422,0.78785726,0.74239856,1.94826078,0.00000000
-5.98799400,4.68455952,0.27056882,0.22355821,1.40520416,0.64852774,0.77532758,0.74066068,1.92343580,0.00000000
-5.98199100,4.63758712,0.27021376,0.22313455,1.37870972,0.64546895,0.76032084,0.73657957,1.89243186,0.00000000
-5.97598799,4.57525620,0.26932113,0.22167129,1.34777616,0.64040753,0.74307540,0.73008352,1.85541704,0.00000000
-5.96998499,4.49795096,0.26790478,0.21919238,1.31280996,0.63336216,0.72384006,0.72113513,1.81264381,0.00000000
-5.96398199,4.40622968,0.26597025,0.21573609,1.27424424,0.62436899,0.70286550,0.70973123,1.76443926,0.00000000
-5.95797899,4.30080635,0.26351472,0.21135353,1.23252577,0.61348033,0.68039707,0.69590262,1.71119484,0.00000000
-5.95197599,4.18253237,0.26052767,0.20610708,1.18810361,0.60076345,0.65666908,0.67971337,1.65335605,0.00000000
-5.94597299,4.05237886,0.25699242,0.20006856,1.14141972,0.58629962,0.63190073,0.66125998,1.59141240,0.00000000
-5.93996998,3.91141996,0.25288824,0.19331752,1.09290155,0.57018342,0.60629374,0.64067005,1.52588780,0.00000000
-5.93396698,3.76081704,0.24819293,0.18593941,1.04295685,0.55252221,0.58003145,0.61810059,1.45733147,0.00000000
-5.92796398,3.60180382,0.24288578,0.17802378,0.99197035,0.53343576,0.55327939,0.59373582,1.38630953,0.00000000
-5.92196098,3.43567206,0.23695055,0.16966270,0.94030223,0.51305586,0.52618689,0.56778448,1.31339715,0.00000000
-5.91595798,3.26375756,0.23037838,0.16094908,0.88828797,0.49152597,0.49888944,0.54047658,1.23917119,0.00000000
-5.90995498,3.08742601,0.22317037,0.15197532,0.83623934,0.46900059,0.47151153,0.51205959,1.16420331,0.00000000
-5.90395198,2.90805844,0.21533967,0.14283189,0.78444589,0.44564436,0.44416960,0.48279416,1.08905348,0.00000000
-5.89794897,2.72703589,0.20691295,0.13360623,0.73317685,0.42163084,0.41697474,0.45294940,1.01426366,0.00000000
-5.89194597,2.54572350,0.19793116,0.12438163,0.68268290,0.39714078,0.39003497,0.42279782,0.94035188,0.00000000
-5.88594297,2.36545369,0.18844945,0.11523633,0.63319765,0.37236008,0.36345691,0.39261011,0.86780647,0.00000000
-5.87993997,2.18750899,0.17853645,0.10624272,0.58493860,0.34747716,0.33734668,0.36264991,0.79708069,0.00000000
-5.87393697,2.01310475,0.16827270,0.09746666,0.53810742,0.32268017,0.31180997,0.33316873,0.72858771,0.00000000
-5.86793397,1.84337229,0.15774858,0.08896695,0.49288974,0.29815377,0.28695146,0.30440124,0.66269614,0.00000000
-5.86193097,1.67934301,0.14706170,0.08079493,0.44945418,0.27407589,0.26287353,0.27656104,0.59972628,0.00000000
-5.85592796,1.52193425,0.13631393,0.07299419,0.40795112,0.25061445,0.23967445,0.24983709,0.53994717,0.00000000
-5.84992496,1.37193730,0.12560837,0.06560041,0.36851103,0.22792424,0.21744629,0.22439095,0.48357451,0.00000000
-5.84392196,1.23000836,0.11504624,0.05864143,0.33124288,0.20614414,0.19627269,0.20035491,0.43076982,0.00000000
-5.83791896,1.09666258,0.10472392,0.05213733,0.29623250,0.18539469,0.17622664,0.17783096,0.38164058,0.00000000
-5.83191596,0.97227178,0.09473040,0.04610072,0.26354147,0.16577631,0.15736851,0.15689074,0.33624161,0.00000000
-5.82591296,0.85706573,0.08514498,0.04053717,0.23320628,0.14736805,0.13974449,0.13757634,0.29457757,0.00000000
-5.81990995,0.75113707,0.07603565,0.03544577,0.20523824,0.13022706,0.12338546,0.11990193,0.25660654,0.00000000
-5.81390695,0.65444961,0.06745783,0.03081972,0.17962405,0.11438869,0.10830646,0.10385604,0.22224450,0.00000000
-5.80790395,0.56684967,0.05945380,0.02664710,0.15632706,0.09986730,0.09450669,0.08940444,0.19137068,0.00000000
-5.80190095,0.48807996,0.05205261,0.02291171,0.13528926,0.08665757,0.08197010,0.07649349,0.16383340,0.00000000
-5.79589795,0.41779548,0.04527047,0.01959388,0.11643392,0.07473646,0.07066657,0.06505370,0.13945648,0.00000000
-5.78989495,0.35558076,0.03911165,0.01667145,0.09966882,0.06406544,0.06055340,0.05500352,0.11804571,0.00000000
-5.78389195,0.30096793,0.03356963,0.01412063,0.08488988,0.05459314,0.05157730,0.04625308,0.09939542,0.00000000
-5.77788894,0.25345499,0.02862865,0.01191693,0.07198517,0.04625816,0.04367653,0.03870792,0.08329491,0.00000000
-5.77188594,0.21252371,0.02426529,0.01003607,0.06083912,0.03899195,0.03678328,0.03227245,0.06953454,0.00000000
-5.76588294,0.17765686,0.02045028,0.00845477,0.05133676,0.03272169,0.03082603,0.02685327,0.05791145,0.00000000
-5.75987994,0.14835417,0.01715027,0.00715162,0.04336799,0.02737311,0.02573192,0.02236208,0.04823476,0.00000000
-5.75387694,0.12414708,0.01432955,0.00610777,0.03683164,0.02287307,0.02142897,0.01871836,0.04033026,0.00000000
-5.74787394,0.10461177,0.01195171,0.00530762,0.03163939,0.01915193,0.01784812,0.01585167,0.03404451,0.00000000
-5.74187094,0.08938062,0.00998107,0.00473940,0.02771929,0.01614572,0.01492510,0.01370371,0.02924841,0.00000000
-5.73586793,0.07815202,0.00838406,0.00439571,0.02501900,0.01379791,0.01260194,0.01222997,0.02584018,0.00000000
-5.72986493,0.07069839,0.00713030,0.00427391,0.02350862,0.01206096,0.01082836,0.01140122,0.02374788,0.00000000
-5.72386193,0.06687264,0.00619355,0.00437649,0.02318298,0.01089749,0.00956270,0.01120463,0.02293138,0.00000000
-5.71785893,0.06661296,0.00555246,0.00471129,0.02406351,0.01028123,0.00877275,0.01164479,0.02338390,0.00000000
-5.71185593,0.06994597,0.00519111,0.00529157,0.02619951,0.01019753,0.00843619,0.01274433,0.02513302,0.00000000
-5.70585293,0.07698828,0.00509935,0.00613602,0.02966873,0.01064372,0.00854083,0.01454449,0.02824129,0.00000000
-5.69984992,0.08794623,0.00527303,0.00726858,0.03457733,0.01162906,0.00908458,0.01710527,0.03280617,0.00000000
-5.69384692,0.10311382,0.00571405,0.00871803,0.04105899,0.01317443,0.01007518,0.02050544,0.03895954,0.00000000
-5.68784392,0.12286866,0.00643017,0.01051749,0.04927307,0.01531170,0.01152970,0.02484215,0.04686645,0.00000000
-5.68184092,0.14766564,0.00743482,0.01270362,0.05940195,0.01808276,0.01347373,0.03023016,0.05672311,0.00000000
-5.67583792,0.17802825,0.00874660,0.01531562,0.07164714,0.02153828,0.01594046,0.03680073,0.06875408,0.00000000
-5.66983492,0.21453727,0.01038878,0.01839403,0.08622436,0.02573605,0.01896936,0.04469991,0.08320845,0.00000000
-5.66383192,0.25781674,0.01238851,0.02197916,0.10335743,0.03073901,0.02260472,0.05408634,0.10035501,0.00000000
-5.65782891,0.30851707,0.01477599,0.02610951,0.12327104,0.03661293,0.02689386,0.06512848,0.12047626,0.00000000
-5.65182591,0.36729535,0.01758344,0.03081974,0.14618241,0.04342375,0.03188524,0.07800116,0.14386137,0.00000000
-5.64582291,0.43479298,0.02084387,0.03613869,0.17229198,0.05123464,0.03762619,0.09288151,0.17079792,0.00000000
-5.63981991,0.51161097,0.02458986,0.04208718,0.20177342,0.06010275,0.04416059,0.10994432,0.20156270,0.00000000
-5.63381691,0.59828331,0.02885204,0.04867583,0.23476299,0.07007585,0.05152636,0.12935675,0.23641147,0.00000000
-5.62781391,0.69524908,0.03365761,0.05590294,0.27134894,0.08118879,0.05975292,0.15127261,0.27556814,0.00000000
-5.62181091,0.80282411,0.03902869,0.06375250,0.31156099,0.09346002,0.06885861,0.17582625,0.31921345,0.00000000
-5.61580790,0.92117316,0.04498076,0.07219255,0.35536059,0.10688826,0.07884828,0.20312626,0.36747355,0.00000000
-5.60980490,1.05028366,0.05152100,0.08117390,0.40263238,0.12144939,0.08971102,0.23324908,0.42040891,0.00000000
-5.60380190,1.18994221,0.05864681,0.09062928,0.45317730,0.13709383,0.10141826,0.26623282,0.47800395,0.00000000
