energy_ev,total_up,total_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.57967584,-1.73312609,0.01245473,-0.01180379,0.00000000,-0.00000000,0.49920673,-0.40282415,0.36488158,-0.55463833,0.01894273,-0.01191828,0.05809634,-0.09088946,1.01453651,-1.05675293,0.00000000,-0.00000000
-5.99399700,1.53971338,-1.81295904,0.01215237,-0.01256563,0.00000000,-0.00000000,0.49336903,-0.42175326,0.34382772,-0.57412950,0.01904850,-0.01284353,0.05449105,-0.09691695,0.99553375,-1.10716787,0.00000000,-0.00000000
-5.98799400,1.49799499,-1.89229289,0.01185265,-0.01333131,0.00000000,-0.00000000,0.48685606,-0.44051539,0.32380733,-0.59350841,0.01905297,-0.01375453,0.05102403,-0.10319524,0.97469880,-1.15704357,0.00000000,-0.00000000
-5.98199100,1.45476966,-1.97021974,0.01155650,-0.01409391,0.00000000,-0.00000000,0.47977686,-0.45888245,0.30490869,-0.61257075,0.01895591,-0.01463893,0.04770634,-0.10963287,0.95217880,-1.20583299,0.00000000,-0.00000000
-5.97598799,1.41030583,-2.04582519,0.01126463,-0.01484629,0.00000000,-0.00000000,0.47225439,-0.47663712,0.28719367,-0.63111294,0.01875889,-0.01548410,0.04454628,-0.11613662,0.92814783,-1.25298479,0.00000000,-0.00000000
-5.96998499,1.36488761,-2.11821300,0.01097762,-0.01558128,0.00000000,-0.00000000,0.46442247,-0.49357791,0.27069772,-0.64893810,0.01846522,-0.01627745,0.04154972,-0.12261320,0.90280392,-1.29795882,0.00000000,-0.00000000
-5.96398199,1.31881073,-2.18652936,0.01069591,-0.01629183,0.00000000,-0.00000000,0.45642238,-0.50952394,0.25543062,-0.66586160,0.01807983,-0.01700672,0.03872042,-0.12897099,0.87636535,-1.34024131,0.00000000,-0.00000000
-5.95797899,1.27237815,-2.24998585,0.01041981,-0.01697120,0.00000000,-0.00000000,0.44839925,-0.52431937,0.24137793,-0.68171602,0.01760915,-0.01766029,0.03606050,-0.13512198,0.84906646,-1.37935922,0.00000000,-0.00000000
-5.95197599,1.22589532,-2.30787999,0.01014955,-0.01761314,0.00000000,-0.00000000,0.44049825,-0.53783720,0.22850306,-0.69635528,0.01706097,-0.01822749,0.03357071,-0.14098361,0.82115294,-1.41489300,0.00000000,-0.00000000
-5.94597299,1.17966526,-2.35961232,0.00988531,-0.01821198,0.00000000,-0.00000000,0.43286071,-0.54998225,0.21674988,-0.70965755,0.01644418,-0.01869889,0.03125083,-0.14648044,0.79287681,-1.44648734,0.00000000,-0.00000000
-5.93996998,1.13398339,-2.40469956,0.00962720,-0.01876278,0.00000000,-0.00000000,0.42562025,-0.56069310,0.20604573,-0.72152690,0.01576863,-0.01906657,0.02909990,-0.15154569,0.76449112,-1.47385936,0.00000000,-0.00000000
-5.93396698,1.08913239,-2.44278292,0.00937530,-0.01926143,0.00000000,-0.00000000,0.41889898,-0.56994305,0.19630466,-0.73189366,0.01504485,-0.01932429,0.02711640,-0.15612241,0.73624452,-1.49680393,0.00000000,-0.00000000
-5.92796398,1.04537702,-2.47363159,0.00912965,-0.01970467,0.00000000,-0.00000000,0.41280390,-0.57773983,0.18743089,-0.74071333,0.01428384,-0.01946775,0.02529843,-0.16016430,0.70837590,-1.51519600,0.00000000,-0.00000000
-5.92196098,1.00295919,-2.49714108,0.00889028,-0.02009015,0.00000000,-0.00000000,0.40742360,-0.58412415,0.17932230,-0.74796424,0.01349687,-0.01949464,0.02364364,-0.16363610,0.68110918,-1.52898982,0.00000000,-0.00000000
-5.91595798,0.96209331,-2.51332689,0.00865717,-0.02041637,0.00000000,-0.00000000,0.40282519,-0.58916710,0.17187379,-0.75364410,0.01269524,-0.01940477,0.02214931,-0.16651359,0.65464842,-1.53821523,0.00000000,-0.00000000
-5.90995498,0.92296213,-2.52231382,0.00843026,-0.02068265,0.00000000,-0.00000000,0.39905181,-0.59296652,0.16498057,-0.75776564,0.01189008,-0.01920006,0.02081213,-0.16878317,0.62917342,-1.54297133,0.00000000,-0.00000000
-5.90395198,0.88571319,-2.52432177,0.00820944,-0.02088907,0.00000000,-0.00000000,0.39612050,-0.59564246,0.15854112,-0.76035177,0.01109217,-0.01888446,0.01962816,-0.17044108,0.60483591,-1.54341785,0.00000000,-0.00000000
-5.89794897,0.85045605,-2.51964877,0.00799454,-0.02103634,0.00000000,-0.00000000,0.39402080,-0.59733194,0.15245980,-0.76143050,0.01031181,-0.01846393,0.01859260,-0.17149229,0.58175645,-1.53976489,0.00000000,-0.00000000
-5.89194597,0.81726036,-2.50865258,0.00778530,-0.02112572,0.00000000,-0.00000000,0.39271390,-0.59818316,0.14664912,-0.76102997,0.00955864,-0.01794623,0.01769964,-0.17194920,0.56002227,-1.53226153,0.00000000,-0.00000000
-5.88594297,0.78615490,-2.49173166,0.00758137,-0.02115888,0.00000000,-0.00000000,0.39213262,-0.59834955,0.14103149,-0.75917420,0.00884159,-0.01734073,0.01694227,-0.17183022,0.53968587,-1.52118393,0.00000000,-0.00000000
-5.87993997,0.75712768,-2.46930678,0.00738231,-0.02113779,0.00000000,-0.00000000,0.39218213,-0.59798373,0.13554052,-0.75587951,0.00816876,-0.01665820,0.01631222,-0.17115826,0.52076473,-1.50682380,0.00000000,-0.00000000
-5.87393697,0.73012710,-2.44180427,0.00718755,-0.02106460,0.00000000,-0.00000000,0.39274155,-0.59723177,0.13012184,-0.75115234,0.00754733,-0.01591055,0.01579984,-0.16995934,0.50324196,-1.48947746,0.00000000,-0.00000000
-5.86793397,0.70506419,-2.40964171,0.00699644,-0.02094157,0.00000000,-0.00000000,0.39366640,-0.59622790,0.12473341,-0.74498824,0.00698359,-0.01511054,0.01539413,-0.16826130,0.48706792,-1.46943643,0.00000000,-0.00000000
-5.86193097,0.68181591,-2.37321685,0.00680821,-0.02077099,0.00000000,-0.00000000,0.39479186,-0.59508987,0.11934536,-0.73737249,0.00648285,-0.01427147,0.01508278,-0.16609275,0.47216287,-1.44697966,0.00000000,-0.00000000
-5.85592796,0.66022937,-2.33289998,0.00662201,-0.02055512,0.00000000,-0.00000000,0.39593694,-0.59391517,0.11393952,-0.72828210,0.00604942,-0.01340694,0.01485233,-0.16348226,0.45842041,-1.42236783,0.00000000,-0.00000000
-5.84992496,0.64012698,-2.28903006,0.00643691,-0.02029618,0.00000000,-0.00000000,0.39690930,-0.59277812,0.10850841,-0.71768918,0.00568665,-0.01253055,0.01468839,-0.16045780,0.44571171,-1.39583979,0.00000000,-0.00000000
-5.84392196,0.62131220,-2.24191447,0.00625194,-0.01999637,0.00000000,-0.00000000,0.39751074,-0.59172805,0.10305414,-0.70556550,0.00539684,-0.01165561,0.01457591,-0.15704656,0.43389043,-1.36761116,0.00000000,-0.00000000
