energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Na_s_up,Na_s_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.27727246,-1.31162779,0.00679923,-0.00701682,0.21764955,-0.22152600,0.89560161,-0.91823004,0.26319158,-0.26867845,0.07819382,-0.08142390,0.58812257,-0.60674916,0.00000000,-0.00000000
-5.99399700,1.32661376,-1.36074923,0.00731714,-0.00752778,0.21973039,-0.22361843,0.93851442,-0.96111162,0.26393447,-0.26934510,0.08239347,-0.08556451,0.62297499,-0.64140859,0.00000000,-0.00000000
-5.98799400,1.37965660,-1.41309051,0.00782299,-0.00802324,0.22327637,-0.22711450,0.98367819,-1.00589060,0.26641474,-0.27167726,0.08636403,-0.08943376,0.65810286,-0.67608447,0.00000000,-0.00000000
-5.98199100,1.43500864,-1.46723587,0.00830923,-0.00849567,0.22803484,-0.23175571,1.03015855,-1.05161464,0.27030747,-0.27534447,0.09002441,-0.09295110,0.69289016,-0.71015306,0.00000000,-0.00000000
-5.97598799,1.49121402,-1.52171944,0.00876826,-0.00893756,0.23373644,-0.23726875,1.07695257,-1.09727210,0.27528055,-0.28001144,0.09329694,-0.09604070,0.72669850,-0.74297518,0.00000000,-0.00000000
-5.96998499,1.54679384,-1.57506665,0.00919263,-0.00934164,0.24010226,-0.24337280,1.12301556,-1.14181965,0.28100393,-0.28534751,0.09611006,-0.09863409,0.75888503,-0.77391448,0.00000000,-0.00000000
-5.96398199,1.60028772,-1.62583627,0.00957520,-0.00970106,0.24685111,-0.24978691,1.16728962,-1.18421116,0.28715863,-0.29103574,0.09840087,-0.10067268,0.78882119,-0.80235629,0.00000000,-0.00000000
-5.95797899,1.65029543,-1.67266184,0.00990938,-0.01000961,0.25370672,-0.25623732,1.20873293,-1.22342707,0.29344535,-0.29678154,0.10011743,-0.10210997,0.81591146,-0.82772622,0.00000000,-0.00000000
-5.95197599,1.69551715,-1.71429134,0.01018931,-0.01026187,0.26040488,-0.26246455,1.24634900,-1.25850329,0.29959264,-0.30232073,0.10122083,-0.10291343,0.83961169,-0.84950798,0.00000000,-0.00000000
-5.94597299,1.73479122,-1.74962374,0.01040999,-0.01045342,0.26670017,-0.26823005,1.27921484,-1.28855870,0.30536428,-0.30742670,0.10168672,-0.10306591,0.85944609,-0.86725975,0.00000000,-0.00000000
-5.93996998,1.76712834,-1.77774152,0.01056751,-0.01058092,0.27237229,-0.27332231,1.30650731,-1.31282046,0.31056579,-0.31191662,0.10150646,-0.10256656,0.87502256,-0.88062851,0.00000000,-0.00000000
-5.93396698,1.79174087,-1.79793789,0.01065908,-0.01064224,0.27723162,-0.27756222,1.32752675,-1.33064628,0.31504983,-0.31565649,0.10068770,-0.10143117,0.88604558,-0.88936182,0.00000000,-0.00000000
-5.92796398,1.80806644,-1.80973803,0.01068320,-0.01063655,0.28112409,-0.28080763,1.34171710,-1.34154292,0.31872042,-0.31856488,0.09925446,-0.09969206,0.89232634,-0.89331667,0.00000000,-0.00000000
-5.92196098,1.81578502,-1.81291345,0.01063963,-0.01056432,0.28393504,-0.28295677,1.34868183,-1.34518027,0.32153569,-0.32061526,0.09724662,-0.09739736,0.89378958,-0.89246497,0.00000000,-0.00000000
-5.91595798,1.81482885,-1.80748916,0.01052944,-0.01042734,0.28559200,-0.28395070,1.34819522,-1.34140071,0.32350924,-0.32183677,0.09471899,-0.09460987,0.89047707,-0.88689557,0.00000000,-0.00000000
-5.90995498,1.80538473,-1.79374320,0.01035498,-0.01022866,0.28606630,-0.28377444,1.34020863,-1.33022328,0.32470981,-0.32231346,0.09173986,-0.09140548,0.88254738,-0.87681269,0.00000000,-0.00000000
-5.90395198,1.78788878,-1.77219859,0.01011981,-0.00997251,0.28537343,-0.28245691,1.32485145,-1.31184264,0.32525940,-0.32218187,0.08838923,-0.08787123,0.87027212,-0.86253080,0.00000000,-0.00000000
-5.89794897,1.76301346,-1.74360797,0.00982856,-0.00966423,0.28357213,-0.28006955,1.30242691,-1.28662293,0.32532974,-0.32162705,0.08475665,-0.08410317,0.85402857,-0.84446611,0.00000000,-0.00000000
-5.89194597,1.73164758,-1.70893124,0.00948688,-0.00931010,0.28076225,-0.27672380,1.27340273,-1.25508668,0.32513716,-0.32087701,0.08093899,-0.08020401,0.83428919,-0.82312499,0.00000000,-0.00000000
-5.88594297,1.69486960,-1.66930712,0.00910121,-0.00891719,0.27708132,-0.27256727,1.23839723,-1.21789930,0.32493606,-0.32019587,0.07703797,-0.07628070,0.81160813,-0.79908974,0.00000000,-0.00000000
-5.87993997,1.65391530,-1.62601930,0.00867868,-0.00849325,0.27270011,-0.26777901,1.19816112,-1.17584968,0.32501095,-0.31987559,0.07315776,-0.07244208,0.78660529,-0.77300200,0.00000000,-0.00000000
-5.87393697,1.61014085,-1.58045854,0.00822689,-0.00804647,0.26781721,-0.26256379,1.15355596,-1.12982766,0.32566752,-0.32022689,0.06940252,-0.06879652,0.75994856,-0.74554463,0.00000000,-0.00000000
-5.86793397,1.56498235,-1.53408174,0.00775376,-0.00758537,0.26265281,-0.25714577,1.10552985,-1.08079912,0.32722277,-0.32156927,0.06587425,-0.06544978,0.73233463,-0.71742241,0.00000000,-0.00000000
-5.86193097,1.51991345,-1.48836949,0.00726737,-0.00711861,0.25744200,-0.25176165,1.05509134,-1.02977966,0.32999467,-0.32422068,0.06267060,-0.06250303,0.70446917,-0.68934229,0.00000000,-0.00000000
-5.85592796,1.47640222,-1.44478338,0.00677575,-0.00665487,0.25242768,-0.24665362,1.00328242,-0.97780769,0.33429160,-0.32848701,0.05988311,-0.06005108,0.67704695,-0.66199384,0.00000000,-0.00000000
-5.84992496,1.43586895,-1.40472463,0.00628684,-0.00620265,0.24785356,-0.24206239,0.95115147,-0.92591787,0.34040201,-0.33465193,0.05759557,-0.05818089,0.65073255,-0.63603042,0.00000000,-0.00000000
-5.84392196,1.39964614,-1.36949521,0.00580825,-0.00577025,0.24395720,-0.23822047,0.89972719,-0.87511572,0.34858458,-0.34296730,0.05588273,-0.05697021,0.62614228,-0.61205172,0.00000000,-0.00000000
-5.83791896,1.36894204,-1.34026288,0.00534729,-0.00536557,0.24096367,-0.23534600,0.84999407,-0.82635416,0.35905939,-0.35364462,0.05480920,-0.05648654,0.60382785,-0.59058816,0.00000000,-0.00000000
-5.83191596,1.34480905,-1.31803129,0.00491078,-0.00499609,0.23907981,-0.23363733,0.80287028,-0.78051267,0.37200032,-0.36684782,0.05442872,-0.05678622,0.58426234,-0.57208771,0.00000000,-0.00000000
-5.82591296,1.32811785,-1.30361583,0.00450511,-0.00466877,0.23848940,-0.23326857,0.75918855,-0.73837953,0.38752913,-0.38268765,0.05478359,-0.05791377,0.56782880,-0.55690526,0.00000000,-0.00000000
-5.81990995,1.31953817,-1.29762636,0.00413611,-0.00439000,0.23934930,-0.23438612,0.71968031,-0.70063750,0.40571126,-0.40121802,0.05590437,-0.05990132,0.55481192,-0.54529522,0.00000000,-0.00000000
-5.81390695,1.31952660,-1.30045682,0.00380914,-0.00416556,0.24178679,-0.23710644,0.68496358,-0.66785329,0.42655385,-0.42243431,0.05780980,-0.06276825,0.54539291,-0.53740718,0.00000000,-0.00000000
-5.80790395,1.32832183,-1.31228239,0.00352905,-0.00400059,0.24589797,-0.24151487,0.65553454,-0.64047074,0.45000571,-0.44627387,0.06050690,-0.06652086,0.53964774,-0.53328494,0.00000000,-0.00000000
-5.80190095,1.34594727,-1.33306363,0.00330019,-0.00389951,0.25174734,-0.24766566,0.63176294,-0.61880773,0.47595951,-0.47261857,0.06399127,-0.07115232,0.53754877,-0.53286888,0.00000000,-0.00000000
-5.79589795,1.37222061,-1.36255767,0.00312647,-0.00386603,0.25936841,-0.25558295,0.61389102,-0.60305661,0.50425597,-0.50129938,0.06824751,-0.07664258,0.53896966,-0.53600152,0.00000000,-0.00000000
