energy_ev,total_up,Fe_p_up,Fe_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.60440790,0.97095246,0.48486336,1.89649543,0.83391095,0.00354974,0.74659867,0.00557223,1.49549571
-5.99399700,3.65102516,0.99077421,0.48479532,1.91784070,0.84553728,0.00352481,0.76096867,0.00566415,1.51691925
-5.98799400,3.69499142,1.01116756,0.48477457,1.93783086,0.85604155,0.00350838,0.77462219,0.00577041,1.53776759
-5.98199100,3.73675357,1.03230387,0.48491884,1.95666442,0.86552566,0.00350229,0.78763299,0.00589155,1.55819941
-5.97598799,3.77688957,1.05438146,0.48534585,1.97459918,0.87413335,0.00350824,0.80010599,0.00602826,1.57842499
-5.96998499,3.81608289,1.07761580,0.48617025,1.99193846,0.88204345,0.00352783,0.81217103,0.00618138,1.59869675
-5.96398199,3.85508878,1.10222710,0.48750047,2.00901370,0.88946089,0.00356240,0.82397488,0.00635191,1.61929653
-5.95797899,3.89469424,1.12842594,0.48943546,2.02616412,0.89660582,0.00361309,0.83567157,0.00654103,1.64051998
-5.95197599,3.93567337,1.15639769,0.49206146,2.04371457,0.90370147,0.00368069,0.84741178,0.00675005,1.66265906
-5.94597299,3.97874066,1.18628644,0.49544901,2.06195299,0.91096131,0.00376566,0.85933168,0.00698039,1.68598337
-5.93996998,4.02450475,1.21817943,0.49965023,2.08110856,0.91857632,0.00386801,0.87154213,0.00723359,1.71072146
-5.93396698,4.07342535,1.25209280,0.50469667,2.10133211,0.92670286,0.00398735,0.88411866,0.00751129,1.73704310
-5.92796398,4.12577581,1.28795971,0.51059775,2.12267988,0.93545214,0.00412277,0.89709300,0.00781518,1.76504361
-5.92196098,4.18161374,1.32562141,0.51733988,2.14510170,0.94488161,0.00427288,0.91044684,0.00814699,1.79473115
-5.91595798,4.24076149,1.36482208,0.52488647,2.16843458,0.95498897,0.00443578,0.92410805,0.00850852,1.82601764
-5.90995498,4.30279780,1.40520787,0.53317873,2.19240199,0.96570914,0.00460913,0.93794985,0.00890158,1.85871418
-5.90395198,4.36706140,1.44633028,0.54213729,2.21661934,0.97691430,0.00479014,0.95179313,0.00932798,1.89253089
-5.89794897,4.43266654,1.48765406,0.55166460,2.24060527,0.98841717,0.00497565,0.96541173,0.00978957,1.92708170
-5.89194597,4.49852975,1.52856929,0.56164790,2.26379850,0.99997722,0.00516224,0.97854062,0.01028814,1.96189344
-5.88594297,4.56340666,1.56840719,0.57196274,2.28557935,1.01130967,0.00534630,0.99088657,0.01082543,1.99641921
-5.87993997,4.62593683,1.60645912,0.58247675,2.30529492,1.02209666,0.00552414,1.00214074,0.01140311,2.03005507
-5.87393697,4.68469448,1.64199773,0.59305347,2.32228673,1.03200011,0.00569210,1.01199268,0.01202263,2.06215935
-5.86793397,4.73824230,1.67429960,0.60355604,2.33591932,1.04067553,0.00584671,1.02014474,0.01268521,2.09207359
-5.86193097,4.78518576,1.70266811,0.61385054,2.34560846,1.04778613,0.00598476,1.02632651,0.01339168,2.11914404
-5.85592796,4.82422512,1.72645570,0.62380883,2.35084743,1.05301652,0.00610342,1.03030810,0.01414239,2.14274281
-5.84992496,4.85420252,1.74508444,0.63331062,2.35123014,1.05608533,0.00620031,1.03191187,0.01493701,2.16228750
-5.84392196,4.87414198,1.75806413,0.64224486,2.34646969,1.05675610,0.00627361,1.03102179,0.01577436,2.17725863
-5.83791896,4.88328062,1.76500711,0.65051029,2.33641164,1.05484605,0.00632205,1.02758995,0.01665230,2.18721404
-5.83191596,4.88108958,1.76563923,0.65801523,2.32104116,1.05023237,0.00634496,1.02163994,0.01756747,2.19179988
-5.82591296,4.86728428,1.75980676,0.66467668,2.30048368,1.04285570,0.00634228,1.01326682,0.01851517,2.19075767
-5.81990995,4.84182379,1.74747883,0.67041890,2.27499913,1.03272094,0.00631446,1.00263365,0.01948926,2.18392759
-5.81390695,4.80489982,1.72874569,0.67517164,2.24496991,1.01989524,0.00626248,0.98996485,0.02048200,2.17124794
-5.80790395,4.75691645,1.70381287,0.67886824,2.21088334,1.00450355,0.00618773,0.97553668,0.02148404,2.15275121
-5.80190095,4.69846207,1.67299178,0.68144381,2.17330939,0.98672199,0.00609195,0.95966516,0.02248444,2.12855709
-5.79589795,4.63027531,1.63668721,0.68283369,2.13287489,0.96676949,0.00597711,0.94269235,0.02347077,2.09886316
-5.78989495,4.55320701,1.59538240,0.68297253,2.09023548,0.94489805,0.00584534,0.92497136,0.02442927,2.06393377
-5.78389195,4.46818047,1.54962253,0.68179387,2.04604673,0.92138230,0.00569882,0.90685098,0.02534508,2.02408797
-5.77788894,4.37615192,1.49999720,0.67923059,2.00093591,0.89650882,0.00553972,0.88866066,0.02620260,1.97968701
-5.77188594,4.27807326,1.44712279,0.67521611,1.95547573,0.87056562,0.00537007,0.87069657,0.02698587,1.93112211
-5.76588294,4.17485879,1.39162529,0.66968634,1.91016137,0.84383241,0.00519177,0.85320932,0.02767899,1.87880310
-5.75987994,4.06735739,1.33412433,0.66258234,1.86539194,0.81657186,0.00500654,0.83639402,0.02826663,1.82314828
-5.75387694,3.95633100,1.27521885,0.65385350,1.82145712,0.78902243,0.00481586,0.82038309,0.02873454,1.76457579
-5.74787394,3.84244021,1.21547485,0.64346100,1.77852965,0.76139268,0.00462099,0.80524206,0.02907002,1.70349688
-5.74187094,3.72623714,1.15541551,0.63138145,1.73666391,0.73385752,0.00442301,0.79096863,0.02926237,1.64031083
-5.73586793,3.60816533,1.09551385,0.61761039,1.69580054,0.70655627,0.00422279,0.77749496,0.02930338,1.57540176
-5.72986493,3.48856628,1.03618791,0.60216535,1.65577677,0.67959249,0.00402107,0.76469293,0.02918761,1.50913707
-5.72386193,3.36769170,0.97779855,0.58508844,1.61634177,0.65303557,0.00381849,0.75238233,0.02891265,1.44186717
-5.71785893,3.24572035,0.92064940,0.56644808,1.57717625,0.62692386,0.00361560,0.74034122,0.02847929,1.37392649
-5.71185593,3.12277846,0.86498903,0.54633990,1.53791519,0.60126896,0.00341294,0.72831826,0.02789159,1.30563523
-5.70585293,2.99896216,0.81101478,0.52488660,1.49817244,0.57606116,0.00321106,0.71604619,0.02715671,1.23730162
-5.69984992,2.87436067,0.75887801,0.50223691,1.45756607,0.55127537,0.00301053,0.70325596,0.02628485,1.16922452
-5.69384692,2.74907905,0.70869037,0.47856345,1.41574313,0.52687758,0.00281197,0.68969068,0.02528886,1.10169585
-5.68784392,2.62325915,0.66053063,0.45405989,1.37240266,0.50283114,0.00261609,0.67511904,0.02418394,1.03500286
-5.68184092,2.49709795,0.61445182,0.42893724,1.32731588,0.47910293,0.00242362,0.65934724,0.02298715,0.96943000
-5.67583792,2.37086230,0.57048826,0.40341967,1.28034276,0.45566888,0.00223536,0.64222932,0.02171697,0.90526019
-5.66983492,2.24489965,0.52866210,0.37773992,1.23144424,0.43251870,0.00205215,0.62367513,0.02039275,0.84277563
-5.66383192,2.11964429,0.48898939,0.35213461,1.18068974,0.40965970,0.00187482,0.60365592,0.01903422,0.78225790
-5.65782891,1.99561905,0.45148514,0.32683956,1.12825977,0.38711945,0.00170421,0.58220724,0.01766098,0.72398763
-5.65182591,1.87343265,0.41616753,0.30208535,1.07444377,0.36494731,0.00154110,0.55942917,0.01629207,0.66824357
-5.64582291,1.75377284,0.38306107,0.27809328,1.01963343,0.34321485,0.00138621,0.53548393,0.01494555,0.61530136
-5.63981991,1.63739598,0.35219864,0.25507179,0.96431199,0.32201504,0.00124017,0.51059112,0.01363817,0.56543190
-5.63381691,1.52511352,0.32362256,0.23321361,0.90904022,0.30146052,0.00110350,0.48502086,0.01238515,0.51889954
-5.62781391,1.41777608,0.29738472,0.21269339,0.85443980,0.28168085,0.00097659,0.45908518,0.01119992,0.47596012
-5.62181091,1.31625583,0.27354574,0.19366609,0.80117481,0.26281913,0.00085970,0.43312814,0.01009413,0.43685885
-5.61580790,1.22142785,0.25217349,0.17626595,0.74993232,0.24502794,0.00075295,0.40751503,0.00907752,0.40182822
-5.60980490,1.13415105,0.23334087,0.16060602,0.70140270,0.22846495,0.00065635,0.38262122,0.00815799,0.37108576
-5.60380190,1.05524932,0.21712318,0.14677815,0.65626043,0.21328827,0.00056976,0.35882090,0.00734168,0.34483177
-5.59779890,0.98549330,0.20359500,0.13485333,0.61514599,0.19965172,0.00049293,0.33647637,0.00663308,0.32324697
-5.59179590,0.92558317,0.19282692,0.12488237,0.57864932,0.18770027,0.00042551,0.31592790,0.00603517,0.30648994
-5.58579290,0.87613285,0.18488195,0.11689664,0.54729525,0.17756564,0.00036709,0.29748470,0.00554956,0.29469444
