energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.75185827,0.04792689,0.00122756,0.02133435,1.12567350,1.18493185,0.29542896
-5.99399700,1.73283977,0.04787915,0.00116435,0.02101529,1.11654970,1.16681047,0.29409739
-5.98799400,1.71592066,0.04789616,0.00110517,0.02071418,1.10853311,1.14867238,0.29348443
-5.98199100,1.70097162,0.04797962,0.00105070,0.02043034,1.10149389,1.13039498,0.29356771
-5.97598799,1.68781528,0.04813014,0.00100146,0.02016339,1.09527618,1.11182541,0.29432772
-5.96998499,1.67623623,0.04834748,0.00095782,0.01991336,1.08970552,1.09278892,0.29574861
-5.96398199,1.66599265,0.04863073,0.00092001,0.01968066,1.08459711,1.07309869,0.29781866
-5.95797899,1.65682916,0.04897860,0.00088808,0.01946620,1.07976474,1.05256668,0.30053044
-5.95197599,1.64849014,0.04938965,0.00086198,0.01927141,1.07502978,1.03101498,0.30388083
-5.94597299,1.64073273,0.04986250,0.00084149,0.01909823,1.07022980,1.00828707,0.30787061
-5.93996998,1.63333885,0.05039602,0.00082632,0.01894914,1.06522641,0.98425839,0.31250380
-5.93396698,1.62612539,0.05098946,0.00081604,0.01882711,1.05991170,0.95884560,0.31778672
-5.92796398,1.61895205,0.05164252,0.00081017,0.01873553,1.05421298,0.93201395,0.32372663
-5.92196098,1.61172621,0.05235531,0.00080817,0.01867816,1.04809549,0.90378244,0.33033014
-5.91595798,1.60440457,0.05312826,0.00080943,0.01865894,1.04156278,0.87422631,0.33760132
-5.90995498,1.59699146,0.05396198,0.00081336,0.01868184,1.03465482,0.84347668,0.34553949
-5.90395198,1.58953383,0.05485696,0.00081931,0.01875068,1.02744387,0.81171756,0.35413697
-5.89794897,1.58211333,0.05581333,0.00082668,0.01886887,1.02002827,0.77918002,0.36337663
-5.89194597,1.57483604,0.05683048,0.00083486,0.01903920,1.01252465,0.74613419,0.37322958
-5.88594297,1.56782035,0.05790675,0.00084328,0.01926356,1.00505892,0.71287933,0.38365295
-5.87993997,1.56118414,0.05903907,0.00085144,0.01954269,0.99775666,0.67973257,0.39458805
-5.87393697,1.55503187,0.06022271,0.00085885,0.01987601,0.99073354,0.64701705,0.40595903
-5.86793397,1.54944270,0.06145106,0.00086511,0.02026137,0.98408633,0.61504993,0.41767210
-5.86193097,1.54446049,0.06271553,0.00086988,0.02069494,0.97788525,0.58413119,0.42961557
-5.85592796,1.54008641,0.06400562,0.00087291,0.02117115,0.97216805,0.55453352,0.44166083
-5.84992496,1.53627491,0.06530902,0.00087400,0.02168267,0.96693637,0.52649408,0.45366417
-5.84392196,1.53293338,0.06661203,0.00087307,0.02222050,0.96215461,0.50020836,0.46546973
-5.83791896,1.52992575,0.06790002,0.00087010,0.02277414,0.95775153,0.47582645,0.47691338
-5.83191596,1.52708001,0.06915804,0.00086518,0.02333183,0.95362452,0.45345183,0.48782750
-5.82591296,1.52419927,0.07037167,0.00085848,0.02388089,0.94964634,0.43314264,0.49804653
-5.81990995,1.52107578,0.07152782,0.00085024,0.02440810,0.94567404,0.41491520,0.50741317
-5.81390695,1.51750723,0.07261565,0.00084081,0.02490015,0.94155946,0.39874946,0.51578471
-5.80790395,1.51331421,0.07362756,0.00083061,0.02534410,0.93716076,0.38459598,0.52303955
-5.80190095,1.50835781,0.07455998,0.00082012,0.02572790,0.93235428,0.37238394,0.52908333
-5.79589795,1.50255619,0.07541419,0.00080992,0.02604078,0.92704584,0.36202953,0.53385429
-5.78989495,1.49589886,0.07619686,0.00080059,0.02627376,0.92118096,0.35344431,0.53732777
-5.78389195,1.48845768,0.07692044,0.00079281,0.02641993,0.91475301,0.34654285,0.53951927
-5.77788894,1.48039359,0.07760320,0.00078725,0.02647478,0.90780902,0.34124928,0.54048596
-5.77188594,1.47195835,0.07826905,0.00078459,0.02643635,0.90045227,0.33750238,0.54032638
-5.76588294,1.46349088,0.07894690,0.00078552,0.02630532,0.89284179,0.33525877,0.53917824
-5.75987994,1.45540800,0.07966982,0.00079071,0.02608490,0.88518829,0.33449428,0.53721441
-5.75387694,1.44818986,0.08047374,0.00080076,0.02578072,0.87774688,0.33520323,0.53463704
-5.74787394,1.44236057,0.08139601,0.00081622,0.02540051,0.87080673,0.33739592,0.53167018
-5.74187094,1.43846490,0.08247359,0.00083754,0.02495376,0.86467833,0.34109443,0.52855115
-5.73586793,1.43704225,0.08374117,0.00086508,0.02445125,0.85967885,0.34632711,0.52552109
-5.72986493,1.43859921,0.08522923,0.00089907,0.02390460,0.85611656,0.35312217,0.52281513
-5.72386193,1.44358231,0.08696209,0.00093957,0.02332568,0.85427512,0.36150079,0.52065279
-5.71785893,1.45235239,0.08895613,0.00098653,0.02272619,0.85439870,0.37147031,0.51922891
-5.71185593,1.46516231,0.09121829,0.00103970,0.02211710,0.85667879,0.38301794,0.51870591
-5.70585293,1.48213914,0.09374479,0.00109869,0.02150830,0.86124345,0.39610540,0.51920747
-5.69984992,1.50327218,0.09652048,0.00116292,0.02090819,0.86814981,0.41066491,0.52081421
-5.69384692,1.52840745,0.09951845,0.00123166,0.02032350,0.87738009,0.42659685,0.52356150
-5.68784392,1.55724920,0.10270033,0.00130404,0.01975908,0.88884149,0.44376910,0.52743944
-5.68184092,1.58936835,0.10601710,0.00137907,0.01921791,0.90236999,0.46201836,0.53239504
-5.67583792,1.62421765,0.10941031,0.00145562,0.01870115,0.91773764,0.48115311,0.53833646
-5.66983492,1.66115247,0.11281395,0.00153253,0.01820826,0.93466317,0.50095827,0.54513881
-5.66383192,1.69945642,0.11615655,0.00160858,0.01773731,0.95282496,0.52120109,0.55265132
-5.65782891,1.73837006,0.11936367,0.00168253,0.01728523,0.97187576,0.54163804,0.56070535
-5.65182591,1.77712130,0.12236056,0.00175320,0.01684813,0.99145823,0.56202215,0.56912257
-5.64582291,1.81495570,0.12507483,0.00181946,0.01642171,1.01122026,0.58211055,0.57772306
-5.63981991,1.85116505,0.12743911,0.00188025,0.01600155,1.03082931,0.60167150,0.58633262
