energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,6.39994129,3.60815560,0.74628785,0.00345551,0.69722201,0.15308839,3.18052287,0.72513778,0.59486402
-5.99399700,6.40692047,3.57490903,0.75090889,0.00352564,0.71923853,0.15028317,3.15545258,0.73607231,0.61180846
-5.98799400,6.40393184,3.53117596,0.75432516,0.00359109,0.74131883,0.14717812,3.12405387,0.74623558,0.62871628
-5.98199100,6.39196456,3.47729558,0.75648159,0.00365144,0.76354562,0.14382971,3.08686168,0.75574211,0.64569444
-5.97598799,6.37203795,3.41372293,0.75733550,0.00370628,0.78599391,0.14029230,3.04443885,0.76470860,0.66284702
-5.96998499,6.34515112,3.34101932,0.75685445,0.00375525,0.80872228,0.13661667,2.99735546,0.77324634,0.68026690
-5.96398199,6.31223505,3.25984147,0.75501420,0.00379801,0.83176432,0.13284876,2.94616943,0.78145368,0.69802720
-5.95797899,6.27410905,3.17092931,0.75179689,0.00383421,0.85512023,0.12902870,2.89140955,0.78940879,0.71617291
-5.95197599,6.23144340,3.07509266,0.74718962,0.00386353,0.87874946,0.12519022,2.83356120,0.79716322,0.73471318
-5.94597299,6.18472999,2.97319673,0.74118340,0.00388561,0.90256448,0.12136030,2.77305548,0.80473647,0.75361462
-5.93996998,6.13426212,2.86614690,0.73377276,0.00390009,0.92642626,0.11755923,2.71026189,0.81211184,0.77279603
-5.93396698,6.08012442,2.75487282,0.72495576,0.00390662,0.95014183,0.11380083,2.64548486,0.81923391,0.79212499
-5.92796398,6.02219351,2.64031246,0.71473466,0.00390480,0.97346414,0.11009308,2.57896403,0.82600779,0.81141657
-5.92196098,5.96014954,2.52339634,0.70311709,0.00389427,0.99609444,0.10643882,2.51087814,0.83230022,0.83043439
-5.91595798,5.89349822,2.40503267,0.69011758,0.00387469,1.01768738,0.10283668,2.44135230,0.83794273,0.84889417
-5.90995498,5.82160252,2.28609374,0.67575955,0.00384574,1.03785866,0.09928217,2.37046811,0.84273663,0.86646985
-5.90395198,5.74372304,2.16740406,0.66007748,0.00380717,1.05619519,0.09576873,2.29827607,0.84645985,0.88280207
-5.89794897,5.65906506,2.04973079,0.64311914,0.00375883,1.07226741,0.09228886,2.22480977,0.84887539,0.89750886
-5.89194597,5.56683063,1.93377655,0.62494788,0.00370067,1.08564346,0.08883523,2.15010093,0.84974103,0.91019815
-5.88594297,5.46627315,1.82017502,0.60564460,0.00363277,1.09590448,0.08540162,2.07419473,0.84881990,0.92048168
-5.87993997,5.35675218,1.70948914,0.58530948,0.00355538,1.10266065,0.08198386,1.99716453,0.84589167,0.92798963
-5.87393697,5.23778577,1.60221185,0.56406310,0.00346892,1.10556712,0.07858055,1.91912523,0.84076352,0.93238551
-5.86793397,5.10909786,1.49876917,0.54204708,0.00337398,1.10433916,0.07519364,1.84024468,0.83328076,0.93338049
-5.86193097,4.97065843,1.39952506,0.51942392,0.00327138,1.09876584,0.07182880,1.76075240,0.82333631,0.93074658
-5.85592796,4.82271427,1.30478762,0.49637610,0.00316210,1.08872153,0.06849563,1.68094518,0.81087867,0.92432795
-5.84992496,4.66580865,1.21481611,0.47310432,0.00304733,1.07417463,0.06520766,1.60118926,0.79591802,0.91404994
-5.84392196,4.50078880,1.12982804,0.44982501,0.00292841,1.05519309,0.06198213,1.52191876,0.77852997,0.89992509
-5.83791896,4.32880050,1.05000600,0.42676697,0.00280684,1.03194632,0.05883967,1.44363046,0.75885681,0.88205614
-5.83191596,4.15126970,0.97550349,0.40416740,0.00268423,1.00470346,0.05580369,1.36687505,0.73710618,0.86063544
-5.82591296,3.96987186,0.90644955,0.38226730,0.00256227,0.97382785,0.05289980,1.29224513,0.71354701,0.83594120
-5.81990995,3.78649017,0.84295173,0.36130647,0.00244270,0.93976806,0.05015491,1.22036044,0.68850301,0.80833025
-5.81390695,3.60316430,0.78509743,0.34151823,0.00232725,0.90304580,0.04759644,1.15185097,0.66234397,0.77822813
-5.80790395,3.42203204,0.73295354,0.32312410,0.00221758,0.86424124,0.04525135,1.08733859,0.63547507,0.74611647
-5.80190095,3.24526623,0.68656446,0.30632865,0.00211528,0.82397642,0.04314518,1.02741807,0.60832499,0.71251872
