energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.53663348,0.00566582,0.13781973,0.64202894,0.43352491,0.01787890,0.71102399,0.24381791,0.12105785
-5.99399700,1.53294597,0.00550310,0.13467244,0.63358236,0.43146159,0.01741228,0.71098584,0.24826937,0.12110933
-5.98799400,1.52892659,0.00537159,0.13190443,0.62767476,0.42969791,0.01687962,0.71041476,0.25283170,0.12094031
-5.98199100,1.52452525,0.00526961,0.12950869,0.62422309,0.42822574,0.01629422,0.70932109,0.25744372,0.12055307
-5.97598799,1.51979915,0.00519578,0.12748177,0.62317714,0.42706199,0.01567038,0.70777291,0.26207015,0.11995950
-5.96998499,1.51492708,0.00514920,0.12582610,0.62453321,0.42625327,0.01502296,0.70590073,0.26670650,0.11918169
-5.96398199,1.51021842,0.00512960,0.12455189,0.62834487,0.42587889,0.01436695,0.70389985,0.27138267,0.11825216
-5.95797899,1.50611616,0.00513751,0.12367834,0.63472995,0.42605213,0.01371703,0.70203002,0.27616522,0.11721377
-5.95197599,1.50319323,0.00517437,0.12323426,0.64387325,0.42691939,0.01308720,0.70061225,0.28115785,0.11611909
-5.94597299,1.50214196,0.00524255,0.12325779,0.65602467,0.42865731,0.01249039,0.70002270,0.28650008,0.11502955
-5.93996998,1.50375675,0.00534543,0.12379550,0.67149249,0.43146771,0.01193814,0.70068364,0.29236410,0.11401405
-5.93396698,1.50891024,0.00548732,0.12490063,0.69063207,0.43557071,0.01144028,0.70305172,0.29894968,0.11314728
-5.92796398,1.51852381,0.00567345,0.12663072,0.71383030,0.44119600,0.01100478,0.70760373,0.30647745,0.11250771
-5.92196098,1.53353327,0.00590982,0.12904465,0.74148624,0.44857283,0.01063754,0.71482043,0.31518056,0.11217533
-5.91595798,1.55485115,0.00620311,0.13219926,0.77398897,0.45791896,0.01034231,0.72516886,0.32529510,0.11222924
-5.90995498,1.58332697,0.00656042,0.13614565,0.81169336,0.46942918,0.01012069,0.73908381,0.33704961,0.11274504
-5.90395198,1.61970706,0.00698915,0.14092542,0.85489502,0.48326386,0.00997213,0.75694905,0.35065405,0.11379238
-5.89794897,1.66459563,0.00749671,0.14656697,0.90380547,0.49953793,0.00989405,0.77907912,0.36628870,0.11543239
-5.89194597,1.71841879,0.00809027,0.15308207,0.95852875,0.51831114,0.00988197,0.80570234,0.38409340,0.11771545
-5.88594297,1.78139294,0.00877651,0.16046291,1.01904053,0.53957966,0.00992974,0.83694571,0.40415759,0.12067906
-5.87993997,1.85349905,0.00956135,0.16867967,1.08517094,0.56326976,0.01002973,0.87282239,0.42651163,0.12434612
-5.87393697,1.93446402,0.01044965,0.17767896,1.15659187,0.58923377,0.01017313,0.91322226,0.45111977,0.12872355
-5.86793397,2.02374992,0.01144495,0.18738294,1.23280956,0.61724856,0.01035024,0.95790609,0.47787506,0.13380130
-5.86193097,2.12055187,0.01254923,0.19768945,1.31316301,0.64701668,0.01055077,1.00650349,0.50659660,0.13955184
-5.85592796,2.22380486,0.01376266,0.20847306,1.39682859,0.67817023,0.01076416,1.05851512,0.53702925,0.14593010
-5.84992496,2.33219930,0.01508339,0.21958695,1.48283067,0.71027732,0.01097984,1.11331890,0.56884595,0.15287389
-5.84392196,2.44420518,0.01650741,0.23086579,1.57005841,0.74285095,0.01118761,1.17018050,0.60165262,0.16030475
