energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,1.22067833,0.01143279,0.02968521,0.52426872,0.15508038,0.79021648,0.00000000,0.26698350,0.08269273
-5.99399700,1.19395999,0.01138331,0.02852557,0.50746932,0.14924806,0.77364296,0.00000000,0.26259897,0.08043385
-5.98799400,1.16372506,0.01130225,0.02735433,0.48982118,0.14329378,0.75461808,0.00000000,0.25721611,0.07799708
-5.98199100,1.13037133,0.01119291,0.02618078,0.47154227,0.13727938,0.73339947,0.00000000,0.25093368,0.07541025
-5.97598799,1.09439846,0.01105965,0.02501639,0.45287904,0.13127276,0.71031173,0.00000000,0.24387578,0.07270921
-5.96998499,1.05639852,0.01090771,0.02387495,0.43410212,0.12534733,0.68573970,0.00000000,0.23618850,0.06993777
-5.96398199,1.01704418,0.01074312,0.02277268,0.41550159,0.11958143,0.66012024,0.00000000,0.22803607,0.06714755
-5.95797899,0.97707518,0.01057243,0.02172831,0.39738192,0.11405776,0.63393273,0.00000000,0.21959646,0.06439775
-5.95197599,0.93728343,0.01040255,0.02076318,0.38005689,0.10886280,0.60768883,0.00000000,0.21105669,0.06175483
-5.94597299,0.89849758,0.01024047,0.01990132,0.36384443,0.10408618,0.58192173,0.00000000,0.20260815,0.05929220
-5.93996998,0.86156755,0.01009306,0.01916950,0.34906191,0.09982014,0.55717553,0.00000000,0.19444206,0.05708993
-5.93396698,0.82734982,0.00996685,0.01859736,0.33602179,0.09615896,0.53399510,0.00000000,0.18674532,0.05523438
-5.92796398,0.79669394,0.00986777,0.01821743,0.32502793,0.09319843,0.51291683,0.00000000,0.17969688,0.05381792
-5.92196098,0.77043089,0.00980105,0.01806526,0.31637272,0.09103539,0.49446054,0.00000000,0.17346486,0.05293871
-5.91595798,0.74936337,0.00977104,0.01817947,0.31033496,0.08976732,0.47912292,0.00000000,0.16820449,0.05270040
-5.90995498,0.73425848,0.00978112,0.01860183,0.30717859,0.08949183,0.46737246,0.00000000,0.16405689,0.05321192
-5.90395198,0.72584237,0.00983373,0.01937724,0.30715219,0.09030635,0.45964585,0.00000000,0.16114867,0.05458716
-5.89794897,0.72479687,0.00993029,0.02055372,0.31048893,0.09230751,0.45634588,0.00000000,0.15959237,0.05694460
-5.89194597,0.73175761,0.01007135,0.02218231,0.31740701,0.09559064,0.45784031,0.00000000,0.15948748,0.06040670
-5.88594297,0.74731287,0.01025663,0.02431680,0.32811007,0.10024888,0.46446151,0.00000000,0.16092205,0.06509914
-5.87993997,0.77200272,0.01048519,0.02701339,0.34278737,0.10637222,0.47650648,0.00000000,0.16397440,0.07114971
-5.87393697,0.80631754,0.01075557,0.03033013,0.36161342,0.11404610,0.49423660,0.00000000,0.16871509,0.07868686
-5.86793397,0.85069535,0.01106595,0.03432622,0.38474669,0.12334972,0.51787682,0.00000000,0.17520852,0.08783782
-5.86193097,0.90551716,0.01141432,0.03906111,0.41232724,0.13435392,0.54761382,0.00000000,0.18351419,0.09872628
-5.85592796,0.97110004,0.01179863,0.04459332,0.44447297,0.14711867,0.58359281,0.00000000,0.19368737,0.11146963
-5.84992496,1.04768756,0.01221686,0.05097920,0.48127446,0.16169020,0.62591278,0.00000000,0.20577891,0.12617579
-5.84392196,1.13543756,0.01266715,0.05827138,0.52278848,0.17809776,0.67462023,0.00000000,0.21983424,0.14293966
-5.83791896,1.23440762,0.01314779,0.06651719,0.56903023,0.19635024,0.72970132,0.00000000,0.23589142,0.16183937
-5.83191596,1.34453874,0.01365721,0.07575696,0.61996463,0.21643263,0.79107304,0.00000000,0.25397833,0.18293236
-5.82591296,1.46563801,0.01419393,0.08602227,0.67549724,0.23830262,0.85857354,0.00000000,0.27410909,0.20625156
-5.81990995,1.59736147,0.01475644,0.09733438,0.73546504,0.26188746,0.93195256,0.00000000,0.29627991,0.23180178
-5.81390695,1.73919831,0.01534307,0.10970266,0.79962803,0.28708136,1.01086247,0.00000000,0.32046461,0.25955666
-5.80790395,1.89045789,0.01595185,0.12312339,0.86766217,0.31374357,1.09485088,0.00000000,0.34661016,0.28945618
-5.80190095,2.05026090,0.01658029,0.13757877,0.93915428,0.34169740,1.18335563,0.00000000,0.37463250,0.32140514
-5.79589795,2.21753601,0.01722526,0.15303645,1.01359975,0.37073037,1.27570287,0.00000000,0.40441314,0.35527272
-5.78989495,2.39102320,0.01788286,0.16944943,1.09040359,0.40059568,1.37110915,0.00000000,0.43579674,0.39089319
-5.78389195,2.56928454,0.01854826,0.18675649,1.16888510,0.43101497,1.46868782,0.00000000,0.46859004,0.42806803
-5.77788894,2.75072309,0.01921571,0.20488321,1.24828678,0.46168260,1.56746029,0.00000000,0.50256249,0.46656928
-5.77188594,2.93360987,0.01987853,0.22374338,1.32778723,0.49227123,1.66637217,0.00000000,0.53744863,0.50614426
