energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,2.20757860,0.38600208,0.00938852,0.20633719,0.61687208,0.58179650,0.01472171,1.10204090
-5.99399700,2.27840748,0.39335961,0.00918304,0.21635186,0.64563069,0.59854561,0.01490280,1.13691377
-5.98799400,2.34676982,0.40051413,0.00905078,0.22610405,0.67398525,0.61375297,0.01509463,1.17094458
-5.98199100,2.41183901,0.40729562,0.00898484,0.23549397,0.70162769,0.62721081,0.01529650,1.20374712
-5.97598799,2.47291063,0.41354627,0.00897694,0.24443398,0.72826768,0.63876039,0.01550830,1.23499002
-5.96998499,2.52943415,0.41912626,0.00901781,0.25285159,0.75364116,0.64830016,0.01573069,1.26441219
-5.96398199,2.58103731,0.42391837,0.00909759,0.26069182,0.77751765,0.65579162,0.01596518,1.29183481
-5.95797899,2.62754152,0.42783124,0.00920613,0.26791873,0.79970573,0.66126235,0.01621417,1.31716883
-5.95197599,2.66896743,0.43080121,0.00933338,0.27451605,0.82005671,0.66480611,0.01648091,1.34041787
-5.94597299,2.70553001,0.43279264,0.00946971,0.28048688,0.83846606,0.66657976,0.01676939,1.36167595
-5.93996998,2.73762344,0.43379677,0.00960612,0.28585247,0.85487289,0.66679718,0.01708415,1.38112027
-5.93396698,2.76579625,0.43382931,0.00973454,0.29065010,0.86925732,0.66572031,0.01743003,1.39899926
-5.92796398,2.79071806,0.43292693,0.00984797,0.29493018,0.88163610,0.66364778,0.01781188,1.41561651
-5.92196098,2.81313952,0.43114288,0.00994057,0.29875279,0.89205667,0.66090166,0.01823417,1.43131132
-5.91595798,2.83384753,0.42854209,0.01000776,0.30218369,0.90059019,0.65781287,0.01870065,1.44643699
-5.90995498,2.85361802,0.42519604,0.01004621,0.30529017,0.90732375,0.65470603,0.01921396,1.46133787
-5.90395198,2.87316890,0.42117771,0.01005380,0.30813690,0.91235245,0.65188449,0.01977529,1.47632647
-5.89794897,2.89311570,0.41655698,0.01002954,0.31078197,0.91577171,0.64961626,0.02038406,1.49166192
-5.89194597,2.91393224,0.41139660,0.00997342,0.31327341,0.91767023,0.64812152,0.02103767,1.50753086
-5.88594297,2.93591857,0.40574916,0.00988630,0.31564633,0.91812414,0.64756245,0.02173135,1.52403199
-5.87993997,2.95917811,0.39965500,0.00976973,0.31792090,0.91719254,0.64803569,0.02245805,1.54116517
-5.87393697,2.98360513,0.39314128,0.00962579,0.32010120,0.91491474,0.64956804,0.02320853,1.55882563
-5.86793397,3.00888352,0.38622226,0.00945691,0.32217510,0.91130939,0.65211547,0.02397149,1.57680393
-5.86193097,3.03449713,0.37890054,0.00926573,0.32411511,0.90637541,0.65556546,0.02473379,1.59479163
-5.85592796,3.05975106,0.37116944,0.00905499,0.32588020,0.90009479,0.65974274,0.02548089,1.61239255
-5.84992496,3.08380319,0.36301600,0.00882739,0.32741845,0.89243692,0.66441789,0.02619723,1.62913913
-5.84392196,3.10570411,0.35442473,0.00858554,0.32867044,0.88336438,0.66931857,0.02686679,1.64451320
-5.83791896,3.12444376,0.34538157,0.00833190,0.32957309,0.87283956,0.67414277,0.02747367,1.65796992
-5.83191596,3.13900218,0.33587794,0.00806877,0.33006387,0.86083194,0.67857328,0.02800269,1.66896407
-5.82591296,3.14840187,0.32591465,0.00779830,0.33008501,0.84732542,0.68229296,0.02843998,1.67697699
-5.81990995,3.15175916,0.31550530,0.00752251,0.32958752,0.83232530,0.68499975,0.02877355,1.68154303
-5.81390695,3.14833184,0.30467913,0.00724334,0.32853489,0.81586453,0.68642101,0.02899384,1.68227415
-5.80790395,3.13756084,0.29348289,0.00696273,0.32690601,0.79800869,0.68632628,0.02909410,1.67888134
-5.80190095,3.11910375,0.28198201,0.00668264,0.32469751,0.77885956,0.68453809,0.02907076,1.67119179
-5.79589795,3.09285869,0.27026057,0.00640512,0.32192503,0.75855691,0.68094028,0.02892365,1.65916113
-5.78989495,3.05897748,0.25842043,0.00613240,0.31862360,0.73727852,0.67548347,0.02865606,1.64287998
-5.78389195,3.01786765,0.24657933,0.00586685,0.31484702,0.71523825,0.66818769,0.02827475,1.62257468
-5.77788894,2.97018336,0.23486827,0.00561107,0.31066628,0.69268239,0.65914201,0.02778975,1.59860221
-5.77188594,2.91680605,0.22342809,0.00536785,0.30616718,0.66988444,0.64850138,0.02721412,1.57143977
-5.76588294,2.85881609,0.21240560,0.00514019,0.30144714,0.64713855,0.63648097,0.02656353,1.54166949
-5.75987994,2.79745694,0.20194944,0.00493124,0.29661157,0.62475206,0.62334832,0.02585587,1.50995935
-5.75387694,2.73409395,0.19220569,0.00474428,0.29176986,0.60303742,0.60941393,0.02511064,1.47704121
-5.74787394,2.67016988,0.18331373,0.00458265,0.28703120,0.58230403,0.59502059,0.02434849,1.44368719
-5.74187094,2.60715940,0.17540220,0.00444972,0.28250055,0.56285025,0.58053215,0.02359057,1.41068551
-5.73586793,2.54652452,0.16858545,0.00434877,0.27827479,0.54495613,0.56632212,0.02285803,1.37881692
-5.72986493,2.48967301,0.16296049,0.00428299,0.27443937,0.52887699,0.55276271,0.02217145,1.34883281
-5.72386193,2.43792129,0.15860458,0.00425538,0.27106556,0.51483817,0.54021451,0.02155039,1.32143573
-5.71785893,2.39246284,0.15557343,0.00426872,0.26820829,0.50303120,0.52901730,0.02101292,1.29726291
-5.71185593,2.35434298,0.15390010,0.00432548,0.26590479,0.49361119,0.51948205,0.02057532,1.27687336
