energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,3.18948328,-1.42919402,0.01621919,-0.01290029,0.31598252,-0.09831715,1.98030180,-0.32590602,0.39293782,-0.17315005,0.03144799,-0.01624974,1.48999920,-0.74758683,0.54249765,-0.27056743,0.18800765,-0.07285121
-5.99399700,3.31970441,-1.42659281,0.01753093,-0.01199105,0.33492369,-0.09826457,2.12030330,-0.33697019,0.40338113,-0.16991212,0.03261389,-0.01591262,1.54593558,-0.74852591,0.55758637,-0.27589955,0.19761979,-0.07475365
-5.98799400,3.45545917,-1.44221781,0.01894138,-0.01125919,0.35535693,-0.10004267,2.26431536,-0.35557510,0.41509255,-0.16863407,0.03407624,-0.01590193,1.60301374,-0.75827906,0.57270604,-0.28386556,0.20748196,-0.07749472
-5.98199100,3.59627016,-1.47470557,0.02045664,-0.01068459,0.37717886,-0.10365606,2.41106224,-0.38170645,0.42813986,-0.16917876,0.03583832,-0.01620319,1.66105396,-0.77601429,0.58788051,-0.29410796,0.21755227,-0.08101341
-5.97598799,3.74159344,-1.52263332,0.02208250,-0.01024799,0.40025516,-0.10909849,2.55918306,-0.41535559,0.44257311,-0.17139292,0.03789760,-0.01680158,1.71988376,-0.80087786,0.60315053,-0.30626304,0.22778514,-0.08524600
-5.96998499,3.89082551,-1.58453410,0.02382423,-0.00993114,0.42442417,-0.11635141,2.70726615,-0.45651200,0.45842293,-0.17510964,0.04024555,-0.01768167,1.77933789,-0.83200518,0.61857396,-0.31996591,0.23813116,-0.09012727
-5.96398199,4.04331282,-1.65891340,0.02568630,-0.00971702,0.44950117,-0.12538266,2.85388677,-0.50515469,0.47569916,-0.18015120,0.04286767,-0.01882728,1.83925864,-0.86853245,0.63422575,-0.33485604,0.24853712,-0.09559158
-5.95797899,4.19836321,-1.74426708,0.02767204,-0.00959007,0.47528326,-0.13614533,2.99764652,-0.56124301,0.49438969,-0.18633225,0.04574363,-0.02022129,1.89949653,-0.90960888,0.65019770,-0.35058332,0.25894613,-0.10157406
-5.95197599,4.35525851,-1.83910010,0.02978333,-0.00953633,0.50155448,-0.14857687,3.13721265,-0.62470700,0.51445947,-0.19346323,0.04884760,-0.02184551,1.95991116,-0.95440898,0.66659788,-0.36681440,0.26929800,-0.10801168
-5.94597299,4.51326717,-1.94194573,0.03202027,-0.00954366,0.52809092,-0.16259861,3.27135533,-0.69543810,0.53584968,-0.20135397,0.05214871,-0.02368063,2.02037201,-1.00214469,0.68354959,-0.38323906,0.27952965,-0.11484427
-5.93996998,4.67165608,-2.05138447,0.03438081,-0.00960192,0.55466565,-0.17811567,3.39898101,-0.77328039,0.55847693,-0.20981733,0.05561168,-0.02570619,2.08075889,-1.05207685,0.70118973,-0.39957656,0.28957575,-0.12201532
-5.93396698,4.82970057,-2.16606217,0.03686047,-0.00970305,0.58105313,-0.19501721,3.51916011,-0.85802282,0.58223266,-0.21867278,0.05919747,-0.02790062,2.14096184,-1.10352565,0.71966637,-0.41558142,0.29936941,-0.12947268
-5.92796398,4.98669148,-2.28470671,0.03945200,-0.00984123,0.60703295,-0.21317733,3.63114737,-0.94939296,0.60698253,-0.22774984,0.06286415,-0.03024145,2.20087999,-1.15587956,0.73913531,-0.43104865,0.30884302,-0.13716903
-5.92196098,5.14193877,-2.40614256,0.04214513,-0.01001287,0.63239277,-0.23245630,3.73439386,-1.04705239,0.63256604,-0.23689120,0.06656768,-0.03270538,2.26041926,-1.20860240,0.75975568,-0.44581805,0.31792908,-0.14506206
-5.91595798,5.29477098,-2.52930276,0.04492639,-0.01021664,0.65693038,-0.25270228,3.82854962,-1.15059411,0.65879619,-0.24595550,0.07026291,-0.03526863,2.31948862,-1.26123832,0.78168419,-0.45977732,0.32656107,-0.15311443
-5.90995498,5.44453038,-2.65323773,0.04777897,-0.01045337,0.68045480,-0.27375348,3.91345682,-1.25954212,0.68545957,-0.25481962,0.07390440,-0.03790715,2.37799477,-1.31341435,0.80506831,-0.47286401,0.33467432,-0.16129356
-5.90395198,5.59056403,-2.77712079,0.05068274,-0.01072599,0.70278661,-0.29544056,3.98913363,-1.37335317,0.71231672,-0.26338038,0.07744743,-0.04059696,2.43583534,-1.36484055,0.83003821,-0.48506590,0.34220679,-0.16957102
-5.89794897,5.73221122,-2.90025003,0.05361431,-0.01103926,0.72375744,-0.31758938,4.05574962,-1.49142067,0.73910303,-0.27155572,0.08084886,-0.04331447,2.49289072,-1.41530768,0.85669773,-0.49642004,0.34909986,-0.17792188
-5.89194597,5.86878826,-3.02204663,0.05654726,-0.01139964,0.74320895,-0.34002378,4.11359406,-1.61308071,0.76553029,-0.27928516,0.08406794,-0.04603682,2.54901496,-1.46468259,0.88511477,-0.50701020,0.35529894,-0.18632382
-5.88594297,5.99957206,-3.14204983,0.05945251,-0.01181495,0.76099151,-0.36256850,4.16303902,-1.73761993,0.79128898,-0.28652963,0.08706714,-0.04874218,2.60402619,-1.51290156,0.91531124,-0.51696305,0.36075409,-0.19475615
-5.87993997,6.12378394,-3.25990894,0.06229881,-0.01229409,0.77696270,-0.38505198,4.20449939,-1.86428490,0.81605156,-0.29327074,0.08981280,-0.05141000,2.65769731,-1.55996194,0.94725339,-0.52644295,0.36542053,-0.20319882
-5.87393697,6.24057573,-3.37537283,0.06505336,-0.01284671,0.79098604,-0.40730902,4.23839239,-1.99229295,0.83947660,-0.29950945,0.09227577,-0.05402132,2.70974768,-1.60591258,0.98084282,-0.53564577,0.36925913,-0.21163144
-5.86793397,6.34901980,-3.48827783,0.06768257,-0.01348284,0.80293015,-0.42918321,4.26509916,-2.12084382,0.86121413,-0.30526423,0.09443189,-0.05655897,2.75983677,-1.65084355,1.01590908,-0.54479177,0.37223686,-0.22003245
-5.86193097,6.44810510,-3.59853453,0.07015290,-0.01421259,0.81266852,-0.45052916,4.28493094,-2.24913204,0.88091188,-0.31056891,0.09626238,-0.05900769,2.80756061,-1.69487564,1.05220429,-0.55411804,0.37432725,-0.22837845
