energy_ev,total_up,Al_p_up,Al_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,2.67142453,0.36654729,0.00000000,0.81449092,1.50005029,0.75637319,0.00000000
-5.99399700,2.69184311,0.36662667,0.00000000,0.83094100,1.50823227,0.75915604,0.00000000
-5.98799400,2.71600559,0.36732800,0.00000000,0.84908795,1.51833548,0.76331525,0.00000000
-5.98199100,2.74432599,0.36875224,0.00000000,0.86892177,1.53065633,0.76900269,0.00000000
-5.97598799,2.77710392,0.37098957,0.00000000,0.89038433,1.54543873,0.77632179,0.00000000
-5.96998499,2.81450855,0.37411629,0.00000000,0.91336713,1.56286517,0.78532132,0.00000000
-5.96398199,2.85656602,0.37819185,0.00000000,0.93771061,1.58304907,0.79599075,0.00000000
-5.95797899,2.90315110,0.38325604,0.00000000,0.96320547,1.60602900,0.80825746,0.00000000
-5.95197599,2.95398397,0.38932664,0.00000000,0.98959594,1.63176513,0.82198624,0.00000000
-5.94597299,3.00863256,0.39639756,0.00000000,1.01658517,1.66013818,0.83698097,0.00000000
-5.93996998,3.06652100,0.40443776,0.00000000,1.04384260,1.69095108,0.85298895,0.00000000
-5.93396698,3.12694381,0.41339088,0.00000000,1.07101322,1.72393347,0.86970745,0.00000000
-5.92796398,3.18908575,0.42317583,0.00000000,1.09772816,1.75874878,0.88679262,0.00000000
-5.92196098,3.25204640,0.43368828,0.00000000,1.12361644,1.79500377,0.90387026,0.00000000
-5.91595798,3.31486856,0.44480302,0.00000000,1.14831706,1.83226008,0.92054812,0.00000000
-5.90995498,3.37656915,0.45637711,0.00000000,1.17149100,1.87004724,0.93642923,0.00000000
-5.90395198,3.43617114,0.46825377,0.00000000,1.19283250,1.90787666,0.95112561,0.00000000
-5.89794897,3.49273506,0.48026675,0.00000000,1.21207887,1.94525579,0.96427179,0.00000000
-5.89194597,3.54538846,0.49224511,0.00000000,1.22901839,1.98170204,0.97553761,0.00000000
-5.88594297,3.59335205,0.50401808,0.00000000,1.24349593,2.01675557,0.98463945,0.00000000
-5.87993997,3.63596120,0.51541987,0.00000000,1.25541576,2.04999078,0.99134968,0.00000000
