energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,2.88816212,0.00943560,0.30726343,0.54404215,0.30679765,0.77770025,1.46479592,0.01278485,0.86548470
-5.99399700,2.95138297,0.00981048,0.30710049,0.56053444,0.31658619,0.78815017,1.48819212,0.01299716,0.90369263
-5.98799400,3.03088139,0.01022887,0.30891024,0.58089292,0.32808592,0.80399990,1.51948263,0.01322166,0.94699877
-5.98199100,3.12628529,0.01068762,0.31274585,0.60496830,0.34122984,0.82522330,1.55860361,0.01345244,0.99507311
-5.97598799,3.23680168,0.01118229,0.31860562,0.63252054,0.35590736,0.85165615,1.60528104,0.01368287,1.04746573
-5.96998499,3.36123095,0.01170719,0.32643227,0.66322207,0.37196632,0.88299734,1.65903659,0.01390585,1.10361465
-5.96398199,3.49799382,0.01225551,0.33611390,0.69666353,0.38921616,0.91881390,1.71919986,0.01411404,1.16285697
-5.95797899,3.64516978,0.01281944,0.34748655,0.73236167,0.40743232,0.95854984,1.78492670,0.01430020,1.22444305
-5.95197599,3.80054565,0.01339033,0.36033829,0.76976924,0.42636162,1.00153856,1.85522281,0.01445744,1.28755323
-5.94597299,3.96167243,0.01395889,0.37441470,0.80828673,0.44572848,1.04701826,1.92897164,0.01457946,1.35131642
-5.93996998,4.12592851,0.01451539,0.38942556,0.84727545,0.46524175,1.09415014,2.00496565,0.01466083,1.41483020
-5.93396698,4.29058720,0.01504984,0.40505246,0.88607181,0.48460200,1.14203863,2.08193983,0.01469709,1.47718154
-5.92796398,4.45288626,0.01555227,0.42095717,0.92400232,0.50350892,1.18975323,2.15860629,0.01468499,1.53746770
-5.92196098,4.61009740,0.01601292,0.43679041,0.96039890,0.52166877,1.23635119,2.23368874,0.01462247,1.59481671
-5.91595798,4.75959347,0.01642244,0.45220078,0.99461422,0.53880155,1.28090038,2.30595593,0.01450878,1.64840669
-5.90995498,4.89891158,0.01677215,0.46684362,1.02603651,0.55464775,1.32250176,2.37425278,0.01434442,1.69748366
-5.90395198,5.02581019,0.01705423,0.48038934,1.05410348,0.56897440,1.36031071,2.43752855,0.01413108,1.74137733
-5.89794897,5.13831873,0.01726186,0.49253126,1.07831505,0.58158045,1.39355664,2.49486106,0.01387156,1.77951445
-5.89194597,5.23477852,0.01738946,0.50299246,1.09824435,0.59230101,1.42156032,2.54547636,0.01356960,1.81142947
-5.88594297,5.31387398,0.01743277,0.51153169,1.11354688,0.60101071,1.44374853,2.58876353,0.01322975,1.83677225
-5.87993997,5.37465354,0.01738897,0.51794807,1.12396729,0.60762579,1.45966544,2.62428407,0.01285716,1.85531273
-5.87393697,5.41653997,0.01725680,0.52208456,1.12934394,0.61210505,1.46898081,2.65177594,0.01245742,1.86694257
-5.86793397,5.43933004,0.01703652,0.52383013,1.12961072,0.61444951,1.47149443,2.67115214,0.01203632,1.87167363
