energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.47079522,0.95828290,0.18314985,0.00089099,0.04724206,0.01662333,0.93577829,0.46620196,0.11991612
-5.99399700,1.41777271,0.91994068,0.17369421,0.00085438,0.04502052,0.01658941,0.90320344,0.43946329,0.11729509
-5.98799400,1.36430872,0.88164283,0.16458808,0.00081555,0.04271076,0.01649859,0.87037484,0.41266552,0.11458368
-5.98199100,1.31037410,0.84339071,0.15581269,0.00077468,0.04033923,0.01634845,0.83724600,0.38598914,0.11175581
-5.97598799,1.25599101,0.80522359,0.14735110,0.00073206,0.03793231,0.01613758,0.80380648,0.35961731,0.10879122
-5.96998499,1.20123394,0.76721861,0.13918932,0.00068802,0.03551565,0.01586565,0.77008323,0.33373144,0.10567615
-5.96398199,1.14622887,0.72948921,0.13131724,0.00064297,0.03311355,0.01553342,0.73614062,0.30850689,0.10240377
-5.95797899,1.09115087,0.69218233,0.12372917,0.00059734,0.03074854,0.01514270,0.70207918,0.28410902,0.09897445
-5.95197599,1.03622033,0.65547443,0.11642420,0.00055160,0.02844102,0.01469638,0.66803330,0.26068973,0.09539572
-5.94597299,0.98169795,0.61956675,0.10940625,0.00050621,0.02620902,0.01419834,0.63416787,0.23838465,0.09168216
-5.93996998,0.92787869,0.58467959,0.10268394,0.00046163,0.02406812,0.01365344,0.60067413,0.21731099,0.08785493
-5.93396698,0.87508492,0.55104625,0.09627024,0.00041827,0.02203141,0.01306737,0.56776474,0.19756609,0.08394122
-5.92796398,0.82365882,0.51890632,0.09018199,0.00037652,0.02010963,0.01244659,0.53566825,0.17922663,0.07997343
-5.92196098,0.77395436,0.48849892,0.08443924,0.00033671,0.01831135,0.01179822,0.50462321,0.16234858,0.07598823
-5.91595798,0.72632896,0.46005564,0.07906455,0.00029911,0.01664317,0.01112985,0.47487186,0.14696757,0.07202552
-5.90995498,0.68113511,0.43379365,0.07408225,0.00026395,0.01511008,0.01044946,0.44665385,0.13309984,0.06812725
-5.90395198,0.63871214,0.40990900,0.06951757,0.00023138,0.01371572,0.00976524,0.42019998,0.12074355,0.06433619
-5.89794897,0.59937847,0.38857033,0.06539601,0.00020149,0.01246278,0.00908548,0.39572619,0.10988029,0.06069476
-5.89194597,0.56342467,0.36991316,0.06174256,0.00017432,0.01135335,0.00841839,0.37342818,0.10047690,0.05724383
-5.88594297,0.53110740,0.35403504,0.05858120,0.00014986,0.01038923,0.00777203,0.35347663,0.09248731,0.05402169
-5.87993997,0.50264470,0.34099159,0.05593442,0.00012806,0.00957233,0.00715418,0.33601337,0.08585450,0.05106305
-5.87393697,0.47821283,0.33079384,0.05382302,0.00010883,0.00890496,0.00657229,0.32114864,0.08051241,0.04839834
-5.86793397,0.45794463,0.32340680,0.05226595,0.00009204,0.00839013,0.00603338,0.30895956,0.07638787,0.04605311
-5.86193097,0.44192974,0.31874949,0.05128050,0.00007755,0.00803186,0.00554406,0.29948985,0.07340247,0.04404769
-5.85592796,0.43021652,0.31669652,0.05088251,0.00006522,0.00783534,0.00511050,0.29275091,0.07147439,0.04239714
-5.84992496,0.42281559,0.31708118,0.05108684,0.00005487,0.00780718,0.00473845,0.28872412,0.07052013,0.04111129
-5.84392196,0.41970476,0.31969997,0.05190787,0.00004636,0.00795550,0.00443327,0.28736425,0.07045615,0.04019509
-5.83791896,0.42083514,0.32431847,0.05336010,0.00003952,0.00829001,0.00419997,0.28860382,0.07120049,0.03964914
-5.83191596,0.42613779,0.33067835,0.05545868,0.00003421,0.00882193,0.00404324,0.29235806,0.07267417,0.03947027
-5.82591296,0.43553061,0.33850516,0.05821995,0.00003031,0.00956395,0.00396752,0.29853028,0.07480251,0.03965226
-5.81990995,0.44892479,0.34751673,0.06166162,0.00002768,0.01052990,0.00397697,0.30701709,0.07751621,0.04018661
-5.81390695,0.46623040,0.35743156,0.06580292,0.00002624,0.01173449,0.00407549,0.31771330,0.08075221,0.04106318
-5.80790395,0.48736033,0.36797709,0.07066419,0.00002588,0.01319277,0.00426667,0.33051590,0.08445429,0.04227089
-5.80190095,0.51223236,0.37889713,0.07626624,0.00002656,0.01491953,0.00455374,0.34532700,0.08857330,0.04379811
-5.79589795,0.54076882,0.38995836,0.08262924,0.00002822,0.01692859,0.00493944,0.36205528,0.09306700,0.04563299
-5.78989495,0.57289365,0.40095538,0.08977109,0.00003081,0.01923192,0.00542590,0.38061578,0.09789961,0.04776355
-5.78389195,0.60852679,0.41171411,0.09770546,0.00003433,0.02183873,0.00601438,0.40092804,0.10304085,0.05017750
-5.77788894,0.64757609,0.42209342,0.10643946,0.00003877,0.02475441,0.00670518,0.42291247,0.10846463,0.05286187
-5.77188594,0.68992702,0.43198488,0.11597095,0.00004413,0.02797955,0.00749727,0.44648527,0.11414747,0.05580247
-5.76588294,0.73543084,0.44131070,0.12628584,0.00005045,0.03150888,0.00838816,0.47155203,0.12006659,0.05898307
