energy_ev,total_up,Cd_p_up,Cd_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-5.55577789,0.30148908,0.01757291,0.04884784,0.05973737,0.00260613,0.01041178,0.00330634,0.12522825
-5.54977489,0.30897784,0.01804171,0.05003732,0.06117490,0.00267170,0.01068181,0.00339078,0.12833313
-5.54377189,0.31462011,0.01841462,0.05091898,0.06222968,0.00272161,0.01089221,0.00345584,0.13066894
-5.53776888,0.31838750,0.01869309,0.05148590,0.06289154,0.00275566,0.01104310,0.00350143,0.13222333
-5.53176588,0.32031410,0.01888292,0.05174080,0.06316171,0.00277425,0.01113701,0.00352824,0.13300975
-5.52576288,0.32050098,0.01899463,0.05169667,0.06305349,0.00277835,0.01117906,0.00353773,0.13306936
-5.51975988,0.31911906,0.01904372,0.05137709,0.06259264,0.00276956,0.01117711,0.00353222,0.13247212
-5.51375688,0.31641025,0.01905088,0.05081642,0.06181745,0.00275009,0.01114182,0.00351488,0.13131728
-5.50775388,0.31268679,0.01904205,0.05005955,0.06077845,0.00272282,0.01108673,0.00348979,0.12973311
-5.50175088,0.30832890,0.01904841,0.04916144,0.05953772,0.00269119,0.01102814,0.00346184,0.12787587
-5.49574787,0.30378065,0.01910619,0.04818643,0.05816802,0.00265925,0.01098502,0.00343678,0.12592806
-5.48974487,0.29954410,0.01925641,0.04720722,0.05675147,0.00263155,0.01097887,0.00342110,0.12409601
-5.48374187,0.29617196,0.01954442,0.04630369,0.05537813,0.00261311,0.01103338,0.00342200,0.12260684
-5.47773887,0.29425864,0.02001938,0.04556148,0.05414426,0.00260931,0.01117420,0.00344726,0.12170468
-5.47173587,0.29442986,0.02073352,0.04507040,0.05315042,0.00262583,0.01142847,0.00350514,0.12164647
-5.46573287,0.29733093,0.02174127,0.04492264,0.05249938,0.00266850,0.01182436,0.00360422,0.12269704
-5.45972986,0.30361360,0.02309820,0.04521087,0.05229397,0.00274323,0.01239055,0.00375328,0.12512380
-5.45372686,0.31392176,0.02485987,0.04602616,0.05263474,0.00285585,0.01315555,0.00396107,0.12919076
-5.44772386,0.32887587,0.02708042,0.04745583,0.05361760,0.00301197,0.01414704,0.00423611,0.13515227
-5.44172086,0.34905636,0.02981103,0.04958115,0.05533136,0.00321683,0.01539106,0.00458650,0.14324619
-5.43571786,0.37498611,0.03309830,0.05247499,0.05785525,0.00347516,0.01691118,0.00501961,0.15368675
-5.42971486,0.40711233,0.03698241,0.05619939,0.06125644,0.00379098,0.01872758,0.00554187,0.16665724
-5.42371186,0.44578809,0.04149529,0.06080315,0.06558762,0.00416749,0.02085619,0.00615847,0.18230248
-5.41770885,0.49125411,0.04665874,0.06631949,0.07088467,0.00460685,0.02330766,0.00687306,0.20072146
-5.41170585,0.54362120,0.05248261,0.07276378,0.07716449,0.00511006,0.02608653,0.00768752,0.22196027
-5.40570285,0.60285427,0.05896308,0.08013148,0.08442310,0.00567685,0.02919035,0.00860166,0.24600565
-5.39969985,0.66875847,0.06608120,0.08839644,0.09263404,0.00630552,0.03260893,0.00961300,0.27277945
-5.39369685,0.74096850,0.07380170,0.09750955,0.10174729,0.00699289,0.03632378,0.01071656,0.30213437
-5.38769385,0.81894182,0.08207227,0.10739792,0.11168867,0.00773425,0.04030769,0.01190477,0.33385127
-5.38169085,0.90195669,0.09082331,0.11796466,0.12235988,0.00852338,0.04452458,0.01316732,0.36763851
-5.37568784,0.98911573,0.09996828,0.12908939,0.13363934,0.00935257,0.04892965,0.01449127,0.40313348
-5.36968484,1.07935559,0.10940473,0.14062956,0.14538374,0.01021277,0.05346979,0.01586106,0.43990665
-5.36368184,1.17146312,0.11901601,0.15242258,0.15743047,0.01109371,0.05808443,0.01725878,0.47746819
-5.35767884,1.26409813,0.12867374,0.16428872,0.16960091,0.01198417,0.06270657,0.01866444,0.51527737
-5.35167584,1.35582243,0.13824093,0.17603500,0.18170448,0.01287220,0.06726430,0.02005638,0.55275438
-5.34567284,1.44513474,0.14757578,0.18745966,0.19354341,0.01374548,0.07168252,0.02141177,0.58929459
-5.33966983,1.53051043,0.15653607,0.19835736,0.20491814,0.01459163,0.07588498,0.02270721,0.62428475
-5.33366683,1.61044487,0.16498387,0.20852479,0.21563311,0.01539858,0.07979646,0.02391935,0.65712060
-5.32766383,1.68349900,0.17279070,0.21776663,0.22550281,0.01615496,0.08334511,0.02502556,0.68722538
