energy_ev,total_up,Bi_p_up,Bi_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,1.36579159,0.17472833,0.01096073,0.14656792,1.24576562,0.00202923,0.06733752
-5.99399700,1.39230139,0.17697736,0.01138019,0.14250984,1.27610258,0.00198849,0.06544911
-5.98799400,1.42284486,0.17950376,0.01186826,0.13962596,1.30955429,0.00199353,0.06394873
-5.98199100,1.45679997,0.18215010,0.01242109,0.13776416,1.34560182,0.00204271,0.06280260
-5.97598799,1.49355046,0.18477454,0.01303425,0.13677681,1.38373135,0.00213397,0.06197473
-5.96998499,1.53249652,0.18725378,0.01370262,0.13652417,1.42344228,0.00226485,0.06142805
-5.96398199,1.57306178,0.18948510,0.01442040,0.13687709,1.46425213,0.00243249,0.06112552
-5.95797899,1.61469649,0.19138744,0.01518107,0.13771868,1.50569834,0.00263361,0.06103092
-5.95197599,1.65687742,0.19290158,0.01597730,0.13894528,1.54733724,0.00286449,0.06110958
-5.94597299,1.69910517,0.19398955,0.01680096,0.14046684,1.58874091,0.00312100,0.06132887
-5.93996998,1.74089968,0.19463333,0.01764308,0.14220669,1.62949266,0.00339860,0.06165854
-5.93396698,1.78179505,0.19483307,0.01849386,0.14410107,1.66918203,0.00369234,0.06207097
-5.92796398,1.82133486,0.19460495,0.01934275,0.14609846,1.70740050,0.00399695,0.06254138
-5.92196098,1.85906910,0.19397886,0.02017852,0.14815900,1.74373868,0.00430687,0.06304793
-5.91595798,1.89455357,0.19299615,0.02098949,0.15025398,1.77778610,0.00461634,0.06357192
-5.90995498,1.92735274,0.19170748,0.02176365,0.15236573,1.80913414,0.00491954,0.06409795
-5.90395198,1.95704656,0.19017099,0.02248904,0.15448786,1.83738261,0.00521066,0.06461423
-5.89794897,1.98324123,0.18845090,0.02315397,0.15662596,1.86215023,0.00548413,0.06511291
-5.89194597,2.00558401,0.18661651,0.02374745,0.15879869,1.88308861,0.00573467,0.06559055
-5.88594297,2.02378128,0.18474164,0.02425953,0.16103935,1.89989941,0.00595755,0.06604862
-5.87993997,2.03761910,0.18290455,0.02468173,0.16339770,1.91235368,0.00614868,0.06649409
-5.87393697,2.04698489,0.18118809,0.02500734,0.16594201,1.92031230,0.00630478,0.06694000
-5.86793397,2.05188895,0.17968012,0.02523184,0.16876101,1.92374615,0.00642352,0.06740596
-5.86193097,2.05248406,0.17847402,0.02535313,0.17196579,1.92275459,0.00650362,0.06791868
-5.85592796,2.04908165,0.17766900,0.02537179,0.17569121,1.91758072,0.00654495,0.06851219
-5.84992496,2.04216285,0.17737023,0.02529117,0.18009674,1.90862196,0.00654854,0.06922791
-5.84392196,2.03238323,0.17768854,0.02511742,0.18536652,1.89643473,0.00651663,0.07011454
-5.83791896,2.02056991,0.17873948,0.02485946,0.19170834,1.88173236,0.00645263,0.07122746
-5.83191596,2.00771047,0.18064182,0.02452872,0.19935161,1.86537532,0.00636104,0.07262794
-5.82591296,1.99493328,0.18351525,0.02413888,0.20854398,1.84835378,0.00624739,0.07438190
-5.81990995,1.98347943,0.18747740,0.02370548,0.21954679,1.83176245,0.00611806,0.07655833
-5.81390695,1.97466684,0.19264012,0.02324540,0.23262917,1.81676852,0.00598017,0.07922737
-5.80790395,1.96984772,0.19910525,0.02277632,0.24806097,1.80457348,0.00584137,0.08245813
-5.80190095,1.97036077,0.20695987,0.02231617,0.26610467,1.79637040,0.00570962,0.08631614
-5.79589795,1.97748011,0.21627145,0.02188241,0.28700637,1.79329827,0.00559306,0.09086081
-5.78989495,1.99236292,0.22708289,0.02149148,0.31098627,1.79639536,0.00549969,0.09614268
-5.78389195,2.01599820,0.23940795,0.02115821,0.33822883,1.80655370,0.00543728,0.10220078
-5.77788894,2.04915883,0.25322713,0.02089521,0.36887300,1.82447673,0.00541305,0.10906011
-5.77188594,2.09235943,0.26848450,0.02071249,0.40300292,1.85064219,0.00543361,0.11672944
-5.76588294,2.14582194,0.28508551,0.02061705,0.44063944,1.88527212,0.00550471,0.12519935
-5.75987994,2.20945073,0.30289608,0.02061263,0.48173288,1.92831158,0.00563112,0.13444095
-5.75387694,2.28281894,0.32174323,0.02069960,0.52615733,1.97941732,0.00581653,0.14440495
-5.74787394,2.36516668,0.34141709,0.02087493,0.57370697,2.03795722,0.00606347,0.15502154
-5.74187094,2.45541193,0.36167461,0.02113236,0.62409438,2.10302094,0.00637324,0.16620084
-5.73586793,2.55217380,0.38224462,0.02146263,0.67695146,2.17344155,0.00674587,0.17783410
-5.72986493,2.65380774,0.40283432,0.02185385,0.73183267,2.24782763,0.00718019,0.18979554
-5.72386193,2.75845149,0.42313691,0.02229202,0.78822093,2.32460464,0.00767382,0.20194492
-5.71785893,2.86408005,0.44284002,0.02276154,0.84553592,2.40206417,0.00822325,0.21413057
-5.71185593,2.96856781,0.46163477,0.02324584,0.90314480,2.47841904,0.00882398,0.22619299
-5.70585293,3.06975525,0.47922489,0.02372804,0.96037489,2.55186214,0.00947061,0.23796877
-5.69984992,3.16551779,0.49533578,0.02419161,1.01652817,2.62062665,0.01015702,0.24929479
-5.69384692,3.25383383,0.50972284,0.02462098,1.07089707,2.68304528,0.01087652,0.26001243
-5.68784392,3.33284951,0.52217893,0.02500215,1.12278102,2.73760589,0.01162207,0.26997175
-5.68184092,3.40093741,0.53254065,0.02532321,1.17150344,2.78300151,0.01238644,0.27903545
-5.67583792,3.45674700,0.54069296,0.02557475,1.21642832,2.81817252,0.01316240,0.28708248
-5.66983492,3.49924477,0.54657219,0.02575020,1.25697605,2.84233949,0.01394295,0.29401110
-5.66383192,3.52774252,0.55016723,0.02584600,1.29263785,2.85502518,0.01472143,0.29974139
-5.65782891,3.54191281,0.55151881,0.02586171,1.32298830,2.85606520,0.01549166,0.30421700
-5.65182591,3.54179114,0.55071702,0.02579989,1.34769551,2.84560670,0.01624812,0.30740627
-5.64582291,3.52776480,0.54789709,0.02566598,1.36652850,2.82409563,0.01698594,0.30930240
-5.63981991,3.50054925,0.54323367,0.02546794,1.37936169,2.79225297,0.01770098,0.30992297
-5.63381691,3.46115301,0.53693393,0.02521586,1.38617602,2.75104134,0.01838983,0.30930860
-5.62781391,3.41083284,0.52922961,0.02492149,1.38705702,2.70162341,0.01904973,0.30752103
-5.62181091,3.35104122,0.52036850,0.02459768,1.38218959,2.64531404,0.01967851,0.30464046
-5.61580790,3.28336839,0.51060563,0.02425776,1.37184995,2.58352830,0.02027448,0.30076248
-5.60980490,3.20948152,0.50019454,0.02391499,1.35639487,2.51772759,0.02083630,0.29599459
-5.60380190,3.13106368,0.48937890,0.02358196,1.33624886,2.44936619,0.02136285,0.29045245
-5.59779890,3.04975500,0.47838498,0.02327003,1.31188969,2.37984050,0.02185305,0.28425616
-5.59179590,2.96709859,0.46741501,0.02298888,1.28383294,2.31044295,0.02230583,0.27752646
-5.58579290,2.88449330,0.45664183,0.02274611,1.25261616,2.24232254,0.02271994,0.27038126
-5.57978989,2.80315518,0.44620495,0.02254694,1.21878344,2.17645335,0.02309399,0.26293249
-5.57378689,2.72408898,0.43620817,0.02239407,1.18287084,2.11361225,0.02342636,0.25528346
-5.56778389,2.64807069,0.42671875,0.02228756,1.14539349,2.05436644,0.02371530,0.24752669
-5.56178089,2.57564147,0.41776821,0.02222495,1.10683463,1.99907096,0.02395903,0.23974261
-5.55577789,2.50711282,0.40935456,0.02220143,1.06763714,1.94787619,0.02415580,0.23199874
-5.54977489,2.44258254,0.40144595,0.02221012,1.02819780,1.90074434,0.02430415,0.22434970
-5.54377189,2.38196011,0.39398544,0.02224244,0.98886418,1.85747416,0.02440306,0.21683792
-5.53776888,2.32500027,0.38689671,0.02228860,0.94993443,1.81773240,0.02445216,0.20949493
-5.53176588,2.27134277,0.38009032,0.02233810,0.91165943,1.78109029,0.02445195,0.20234316
-5.52576288,2.22055624,0.37347037,0.02238028,0.87424725,1.74706333,0.02440392,0.19539831
-5.51975988,2.17218407,0.36694105,0.02240485,0.83786922,1.71515241,0.02431075,0.18867186
-5.51375688,2.12578993,0.36041296,0.02240245,0.80266733,1.68488439,0.02417630,0.18217376
-5.50775388,2.08100085,0.35380873,0.02236515,0.76876215,1.65585022,0.02400565,0.17591522
-5.50175088,2.03754590,0.34706782,0.02228687,0.73626087,1.62773909,0.02380501,0.16991115
-5.49574787,1.99528868,0.34015016,0.02216377,0.70526483,1.60036706,0.02358153,0.16418243
-5.48974487,1.95425240,0.33303864,0.02199448,0.67587599,1.57369909,0.02334308,0.15875766
-5.48374187,1.91463645,0.32574026,0.02178032,0.64820209,1.54786377,0.02309793,0.15367443
-5.47773887,1.87682401,0.31828593,0.02152534,0.62236006,1.52316009,0.02285439,0.14897987
-5.47173587,1.84138046,0.31072906,0.02123631,0.59847756,1.50005636,0.02262039,0.14473066
-5.46573287,1.80904302,0.30314295,0.02092257,0.57669264,1.47918143,0.02240310,0.14099221
-5.45972986,1.78070205,0.29561733,0.02059583,0.55715154,1.46130870,0.02220853,0.13783730
-5.45372686,1.75737515,0.28825405,0.02026984,0.54000494,1.44733369,0.02204116,0.13534406
-5.44772386,1.74017510,0.28116234,0.01996005,0.52540271,1.43824626,0.02190368,0.13359338
-5.44172086,1.73027312,0.27445389,0.01968317,0.51348783,1.43509848,0.02179672,0.13266594
-5.43571786,1.72885879,0.26823786,0.01945672,0.50438960,1.43896945,0.02171884,0.13263887
-5.42971486,1.73709832,0.26261628,0.01929852,0.49821669,1.45092830,0.02166643,0.13358231
-5.42371186,1.75609249,0.25767984,0.01922622,0.49505040,1.47199659,0.02163387,0.13555582
-5.41770885,1.78683581,0.25350442,0.01925680,0.49493858,1.50311151,0.02161374,0.13860498
-5.41170585,1.83017817,0.25014833,0.01940610,0.49789044,1.54509072,0.02159715,0.14275822
-5.40570285,1.88679020,0.24765045,0.01968839,0.50387253,1.59860014,0.02157411,0.14802406
-5.39969985,1.95713325,0.24602927,0.02011593,0.51280624,1.66412558,0.02153400,0.15438882
-5.39369685,2.04143511,0.24528271,0.02069864,0.52456677,1.74194884,0.02146608,0.16181501
