energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,6.60587029,0.71226413,1.96647791,0.03882591,0.49694293,1.37210131,1.45516380,0.06789029,1.80515064
-5.99399700,6.55272150,0.70883026,1.95885798,0.03709594,0.49447915,1.37355858,1.44690964,0.06669758,1.79117101
-5.98799400,6.50593094,0.70514289,1.95650523,0.03541998,0.49136730,1.37598639,1.43874430,0.06539283,1.77839222
-5.98199100,6.46981764,0.70174950,1.96073886,0.03382730,0.48792557,1.38023070,1.43156180,0.06402211,1.76800400
-5.97598799,6.44868635,0.69923672,1.97278626,0.03234618,0.48449658,1.38715548,1.42628514,0.06263333,1.76122593
-5.96998499,6.44669389,0.69821437,1.99374292,0.03100324,0.48143661,1.39761304,1.42383796,0.06127488,1.75927044
-5.96398199,6.46771391,0.69929733,2.02453471,0.02982281,0.47910396,1.41241283,1.42511518,0.05999416,1.76330374
-5.95797899,6.51520448,0.70308579,2.06588389,0.02882626,0.47784705,1.43228979,1.43095350,0.05883625,1.77440575
-5.95197599,6.59208342,0.71014449,2.11828017,0.02803153,0.47799252,1.45787373,1.44210276,0.05784257,1.79353057
-5.94597299,6.70061565,0.72098168,2.18195772,0.02745258,0.47983402,1.48966081,1.45919922,0.05704976,1.82146876
-5.93996998,6.84231682,0.73602837,2.25687923,0.02709903,0.48362188,1.52798844,1.48274167,0.05648870,1.85881276
-5.93396698,7.01787674,0.75561897,2.34272743,0.02697591,0.48955424,1.57301470,1.51307113,0.05618369,1.90592693
-5.92796398,7.22710564,0.77997372,2.43890476,0.02708341,0.49776988,1.62470308,1.55035485,0.05615189,1.96292320
-5.92196098,7.46890539,0.80918396,2.54454099,0.02741684,0.50834294,1.68281341,1.59457516,0.05640300,2.02964355
-5.91595798,7.74126719,0.84320070,2.65850895,0.02796666,0.52127979,1.74689950,1.64552348,0.05693907,2.10565017
-5.90995498,8.04129617,0.88182730,2.77944778,0.02871863,0.53651808,1.81631349,1.70279980,0.05775460,2.19022383
-5.90395198,8.36526269,0.92471654,2.90579321,0.02965400,0.55392798,1.89021718,1.76581749,0.05883679,2.28237099
-5.89794897,8.70867920,0.97137259,3.03581390,0.03074995,0.57331546,1.96759982,1.83381347,0.06016599,2.38083973
-5.89194597,9.06640067,1.02115796,3.16765301,0.03197995,0.59442755,2.04730204,1.90586337,0.06171625,2.48414427
-5.88594297,9.43274616,1.07330551,3.29937371,0.03331435,0.61695934,2.12804490,1.98090136,0.06345605,2.59059770
-5.87993997,9.80163805,1.12693529,3.42900743,0.03472097,0.64056240,2.20846349,2.05774401,0.06534909,2.69835219
-5.87393697,10.16675537,1.18107592,3.55460363,0.03616584,0.66485438,2.28714355,2.13511778,0.06735519,2.80544556
-5.86793397,10.52169680,1.23468984,3.67427960,0.03761388,0.68942944,2.36266037,2.21168917,0.06943123,2.90985304
-5.86193097,10.86014894,1.28670185,3.78626908,0.03902976,0.71386920,2.43361828,2.28609710,0.07153216,3.00954266
-5.85592796,11.17605484,1.33602987,3.88896836,0.04037867,0.73775388,2.49868975,2.35698635,0.07361199,3.10253258
-5.84992496,11.46377819,1.38161710,3.98097862,0.04162719,0.76067324,2.55665266,2.42304155,0.07562484,3.18694853
-5.84392196,11.71825793,1.42246430,4.06114327,0.04274408,0.78223706,2.60642463,2.48302055,0.07752592,3.26107942
-5.83791896,11.93514881,1.45766114,4.12857945,0.04370106,0.80208494,2.64709321,2.53578647,0.07927257,3.32342929
-5.83191596,12.11094335,1.48641537,4.18270243,0.04447350,0.81989503,2.67794104,2.58033744,0.08082517,3.37276362
-5.82591296,12.24307121,1.50807875,4.22324249,0.04504104,0.83539159,2.69846525,2.61583320,0.08214803,3.40814823
-5.81990995,12.32997250,1.52216871,4.25025335,0.04538812,0.84835106,2.70839028,2.64161772,0.08321018,3.42897951
-5.81390695,12.37114237,1.52838485,4.26411196,0.04550430,0.85860676,2.70767412,2.65723719,0.08398608,3.43500435
-5.80790395,12.36714513,1.52661958,4.26550942,0.04538454,0.86605175,2.69650738,2.66245259,0.08445611,3.42632927
