energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,9.82325821,1.37292825,1.60945266,0.02720998,1.13002667,3.94142552,2.96227013,0.12918383,3.25227113
-5.99399700,9.76519253,1.37213001,1.60281005,0.02713354,1.10616119,3.91769342,2.92374822,0.13310603,3.24967463
-5.98799400,9.69131990,1.36437076,1.59115842,0.02694514,1.08486567,3.89183116,2.88589693,0.13680286,3.23692307
-5.98199100,9.59957933,1.34972714,1.57432442,0.02665513,1.06566478,3.86278415,2.84782802,0.14019926,3.21357254
-5.97598799,9.48830726,1.32841768,1.55224517,0.02627595,1.04805274,3.82957443,2.80867669,0.14322272,3.17940160
-5.96998499,9.35630394,1.30079967,1.52497182,0.02582172,1.03151108,3.79134166,2.76763265,0.14580523,3.13442328
-5.96398199,9.20288236,1.26736157,1.49266904,0.02530795,1.01552606,3.74737975,2.72396826,0.14788517,3.07888903
-5.95797899,9.02789936,1.22871114,1.45561049,0.02475102,0.99960547,3.69716862,2.67706345,0.14940914,3.01328467
-5.95197599,8.83176893,1.18555987,1.41417091,0.02416781,0.98329440,3.64040021,2.62642698,0.15033354,2.93831880
-5.94597299,8.61545835,1.13870407,1.36881510,0.02357524,0.96618963,3.57699836,2.57171361,0.15062597,2.85490427
-5.93996998,8.38046823,1.08900370,1.32008461,0.02298985,0.94795244,3.50713211,2.51273715,0.15026635,2.76413378
-5.93396698,8.12879798,1.03735934,1.26858270,0.02242739,0.92831930,3.43122213,2.44947892,0.14924767,2.66725047
-5.92796398,7.86289845,0.98468849,1.21495835,0.02190246,0.90711030,3.34994011,2.38209161,0.14757640,2.56561486
-5.92196098,7.58561370,0.93190195,1.15988996,0.02142821,0.88423508,3.26420124,2.31089831,0.14527244,2.46066942
-5.91595798,7.30011411,0.87988101,1.10406959,0.02101602,0.85969595,3.17514990,2.23638692,0.14236878,2.35390200
-5.90995498,7.00982315,0.82945646,1.04818803,0.02067534,0.83358823,3.08413900,2.15919986,0.13891059,2.24680941
-5.90395198,6.71834015,0.78138986,0.99292146,0.02041354,0.80609780,2.99270347,2.08011937,0.13495413,2.14086240
-5.89794897,6.42936147,0.73635779,0.93892012,0.02023580,0.77749586,2.90252882,2.00004898,0.13056515,2.03747313
-5.89194597,6.14660236,0.69493936,0.88679896,0.02014514,0.74813117,2.81541548,1.91999136,0.12581710,1.93796601
-5.88594297,5.87372179,0.65760737,0.83713088,0.02014247,0.71842007,2.73324021,1.84102357,0.12078915,1.84355280
-5.87993997,5.61425222,0.62472316,0.79044214,0.02022668,0.68883462,2.65791543,1.76427020,0.11556401,1.75531249
-5.87393697,5.37153605,0.59653500,0.74721022,0.02039489,0.65988922,2.59134800,1.69087541,0.11022577,1.67417636
-5.86793397,5.14867018,0.57318011,0.70786370,0.02064263,0.63212634,2.53539823,1.62197467,0.10485768,1.60091839
-5.86193097,4.94845979,0.55468970,0.67278387,0.02096416,0.60610168,2.49184051,1.55866719,0.09954018,1.53615099
