energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.75788235,0.04869604,0.10463051,0.62079695,0.47766368,0.00107855,0.68566918,0.49165423,0.09170749
-5.99399700,1.72933533,0.04468658,0.10815497,0.61133493,0.47201026,0.00109656,0.66667020,0.47397998,0.09157604
-5.98799400,1.69987918,0.04079844,0.11132554,0.60090577,0.46603585,0.00112559,0.64762879,0.45671128,0.09138903
-5.98199100,1.67013075,0.03707636,0.11412538,0.58966536,0.45986263,0.00116761,0.62887154,0.44014918,0.09116466
-5.97598799,1.64072535,0.03355827,0.11655013,0.57778075,0.45362314,0.00122472,0.61071514,0.42457431,0.09092534
-5.96998499,1.61230935,0.03027485,0.11860797,0.56542923,0.44745886,0.00129919,0.59346259,0.41024201,0.09069780
-5.96398199,1.58553058,0.02724944,0.12031907,0.55279662,0.44151804,0.00139336,0.57739935,0.39737797,0.09051285
-5.95797899,1.56102632,0.02449810,0.12171447,0.54007461,0.43595245,0.00150969,0.56278935,0.38617440,0.09040493
-5.95197599,1.53940868,0.02202989,0.12283429,0.52745712,0.43091325,0.00165062,0.54987076,0.37678657,0.09041123
-5.94597299,1.52124780,0.01984735,0.12372555,0.51513567,0.42654598,0.00181861,0.53885142,0.36932990,0.09057055
-5.93996998,1.50705308,0.01794703,0.12443948,0.50329388,0.42298487,0.00201601,0.52990410,0.36387744,0.09092185
-5.93396698,1.49725350,0.01632019,0.12502869,0.49210155,0.42034673,0.00224503,0.52316161,0.36045794,0.09150262
-5.92796398,1.49217776,0.01495354,0.12554409,0.48170822,0.41872470,0.00250763,0.51871212,0.35905445,0.09234712
-5.92196098,1.49203550,0.01382997,0.12603208,0.47223707,0.41818239,0.00280549,0.51659480,0.35960375,0.09348454
-5.91595798,1.49690079,0.01292932,0.12653171,0.46377911,0.41874853,0.00313988,0.51679620,0.36199664,0.09493728
-5.90995498,1.50669903,0.01222914,0.12707246,0.45638838,0.42041276,0.00351158,0.51924775,0.36607920,0.09671933
-5.90395198,1.52119855,0.01170539,0.12767235,0.45007837,0.42312273,0.00392084,0.52382448,0.37165523,0.09883493
-5.89794897,1.54000749,0.01133312,0.12833680,0.44481999,0.42678291,0.00436725,0.53034544,0.37848987,0.10127759
-5.89194597,1.56257699,0.01108709,0.12905806,0.44054134,0.43125517,0.00484971,0.53857595,0.38631451,0.10402948
-5.88594297,1.58821074,0.01094233,0.12981545,0.43712939,0.43636134,0.00536636,0.54823168,0.39483281,0.10706127
-5.87993997,1.61608093,0.01087464,0.13057627,0.43443360,0.44188767,0.00591451,0.55898473,0.40372796,0.11033245
-5.87393697,1.64525027,0.01086104,0.13129737,0.43227125,0.44759104,0.00649071,0.57047147,0.41267075,0.11379214
-5.86793397,1.67469922,0.01088017,0.13192726,0.43043453,0.45320676,0.00709064,0.58230197,0.42132836,0.11738035
-5.86193097,1.70335744,0.01091258,0.13240874,0.42869872,0.45845750,0.00770922,0.59407072,0.42937359,0.12102955
-5.85592796,1.73013809,0.01094102,0.13268176,0.42683135,0.46306308,0.00834063,0.60536821,0.43649405,0.12466675
-5.84992496,1.75397362,0.01095060,0.13268652,0.42460182,0.46675054,0.00897843,0.61579296,0.44240108,0.12821569
-5.84392196,1.77385132,0.01092895,0.13236645,0.42179088,0.46926416,0.00961562,0.62496353,0.44683798,0.13159928
-5.83791896,1.78884728,0.01086631,0.13167111,0.41819978,0.47037478,0.01024483,0.63252993,0.44958724,0.13474214
-5.83191596,1.79815722,0.01075547,0.13055880,0.41365833,0.46988823,0.01085849,0.63818418,0.45047644,0.13757307
-5.82591296,1.80112297,0.01059178,0.12899867,0.40803188,0.46765225,0.01144901,0.64166940,0.44938264,0.14002752
-5.81990995,1.79725365,0.01037300,0.12697236,0.40122656,0.46356183,0.01200902,0.64278732,0.44623500,0.14204979
-5.81390695,1.78624074,0.01009914,0.12447508,0.39319286,0.45756261,0.01253159,0.64140375,0.44101572,0.14359512
-5.80790395,1.76796673,0.00977226,0.12151604,0.38392734,0.44965242,0.01301049,0.63745211,0.43375916,0.14463136
-5.80190095,1.74250728,0.00939619,0.11811831,0.37347241,0.43988074,0.01344044,0.63093478,0.42454931,0.14514039
-5.79589795,1.71012700,0.00897626,0.11431812,0.36191439,0.42834645,0.01381734,0.62192234,0.41351575,0.14511910
-5.78989495,1.67126939,0.00851898,0.11016361,0.34937993,0.41519381,0.01413847,0.61055093,0.40082835,0.14458008
-5.78389195,1.62654163,0.00803175,0.10571322,0.33603104,0.40060709,0.01440274,0.59701779,0.38669091,0.14355178
-5.77788894,1.57669498,0.00752251,0.10103368,0.32205898,0.38480402,0.01461082,0.58157525,0.37133418,0.14207837
-5.77188594,1.52260176,0.00699946,0.09619783,0.30767736,0.36802851,0.01476525,0.56452346,0.35500839,0.14021908
-5.76588294,1.46522984,0.00647075,0.09128226,0.29311470,0.35054284,0.01487049,0.54620208,0.33797566,0.13804731
-5.75987994,1.40561557,0.00594425,0.08636492,0.27860682,0.33261970,0.01493295,0.52698122,0.32050263,0.13564916
-5.75387694,1.34483605,0.00542734,0.08152286,0.26438924,0.31453442,0.01496089,0.50725196,0.30285342,0.13312178
-5.74787394,1.28398155,0.00492668,0.07682997,0.25068990,0.29655753,0.01496429,0.48741656,0.28528313,0.13057130
-5.74187094,1.22412868,0.00444813,0.07235507,0.23772248,0.27894792,0.01495464,0.46787877,0.26803218,0.12811041
-5.73586793,1.16631506,0.00399662,0.06816011,0.22568031,0.26194685,0.01494464,0.44903419,0.25132134,0.12585584
-5.72986493,1.11151578,0.00357612,0.06429875,0.21473114,0.24577271,0.01494790,0.43126111,0.23534775,0.12392547
-5.72386193,1.06062214,0.00318958,0.06081517,0.20501291,0.23061680,0.01497848,0.41491189,0.22028177,0.12243534
-5.71785893,1.01442301,0.00283901,0.05774321,0.19663036,0.21664005,0.01505051,0.40030491,0.20626473,0.12149661
-5.71185593,0.97358886,0.00252548,0.05510588,0.18965278,0.20397075,0.01517767,0.38771746,0.19340762,0.12121243
-5.70585293,0.93865893,0.00224921,0.05291505,0.18411276,0.19270313,0.01537273,0.37737950,0.18179049,0.12167492
-5.69984992,0.91003142,0.00200964,0.05117156,0.18000596,0.18289696,0.01564709,0.36946855,0.17146271,0.12296225
-5.69384692,0.88795703,0.00180556,0.04986552,0.17729188,0.17457781,0.01601026,0.36410571,0.16244385,0.12513603
-5.68784392,0.87253584,0.00163515,0.04897692,0.17589567,0.16773827,0.01646950,0.36135307,0.15472530,0.12823894
-5.68184092,0.86371759,0.00149618,0.04847648,0.17571077,0.16233967,0.01702941,0.36121246,0.14827241,0.13229280
-5.67583792,0.86130553,0.00138600,0.04832667,0.17660258,0.15831458,0.01769169,0.36362568,0.14302716,0.13729715
-5.66983492,0.86496357,0.00130175,0.04848297,0.17841273,0.15556972,0.01845490,0.36847633,0.13891136,0.14322840
-5.66383192,0.87422688,0.00124035,0.04889533,0.18096418,0.15398943,0.01931434,0.37559302,0.13583025,0.15003950
-5.65782891,0.88851556,0.00119868,0.04950969,0.18406685,0.15343946,0.02026211,0.38475427,0.13367638,0.15766037
-5.65182591,0.90715130,0.00117356,0.05026966,0.18752367,0.15377108,0.02128712,0.39569470,0.13233384,0.16599892
-5.64582291,0.92937653,0.00116189,0.05111827,0.19113687,0.15482537,0.02237540,0.40811256,0.13168268,0.17494274
-5.63981991,0.95437566,0.00116067,0.05199967,0.19471442,0.15643762,0.02351031,0.42167838,0.13160340,0.18436146
-5.63381691,0.98129790,0.00116707,0.05286090,0.19807629,0.15844176,0.02467303,0.43604456,0.13198143,0.19410961
-5.62781391,1.00928104,0.00117845,0.05365348,0.20106048,0.16067462,0.02584296,0.45085547,0.13271156,0.20403006
-5.62181091,1.03747542,0.00119240,0.05433499,0.20352843,0.16298004,0.02699832,0.46575809,0.13370209,0.21395783
-5.61580790,1.06506759,0.00120681,0.05487034,0.20536982,0.16521265,0.02811668,0.48041242,0.13487865,0.22372420
-5.60980490,1.09130276,0.00121982,0.05523292,0.20650647,0.16724123,0.02917562,0.49450184,0.13618757,0.23316106
-5.60380190,1.11550546,0.00122990,0.05540544,0.20689517,0.16895161,0.03015332,0.50774259,0.13759865,0.24210525
-5.59779890,1.13709776,0.00123584,0.05538047,0.20652942,0.17024896,0.03102914,0.51989247,0.13910725,0.25040286
-5.59179590,1.15561445,0.00123673,0.05516066,0.20543996,0.17105955,0.03178420,0.53075817,0.14073559,0.25791332
-5.58579290,1.17071470,0.00123202,0.05475869,0.20369398,0.17133181,0.03240189,0.54020114,0.14253322,0.26451313
-5.57978989,1.18218986,0.00122145,0.05419676,0.20139317,0.17103672,0.03286829,0.54814174,0.14457652,0.27009919
-5.57378689,1.18996717,0.00120509,0.05350586,0.19867058,0.17016764,0.03317252,0.55456141,0.14696726,0.27459144
-5.56778389,1.19410918,0.00118331,0.05272475,0.19568630,0.16873944,0.03330703,0.55950291,0.14983019,0.27793496
-5.56178089,1.19480889,0.00115674,0.05189855,0.19262229,0.16678709,0.03326772,0.56306849,0.15330964,0.28010128
-5.55577789,1.19238089,0.00112630,0.05107722,0.18967634,0.16436381,0.03305405,0.56541592,0.15756524,0.28108886
-5.54977489,1.18724857,0.00109311,0.05031385,0.18705548,0.16153866,0.03266896,0.56675265,0.16276672,0.28092281
-5.54377189,1.17992785,0.00105853,0.04966273,0.18496886,0.15839392,0.03211874,0.56732810,0.16908804,0.27965375
-5.53776888,1.17100801,0.00102409,0.04917746,0.18362061,0.15502211,0.03141284,0.56742431,0.17670087,0.27735588
-5.53176588,1.16113004,0.00099147,0.04890898,0.18320256,0.15152296,0.03056352,0.56734529,0.18576762,0.27412431
-5.52576288,1.15096329,0.00096246,0.04890373,0.18388733,0.14800014,0.02958551,0.56740528,0.19643427,0.27007172
-5.51975988,1.14118120,0.00093898,0.04920183,0.18582179,0.14455822,0.02849557,0.56791646,0.20882322,0.26532448
-5.51375688,1.13243678,0.00092297,0.04983553,0.18912127,0.14129953,0.02731203,0.56917638,0.22302630,0.26001834
-5.50775388,1.12533872,0.00091643,0.05082780,0.19386458,0.13832137,0.02605429,0.57145569,0.23909844,0.25429385
-5.50175088,1.12042903,0.00092135,0.05219126,0.20009006,0.13571332,0.02474235,0.57498649,0.25705203,0.24829175
-5.49574787,1.11816293,0.00093969,0.05392737,0.20779289,0.13355502,0.02339625,0.57995199,0.27685243,0.24214830
-5.48974487,1.11889169,0.00097332,0.05602604,0.21692359,0.13191415,0.02203568,0.58647769,0.29841481,0.23599105
-5.48374187,1.12284931,0.00102402,0.05846552,0.22738799,0.13084491,0.02067947,0.59462461,0.32160254,0.22993489
-5.47773887,1.13014327,0.00109343,0.06121274,0.23904862,0.13038693,0.01934522,0.60438490,0.34622730,0.22407876
-5.47173587,1.14075002,0.00118295,0.06422400,0.25172755,0.13056457,0.01804895,0.61568003,0.37205110,0.21850307
-5.46573287,1.15451527,0.00129377,0.06744604,0.26521061,0.13138671,0.01680483,0.62836174,0.39879013,0.21326791
-5.45972986,1.17115920,0.00142677,0.07081744,0.27925292,0.13284693,0.01562492,0.64221576,0.42612052,0.20841211
-5.45372686,1.19028633,0.00158248,0.07427036,0.29358560,0.13492416,0.01451907,0.65696826,0.45368575,0.20395330
-5.44772386,1.21139972,0.00176103,0.07773244,0.30792340,0.13758366,0.01349479,0.67229469,0.48110569,0.19988872
-5.44172086,1.23391900,0.00196207,0.08112901,0.32197311,0.14077836,0.01255726,0.68783079,0.50798671,0.19619689
-5.43571786,1.25720138,0.00218479,0.08438530,0.33544235,0.14445044,0.01170937,0.70318531,0.53393275,0.19284003
-5.42971486,1.28056482,0.00242782,0.08742874,0.34804859,0.14853316,0.01095180,0.71795386,0.55855677,0.18976700
-5.42371186,1.30331243,0.00268923,0.09019121,0.35952788,0.15295284,0.01028321,0.73173335,0.58149223,0.18691668
-5.41770885,1.32475716,0.00296652,0.09261116,0.36964322,0.15763095,0.00970040,0.74413641,0.60240403,0.18422162
-5.41170585,1.34424559,0.00325661,0.09463548,0.37819198,0.16248611,0.00919856,0.75480523,0.62099861,0.18161172
-5.40570285,1.36118020,0.00355591,0.09622115,0.38501240,0.16743625,0.00877152,0.76342413,0.63703269,0.17901787
-5.39969985,1.37503900,0.00386029,0.09733654,0.38998869,0.17240050,0.00841201,0.76973060,0.65032034,0.17637526
-5.39369685,1.38539211,0.00416523,0.09796233,0.39305469,0.17730106,0.00811197,0.77352414,0.66073824,0.17362634
-5.38769385,1.39191462,0.00446586,0.09809202,0.39419594,0.18206486,0.00786278,0.77467283,0.66822870,0.17072330
-5.38169085,1.39439553,0.00475709,0.09773203,0.39345009,0.18662501,0.00765558,0.77311739,0.67280065,0.16762994
-5.37568784,1.39274254,0.00503375,0.09690148,0.39090574,0.19092203,0.00748152,0.76887263,0.67452852,0.16432295
-5.36968484,1.38698293,0.00529068,0.09563144,0.38669971,0.19490489,0.00733197,0.76202647,0.67354899,0.16079259
-5.36368184,1.37726056,0.00552297,0.09396401,0.38101293,0.19853175,0.00719877,0.75273664,0.67005612,0.15704275
-5.35767884,1.36382956,0.00572602,0.09195099,0.37406515,0.20177045,0.00707441,0.74122537,0.66429483,0.15309058
-5.35167584,1.34704500,0.00589575,0.08965241,0.36610867,0.20459878,0.00695218,0.72777238,0.65655322,0.14896553
-5.34567284,1.32735115,0.00602870,0.08713483,0.35742127,0.20700449,0.00682631,0.71270652,0.64715401,0.14470813
-5.33966983,1.30526798,0.00612220,0.08446961,0.34829875,0.20898502,0.00669204,0.69639654,0.63644546,0.14036852
-5.33366683,1.28137620,0.00617441,0.08173107,0.33904713,0.21054706,0.00654568,0.67924119,0.62479200,0.13600469
-5.32766383,1.25630169,0.00618443,0.07899472,0.32997496,0.21170581,0.00638464,0.66165926,0.61256512,0.13168080
-5.32166083,1.23069952,0.00615232,0.07633551,0.32138569,0.21248406,0.00620741,0.64407956,0.60013443,0.12746537
-5.31565783,1.20523810,0.00607912,0.07382623,0.31357052,0.21291109,0.00601353,0.62693136,0.58785940,0.12342961
-5.30965483,1.18058380,0.00596681,0.07153601,0.30680174,0.21302136,0.00580349,0.61063529,0.57608178,0.11964578
-5.30365183,1.15738626,0.00581826,0.06952895,0.30132672,0.21285311,0.00557868,0.59559501,0.56511892,0.11618580
-5.29764882,1.13626461,0.00563715,0.06786296,0.29736260,0.21244687,0.00534122,0.58218962,0.55525790,0.11311987
