energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,7.86961869,-7.82364600,0.71086095,-0.72028994,0.39596721,-0.39754389,0.07254994,-0.07305139,1.29306989,-1.26494924,1.03882308,-1.01145630,0.90815006,-0.89777589,0.10228931,-0.10356114,2.58927843,-2.59791480
-5.99399700,7.94208212,-7.90301289,0.70437004,-0.71496133,0.39723203,-0.39910325,0.07228334,-0.07290133,1.31771835,-1.29116389,1.07561394,-1.04837079,0.91885914,-0.90953387,0.10188054,-0.10321561,2.59926785,-2.60957674
-5.98799400,8.00285277,-7.97034878,0.69691553,-0.70852107,0.39790931,-0.40000869,0.07193689,-0.07264563,1.34058219,-1.31570152,1.11195362,-1.08501256,0.92840731,-0.92007950,0.10142519,-0.10279025,2.60527362,-2.61695985
-5.98199100,8.05230266,-8.02600062,0.68871143,-0.70116987,0.39804970,-0.40031111,0.07153409,-0.07230685,1.36151789,-1.33841393,1.14753130,-1.12109125,0.93682983,-0.92943805,0.10095391,-0.10231643,2.60764635,-2.62040922
-5.97598799,8.09067319,-8.07019894,0.67995338,-0.69309425,0.39769513,-0.40005506,0.07109545,-0.07190523,1.38035426,-1.35912460,1.18199244,-1.15627053,0.94414052,-0.93761468,0.10049178,-0.10182099,2.60670222,-2.62024376
-5.96998499,8.11805950,-8.10303445,0.67081380,-0.68446118,0.39687735,-0.39927674,0.07063784,-0.07145800,1.39689563,-1.37763089,1.21494417,-1.19017195,0.95033081,-0.94459291,0.10005751,-0.10132522,2.60271102,-2.61674133
-5.96398199,8.13441180,-8.12445236,0.66143902,-0.67541459,0.39561765,-0.39800312,0.07017413,-0.07097895,1.41092758,-1.39370891,1.24596349,-1.22238172,0.95537090,-0.95033536,0.09966307,-0.10084429,2.59588996,-2.61012983
-5.95797899,8.13955282,-8.13426378,0.65194839,-0.66607399,0.39392741,-0.39625200,0.06971304,-0.07047818,1.42222510,-1.40712092,1.27460816,-1.25246037,0.95921274,-0.95478629,0.09931368,-0.10038706,2.58640319,-2.60058421
-5.95197599,8.13320938,-8.13217298,0.64243525,-0.65653482,0.39180970,-0.39403303,0.06925919,-0.06996213,1.43056253,-1.41762490,1.30042977,-1.27995482,0.96179464,-0.95787613,0.09900832,-0.09995631,2.57436649,-2.58822941
-5.94597299,8.11505528,-8.11781792,0.63296936,-0.64687058,0.38926154,-0.39134955,0.06881340,-0.06943377,1.43572480,-1.42498568,1.32298842,-1.30441251,0.96304712,-0.95952735,0.09874050,-0.09954933,2.55985643,-2.57314824
-5.93996998,8.08476202,-8.09082099,0.62360054,-0.63713611,0.38627674,-0.38820105,0.06837315,-0.06889302,1.43751925,-1.42898706,1.34186846,-1.32539694,0.96289959,-0.95966145,0.09849938,-0.09915889,2.54292300,-2.55539357
-5.93396698,8.04205341,-8.05084575,0.61436305,-0.62737196,0.38284892,-0.38458600,0.06793317,-0.06833732,1.43578743,-1.42944413,1.35669437,-1.34250383,0.96128737,-0.95820645,0.09827112,-0.09877440,2.52360432,-2.53500345
-5.92796398,7.98675989,-7.99765573,0.60528033,-0.61760910,0.37897471,-0.38050491,0.06748614,-0.06776225,1.43041597,-1.42621521,1.36714614,-1.35537720,0.95815850,-0.95510450,0.09804026,-0.09838327,2.50194230,-2.51201781
-5.92196098,7.91886854,-7.93117055,0.59636966,-0.60787378,0.37465664,-0.37596325,0.06702341,-0.06716228,1.42134606,-1.41921246,1.37297331,-1.36372455,0.95347998,-0.95031891,0.09779125,-0.09797230,2.47799781,-2.48649540
-5.91595798,7.83856503,-7.85151549,0.58764626,-0.59819202,0.36990558,-0.37097410,0.06653574,-0.06653144,1.40858077,-1.40841066,1.37400684,-1.36733030,0.94724287,-0.94384024,0.09750981,-0.09752909,2.45186411,-2.45852946
-5.90995498,7.74626423,-7.75906041,0.57912667,-0.58859327,0.36474267,-0.36556025,0.06601402,-0.06586405,1.39218985,-1.39385359,1.37016830,-1.36606675,0.93946602,-0.93569095,0.09718414,-0.09704332,2.42367739,-2.42826076
-5.90395198,7.64262708,-7.65444510,0.57083100,-0.57911312,0.35920038,-0.35975568,0.06544982,-0.06515530,1.37231158,-1.37565735,1.36147564,-1.35990202,0.93019806,-0.92592828,0.09680597,-0.09650781,2.39362353,-2.39588702
-5.89794897,7.52856210,-7.53858857,0.56278407,-0.56979471,0.35332274,-0.35360610,0.06483593,-0.06440167,1.34915153,-1.35401061,1.34804533,-1.34890428,0.91951756,-0.91464504,0.09637119,-0.09591932,2.36194047,-2.36166772
-5.89194597,7.40521100,-7.41268127,0.55501515,-0.56068881,0.34716471,-0.34716875,0.06416670,-0.06360134,1.32297818,-1.32917148,1.33009059,-1.33324222,0.90753134,-0.90196837,0.09588024,-0.09527906,2.32891581,-2.32592376
-5.88594297,7.27391872,-7.27815971,0.54755662,-0.55185252,0.34079068,-0.34051122,0.06343824,-0.06275426,1.29411563,-1.30146112,1.30791564,-1.31318133,0.89437088,-0.88805626,0.09533809,-0.09459282,2.29487973,-2.28903183
-5.87993997,7.13618943,-7.13666474,0.54044149,-0.54334670,0.33427220,-0.33370950,0.06264853,-0.06186223,1.26293366,-1.27125433,1.28190635,-1.28907627,0.88018722,-0.87309220,0.09475393,-0.09387072,2.26019347,-2.25141359
-5.87393697,6.99363085,-6.98998522,0.53370022,-0.53523242,0.32768512,-0.32684525,0.06179729,-0.06092868,1.22983562,-1.23896757,1.25251741,-1.26135957,0.86514451,-0.85727800,0.09414043,-0.09312671,2.22523423,-2.21352032
-5.86793397,6.84788999,-6.83999019,0.52735691,-0.52756659,0.32110623,-0.32000257,0.06088582,-0.05995843,1.19524476,-1.20504492,1.22025689,-1.23052712,0.84941268,-0.84082547,0.09351285,-0.09237763,2.19037727,-2.17581372
-5.86193097,6.70058417,-6.68855325,0.52142546,-0.52039728,0.31460978,-0.31326437,0.05991674,-0.05895724,1.15958973,-1.16994270,1.18566870,-1.19712104,0.83315960,-0.82394711,0.09288785,-0.09164218,2.15597640,-2.13874427
-5.85592796,6.55323132,-6.53747355,0.51590596,-0.51375902,0.30826388,-0.30670863,0.05889355,-0.05793134,1.12328995,-1.13411353,1.14931388,-1.16171095,0.81654332,-0.80684661,0.09228222,-0.09093953,2.12234433,-2.10272824
-5.84992496,6.40718413,-6.38839801,0.51078163,-0.50766853,0.30212729,-0.30040475,0.05782034,-0.05688695,1.08674152,-1.09799064,1.11175163,-1.12487424,0.79970479,-0.78970957,0.09171152,-0.09028804,2.08973406,-2.06812523
