energy_ev,total_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,0.36148420,0.07621491,0.00008124,0.21485007,0.00000000,0.22958649,0.08900606
-5.99399700,0.37994210,0.07746240,0.00008526,0.22817428,0.00000000,0.23657649,0.09716591
-5.98799400,0.40096982,0.07910430,0.00008949,0.24302340,0.00000000,0.24477096,0.10661201
-5.98199100,0.42442309,0.08107190,0.00009391,0.25933051,0.00000000,0.25402326,0.11737972
-5.97598799,0.45016236,0.08329714,0.00009847,0.27703090,0.00000000,0.26419854,0.12949870
-5.96998499,0.47806140,0.08571542,0.00010314,0.29606623,0.00000000,0.27518230,0.14299219
-5.96398199,0.50801469,0.08826819,0.00010791,0.31638822,0.00000000,0.28688825,0.15787617
-5.95797899,0.53994361,0.09090524,0.00011278,0.33796146,0.00000000,0.29926509,0.17415824
-5.95197599,0.57380096,0.09358656,0.00011778,0.36076553,0.00000000,0.31230183,0.19183644
-5.94597299,0.60957366,0.09628381,0.00012293,0.38479608,0.00000000,0.32603155,0.21089801
-5.93996998,0.64728362,0.09898125,0.00012830,0.41006488,0.00000000,0.34053335,0.23131805
-5.93396698,0.68698656,0.10167622,0.00013396,0.43659896,0.00000000,0.35593236,0.25305837
-5.92796398,0.72876887,0.10437907,0.00014002,0.46443852,0.00000000,0.37239763,0.27606634
-5.92196098,0.77274260,0.10711267,0.00014659,0.49363406,0.00000000,0.39013812,0.30027397
-5.91595798,0.81903868,0.10991133,0.00015378,0.52424252,0.00000000,0.40939656,0.32559723
-5.90995498,0.86779856,0.11281943,0.00016174,0.55632264,0.00000000,0.43044154,0.35193564
-5.90395198,0.91916464,0.11588963,0.00017060,0.58992977,0.00000000,0.45355794,0.37917210
-5.89794897,0.97326970,0.11918070,0.00018051,0.62511022,0.00000000,0.47903593,0.40717309
-5.89194597,1.03022581,0.12275526,0.00019159,0.66189539,0.00000000,0.50715900,0.43578921
-5.88594297,1.09011312,0.12667725,0.00020398,0.70029595,0.00000000,0.53819134,0.46485604
-5.87993997,1.15296890,0.13100940,0.00021777,0.74029626,0.00000000,0.57236499,0.49419535
-5.87393697,1.21877760,0.13581070,0.00023306,0.78184940,0.00000000,0.60986740,0.52361672
-5.86793397,1.28746207,0.14113399,0.00024990,0.82487295,0.00000000,0.65082975,0.55291953
-5.86193097,1.35887678,0.14702376,0.00026831,0.86924590,0.00000000,0.69531677,0.58189536
-5.85592796,1.43280332,0.15351421,0.00028829,0.91480694,0.00000000,0.74331828,0.61033085
-5.84992496,1.50894867,0.16062769,0.00030980,0.96135422,0.00000000,0.79474327,0.63801102
-5.84392196,1.58694662,0.16837355,0.00033275,1.00864694,0.00000000,0.84941666,0.66472307
-5.83791896,1.66636252,0.17674749,0.00035703,1.05640876,0.00000000,0.90707918,0.69026064
-5.83191596,1.74670148,0.18573139,0.00038249,1.10433309,0.00000000,0.96739060,0.71442857
-5.82591296,1.82741993,0.19529371,0.00040895,1.15209024,0.00000000,1.02993625,0.73704795
-5.81990995,1.90794039,0.20539042,0.00043620,1.19933624,0.00000000,1.09423696,0.75796156
-5.81390695,1.98766881,0.21596633,0.00046403,1.24572301,0.00000000,1.15976179,0.77703931
-5.80790395,2.06601399,0.22695699,0.00049221,1.29090964,0.00000000,1.22594358,0.79418365
-5.80190095,2.14240822,0.23829082,0.00052049,1.33457415,0.00000000,1.29219623,0.80933466
-5.79589795,2.21632804,0.24989158,0.00054865,1.37642527,0.00000000,1.35793330,0.82247448
