energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,3.60787055,0.29100616,0.28785183,0.04562969,0.03192946,0.03199261,0.71444739,0.18680565,2.05502498
-5.99399700,3.43608864,0.27962681,0.27608498,0.04426809,0.03152484,0.02943063,0.68420941,0.18254649,1.94944213
-5.98799400,3.26263666,0.26837057,0.26380161,0.04275303,0.03116332,0.02691090,0.65318006,0.17804870,1.84359211
-5.98199100,3.08906787,0.25735577,0.25115573,0.04110398,0.03086986,0.02446068,0.62171937,0.17341773,1.73822297
-5.97598799,2.91697677,0.24670425,0.23830323,0.03934174,0.03067126,0.02210402,0.59019434,0.16876907,1.63411086
-5.96998499,2.74795640,0.23653886,0.22539889,0.03748809,0.03059539,0.01986148,0.55897088,0.16422555,1.53203571
-5.96398199,2.58355749,0.22698080,0.21259355,0.03556535,0.03067035,0.01774986,0.52840584,0.15991426,1.43275822
-5.95797899,2.42525057,0.21814679,0.20003157,0.03359606,0.03092346,0.01578212,0.49883967,0.15596310,1.33699893
-5.95197599,2.27439172,0.21014624,0.18784840,0.03160252,0.03138025,0.01396744,0.47058945,0.15249712,1.24541968
-5.94597299,2.13219250,0.20307835,0.17616858,0.02960647,0.03206339,0.01231139,0.44394272,0.14963475,1.15860784
-5.93996998,1.99969452,0.19702932,0.16510380,0.02762872,0.03299166,0.01081618,0.41915195,0.14748393,1.07706358
-5.93396698,1.87774894,0.19206958,0.15475133,0.02568878,0.03417895,0.00948096,0.39642986,0.14613833,1.00119017
-5.92796398,1.76700100,0.18825136,0.14519265,0.02380457,0.03563336,0.00830222,0.37594557,0.14567382,0.93128733
-5.92196098,1.66787970,0.18560649,0.13649239,0.02199215,0.03735643,0.00727422,0.35782171,0.14614516,0.86754759
-5.91595798,1.58059278,0.18414468,0.12869757,0.02026545,0.03934252,0.00638932,0.34213250,0.14758330,0.81005550
-5.90995498,1.50512678,0.18385224,0.12183710,0.01863613,0.04157840,0.00563850,0.32890288,0.14999311,0.75878957
-5.90395198,1.44125240,0.18469153,0.11592174,0.01711341,0.04404309,0.00501165,0.31810880,0.15335189,0.71362672
-5.89794897,1.38853490,0.18660106,0.11094439,0.01570404,0.04670790,0.00449798,0.30967861,0.15760872,0.67434907
-5.89194597,1.34634945,0.18949639,0.10688083,0.01441226,0.04953677,0.00408637,0.30349570,0.16268460,0.64065279
-5.88594297,1.31390116,0.19327182,0.10369087,0.01323989,0.05248689,0.00376561,0.29940230,0.16847357,0.61215888
-5.87993997,1.29024956,0.19780299,0.10132003,0.01218644,0.05550954,0.00352469,0.29720455,0.17484485,0.58842543
-5.87393697,1.27433693,0.20295020,0.09970161,0.01124931,0.05855122,0.00335302,0.29667858,0.18164585,0.56896122
-5.86793397,1.26502001,0.20856254,0.09875925,0.01042402,0.06155503,0.00324063,0.29757773,0.18870613,0.55324026
-5.86193097,1.26110427,0.21448259,0.09840987,0.00970455,0.06446219,0.00317831,0.29964054,0.19584212,0.54071687
-5.85592796,1.26138001,0.22055168,0.09856691,0.00908361,0.06721375,0.00315779,0.30259951,0.20286259,0.53084099
-5.84992496,1.26465914,0.22661541,0.09914390,0.00855308,0.06975241,0.00317186,0.30619021,0.20957457,0.52307331
-5.84392196,1.26981174,0.23252931,0.10005815,0.00810435,0.07202435,0.00321448,0.31016064,0.21578957,0.51689967
-5.83791896,1.27580114,0.23816436,0.10123445,0.00772872,0.07398103,0.00328090,0.31428036,0.22132995,0.51184453
-5.83191596,1.28171645,0.24341216,0.10260873,0.00741781,0.07558094,0.00336775,0.31834920,0.22603508,0.50748295
-5.82591296,1.28680140,0.24818960,0.10413150,0.00716390,0.07679110,0.00347313,0.32220520,0.22976708,0.50345076
-5.81990995,1.29047836,0.25244263,0.10577087,0.00696030,0.07758847,0.00359666,0.32573137,0.23241603,0.49945267
-5.81390695,1.29236683,0.25614915,0.10751514,0.00680164,0.07796093,0.00373957,0.32886115,0.23390418,0.49526799
-5.80790395,1.29229539,0.25932072,0.10937471,0.00668411,0.07790802,0.00390472,0.33158212,0.23418927,0.49075383
-5.80190095,1.29030679,0.26200307,0.11138333,0.00660568,0.07744128,0.00409658,0.33393798,0.23326653,0.48584571
-5.79589795,1.28665577,0.26427535,0.11359838,0.00656620,0.07658423,0.00432124,0.33602848,0.23116952,0.48055557
-5.78989495,1.28179949,0.26624803,0.11610040,0.00656751,0.07537193,0.00458628,0.33800727,0.22796952,0.47496722
-5.78389195,1.27638095,0.26805962,0.11899158,0.00661339,0.07385013,0.00490072,0.34007779,0.22377367,0.46922955
-5.77788894,1.27120561,0.26987226,0.12239324,0.00670948,0.07207411,0.00527477,0.34248709,0.21872183,0.46354763
-5.77188594,1.26721216,0.27186629,0.12644250,0.00686317,0.07010716,0.00571963,0.34551784,0.21298229,0.45817208
-5.76588294,1.26543798,0.27423409,0.13128785,0.00708333,0.06801879,0.00624721,0.34947875,0.20674648,0.45338716
-5.75987994,1.26698071,0.27717331,0.13708406,0.00738007,0.06588274,0.00686973,0.35469357,0.20022287,0.44949785
-5.75387694,1.27295681,0.28087975,0.14398631,0.00776434,0.06377480,0.00759931,0.36148908,0.19363039,0.44681650
-5.74787394,1.28445853,0.28554017,0.15214372,0.00824759,0.06177060,0.00844752,0.37018240,0.18719139,0.44564943
-5.74187094,1.30251069,0.29132526,0.16169260,0.00884127,0.05994335,0.00942485,0.38106799,0.18112465,0.44628391
-5.73586793,1.32802848,0.29838292,0.17274944,0.00955641,0.05836171,0.01054015,0.39440477,0.17563846,0.44897592
-5.72986493,1.36177767,0.30683226,0.18540403,0.01040309,0.05708772,0.01180010,0.41040385,0.17092412,0.45393908
-5.72386193,1.40433862,0.31675830,0.19971287,0.01139000,0.05617498,0.01320864,0.42921719,0.16715011,0.46133504
-5.71785893,1.45607514,0.32820767,0.21569323,0.01252388,0.05566709,0.01476645,0.45092761,0.16445695,0.47126554
-5.71185593,1.51710940,0.34118538,0.23331802,0.01380917,0.05559631,0.01647050,0.47554075,0.16295307,0.48376653
-5.70585293,1.58730386,0.35565285,0.25251185,0.01524753,0.05598268,0.01831366,0.50297900,0.16271168,0.49880431
-5.69984992,1.66625087,0.37152719,0.27314843,0.01683754,0.05683342,0.02028443,0.53307798,0.16376887,0.51627381
-5.69384692,1.75327074,0.38868178,0.29504967,0.01857446,0.05814268,0.02236683,0.56558581,0.16612275,0.53599920
-5.68784392,1.84741841,0.40694820,0.31798643,0.02045005,0.05989179,0.02454038,0.60016509,0.16973387,0.55773664
-5.68184092,1.94749902,0.42611948,0.34168124,0.02245254,0.06204974,0.02678031,0.63639805,0.17452677,0.58117911
-5.67583792,2.05209201,0.44595453,0.36581297,0.02456669,0.06457412,0.02905793,0.67379451,0.18039256,0.60596333
-5.66983492,2.15958346,0.46618373,0.39002329,0.02677398,0.06741232,0.03134119,0.71180273,0.18719251,0.63167841
-5.66383192,2.26820568,0.48651552,0.41392498,0.02905294,0.07050308,0.03359537,0.74982287,0.19476252,0.65787603
-5.65782891,2.37608309,0.50664383,0.43711171,0.03137956,0.07377820,0.03578395,0.78722260,0.20291824,0.68408192
-5.65182591,2.48128285,0.52625603,0.45916916,0.03372781,0.07716447,0.03786966,0.82335449,0.21146071,0.70980826
-5.64582291,2.58186881,0.54504143,0.47968687,0.03607025,0.08058577,0.03981551,0.85757455,0.22018242,0.73456654
-5.63981991,2.67595667,0.56269972,0.49827063,0.03837870,0.08396513,0.04158595,0.88926131,0.22887335,0.75788058
-5.63381691,2.76176853,0.57894936,0.51455474,0.04062495,0.08722683,0.04314805,0.91783467,0.23732714,0.77929924
