energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,4.55901952,0.08167848,0.25551338,1.28991251,0.52462024,2.18435101,0.00000000,1.02233425,0.56193331
-5.99399700,4.60178223,0.08465551,0.26262852,1.29300018,0.53004145,2.19960488,0.00000000,1.04084249,0.56482730
-5.98799400,4.63344017,0.08737421,0.26938274,1.29264747,0.53376866,2.20905481,0.00000000,1.05853504,0.56680366
-5.98199100,4.65343714,0.08979789,0.27570550,1.28883656,0.53571307,2.21247106,0.00000000,1.07530020,0.56782153
-5.97598799,4.66152851,0.09189878,0.28154414,1.28164959,0.53582802,2.20977399,0.00000000,1.09107869,0.56787089
-5.96998499,4.65779268,0.09365880,0.28686523,1.27127133,0.53411078,2.20103977,0.00000000,1.10586420,0.56697254
-5.96398199,4.64263417,0.09507004,0.29165546,1.25798879,0.53060335,2.18650238,0.00000000,1.11970248,0.56517723
-5.95797899,4.61677770,0.09613480,0.29592191,1.24218771,0.52539209,2.16655143,0.00000000,1.13268900,0.56256399
-5.95197599,4.58125288,0.09686532,0.29969177,1.22434603,0.51860627,2.14172563,0.00000000,1.14496504,0.55923754
-5.94597299,4.53736956,0.09728303,0.30301143,1.20502415,0.51041529,2.11270181,0.00000000,1.15671227,0.55532493
-5.93996998,4.48668410,0.09741759,0.30594492,1.18485242,0.50102487,2.08027960,0.00000000,1.16814601,0.55097131
-5.93396698,4.43095719,0.09730549,0.30857185,1.16451581,0.49067197,2.04536194,0.00000000,1.17950704,0.54633506
-5.92796398,4.37210437,0.09698843,0.31098476,1.14473651,0.47961880,2.00893196,0.00000000,1.19105246,0.54158234
-5.92196098,4.31214047,0.09651165,0.31328599,1.12625453,0.46814595,1.97202660,0.00000000,1.20304553,0.53688122
-5.91595798,4.25311980,0.09592196,0.31558421,1.10980710,0.45654474,1.93570792,0.00000000,1.21574505,0.53239567
-5.90995498,4.19707395,0.09526592,0.31799067,1.09610733,0.44510921,1.90103276,0.00000000,1.22939439,0.52827948
-5.90395198,4.14594923,0.09458802,0.32061525,1.08582280,0.43412785,1.86902191,0.00000000,1.24421062,0.52467060
-5.89794897,4.10154591,0.09392904,0.32356247,1.07955470,0.42387531,1.84062955,0.00000000,1.26037419,0.52168576
-5.89194597,4.06546146,0.09332459,0.32692767,1.07781820,0.41460450,1.81671425,0.00000000,1.27801927,0.51941602
-5.88594297,4.03903966,0.09280398,0.33079323,1.08102468,0.40653921,1.79801229,0.00000000,1.29722540,0.51792307
-5.87993997,4.02332744,0.09238931,0.33522530,1.08946640,0.39986755,1.78511447,0.00000000,1.31801057,0.51723669
-5.87393697,4.01904099,0.09209502,0.34027087,1.10330413,0.39473643,1.77844704,0.00000000,1.34032608,0.51735335
-5.86793397,4.02654227,0.09192766,0.34595539,1.12255827,0.39124727,1.77825747,0.00000000,1.36405351,0.51823611
-5.86193097,4.04582676,0.09188608,0.35228114,1.14710375,0.38945308,1.78460574,0.00000000,1.38900384,0.51981570
-5.85592796,4.07652290,0.09196185,0.35922622,1.17666901,0.38935700,1.79736122,0.00000000,1.41491898,0.52199288
-5.84992496,4.11790306,0.09214006,0.36674434,1.21083926,0.39091243,1.81620555,0.00000000,1.44147568,0.52464186
