energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,8.24118495,0.02963841,1.05722496,1.73227525,0.38750334,2.95378426,1.34133695,0.12393293,3.55110120
-5.99399700,8.47203396,0.03040381,1.08728741,1.79024566,0.39817619,3.04734164,1.38858191,0.12791692,3.64627636
-5.98799400,8.67243291,0.03103820,1.11329664,1.84015359,0.40736973,3.13015490,1.43126325,0.13153776,3.72779502
-5.98199100,8.83964276,0.03153526,1.13492836,1.88119475,0.41496643,3.20101176,1.46886022,0.13477335,3.79445432
-5.97598799,8.97140956,0.03189098,1.15192440,1.91270285,0.42087265,3.25886238,1.50092640,0.13760761,3.84527355
-5.96998499,9.06602339,0.03210369,1.16409840,1.93416686,0.42502099,3.30284647,1.52710005,0.14003082,3.87952212
-5.96398199,9.12236425,0.03217397,1.17133967,1.94524446,0.42737183,3.33231573,1.54711219,0.14203985,3.89674161
-5.95797899,9.13993327,0.03210454,1.17361488,1.94577144,0.42791434,3.34685080,1.56079243,0.14363827,3.89676103
-5.95197599,9.11886850,0.03190006,1.17096786,1.93576649,0.42666660,3.34627218,1.56807222,0.14483648,3.87970481
-5.94597299,9.05994510,0.03156689,1.16351740,1.91543142,0.42367514,3.33064493,1.56898582,0.14565171,3.84599332
-5.93996998,8.96456045,0.03111283,1.15145336,1.88514672,0.41901379,3.30027702,1.56366879,0.14610799,3.79633603
-5.93396698,8.83470519,0.03054685,1.13503139,1.84546270,0.41278194,3.25571178,1.55235458,0.14623614,3.73171779
-5.92796398,8.67292162,0.02987879,1.11456640,1.79708653,0.40510241,3.19771468,1.53536909,0.14607362,3.65337866
-5.92196098,8.48225127,0.02911908,1.09042528,1.74086563,0.39611881,3.12725530,1.51312388,0.14566438,3.56278816
-5.91595798,8.26617351,0.02827852,1.06301899,1.67776818,0.38599277,3.04548497,1.48610798,0.14505862,3.46161488
-5.90995498,8.02853708,0.02736801,1.03279442,1.60886105,0.37490089,2.95371121,1.45487884,0.14431241,3.35169227
-5.90395198,7.77348639,0.02639839,1.00022618,1.53528627,0.36303159,2.85336950,1.42005247,0.14348725,3.23498160
-5.89794897,7.50538427,0.02538034,0.96580849,1.45823641,0.35058201,2.74599339,1.38229305,0.14264938,3.11353304
-5.89194597,7.22873261,0.02432420,0.93004731,1.37892981,0.33775479,2.63318365,1.34230207,0.14186895,2.98944568
-5.88594297,6.94809201,0.02323998,0.89345278,1.29858611,0.32475501,2.51657727,1.30080714,0.14121888,2.86482719
-5.87993997,6.66800172,0.02213728,0.85653188,1.21840287,0.31178709,2.39781676,1.25855043,0.14077353,2.74175391
-5.87393697,6.39290035,0.02102529,0.81978147,1.13953362,0.29905181,2.27852047,1.21627685,0.14060709,2.62223196
-5.86793397,6.12704858,0.01991283,0.78368150,1.06306789,0.28674332,2.16025435,1.17472193,0.14079173,2.50815980
-5.86193097,5.87445427,0.01880831,0.74868842,0.99001343,0.27504626,2.04450548,1.13459945,0.14139545,2.40129296
-5.85592796,5.63880101,0.01771977,0.71522881,0.92128089,0.26413291,1.93265782,1.09658893,0.14247983,2.30321124
-5.84992496,5.42338099,0.01665488,0.68369317,0.85767118,0.25416037,1.82597042,1.06132313,0.14409767,2.21528905
-5.84392196,5.23103333,0.01562090,0.65442990,0.79986541,0.24526790,1.72555836,1.02937570,0.14629050,2.13866924
-5.83791896,5.06408906,0.01462467,0.62773962,0.74841752,0.23757439,1.63237661,1.00124940,0.14908634,2.07424108
-5.83191596,4.92432424,0.01367254,0.60386994,0.70374943,0.23117599,1.54720720,0.97736502,0.15249745,2.02262285
-5.82591296,4.81292262,0.01277031,0.58301077,0.66614876,0.22614406,1.47064959,0.95805154,0.15651860,1.98414959
-5.81990995,4.73044945,0.01192314,0.56529046,0.63576878,0.22252348,1.40311468,0.94353788,0.16112559,1.95886649
-5.81390695,4.67683772,0.01113543,0.55077287,0.61263060,0.22033142,1.34482244,0.93394664,0.16627444,1.94652838
-5.80790395,4.65138821,0.01041079,0.53945567,0.59662735,0.21955658,1.29580324,0.92929014,0.17190119,1.94660561
-5.80190095,4.65278408,0.00975187,0.53126995,0.58753033,0.22015914,1.25590290,0.92946914,0.17792230,1.95829652
-5.79589795,4.67912068,0.00916034,0.52608139,0.58499676,0.22207135,1.22479140,0.93427446,0.18423599,1.98054649
-5.78989495,4.72795046,0.00863681,0.52369292,0.58857927,0.22519879,1.20197515,0.94339154,0.19072410,2.01207344
-5.78389195,4.79634240,0.00818078,0.52384915,0.59773678,0.22942240,1.18681248,0.95640799,0.19725489,2.05139926
-5.77788894,4.88095492,0.00779065,0.52624223,0.61184671,0.23460121,1.17853211,0.97282392,0.20368628,2.09688653
-5.77188594,4.97812043,0.00746377,0.53051932,0.63021844,0.24057573,1.17625420,0.99206488,0.20986981,2.14677979
-5.76588294,5.08393923,0.00719642,0.53629133,0.65210772,0.24717188,1.17901336,1.01349688,0.21565485,2.19925006
-5.75987994,5.19438014,0.00698402,0.54314270,0.67673195,0.25420541,1.18578325,1.03644313,0.22089318,2.25244147
-5.75387694,5.30538460,0.00682114,0.55064202,0.70328610,0.26148664,1.19550203,1.06020182,0.22544351,2.30451867
-5.74787394,5.41297112,0.00670171,0.55835306,0.73095890,0.26882538,1.20709799,1.08406441,0.22917601,2.35371339
-5.74187094,5.51333662,0.00661918,0.56584601,0.75894924,0.27603589,1.21951481,1.10733376,0.23197638,2.39836889
-5.73586793,5.60295145,0.00656671,0.57270834,0.78648215,0.28294169,1.23173582,1.12934155,0.23374953,2.43698078
-5.72986493,5.67864513,0.00653734,0.57855520,0.81282435,0.28938008,1.24280649,1.14946435,0.23442263,2.46823298
-5.72386193,5.73768018,0.00652421,0.58303882,0.83729873,0.29520623,1.25185484,1.16713799,0.23394733,2.49102773
-5.71785893,5.77781194,0.00652074,0.58585682,0.85929760,0.30029672,1.25810916,1.18186974,0.23230118,2.50450882
-5.71185593,5.79733298,0.00652080,0.58675905,0.87829423,0.30455246,1.26091273,1.19324818,0.22948814,2.50807739
-5.70585293,5.79510112,0.00651891,0.58555281,0.89385252,0.30790084,1.25973528,1.20095048,0.22553821,2.50140005
-5.69984992,5.77055099,0.00651032,0.58210654,0.90563434,0.31029715,1.25418106,1.20474711,0.22050617,2.48440933
-5.69384692,5.72368941,0.00649116,0.57635160,0.91340453,0.31172525,1.24399346,1.20450411,0.21446955,2.45729669
-5.68784392,5.65507565,0.00645850,0.56828253,0.91703327,0.31219735,1.22905636,1.20018299,0.20752587,2.42049861
-5.68184092,5.56578810,0.00641041,0.55795555,0.91649582,0.31175322,1.20939218,1.19183851,0.19978942,2.37467651
-5.67583792,5.45737903,0.00634594,0.54548571,0.91186965,0.31045852,1.18515730,1.17961470,0.19138754,2.32069151
-5.66983492,5.33181969,0.00626516,0.53104268,0.90332904,0.30840257,1.15663478,1.16373920,0.18245672,2.25957488
-5.66383192,5.19143792,0.00616903,0.51484553,0.89113731,0.30569556,1.12422522,1.14451650,0.17313853,2.19249543
-5.65782891,5.03885067,0.00605937,0.49715660,0.87563696,0.30246519,1.08843586,1.12232014,0.16357575,2.12072496
-5.65182591,4.87689367,0.00593873,0.47827486,0.85723798,0.29885291,1.04986881,1.09758422,0.15390856,2.04560271
-5.64582291,4.70855037,0.00581026,0.45852896,0.83640474,0.29500987,1.00920860,1.07079457,0.14427115,1.96850011
-5.63981991,4.53688215,0.00567759,0.43827015,0.81364189,0.29109251,0.96720968,1.04247960,0.13478866,1.89078651
-5.63381691,4.36496169,0.00554462,0.41786541,0.78947954,0.28725814,0.92468436,1.01320121,0.12557467,1.81379693
-5.62781391,4.19581082,0.00541540,0.39769095,0.76445844,0.28366036,0.88249143,0.98354573,0.11672913,1.73880248
-5.62181091,4.03234435,0.00529398,0.37812617,0.73911540,0.28044458,0.84152592,0.95411535,0.10833697,1.66698407
-5.61580790,3.87732085,0.00518421,0.35954835,0.71396939,0.27774380,0.80271005,0.92551976,0.10046704,1.59940995
-5.60980490,3.73330118,0.00508967,0.34232804,0.68950900,0.27567459,0.76698563,0.89836856,0.09317175,1.53701743
-5.60380190,3.60261531,0.00501347,0.32682522,0.66618123,0.27433359,0.73530770,0.87326423,0.08648712,1.48059901
-5.59779890,3.48733781,0.00495827,0.31338612,0.64438234,0.27379459,0.70863929,0.85079589,0.08043318,1.43079327
-5.59179590,3.38927194,0.00492608,0.30234083,0.62445072,0.27410627,0.68794705,0.83153396,0.07501490,1.38808026
-5.58579290,3.30994211,0.00491836,0.29400128,0.60666211,0.27529074,0.67419723,0.81602562,0.07022331,1.35278168
-5.57978989,3.25059424,0.00493589,0.28865963,0.59122726,0.27734297,0.66835150,0.80479116,0.06603692,1.32506533
-5.57378689,3.21220306,0.00497891,0.28658684,0.57829197,0.28023119,0.67136196,0.79832112,0.06242335,1.30495380
-5.56778389,3.19548525,0.00504709,0.28803105,0.56793936,0.28389812,0.68416469,0.79707402,0.05934109,1.29233668
-5.56178089,3.20091703,0.00513965,0.29321575,0.56019436,0.28826326,0.70767113,0.80147456,0.05674134,1.28698593
-5.55577789,3.22875454,0.00525545,0.30233729,0.55502990,0.29322585,0.74275670,0.81191195,0.05456992,1.28857355
-5.54977489,3.27905516,0.00539311,0.31556184,0.55237450,0.29866865,0.79024604,0.82873813,0.05276907,1.29669085
-5.54377189,3.35169806,0.00555115,0.33302132,0.55212085,0.30446223,0.85089468,0.85226551,0.05127937,1.31086832
-5.53776888,3.44640192,0.00572807,0.35480857,0.55413488,0.31046960,0.92536692,0.88276385,0.05004138,1.33059530
-5.53176588,3.56273856,0.00592252,0.38097158,0.55826472,0.31655096,1.01421008,0.92045611,0.04899725,1.35533843
-5.52576288,3.70014091,0.00613338,0.41150710,0.56434916,0.32256840,1.11782565,0.96551299,0.04809215,1.38455816
