energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.38032841,-0.38032846,0.00118366,-0.00118366,0.04898795,-0.04898796,0.14993599,-0.14993603,0.02204855,-0.02204855,0.06378515,-0.06378515,0.07682416,-0.07682417,0.00248360,-0.00248361,0.16290681,-0.16290684
-5.99399700,0.36727028,-0.36727032,0.00118775,-0.00118775,0.04803117,-0.04803117,0.14140341,-0.14140344,0.02248869,-0.02248869,0.06296493,-0.06296493,0.07522121,-0.07522121,0.00237899,-0.00237899,0.15643993,-0.15643995
-5.98799400,0.35635515,-0.35635518,0.00121594,-0.00121594,0.04737765,-0.04737765,0.13328499,-0.13328502,0.02327561,-0.02327560,0.06265272,-0.06265271,0.07407120,-0.07407120,0.00228663,-0.00228663,0.15084554,-0.15084556
-5.98199100,0.34799908,-0.34799910,0.00126716,-0.00126716,0.04708425,-0.04708425,0.12575396,-0.12575399,0.02442665,-0.02442664,0.06292892,-0.06292891,0.07345578,-0.07345578,0.00220968,-0.00220968,0.14629953,-0.14629954
-5.97598799,0.34258069,-0.34258069,0.00134028,-0.00134028,0.04720137,-0.04720136,0.11896905,-0.11896907,0.02595937,-0.02595936,0.06386818,-0.06386817,0.07344524,-0.07344524,0.00215113,-0.00215113,0.14296348,-0.14296349
-5.96998499,0.34043271,-0.34043269,0.00143409,-0.00143409,0.04777158,-0.04777158,0.11307185,-0.11307187,0.02789097,-0.02789096,0.06553764,-0.06553763,0.07409637,-0.07409636,0.00211385,-0.00211385,0.14098146,-0.14098146
-5.96398199,0.34183601,-0.34183597,0.00154722,-0.00154722,0.04882857,-0.04882856,0.10818523,-0.10818524,0.03023795,-0.03023793,0.06799554,-0.06799553,0.07545082,-0.07545081,0.00210054,-0.00210054,0.14047780,-0.14047779
-5.95797899,0.34701593,-0.34701588,0.00167809,-0.00167809,0.05039633,-0.05039632,0.10441249,-0.10441250,0.03301584,-0.03301582,0.07129010,-0.07129007,0.07753398,-0.07753396,0.00211374,-0.00211374,0.14155596,-0.14155594
-5.95197599,0.35614105,-0.35614097,0.00182488,-0.00182488,0.05248870,-0.05248869,0.10183758,-0.10183758,0.03623925,-0.03623923,0.07545873,-0.07545871,0.08035437,-0.08035435,0.00215586,-0.00215586,0.14429838,-0.14429835
-5.94597299,0.36932410,-0.36932400,0.00198550,-0.00198550,0.05510925,-0.05510924,0.10052589,-0.10052588,0.03992199,-0.03992197,0.08052764,-0.08052761,0.08390368,-0.08390365,0.00222920,-0.00222920,0.14876725,-0.14876722
-5.93996998,0.38662505,-0.38662493,0.00215754,-0.00215754,0.05825140,-0.05825138,0.10052577,-0.10052576,0.04407745,-0.04407742,0.08651157,-0.08651154,0.08815723,-0.08815720,0.00233602,-0.00233602,0.15500618,-0.15500613
-5.93396698,0.40805584,-0.40805569,0.00233834,-0.00233834,0.06189883,-0.06189881,0.10187050,-0.10187048,0.04871911,-0.04871908,0.09341391,-0.09341387,0.09307508,-0.09307506,0.00247857,-0.00247857,0.16304241,-0.16304235
-5.92796398,0.43358648,-0.43358631,0.00252494,-0.00252494,0.06602619,-0.06602617,0.10458052,-0.10458049,0.05386125,-0.05386122,0.10122690,-0.10122685,0.09860355,-0.09860352,0.00265917,-0.00265917,0.17288969,-0.17288962
-5.92196098,0.46315218,-0.46315198,0.00271418,-0.00271418,0.07059992,-0.07059990,0.10866577,-0.10866573,0.05951963,-0.05951959,0.10993203,-0.10993198,0.10467712,-0.10467709,0.00288025,-0.00288025,0.18455137,-0.18455128
-5.91595798,0.49666082,-0.49666060,0.00290271,-0.00290271,0.07557936,-0.07557933,0.11412804,-0.11412800,0.06571230,-0.06571226,0.11950053,-0.11950048,0.11122073,-0.11122070,0.00314442,-0.00314442,0.19802352,-0.19802343
-5.90995498,0.53400053,-0.53400028,0.00308706,-0.00308706,0.08091781,-0.08091778,0.12096303,-0.12096298,0.07246035,-0.07246030,0.12989386,-0.12989380,0.11815228,-0.11815224,0.00345447,-0.00345447,0.21329805,-0.21329794
-5.90395198,0.57504666,-0.57504638,0.00326377,-0.00326377,0.08656382,-0.08656380,0.12916199,-0.12916193,0.07978852,-0.07978846,0.14106418,-0.14106412,0.12538524,-0.12538520,0.00381342,-0.00381342,0.23036531,-0.23036519
-5.89794897,0.61966778,-0.61966748,0.00342940,-0.00342939,0.09246235,-0.09246232,0.13871295,-0.13871289,0.08772564,-0.08772557,0.15295478,-0.15295471,0.13283131,-0.13283127,0.00422451,-0.00422450,0.24921618,-0.24921604
-5.89194597,0.66773030,-0.66772997,0.00358069,-0.00358069,0.09855592,-0.09855589,0.14960124,-0.14960117,0.09630483,-0.09630475,0.16550042,-0.16550035,0.14040293,-0.14040288,0.00469113,-0.00469112,0.26984336,-0.26984321
-5.88594297,0.71910132,-0.71910096,0.00371465,-0.00371465,0.10478570,-0.10478566,0.16180941,-0.16180933,0.10556335,-0.10556327,0.17862756,-0.17862749,0.14801562,-0.14801557,0.00521679,-0.00521678,0.29224183,-0.29224167
-5.87993997,0.77364952,-0.77364913,0.00382863,-0.00382863,0.11109241,-0.11109238,0.17531647,-0.17531637,0.11554210,-0.11554200,0.19225451,-0.19225444,0.15558998,-0.15558994,0.00580500,-0.00580499,0.31640822,-0.31640804
-5.87393697,0.83124404,-0.83124362,0.00392042,-0.00392042,0.11741714,-0.11741711,0.19009644,-0.19009633,0.12628466,-0.12628456,0.20629148,-0.20629140,0.16305330,-0.16305326,0.00645912,-0.00645911,0.34233925,-0.34233905
-5.86793397,0.89175137,-0.89175091,0.00398834,-0.00398834,0.12370188,-0.12370184,0.20611646,-0.20611635,0.13783607,-0.13783595,0.22064069,-0.22064060,0.17034070,-0.17034065,0.00718223,-0.00718222,0.37002921,-0.37002899
-5.86193097,0.95503047,-0.95502998,0.00403128,-0.00403128,0.12988998,-0.12988995,0.22333439,-0.22333427,0.15024104,-0.15024092,0.23519644,-0.23519636,0.17739574,-0.17739570,0.00797688,-0.00797688,0.39946663,-0.39946639
-5.85592796,1.02092662,-1.02092610,0.00404877,-0.00404877,0.13592644,-0.13592640,0.24169621,-0.24169607,0.16354206,-0.16354192,0.24984543,-0.24984534,0.18417067,-0.18417062,0.00884494,-0.00884493,0.43063037,-0.43063011
-5.84992496,1.08926440,-1.08926384,0.00404099,-0.00404099,0.14175800,-0.14175796,0.26113338,-0.26113323,0.17777711,-0.17777697,0.26446719,-0.26446710,0.19062602,-0.19062597,0.00978731,-0.00978730,0.46348533,-0.46348505
-5.84392196,1.15984048,-1.15983989,0.00400875,-0.00400875,0.14733325,-0.14733322,0.28156046,-0.28156031,0.19297743,-0.19297727,0.27893491,-0.27893482,0.19672995,-0.19672991,0.01080373,-0.01080372,0.49797823,-0.49797793
-5.83791896,1.23241704,-1.23241642,0.00395353,-0.00395353,0.15260264,-0.15260261,0.30287313,-0.30287297,0.20916514,-0.20916497,0.29311665,-0.29311657,0.20245721,-0.20245716,0.01189258,-0.01189257,0.53403372,-0.53403341
-5.83191596,1.30671639,-1.30671574,0.00387737,-0.00387737,0.15751851,-0.15751847,0.32494688,-0.32494671,0.22635122,-0.22635104,0.30687701,-0.30687693,0.20778789,-0.20778784,0.01305067,-0.01305066,0.57155123,-0.57155089
-5.82591296,1.38241765,-1.38241697,0.00378285,-0.00378285,0.16203519,-0.16203516,0.34763667,-0.34763649,0.24453371,-0.24453351,0.32007929,-0.32007921,0.21270610,-0.21270606,0.01427309,-0.01427308,0.61040283,-0.61040248
-5.81990995,1.45915589,-1.45915519,0.00367301,-0.00367301,0.16610928,-0.16610925,0.37077751,-0.37077733,0.26369635,-0.26369614,0.33258818,-0.33258810,0.21719874,-0.21719869,0.01555317,-0.01555316,0.65043256,-0.65043220
-5.81390695,1.53652440,-1.53652368,0.00355127,-0.00355127,0.16969996,-0.16969994,0.39418634,-0.39418615,0.28380784,-0.28380762,0.34427292,-0.34427284,0.22125427,-0.22125423,0.01688239,-0.01688238,0.69145720,-0.69145682
-5.80790395,1.61408003,-1.61407930,0.00342129,-0.00342129,0.17276958,-0.17276955,0.41766490,-0.41766471,0.30482170,-0.30482147,0.35501078,-0.35501071,0.22486197,-0.22486193,0.01825048,-0.01825047,0.73326874,-0.73326835
-5.80190095,1.69135176,-1.69135101,0.00328690,-0.00328690,0.17528431,-0.17528429,0.44100390,-0.44100371,0.32667678,-0.32667653,0.36469090,-0.36469083,0.22801128,-0.22801124,0.01964551,-0.01964550,0.77563850,-0.77563810
-5.79589795,1.76785208,-1.76785133,0.00315199,-0.00315199,0.17721508,-0.17721506,0.46398798,-0.46398779,0.34929837,-0.34929811,0.37321807,-0.37321801,0.23069174,-0.23069170,0.02105412,-0.02105410,0.81832266,-0.81832225
-5.78989495,1.84309062,-1.84308987,0.00302039,-0.00302039,0.17853846,-0.17853845,0.48640151,-0.48640132,0.37259986,-0.37259959,0.38051648,-0.38051642,0.23289315,-0.23289312,0.02246177,-0.02246176,0.86106896,-0.86106854
