energy_ev,total_up,Al_p_up,Al_d_up,Au_p_up,Au_d_up,S_s_up,S_p_up
-6.00000000,3.07509628,0.20983598,0.00000000,0.44646737,1.91700730,0.04562078,0.40652252
-5.99399700,3.03545721,0.20351663,0.00000000,0.43655343,1.89912857,0.04432783,0.40331592
-5.98799400,3.00960643,0.19790254,0.00000000,0.42852584,1.88967496,0.04324652,0.40192462
-5.98199100,2.99722128,0.19301187,0.00000000,0.42227138,1.88855608,0.04235948,0.40220634
-5.97598799,2.99783509,0.18885885,0.00000000,0.41766318,1.89559512,0.04164721,0.40399898
-5.96998499,3.01085839,0.18545403,0.00000000,0.41456498,1.91053942,0.04108887,0.40712557
-5.96398199,3.03559744,0.18280417,0.00000000,0.41283458,1.93306951,0.04066315,0.41139886
-5.95797899,3.07126985,0.18091177,0.00000000,0.41232647,1.96280678,0.04034892,0.41662545
-5.95197599,3.11701760,0.17977436,0.00000000,0.41289383,1.99931962,0.04012586,0.42260938
-5.94597299,3.17191786,0.17938368,0.00000000,0.41438977,2.04212858,0.03997483,0.42915527
-5.93996998,3.23499240,0.17972491,0.00000000,0.41666821,2.09071097,0.03987830,0.43607103
-5.93396698,3.30521653,0.18077596,0.00000000,0.41958437,2.14450534,0.03982055,0.44317025
-5.92796398,3.38152845,0.18250714,0.00000000,0.42299521,2.20291657,0.03978780,0.45027427
-5.92196098,3.46283989,0.18488115,0.00000000,0.42675994,2.26532204,0.03976832,0.45721402
-5.91595798,3.54804893,0.18785361,0.00000000,0.43074072,2.33107932,0.03975237,0.46383179
-5.90995498,3.63605537,0.19137420,0.00000000,0.43480376,2.39953590,0.03973227,0.46998277
-5.90395198,3.72577909,0.19538832,0.00000000,0.43882087,2.47004098,0.03970230,0.47553655
-5.89794897,3.81618134,0.19983935,0.00000000,0.44267140,2.54195940,0.03965866,0.48037849
-5.89194597,3.90628869,0.20467150,0.00000000,0.44624474,2.61468759,0.03959942,0.48441095
-5.88594297,3.99521897,0.20983305,0.00000000,0.44944310,2.68767111,0.03952455,0.48755429
-5.87993997,4.08220844,0.21527990,0.00000000,0.45218460,2.76042321,0.03943580,0.48974772
-5.87393697,4.16663900,0.22097927,0.00000000,0.45440645,2.83254381,0.03933680,0.49094978
-5.86793397,4.24806427,0.22691340,0.00000000,0.45606808,2.90373793,0.03923296,0.49113856
-5.86193097,4.32623310,0.23308296,0.00000000,0.45715397,2.97383278,0.03913151,0.49031153
-5.85592796,4.40110921,0.23951004,0.00000000,0.45767606,3.04279243,0.03904142,0.48848500
-5.84992496,4.47288555,0.24624055,0.00000000,0.45767552,3.11072910,0.03897334,0.48569325
-5.84392196,4.54199215,0.25334567,0.00000000,0.45722370,3.17791025,0.03893947,0.48198724
-5.83791896,4.60909628,0.26092244,0.00000000,0.45642212,3.24476039,0.03895338,0.47743310
-5.83191596,4.67509420,0.26909311,0.00000000,0.45540147,3.31185708,0.03902973,0.47211024
-5.82591296,4.74109376,0.27800331,0.00000000,0.45431948,3.37992049,0.03918393,0.46610937
-5.81990995,4.80838761,0.28781892,0.00000000,0.45335761,3.44979613,0.03943174,0.45953022
-5.81390695,4.87841711,0.29872166,0.00000000,0.45271675,3.52243082,0.03978881,0.45247926
-5.80790395,4.95272733,0.31090347,0.00000000,0.45261177,3.59884194,0.04027005,0.44506731
-5.80190095,5.03291405,0.32455973,0.00000000,0.45326532,3.68008057,0.04088911,0.43740717
-5.79589795,5.12056401,0.33988162,0.00000000,0.45490076,3.76718932,0.04165771,0.42961117
-5.78989495,5.21719003,0.35704767,0.00000000,0.45773460,3.86115604,0.04258498,0.42178888
