energy_ev,total_up,B_p_up,B_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,2.53765737,0.32527660,0.00000000,1.70938460,1.25323233,0.79626884,0.00000000
-5.99399700,2.52112223,0.33139269,0.00000000,1.65723459,1.26338549,0.78301813,0.00000000
-5.98799400,2.50819397,0.33905884,0.00000000,1.60341645,1.27757865,0.76899808,0.00000000
-5.98199100,2.49945453,0.34828971,0.00000000,1.54881841,1.29590485,0.75444532,0.00000000
-5.97598799,2.49528552,0.35905316,0.00000000,1.49424404,1.31832324,0.73957042,0.00000000
-5.96998499,2.49586154,0.37127034,0.00000000,1.44039789,1.34465914,0.72455465,0.00000000
-5.96398199,2.50115140,0.38481725,0.00000000,1.38787603,1.37460877,0.70954842,0.00000000
-5.95797899,2.51092666,0.39952779,0.00000000,1.33716131,1.40774829,0.69467093,0.00000000
-5.95197599,2.52477676,0.41519823,0.00000000,1.28862303,1.44354692,0.68001109,0.00000000
-5.94597299,2.54212981,0.43159289,0.00000000,1.24252047,1.48138340,0.66562940,0.00000000
-5.93996998,2.56227787,0.44845077,0.00000000,1.19900973,1.52056523,0.65156045,0.00000000
-5.93396698,2.58440562,0.46549305,0.00000000,1.15815302,1.56035002,0.63781603,0.00000000
-5.92796398,2.60762110,0.48243092,0.00000000,1.11992989,1.59996808,0.62438835,0.00000000
-5.92196098,2.63098741,0.49897382,0.00000000,1.08424954,1.63864547,0.61125345,0.00000000
-5.91595798,2.65355427,0.51483745,0.00000000,1.05096382,1.67562684,0.59837448,0.00000000
-5.90995498,2.67438854,0.52975159,0.00000000,1.01988013,1.71019726,0.58570484,0.00000000
-5.90395198,2.69260267,0.54346735,0.00000000,0.99077413,1.74170230,0.57319107,0.00000000
-5.89794897,2.70738072,0.55576353,0.00000000,0.96340171,1.76956599,0.56077562,0.00000000
-5.89194597,2.71800108,0.56645218,0.00000000,0.93751012,1.79330596,0.54839931,0.00000000
-5.88594297,2.72385564,0.57538294,0.00000000,0.91284820,1.81254541,0.53600367,0.00000000
-5.87993997,2.72446511,0.58244613,0.00000000,0.88917552,1.82702171,0.52353314,0.00000000
-5.87393697,2.71949007,0.58757459,0.00000000,0.86627045,1.83659125,0.51093715,0.00000000
-5.86793397,2.70873791,0.59074411,0.00000000,0.84393724,1.84123055,0.49817212,0.00000000
-5.86193097,2.69216526,0.59197259,0.00000000,0.82201191,1.84103368,0.48520330,0.00000000
-5.85592796,2.66987620,0.59131776,0.00000000,0.80036716,1.83620596,0.47200651,0.00000000
-5.84992496,2.64211613,0.58887382,0.00000000,0.77891605,1.82705425,0.45856963,0.00000000
-5.84392196,2.60926162,0.58476691,0.00000000,0.75761459,1.81397423,0.44489380,0.00000000
-5.83791896,2.57180645,0.57914971,0.00000000,0.73646298,1.79743491,0.43099431,0.00000000
-5.83191596,2.53034437,0.57219525,0.00000000,0.71550570,1.77796112,0.41690095,0.00000000
-5.82591296,2.48554892,0.56409033,0.00000000,0.69483022,1.75611453,0.40265795,0.00000000
-5.81990995,2.43815128,0.55502865,0.00000000,0.67456442,1.73247391,0.38832333,0.00000000
-5.81390695,2.38891668,0.54520403,0.00000000,0.65487277,1.70761538,0.37396767,0.00000000
-5.80790395,2.33862046,0.53480397,0.00000000,0.63595140,1.68209352,0.35967246,0.00000000
-5.80190095,2.28802466,0.52400379,0.00000000,0.61802217,1.65642411,0.34552793,0.00000000
