energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up
-6.00000000,4.96499666,0.09785696,0.04237376,0.67557647,0.70671587,1.50696469,0.41608343,0.18732581,2.47898401
-5.99399700,5.09864666,0.09702345,0.04521504,0.69862732,0.71061191,1.55574918,0.43644830,0.19154329,2.55505714
-5.98799400,5.23351178,0.09692230,0.04830214,0.72254556,0.71549171,1.60379825,0.45730458,0.19555715,2.62987746
-5.98199100,5.36804850,0.09757761,0.05160921,0.74713391,0.72120500,1.65066336,0.47856784,0.19930022,2.70258814
-5.97598799,5.50085429,0.09900156,0.05510781,0.77219946,0.72760945,1.69594981,0.50015793,0.20271334,2.77243873
-5.96998499,5.63069183,0.10119369,0.05876692,0.79755606,0.73457423,1.73932660,0.52199761,0.20574626,2.83879964
-5.96398199,5.75649967,0.10414037,0.06255308,0.82302554,0.74198162,1.78053133,0.54401060,0.20835808,2.90116879
-5.95797899,5.87738950,0.10781453,0.06643049,0.84843787,0.74972688,1.81937001,0.56611892,0.21051721,2.95917053
-5.95197599,5.99263102,0.11217567,0.07036112,0.87363035,0.75771623,1.85571194,0.58823992,0.21220071,3.01254713
-5.94597299,6.10162634,0.11717015,0.07430495,0.89844595,0.76586354,1.88948031,0.61028319,0.21339335,3.06114393
-5.93996998,6.20387647,0.12273171,0.07822026,0.92273107,0.77408575,1.92063914,0.63214747,0.21408639,3.10488934
-5.93396698,6.29894294,0.12878240,0.08206398,0.94633306,0.78229784,1.94917785,0.65371812,0.21427605,3.14377135
-5.92796398,6.38640795,0.13523368,0.08579225,0.96909756,0.79040748,1.97509451,0.67486502,0.21396215,3.17781237
-5.92196098,6.46583633,0.14198787,0.08936092,0.99086625,0.79831013,1.99837923,0.69544149,0.21314669,3.20704417
-5.91595798,6.53674238,0.14893982,0.09272632,1.01147502,0.80588501,2.01899886,0.71528407,0.21183271,3.23148479
-5.90995498,6.59856437,0.15597881,0.09584592,1.03075286,0.81299226,2.03688422,0.73421347,0.21002338,3.25111880
-5.90395198,6.65064852,0.16299061,0.09867920,1.04852165,0.81947166,2.05192076,0.75203661,0.20772156,3.26588234
-5.89794897,6.69224392,0.16985970,0.10118845,1.06459684,0.82514316,2.06394343,0.76854970,0.20492963,3.27565366
-5.89194597,6.72250858,0.17647153,0.10333956,1.07878912,0.82980919,2.07273605,0.78354230,0.20164974,3.28024982
-5.88594297,6.74052644,0.18271474,0.10510279,1.09090694,0.83325873,2.07803530,0.79680208,0.19788446,3.27942924
-5.87993997,6.74533400,0.18848342,0.10645342,1.10075977,0.83527298,2.07953911,0.80812020,0.19363763,3.27290018
-5.87393697,6.73595494,0.19367909,0.10737232,1.10816198,0.83563220,2.07691878,0.81729688,0.18891543,3.26033396
-5.86793397,6.71144030,0.19821259,0.10784636,1.11293715,0.83412349,2.06983418,0.82414707,0.18372755,3.24138222
-5.86193097,6.67091189,0.20200572,0.10786864,1.11492249,0.83054892,2.05795097,0.82850583,0.17808833,3.21569694
