energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.23613436,0.04867730,0.00000000,0.02205291,0.78214277,0.47626882,0.34926507
-5.99399700,1.15289178,0.04530369,0.00000000,0.02081509,0.73068199,0.44193463,0.32785336
-5.98799400,1.07307589,0.04205444,0.00000000,0.01966745,0.68150404,0.40865479,0.30766159
-5.98199100,0.99826519,0.03899117,0.00000000,0.01864013,0.63560704,0.37701069,0.28915645
-5.97598799,0.92990218,0.03617032,0.00000000,0.01776065,0.59389870,0.34753182,0.27276514
-5.96998499,0.86927446,0.03364253,0.00000000,0.01705342,0.55718300,0.32068929,0.25886892
-5.96398199,0.81750246,0.03145224,0.00000000,0.01653939,0.52615085,0.29689197,0.24779832
-5.95797899,0.77553347,0.02963758,0.00000000,0.01623571,0.50137458,0.27648527,0.23982986
-5.95197599,0.74414143,0.02823051,0.00000000,0.01615557,0.48330592,0.25975221,0.23518436
-5.94597299,0.72393171,0.02725716,0.00000000,0.01630806,0.47227706,0.24691648,0.23402636
-5.93996998,0.71534996,0.02673834,0.00000000,0.01669810,0.46850426,0.23814700,0.23646477
-5.93396698,0.71869436,0.02669024,0.00000000,0.01732652,0.47209370,0.23356362,0.24255438
-5.92796398,0.73413003,0.02712511,0.00000000,0.01819007,0.48304884,0.23324356,0.25229820
-5.92196098,0.76170513,0.02805213,0.00000000,0.01928163,0.50127907,0.23722808,0.26565029
-5.91595798,0.80136743,0.02947819,0.00000000,0.02059040,0.52660917,0.24552903,0.28251916
-5.90995498,0.85298101,0.03140871,0.00000000,0.02210215,0.55878915,0.25813504,0.30277139
-5.90395198,0.91634218,0.03384841,0.00000000,0.02379951,0.59750432,0.27501683,0.32623566
-5.89794897,0.99119419,0.03680190,0.00000000,0.02566240,0.64238530,0.29613169,0.35270679
-5.89194597,1.07724021,0.04027430,0.00000000,0.02766838,0.69301762,0.32142666,0.38194996
-5.88594297,1.17415409,0.04427160,0.00000000,0.02979308,0.74895098,0.35084051,0.41370502
-5.87993997,1.28158868,0.04880086,0.00000000,0.03201074,0.80970777,0.38430428,0.44769063
-5.87393697,1.39918118,0.05387029,0.00000000,0.03429466,0.87479074,0.42174042,0.48360852
-5.86793397,1.52655557,0.05948900,0.00000000,0.03661772,0.94368989,0.46306060,0.52114740
-5.86193097,1.66332159,0.06566662,0.00000000,0.03895289,1.01588806,0.50816221,0.55998683
-5.85592796,1.80907059,0.07241262,0.00000000,0.04127372,1.09086557,0.55692369,0.59980077
-5.84992496,1.96336801,0.07973541,0.00000000,0.04355477,1.16810349,0.60919898,0.64026080
-5.84392196,2.12574282,0.08764117,0.00000000,0.04577206,1.24708571,0.66481126,0.68103911
-5.83791896,2.29567430,0.09613254,0.00000000,0.04790335,1.32729985,0.72354631,0.72181105
-5.83191596,2.47257657,0.10520704,0.00000000,0.04992850,1.40823706,0.78514593,0.76225743
-5.82591296,2.65578184,0.11485541,0.00000000,0.05182960,1.48939097,0.84930168,0.80206651
-5.81990995,2.84452295,0.12505990,0.00000000,0.05359114,1.57025599,0.91564954,0.84093581
-5.81390695,3.03791654,0.13579246,0.00000000,0.05520004,1.65032535,0.98376580,0.87857374
-5.80790395,3.23494785,0.14701317,0.00000000,0.05664561,1.72908919,1.05316467,0.91470122
-5.80190095,3.43445845,0.15866867,0.00000000,0.05791951,1.80603313,1.12329794,0.94905334
-5.79589795,3.63513804,0.17069107,0.00000000,0.05901557,1.88063762,1.19355718,0.98138111
-5.78989495,3.83552163,0.18299704,0.00000000,0.05992962,1.95237862,1.26327845,1.01145351
-5.78389195,4.03399298,0.19548754,0.00000000,0.06065931,2.02072963,1.33174998,1.03905965
-5.77788894,4.22879504,0.20804804,0.00000000,0.06120390,2.08516556,1.39822251,1.06401126
-5.77188594,4.41804813,0.22054930,0.00000000,0.06156406,2.14516827,1.46192239,1.08614532
-5.76588294,4.59977572,0.23284892,0.00000000,0.06174167,2.20023396,1.52206702,1.10532684
-5.75987994,4.77193775,0.24479353,0.00000000,0.06173974,2.24988211,1.57788226,1.12145165
-5.75387694,4.93247073,0.25622159,0.00000000,0.06156223,2.29366571,1.62862121,1.13444897
-5.74787394,5.07933366,0.26696683,0.00000000,0.06121399,2.33118245,1.67358368,1.14428378
-5.74187094,5.21055818,0.27686225,0.00000000,0.06070076,2.36208622,1.71213561,1.15095859
-5.73586793,5.32430137,0.28574444,0.00000000,0.06002919,2.38609840,1.74372763,1.15451464
-5.72986493,5.41889892,0.29345820,0.00000000,0.05920681,2.40301849,1.76791195,1.15503224
-5.72386193,5.49291681,0.29986127,0.00000000,0.05824219,2.41273318,1.78435672,1.15263024
-5.71785893,5.54519892,0.30482885,0.00000000,0.05714497,2.41522363,1.79285737,1.14746440
-5.71185593,5.57490880,0.30825793,0.00000000,0.05592596,2.41057031,1.79334412,1.13972496
-5.70585293,5.58156330,0.31007109,0.00000000,0.05459725,2.39895508,1.78588554,1.12963302
-5.69984992,5.56505676,0.31021963,0.00000000,0.05317226,2.38066045,1.77068767,1.11743625
-5.69384692,5.52567420,0.30868590,0.00000000,0.05166578,2.35606576,1.74808893,1.10340378
-5.68784392,5.46409302,0.30548467,0.00000000,0.05009402,2.32564062,1.71855093,1.08782068
-5.68184092,5.38137290,0.30066357,0.00000000,0.04847451,2.28993572,1.68264557,1.07098207
-5.67583792,5.27893420,0.29430237,0.00000000,0.04682609,2.24957154,1.64103904,1.05318733
-5.66983492,5.15852571,0.28651132,0.00000000,0.04516868,2.20522538,1.59447350,1.03473444
-5.66383192,5.02218319,0.27742851,0.00000000,0.04352318,2.15761733,1.54374714,1.01591482
-5.65782891,4.87218028,0.26721633,0.00000000,0.04191113,2.10749589,1.48969364,0.99700881
-5.65182591,4.71097386,0.25605721,0.00000000,0.04035443,2.05562364,1.43316180,0.97828194
-5.64582291,4.54114612,0.24414888,0.00000000,0.03887500,2.00276371,1.37499618,0.95998211
-5.63981991,4.36534538,0.23169916,0.00000000,0.03749436,1.94966735,1.31601956,0.94233761
-5.63381691,4.18622802,0.21892068,0.00000000,0.03623314,1.89706306,1.25701761,0.92555606
-5.62781391,4.00640326,0.20602562,0.00000000,0.03511072,1.84564741,1.19872639,0.90982398
-5.62181091,3.82838259,0.19322062,0.00000000,0.03414465,1.79607755,1.14182281,0.89530702
-5.61580790,3.65453512,0.18070221,0.00000000,0.03335023,1.74896556,1.08691802,0.88215051
-5.60980490,3.48704958,0.16865263,0.00000000,0.03274006,1.70487412,1.03455379,0.87048016
-5.60380190,3.32790373,0.15723639,0.00000000,0.03232359,1.66431355,0.98520137,0.86040266
-5.59779890,3.17884095,0.14659751,0.00000000,0.03210675,1.62773960,0.93926266,0.85200598
-5.59179590,3.04135404,0.13685753,0.00000000,0.03209168,1.59555191,0.89707296,0.84535926
-5.58579290,2.91667555,0.12811416,0.00000000,0.03227647,1.56809254,0.85890500,0.84051204
-5.57978989,2.80577392,0.12044080,0.00000000,0.03265505,1.54564455,0.82497359,0.83749304
-5.57378689,2.70935472,0.11388657,0.00000000,0.03321716,1.52843027,0.79544046,0.83630817
-5.56778389,2.62786601,0.10847699,0.00000000,0.03394844,1.51660935,0.77041891,0.83693828
-5.56178089,2.56150715,0.10421515,0.00000000,0.03483067,1.51027642,0.74997791,0.83933645
-5.55577789,2.51024018,0.10108326,0.00000000,0.03584205,1.50945879,0.73414555,0.84342533
