energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,1.71951223,0.02675414,0.02955403,0.01185544,0.00000000,0.42190682,0.68443747,0.00573780,0.97616336
-5.99399700,1.71109081,0.02651466,0.02828436,0.01126625,0.00000000,0.40669872,0.69712110,0.00552022,0.96418028
-5.98799400,1.70143455,0.02620449,0.02720478,0.01067394,0.00000000,0.39231248,0.70878387,0.00532447,0.95141822
-5.98199100,1.69052908,0.02582915,0.02633900,0.01008517,0.00000000,0.37896007,0.71923456,0.00515478,0.93792335
-5.97598799,1.67844025,0.02539479,0.02571199,0.00950664,0.00000000,0.36686998,0.72832547,0.00501518,0.92378239
-5.96998499,1.66531616,0.02490812,0.02534940,0.00894490,0.00000000,0.35628245,0.73595829,0.00490928,0.90912227
-5.96398199,1.65138719,0.02437629,0.02527686,0.00840623,0.00000000,0.34744451,0.74208844,0.00484023,0.89410918
-5.95797899,1.63696375,0.02380687,0.02551926,0.00789647,0.00000000,0.34060481,0.74672771,0.00481053,0.87894667
-5.95197599,1.62243179,0.02320772,0.02610002,0.00742097,0.00000000,0.33600837,0.74994495,0.00482197,0.86387289
-5.94597299,1.60824578,0.02258698,0.02704022,0.00698445,0.00000000,0.33389121,0.75186482,0.00487559,0.84915692
-5.93996998,1.59491924,0.02195294,0.02835778,0.00659102,0.00000000,0.33447500,0.75266460,0.00497155,0.83509398
-5.93396698,1.58301300,0.02131401,0.03006668,0.00624407,0.00000000,0.33796149,0.75256910,0.00510920,0.82199969
-5.92796398,1.57312117,0.02067862,0.03217609,0.00594632,0.00000000,0.34452706,0.75184399,0.00528701,0.81020333
-5.92196098,1.56585550,0.02005512,0.03468963,0.00569978,0.00000000,0.35431709,0.75078780,0.00550266,0.80004021
-5.91595798,1.56182836,0.01945165,0.03760464,0.00550577,0.00000000,0.36744049,0.74972287,0.00575307,0.79184335
-5.90995498,1.56163509,0.01887611,0.04091159,0.00536494,0.00000000,0.38396435,0.74898586,0.00603450,0.78593470
-5.90395198,1.56583631,0.01833600,0.04459357,0.00527732,0.00000000,0.40390896,0.74891804,0.00634265,0.78261618
-5.89794897,1.57494101,0.01783831,0.04862597,0.00524228,0.00000000,0.42724325,0.74985598,0.00667280,0.78216090
-5.89194597,1.58939091,0.01738948,0.05297631,0.00525864,0.00000000,0.45388106,0.75212286,0.00701993,0.78480486
-5.88594297,1.60954704,0.01699529,0.05760430,0.00532465,0.00000000,0.48367829,0.75602090,0.00737887,0.79073945
-5.87993997,1.63567880,0.01666082,0.06246213,0.00543804,0.00000000,0.51643130,0.76182500,0.00774446,0.80010513
-5.87393697,1.66795611,0.01639036,0.06749501,0.00559607,0.00000000,0.55187675,0.76977799,0.00811167,0.81298655
-5.86793397,1.70644488,0.01618747,0.07264192,0.00579557,0.00000000,0.58969299,0.78008724,0.00847573,0.82940922
-5.86193097,1.75110587,0.01605491,0.07783666,0.00603298,0.00000000,0.62950330,0.79292285,0.00883225,0.84933798
-5.85592796,1.80179684,0.01599467,0.08300911,0.00630443,0.00000000,0.67088084,0.80841721,0.00917729,0.87267723
-5.84992496,1.85827787,0.01600804,0.08808662,0.00660578,0.00000000,0.71335554,0.82666561,0.00950745,0.89927299
-5.84392196,1.92021925,0.01609564,0.09299570,0.00693270,0.00000000,0.75642260,0.84772778,0.00981987,0.92891650
-5.83791896,1.98721151,0.01625745,0.09766367,0.00728074,0.00000000,0.79955254,0.87162986,0.01011223,0.96134939
-5.83191596,2.05877697,0.01649294,0.10202044,0.00764542,0.00000000,0.84220253,0.89836662,0.01038276,0.99626992
-5.82591296,2.13438207,0.01680105,0.10600028,0.00802228,0.00000000,0.88382852,0.92790346,0.01063016,1.03334023
-5.81990995,2.21344972,0.01718031,0.10954347,0.00840698,0.00000000,0.92389788,0.96017796,0.01085353,1.07219397
-5.81390695,2.29537108,0.01762888,0.11259785,0.00879537,0.00000000,0.96190194,0.99510064,0.01105227,1.11244425
-5.80790395,2.37951601,0.01814457,0.11512018,0.00918352,0.00000000,0.99736806,1.03255484,0.01122601,1.15369126
-5.80190095,2.46524182,0.01872484,0.11707718,0.00956782,0.00000000,1.02987063,1.07239555,0.01137448,1.19552948
-5.79589795,2.55189973,0.01936687,0.11844636,0.00994498,0.00000000,1.05904057,1.11444724,0.01149743,1.23755394
-5.78989495,2.63883905,0.02006747,0.11921648,0.01031204,0.00000000,1.08457293,1.15850076,0.01159457,1.27936554
-5.78389195,2.72540885,0.02082306,0.11938775,0.01066642,0.00000000,1.10623236,1.20430958,0.01166545,1.32057505
-5.77788894,2.81095743,0.02162962,0.11897157,0.01100587,0.00000000,1.12385600,1.25158560,0.01170948,1.36080582
-5.77188594,2.89482991,0.02248258,0.11799011,0.01132847,0.00000000,1.13735406,1.29999506,0.01172589,1.39969533
-5.76588294,2.97636445,0.02337678,0.11647551,0.01163255,0.00000000,1.14670779,1.34915490,0.01171373,1.43689541
-5.75987994,3.05488796,0.02430628,0.11446887,0.01191669,0.00000000,1.15196523,1.39863013,0.01167196,1.47207166
-5.75387694,3.12971194,0.02526434,0.11201906,0.01217963,0.00000000,1.15323503,1.44793277,0.01159945,1.50490218
-5.74787394,3.20012954,0.02624326,0.10918136,0.01242021,0.00000000,1.15067858,1.49652284,0.01149513,1.53507595
-5.74187094,3.26541461,0.02723434,0.10601608,0.01263735,0.00000000,1.14450117,1.54381183,0.01135804,1.56229142
-5.73586793,3.32482367,0.02822779,0.10258713,0.01282996,0.00000000,1.13494245,1.58916900,0.01118745,1.58625549
-5.72986493,3.37760144,0.02921274,0.09896067,0.01299692,0.00000000,1.12226698,1.63193073,0.01098298,1.60668353
-5.72386193,3.42299052,0.03017727,0.09520379,0.01313709,0.00000000,1.10675520,1.67141306,0.01074467,1.62330049
-5.71785893,3.46024541,0.03110846,0.09138339,0.01324927,0.00000000,1.08869540,1.70692711,0.01047309,1.63584355
-5.71185593,3.48865078,0.03199259,0.08756524,0.01333223,0.00000000,1.06837703,1.73779724,0.01016939,1.64406643
-5.70585293,3.50754375,0.03281531,0.08381315,0.01338477,0.00000000,1.04608563,1.76338129,0.00983534,1.64774525
-5.69984992,3.51633931,0.03356193,0.08018841,0.01340573,0.00000000,1.02209954,1.78309226,0.00947335,1.64668592
-5.69384692,3.51455796,0.03421775,0.07674943,0.01339415,0.00000000,0.99668840,1.79642060,0.00908647,1.64073276
-5.68784392,3.50185422,0.03476846,0.07355159,0.01334927,0.00000000,0.97011336,1.80295599,0.00867833,1.62977793
-5.68184092,3.47804452,0.03520053,0.07064719,0.01327067,0.00000000,0.94262874,1.80240773,0.00825310,1.61377116
-5.67583792,3.44313299,0.03550166,0.06808569,0.01315836,0.00000000,0.91448487,1.79462248,0.00781540,1.59272923
-5.66983492,3.39733332,0.03566123,0.06591398,0.01301288,0.00000000,0.88593169,1.77959862,0.00737020,1.56674446
-5.66383192,3.34108536,0.03567074,0.06417678,0.01283539,0.00000000,0.85722268,1.75749595,0.00692273,1.53599175
