energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,7.99441276,0.04477693,1.02933984,2.87358410,3.75171783,0.02854288,3.09758122,2.18580931,1.09047479
-5.99399700,7.72408318,0.04294280,0.95313972,2.75618749,3.57746980,0.02845678,3.06492350,2.17731569,1.08318678
-5.98799400,7.45338772,0.04122875,0.87885734,2.64107115,3.40344579,0.02839789,3.02942962,2.16702558,1.07463090
-5.98199100,7.18591211,0.03965118,0.80713761,2.52967790,3.23162415,0.02837057,2.99219062,2.15560073,1.06505938
-5.97598799,6.92502255,0.03822389,0.73854442,2.42334457,3.06385001,0.02837835,2.95429139,2.14371284,1.05470745
-5.96998499,6.67378940,0.03695801,0.67355684,2.32327544,2.90180325,0.02842362,2.91676973,2.13201868,1.04378220
-5.96398199,6.43492243,0.03586176,0.61256747,2.23051965,2.74697254,0.02850746,2.88057889,2.12113633,1.03245350
-5.95797899,6.21071959,0.03494051,0.55588288,2.14595322,2.60063590,0.02862946,2.84655512,2.11162334,1.02084755
-5.95197599,6.00303099,0.03419673,0.50372591,2.07026630,2.46384825,0.02878763,2.81539169,2.10395805,1.00904314
-5.94597299,5.81323868,0.03363010,0.45623948,2.00395588,2.33743570,0.02897843,2.78762011,2.09852449,0.99707101
-5.93996998,5.64225230,0.03323763,0.41349180,1.94732390,2.22199634,0.02919687,2.76359919,2.09560154,0.98491600
-5.93396698,5.49051979,0.03301389,0.37548255,1.90048092,2.11790698,0.02943662,2.74351186,2.09535654,0.97252198
-5.92796398,5.35805174,0.03295124,0.34214989,1.86335458,2.02533494,0.02969028,2.72736937,2.09784323,0.95979904
-5.92196098,5.24445739,0.03304013,0.31337793,1.83570263,1.94425394,0.02994961,2.71502209,2.10300397,0.94663252
-5.91595798,5.14898998,0.03326945,0.28900445,1.81712960,1.87446308,0.03020588,2.70617592,2.11067559,0.93289324
-5.90995498,5.07059862,0.03362683,0.26882869,1.80710640,1.81560784,0.03045018,2.70041288,2.12059846,0.91844838
-5.90395198,5.00798422,0.03409906,0.25261889,1.80499197,1.76720200,0.03067373,2.69721468,2.13242796,0.90317224
-5.89794897,4.95965668,0.03467243,0.24011961,1.81005604,1.72864963,0.03086819,2.69598776,2.14574775,0.88695640
-5.89194597,4.92399100,0.03533307,0.23105851,1.82150216,1.69926642,0.03102593,2.69608857,2.16008404,0.86971857
-5.88594297,4.89928034,0.03606727,0.22515259,1.83849024,1.67829966,0.03114027,2.69684789,2.17492028,0.85140980
-5.87993997,4.88378445,0.03686182,0.22211389,1.86015793,1.66494667,0.03120559,2.69759327,2.18971161,0.83201964
-5.87393697,4.87577232,0.03770424,0.22165445,1.88564022,1.65837131,0.03121751,2.69766891,2.20389885,0.81157903
-5.86793397,4.87355852,0.03858298,0.22349070,1.91408696,1.65771874,0.03117289,2.69645255,2.21692147,0.79016087
-5.86193097,4.87553306,0.03948763,0.22734717,1.94467795,1.66212854,0.03106982,2.69336928,2.22822956,0.76787834
-5.85592796,4.88018516,0.04040903,0.23295963,1.97663560,1.67074639,0.03090760,2.68790220,2.23729469,0.74488105
-5.84992496,4.88612136,0.04133929,0.24007762,2.00923505,1.68273472,0.03068664,2.67960035,2.24361966,0.72134949
-5.84392196,4.89207903,0.04227187,0.24846648,2.04181192,1.69728262,0.03040832,2.66808421,2.24674733,0.69748798
-5.83791896,4.89693592,0.04320148,0.25790889,2.07376800,1.71361538,0.03007488,2.65304925,2.24626854,0.67351665
-5.83191596,4.89971705,0.04412406,0.26820603,2.10457495,1.73100378,0.02968929,2.63426809,2.24182935,0.64966288
-5.82591296,4.89959945,0.04503659,0.27917831,2.13377645,1.74877333,0.02925514,2.61159156,2.23313762,0.62615266
-5.81990995,4.89591577,0.04593699,0.29066585,2.16098906,1.76631357,0.02877651,2.58494926,2.21996902,0.60320240
-5.81390695,4.88815719,0.04682388,0.30252864,2.18590212,1.78308714,0.02825791,2.55434969,2.20217243,0.58101136
-5.80790395,4.87597585,0.04769640,0.31464657,2.20827692,1.79863863,0.02770424,2.51988013,2.17967464,0.55975541
-5.80190095,4.85918720,0.04855400,0.32691925,2.22794547,1.81260276,0.02712076,2.48170642,2.15248419,0.53958196
-5.79589795,4.83777186,0.04939620,0.33926579,2.24480906,1.82471171,0.02651310,2.44007233,2.12069425,0.52060661
-5.78989495,4.81187715,0.05022241,0.35162457,2.25883680,1.83480112,0.02588730,2.39529854,2.08448420,0.50291135
-5.78389195,4.78181768,0.05103174,0.36395305,2.27006428,1.84281442,0.02524990,2.34778079,2.04411982,0.48654444
-5.77788894,4.74807479,0.05182293,0.37622765,2.27859249,1.84880534,0.02460794,2.29798710,1.99995189,0.47152191
-5.77188594,4.71129455,0.05259417,0.38844383,2.28458698,1.85293815,0.02396912,2.24645379,1.95241298,0.45783039
-5.76588294,4.67228377,0.05334318,0.40061633,2.28827739,1.85548557,0.02334184,2.19377990,1.90201251,0.44543130
