energy_ev,total_up,Cd_p_up,Cd_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
-6.00000000,1.17941266,0.63687960,0.20630427,0.17508877,0.00372052,0.18050039,0.46603267
-5.99399700,1.16819721,0.65453101,0.20167379,0.17700373,0.00364660,0.17324960,0.46555694
-5.98799400,1.15923689,0.67358208,0.19743455,0.17876062,0.00357608,0.16639911,0.46621382
-5.98199100,1.15307535,0.69434801,0.19367687,0.18044616,0.00351048,0.16002350,0.46818780
-5.97598799,1.15025709,0.71721878,0.19048215,0.18217319,0.00345118,0.15417738,0.47166419
-5.96998499,1.15133225,0.74266440,0.18792337,0.18408181,0.00339938,0.14889554,0.47683171
-5.96398199,1.15686168,0.77123691,0.18606606,0.18633953,0.00335612,0.14419393,0.48388502
-5.95797899,1.16742119,0.80356853,0.18496948,0.18914028,0.00332233,0.14007152,0.49302678
-5.95197599,1.18360385,0.84036492,0.18468793,0.19270213,0.00329883,0.13651269,0.50446878
-5.94597299,1.20601924,0.88239310,0.18527198,0.19726357,0.00328638,0.13349020,0.51843164
-5.93996998,1.23528843,0.93046355,0.18676929,0.20307836,0.00328566,0.13096834,0.53514258
-5.93396698,1.27203390,0.98540623,0.18922506,0.21040892,0.00329735,0.12890614,0.55483103
-5.92796398,1.31686389,1.04804078,0.19268173,0.21951838,0.00332208,0.12726040,0.57772167
-5.92196098,1.37035087,1.11914130,0.19717806,0.23066133,0.00336046,0.12598840,0.60402502
-5.91595798,1.43300433,1.19939655,0.20274728,0.24407372,0.00341304,0.12505009,0.63392562
-5.90995498,1.50523875,1.28936702,0.20941459,0.25996200,0.00348028,0.12440962,0.66756810
-5.90395198,1.58733773,1.38944022,0.21719396,0.27849197,0.00356254,0.12403628,0.70504174
-5.89794897,1.67941595,1.49978643,0.22608440,0.29977778,0.00365997,0.12390463,0.74636425
-5.89194597,1.78138106,1.62031693,0.23606593,0.32387153,0.00377250,0.12399405,0.79146556
-5.88594297,1.89289762,1.75064723,0.24709558,0.35075399,0.00389975,0.12428771,0.84017281
-5.87993997,2.01335571,1.89006759,0.25910363,0.38032695,0.00404100,0.12477100,0.89219743
-5.87393697,2.14184659,2.03752325,0.27199041,0.41240767,0.00419511,0.12542976,0.94712550
-5.86793397,2.27714782,2.19160633,0.28562412,0.44672585,0.00436049,0.12624829,1.00441244
-5.86193097,2.41771990,2.35056125,0.29983969,0.48292362,0.00453508,0.12720747,1.06338264
-5.85592796,2.56171591,2.51230445,0.31443920,0.52055859,0.00471633,0.12828299,1.12323503
-5.84992496,2.70700528,2.67445933,0.32919375,0.55911034,0.00490126,0.12944406,1.18305458
-5.84392196,2.85121186,2.83440565,0.34384704,0.59799016,0.00508644,0.13065255,1.24183001
-5.83791896,2.99176573,2.98934272,0.35812060,0.63655402,0.00526812,0.13186269,1.29847731
-5.83191596,3.12596751,3.13636427,0.37172047,0.67411842,0.00544225,0.13302141,1.35186831
-5.82591296,3.25106300,3.27254243,0.38434521,0.70997850,0.00560466,0.13406934,1.40086350
-5.81990995,3.36432530,3.39501773,0.39569484,0.74342814,0.00575115,0.13494233,1.44434750
-5.81390695,3.46314109,3.50109118,0.40548042,0.77378088,0.00587760,0.13557354,1.48126591
-5.80790395,3.54509723,3.58831461,0.41343378,0.80039126,0.00598017,0.13589584,1.51066174
-5.80190095,3.60806375,3.65457509,0.41931689,0.82267538,0.00605536,0.13584450,1.53170964
-5.79589795,3.65026932,3.69816949,0.42293057,0.84013007,0.00610021,0.13535995,1.54374637
-5.78989495,3.67036559,3.71786583,0.42412192,0.85234967,0.00611238,0.13439047,1.54629597
-5.78389195,3.66747720,3.71294817,0.42279017,0.85903978,0.00609020,0.13289460,1.53908829
-5.77788894,3.64123510,3.68324326,0.41889075,0.86002735,0.00603282,0.13084320,1.52207002
-5.77188594,3.59179154,3.62912747,0.41243718,0.85526665,0.00594018,0.12822101,1.49540763
-5.76588294,3.51981601,3.55151381,0.40350086,0.84484094,0.00581302,0.12502764,1.45948214
-5.75987994,3.42647250,3.45181981,0.39220867,0.82895971,0.00565290,0.12127789,1.41487597
-5.75387694,3.31337923,3.33191794,0.37873857,0.80795174,0.00546208,0.11700148,1.36235251
-5.74787394,3.18255299,3.19407103,0.36331342,0.78225421,0.00524350,0.11224210,1.30282964
-5.74187094,3.03634076,3.04085590,0.34619335,0.75239850,0.00500063,0.10705595,1.23734833
-5.73586793,2.87734209,2.87507883,0.32766696,0.71899336,0.00473739,0.10150983,1.16703796
-5.72986493,2.70832576,2.69968678,0.30804192,0.68270599,0.00445799,0.09567879,1.09307999
-5.72386193,2.53214448,2.51767819,0.28763534,0.64424217,0.00416679,0.08964363,1.01667154
-5.71785893,2.35165132,2.33201721,0.26676426,0.60432594,0.00386820,0.08348820,0.93899062
-5.71185593,2.16962117,2.14555446,0.24573679,0.56367980,0.00356653,0.07729682,0.86116410
-5.70585293,1.98868012,1.96095736,0.22484409,0.52300612,0.00326588,0.07115175,0.78423988
-5.69984992,1.81124503,1.78065184,0.20435357,0.48297021,0.00297003,0.06513088,0.70916391
-5.69384692,1.63947484,1.60677707,0.18450341,0.44418572,0.00268237,0.05930580,0.63676269
-5.68784392,1.47523470,1.44115366,0.16549862,0.40720254,0.00240584,0.05374016,0.56773153
-5.68184092,1.32007293,1.28526541,0.14750852,0.37249743,0.00214289,0.04848849,0.50262844
-5.67583792,1.17521057,1.14025386,0.13066571,0.34046740,0.00189547,0.04359538,0.44187343
-5.66983492,1.04154250,1.00692442,0.11506635,0.31142588,0.00166501,0.03909505,0.38575253
-5.66383192,0.91964880,0.88576255,0.10077168,0.28560127,0.00145246,0.03501138,0.33442600
-5.65782891,0.80981470,0.77695813,0.08781044,0.26313791,0.00125830,0.03135813,0.28793980
-5.65182591,0.71205729,0.68043589,0.07618210,0.24409891,0.00108263,0.02813958,0.24623946
-5.64582291,0.62615710,0.59589020,0.06586067,0.22847076,0.00092515,0.02535129,0.20918556
-5.63981991,0.55169275,0.52282211,0.05679873,0.21616914,0.00078530,0.02298109,0.17656987
-5.63381691,0.48807706,0.46057703,0.04893175,0.20704594,0.00066227,0.02101014,0.14813161
-5.62781391,0.43459317,0.40838180,0.04218217,0.20089698,0.00055506,0.01941413,0.12357298
-5.62181091,0.39042939,0.36537972,0.03646352,0.19747030,0.00046258,0.01816442,0.10257369
-5.61580790,0.35471205,0.33066305,0.03168402,0.19647486,0.00038363,0.01722922,0.08480393
-5.60980490,0.32653555,0.30330208,0.02775000,0.19758942,0.00031705,0.01657477,0.06993575
-5.60380190,0.30498931,0.28237081,0.02456876,0.20047158,0.00026166,0.01616636,0.05765251
-5.59779890,0.28918140,0.26696891,0.02205109,0.20476676,0.00021637,0.01596942,0.04765658
-5.59179590,0.27825874,0.25624011,0.02011329,0.21011710,0.00018016,0.01595039,0.03967525
-5.58579290,0.27142412,0.24938730,0.01867877,0.21617012,0.00015214,0.01607765,0.03346496
-5.57978989,0.26795006,0.24568438,0.01767934,0.22258708,0.00013155,0.01632220,0.02881413
-5.57378689,0.26718972,0.24448537,0.01705599,0.22905086,0.00011776,0.01665839,0.02554459
-5.56778389,0.26858506,0.24523086,0.01675948,0.23527319,0.00011030,0.01706448,0.02351198
-5.56178089,0.27167242,0.24745208,0.01675059,0.24100114,0.00010884,0.01752305,0.02260517
-5.55577789,0.27608559,0.25077281,0.01700005,0.24602260,0.00011318,0.01802132,0.02274485
-5.54977489,0.28155644,0.25490917,0.01748830,0.25017067,0.00012329,0.01855142,0.02388151
-5.54377189,0.28791324,0.25966750,0.01820499,0.25332664,0.00013924,0.01911033,0.02599282
-5.53776888,0.29507657,0.26494018,0.01914826,0.25542169,0.00016122,0.01969986,0.02908049
-5.53176588,0.30305292,0.27069974,0.02032383,0.25643688,0.00018951,0.02032630,0.03316674
-5.52576288,0.31192602,0.27699099,0.02174388,0.25640166,0.00022447,0.02100005,0.03829033
-5.51975988,0.32184596,0.28392153,0.02342574,0.25539081,0.00026651,0.02173497,0.04450221
-5.51375688,0.33301628,0.29165062,0.02539045,0.25351986,0.00031606,0.02254762,0.05186085
