energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,4.22456923,0.43115623,0.45472800,0.02576479,0.68321357,3.11568550,1.26675991,0.02336756,1.36556253
-5.99399700,4.28314945,0.44779308,0.45140583,0.02581390,0.69378957,3.19349467,1.27943086,0.02446104,1.39126215
-5.98799400,4.33057326,0.46365642,0.44751226,0.02569329,0.70154537,3.26200475,1.28832860,0.02552274,1.41471846
-5.98199100,4.36655430,0.47864764,0.44337784,0.02540260,0.70623644,3.32003309,1.29330133,0.02653725,1.43589261
-5.97598799,4.39118031,0.49268557,0.43936225,0.02494568,0.70769912,3.36656854,1.29435100,0.02749072,1.45483519
-5.96998499,4.40488762,0.50570679,0.43584276,0.02433041,0.70585256,3.40079187,1.29162300,0.02837089,1.47167588
-5.96398199,4.40842558,0.51766558,0.43320199,0.02356831,0.70069836,3.42209299,1.28539114,0.02916722,1.48661108
-5.95797899,4.40281274,0.52853344,0.43181556,0.02267410,0.69231795,3.43008446,1.27603871,0.02987085,1.49988998
-5.95197599,4.38928659,0.53829810,0.43204005,0.02166517,0.68086789,3.42461087,1.26403650,0.03047465,1.51179951
-5.94597299,4.36924924,0.54696223,0.43420170,0.02056097,0.66657347,3.40575365,1.24991902,0.03097320,1.52264896
-5.93996998,4.34421135,0.55454160,0.43858628,0.01938233,0.64972080,3.37383090,1.23425984,0.03136273,1.53275469
-5.93396698,4.31573644,0.56106303,0.44543053,0.01815084,0.63064782,3.32939194,1.21764741,0.03164109,1.54242566
-5.92796398,4.28538795,0.56656198,0.45491528,0.01688816,0.60973456,3.27320665,1.20066235,0.03180760,1.55195015
-5.92196098,4.25468076,0.57108007,0.46716068,0.01561548,0.58739300,3.20624946,1.18385719,0.03186298,1.56158435
-5.91595798,4.22503906,0.57466242,0.48222344,0.01435291,0.56405696,3.12967850,1.16773937,0.03180921,1.57154298
-5.90995498,4.19776162,0.57735519,0.50009622,0.01311909,0.54017213,3.04481018,1.15275811,0.03164935,1.58199241
-5.90395198,4.17399532,0.57920324,0.52070905,0.01193076,0.51618675,2.95309006,1.13929543,0.03138747,1.59304637
-5.89794897,4.15471748,0.58024815,0.54393260,0.01080252,0.49254302,2.85606084,1.12766154,0.03102845,1.60476430
-5.89194597,4.14072677,0.58052668,0.56958323,0.00974666,0.46966934,2.75532842,1.11809434,0.03057790,1.61715228
-5.88594297,4.13264231,0.58006980,0.59742937,0.00877305,0.44797370,2.65252719,1.11076273,0.03004205,1.63016638
-5.87993997,4.13091011,0.57890224,0.62719902,0.00788918,0.42783801,2.54928564,1.10577315,0.02942767,1.64371812
-5.87393697,4.13581570,0.57704276,0.65858801,0.00710020,0.40961360,2.44719341,1.10317863,0.02874198,1.65768155
-5.86793397,4.14750149,0.57450500,0.69126872,0.00640909,0.39361769,2.34777065,1.10298956,0.02799267,1.67190171
-5.86193097,4.16598744,0.57129890,0.72489884,0.00581686,0.38013080,2.25244073,1.10518518,0.02718783,1.68620375
-5.85592796,4.19119327,0.56743262,0.75912996,0.00532277,0.36939500,2.16250667,1.10972516,0.02633597,1.70040235
-5.84992496,4.22296085,0.56291479,0.79361566,0.00492457,0.36161281,2.07913197,1.11656019,0.02544602,1.71431076
-5.84392196,4.26107517,0.55775696,0.82801893,0.00461880,0.35694670,2.00332589,1.12564101,0.02452731,1.72774925
-5.83791896,4.30528258,0.55197614,0.86201861,0.00440102,0.35551888,1.93593312,1.13692534,0.02358960,1.74055230
