energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up
-6.00000000,0.30244289,0.05991928,0.22890895,0.00162757,0.00900563,0.05216297,0.02217196,0.04878182,0.00000000
-5.99399700,0.35947495,0.07174916,0.27116448,0.00193627,0.01074540,0.06282391,0.02650125,0.05849631,0.00000000
-5.98799400,0.42595344,0.08544547,0.32055775,0.00229270,0.01276510,0.07520866,0.03147071,0.06976486,0.00000000
-5.98199100,0.50252929,0.10115521,0.37754569,0.00270003,0.01508531,0.08947539,0.03712633,0.08271553,0.00000000
-5.97598799,0.58979799,0.11901224,0.44254542,0.00316100,0.01772470,0.10577396,0.04350788,0.09746679,0.00000000
-5.96998499,0.68826584,0.13913061,0.51590859,0.00367780,0.02069909,0.12423996,0.05064667,0.11412210,0.00000000
-5.96398199,0.79831454,0.16159745,0.59789452,0.00425183,0.02402037,0.14498827,0.05856323,0.13276401,0.00000000
-5.95797899,0.92016511,0.18646568,0.68864302,0.00488359,0.02769544,0.16810615,0.06726496,0.15344811,0.00000000
-5.95197599,1.05384263,0.21374681,0.78814787,0.00557244,0.03172521,0.19364630,0.07674395,0.17619697,0.00000000
-5.94597299,1.19914318,0.24340419,0.89623222,0.00631648,0.03610359,0.22161991,0.08697499,0.20099437,0.00000000
-5.93996998,1.35560480,0.27534696,1.01252697,0.00711245,0.04081672,0.25199020,0.09791394,0.22778007,0.00000000
-5.93396698,1.52248391,0.30942508,1.13645356,0.00795554,0.04584223,0.28466662,0.10949653,0.25644541,0.00000000
-5.92796398,1.69873902,0.34542592,1.26721218,0.00883942,0.05114882,0.31950017,0.12163773,0.28683000,0.00000000
-5.92196098,1.88302308,0.38307248,1.40377662,0.00975621,0.05669613,0.35628011,0.13423176,0.31871990,0.00000000
-5.91595798,2.07368575,0.42202374,1.54489665,0.01069648,0.06243477,0.39473233,0.14715282,0.35184732,0.00000000
-5.90995498,2.26878661,0.46187726,1.68910855,0.01164941,0.06830684,0.43451970,0.16025656,0.38589225,0.00000000
-5.90395198,2.46611966,0.50217416,1.83475416,0.01260293,0.07424669,0.47524466,0.17338239,0.42048596,0.00000000
-5.89794897,2.66324928,0.54240649,1.98000842,0.01354392,0.08018205,0.51645397,0.18635641,0.45521654,0.00000000
-5.89194597,2.85755704,0.58202696,2.12291500,0.01445851,0.08603546,0.55764587,0.19899513,0.48963637,0.00000000
-5.88594297,3.04629841,0.62046075,2.26142918,0.01533243,0.09172601,0.59827946,0.21110976,0.52327141,0.00000000
-5.87993997,3.22666772,0.65711920,2.39346676,0.01615128,0.09717126,0.63778608,0.22251087,0.55563200,0.00000000
-5.87393697,3.39586926,0.69141474,2.51695735,0.01690102,0.10228942,0.67558247,0.23301347,0.58622501,0.00000000
-5.86793397,3.55119221,0.72277684,2.62990035,0.01756829,0.10700149,0.71108534,0.24244209,0.61456673,0.00000000
-5.86193097,3.69008638,0.75066809,2.73042131,0.01814084,0.11123353,0.74372666,0.25063581,0.64019622,0.00000000
-5.85592796,3.81023605,0.77460000,2.81682655,0.01860790,0.11491874,0.77296940,0.25745301,0.66268842,0.00000000
-5.84992496,3.90962881,0.79414778,2.88765389,0.01896050,0.11799945,0.79832293,0.26277566,0.68166674,0.00000000
