energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,12.91698999,0.06466760,0.95181746,1.83437983,1.50502463,8.70943523,6.38061154,3.73182006,0.00000000
-5.99399700,13.02171251,0.06260001,0.96613746,1.79285318,1.50776038,8.59901161,6.51876265,3.70314701,0.00000000
-5.98799400,13.07791686,0.06040498,0.97752830,1.74467813,1.50298797,8.46130784,6.63456113,3.65833039,0.00000000
-5.98199100,13.08447387,0.05810574,0.98566153,1.69058650,1.49078178,8.29716954,6.72630599,3.59797110,0.00000000
-5.97598799,13.04097428,0.05572578,0.99024848,1.63137043,1.47134566,8.10770998,6.79264630,3.52290880,0.00000000
-5.96998499,12.94776414,0.05328853,0.99105338,1.56786710,1.44500914,7.89432421,6.83262529,3.43420612,0.00000000
-5.96398199,12.80596472,0.05081718,0.98790549,1.50094393,1.41222027,7.65869711,6.84571682,3.33312780,0.00000000
-5.95797899,12.61747601,0.04833442,0.98070971,1.43148441,1.37353533,7.40280380,6.83185328,3.22111548,0.00000000
-5.95197599,12.38496353,0.04586215,0.96945526,1.36037515,1.32960584,7.12890161,6.79144376,3.09975898,0.00000000
-5.94597299,12.11182890,0.04342134,0.95422199,1.28849420,1.28116349,6.83951301,6.72538194,2.97076504,0.00000000
-5.93996998,11.80216461,0.04103173,0.93518387,1.21670105,1.22900352,6.53739953,6.63504337,2.83592466,0.00000000
-5.93396698,11.46069457,0.03871168,0.91260969,1.14582808,1.17396716,6.22552733,6.52227196,2.69707988,0.00000000
-5.92796398,11.09270175,0.03647798,0.88686065,1.07667373,1.11692389,5.90702521,6.38935603,2.55609122,0.00000000
-5.92196098,10.70394479,0.03434569,0.85838511,1.00999704,1.05875404,5.58513656,6.23899426,2.41480640,0.00000000
-5.91595798,10.30056556,0.03232808,0.82771044,0.94651340,1.00033232,5.26316679,6.07425237,2.27503135,0.00000000
-5.90995498,9.88898980,0.03043651,0.79543240,0.88689145,0.94251274,4.94442809,5.89851131,2.13850393,0.00000000
-5.90395198,9.47582262,0.02868044,0.76220233,0.83175044,0.88611526,4.63218330,5.71540796,2.00687070,0.00000000
-5.89794897,9.06774098,0.02706744,0.72871248,0.78165820,0.83191444,4.32959076,5.52876972,1.88166719,0.00000000
-5.89194597,8.67138487,0.02560321,0.69568007,0.73712895,0.78063011,4.03965167,5.34254391,1.76430143,0.00000000
-5.88594297,8.29324872,0.02429170,0.66383044,0.69862110,0.73292016,3.76516161,5.16072358,1.65604081,0.00000000
-5.87993997,7.93957470,0.02313516,0.63387985,0.66653455,0.68937525,3.50866712,4.98727086,1.55800199,0.00000000
-5.87393697,7.61624927,0.02213431,0.60651826,0.64120744,0.65051533,3.27242860,4.82603943,1.47114355,0.00000000
-5.86793397,7.32870420,0.02128841,0.58239268,0.62291236,0.61678768,3.05838984,4.68069747,1.39626101,0.00000000
-5.86193097,7.08182368,0.02059540,0.56209140,0.61185205,0.58856627,2.86815486,4.55465266,1.33398401,0.00000000
-5.85592796,6.87985879,0.02005200,0.54612948,0.60815476,0.56615211,2.70297202,4.45098070,1.28477523,0.00000000
-5.84992496,6.72635104,0.01965383,0.53493585,0.61186957,0.54977447,2.56372570,4.37235910,1.24893096,0.00000000
-5.84392196,6.62406661,0.01939547,0.52884227,0.62296202,0.53959266,2.45093516,4.32100787,1.22658321,0.00000000
-5.83791896,6.57494324,0.01927051,0.52807452,0.64131045,0.53569840,2.36476068,4.29863868,1.21770329,0.00000000
-5.83191596,6.58005166,0.01927167,0.53274587,0.66670366,0.53811861,2.30501664,4.30641430,1.22210702,0.00000000
-5.82591296,6.63957352,0.01939078,0.54285318,0.69884021,0.54681870,2.27119139,4.34491980,1.23946176,0.00000000
-5.81990995,6.75279771,0.01961892,0.55827576,0.73732989,0.56170639,2.26247345,4.41414689,1.26929542,0.00000000
-5.81390695,6.91813647,0.01994639,0.57877700,0.78169780,0.58263613,2.27778396,4.51349254,1.31100766,0.00000000
-5.80790395,7.13316254,0.02036288,0.60400897,0.83139123,0.60941426,2.31581478,4.64177275,1.36388352,0.00000000
-5.80190095,7.39466771,0.02085752,0.63351994,0.88578946,0.64180495,2.37507159,4.79725164,1.42710951,0.00000000
-5.79589795,7.69874256,0.02141904,0.66676468,0.94421660,0.67953700,2.45392142,4.97768584,1.49979203,0.00000000
-5.78989495,8.04087608,0.02203591,0.70311753,1.00595705,0.72231136,2.55064345,5.18038331,1.58097805,0.00000000
-5.78389195,8.41607303,0.02269653,0.74188783,1.07027331,0.76980940,2.66348188,5.40227527,1.66967753,0.00000000
-5.77788894,8.81898596,0.02338944,0.78233749,1.13642542,0.82170166,2.79069932,5.63999914,1.76488704,0.00000000
-5.77188594,9.24405763,0.02410355,0.82370007,1.20369141,0.87765670,2.93062895,5.88999002,1.86561372,0.00000000
-5.76588294,9.68566901,0.02482834,0.86520110,1.27138766,0.93734988,3.08172341,6.14857765,1.97089883,0.00000000
-5.75987994,10.13828746,0.02555411,0.90607859,1.33888837,1.00047135,3.24259837,6.41208540,2.07983968,0.00000000
-5.75387694,10.59660915,0.02627215,0.94560349,1.40564304,1.06673307,3.41206865,6.67692768,2.19160908,0.00000000
-5.74787394,11.05568999,0.02697491,0.98309897,1.47119094,1.13587419,3.58917477,6.93970225,2.30547109,0.00000000
-5.74187094,11.51105960,0.02765612,1.01795804,1.53517182,1.20766440,3.77319815,7.19727385,2.42079241,0.00000000
-5.73586793,11.95881347,0.02831087,1.04965871,1.59733203,1.28190502,3.96366364,7.44684610,2.53704844,0.00000000
-5.72986493,12.39567942,0.02893560,1.07777609,1.65752569,1.35842741,4.16032827,7.68601909,2.65382374,0.00000000
-5.72386193,12.81905585,0.02952806,1.10199090,1.71571049,1.43708879,4.36315607,7.91283079,2.77080651,0.00000000
-5.71785893,13.22702036,0.03008721,1.12209408,1.77193844,1.51776547,4.57227933,8.12578100,2.88777742,0.00000000
-5.71185593,13.61830911,0.03061306,1.13798723,1.82634169,1.60034375,4.78794747,8.32383763,3.00459313,0.00000000
-5.70585293,13.99226870,0.03110649,1.14967899,1.87911421,1.68470895,5.01046542,8.50642572,3.12116532,0.00000000
-5.69984992,14.34878352,0.03156901,1.15727738,1.93049021,1.77073312,5.24012421,8.67340045,3.23743636,0.00000000
-5.69384692,14.68818310,0.03200253,1.16097868,1.98072036,1.85826219,5.47712690,8.82500595,3.35335294,0.00000000
-5.68784392,15.01113458,0.03240915,1.16105323,2.03004722,1.94710324,5.72151371,8.96182248,3.46883906,0.00000000
-5.68184092,15.31852610,0.03279097,1.15782895,2.07868093,2.03701278,5.97309008,9.08470470,3.58376991,0.00000000
-5.67583792,15.61134739,0.03314989,1.15167338,2.12677691,2.12768680,6.23136197,9.19471392,3.69794824,0.00000000
-5.66983492,15.89057321,0.03348749,1.14297502,2.17441633,2.21875317,6.49548193,9.29304758,3.81108451,0.00000000
-5.66383192,16.15705550,0.03380495,1.13212496,2.22159081,2.30976720,6.76420964,9.38096857,3.92278197,0.00000000
-5.65782891,16.41142864,0.03410307,1.11949967,2.26819202,2.40021048,7.03588966,9.45973730,4.03252764,0.00000000
-5.65182591,16.65403188,0.03438223,1.10544561,2.31400675,2.48949337,7.30844834,9.53054844,4.13968972,0.00000000
-5.64582291,16.88485145,0.03464253,1.09026645,2.35871770,2.57696114,7.57941106,9.59447457,4.24352152,0.00000000
-5.63981991,17.10348381,0.03488386,1.07421337,2.40191006,2.66190347,7.84593982,9.65241771,4.34317196,0.00000000
-5.63381691,17.30912040,0.03510604,1.05747874,2.44308324,2.74356691,8.10489015,9.70506997,4.43770184,0.00000000
-5.62781391,17.50055321,0.03530899,1.04019341,2.48166737,2.82116988,8.35288529,9.75288382,4.52610533,0.00000000
