energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,2.50599883,0.01179990,0.26320714,0.01436127,0.00000000,0.01903116,1.23274584,0.44424858,0.46509497
-5.99399700,2.55374897,0.01188531,0.25851933,0.01441918,0.00000000,0.02024662,1.27000110,0.44723159,0.45919729
-5.98799400,2.60658266,0.01196514,0.25405732,0.01449022,0.00000000,0.02155225,1.31015421,0.45156717,0.45373263
-5.98199100,2.66484781,0.01204222,0.24992672,0.01457880,0.00000000,0.02294623,1.35328156,0.45737041,0.44888075
-5.97598799,2.72868698,0.01211889,0.24621526,0.01468842,0.00000000,0.02442446,1.39935337,0.46471443,0.44478968
-5.96998499,2.79801965,0.01219689,0.24299008,0.01482158,0.00000000,0.02598042,1.44822621,0.47362592,0.44157079
-5.96398199,2.87253235,0.01227723,0.24029570,0.01497963,0.00000000,0.02760515,1.49963948,0.48408205,0.43929524
-5.95797899,2.95167735,0.01236019,0.23815285,0.01516270,0.00000000,0.02928728,1.55321626,0.49600898,0.43799183
-5.95197599,3.03468030,0.01244524,0.23655812,0.01536974,0.00000000,0.03101313,1.60846868,0.50928193,0.43764648
-5.94597299,3.12055713,0.01253114,0.23548458,0.01559853,0.00000000,0.03276697,1.66480796,0.52372728,0.43820329
-5.93996998,3.20813951,0.01261592,0.23488324,0.01584578,0.00000000,0.03453134,1.72155867,0.53912634,0.43956722
-5.93396698,3.29610860,0.01269705,0.23468538,0.01610728,0.00000000,0.03628738,1.77797707,0.55522102,0.44160828
-5.92796398,3.38303562,0.01277155,0.23480569,0.01637808,0.00000000,0.03801541,1.83327271,0.57172123,0.44416719
-5.92196098,3.46742804,0.01283612,0.23514604,0.01665271,0.00000000,0.03969535,1.88663266,0.58831369,0.44706209
-5.91595798,3.54777957,0.01288738,0.23559982,0.01692543,0.00000000,0.04130736,1.93724740,0.60467200,0.45009629
-5.90995498,3.62262203,0.01292201,0.23605661,0.01719049,0.00000000,0.04283241,1.98433735,0.62046752,0.45306666
-5.90395198,3.69057697,0.01293694,0.23640707,0.01744239,0.00000000,0.04425284,2.02717894,0.63538081,0.45577224
-5.89794897,3.75040497,0.01292955,0.23654785,0.01767614,0.00000000,0.04555293,2.06512917,0.64911294,0.45802294
-5.89194597,3.80105052,0.01289783,0.23638625,0.01788752,0.00000000,0.04671938,2.09764762,0.66139646,0.45964780
-5.88594297,3.84168057,0.01284048,0.23584455,0.01807326,0.00000000,0.04774172,2.12431486,0.67200541,0.46050255
-5.87993997,3.87171513,0.01275703,0.23486376,0.01823124,0.00000000,0.04861261,2.14484671,0.68076404,0.46047619
-5.87393697,3.89084858,0.01264791,0.23340669,0.01836062,0.00000000,0.04932806,2.15910336,0.68755371,0.45949621
-5.86793397,3.89906083,0.01251445,0.23146007,0.01846190,0.00000000,0.04988747,2.16709337,0.69231785,0.45753239
-5.86193097,3.89661774,0.01235888,0.22903589,0.01853695,0.00000000,0.05029362,2.16897209,0.69506464,0.45459887
-5.85592796,3.88406105,0.01218424,0.22617160,0.01858898,0.00000000,0.05055241,2.16503480,0.69586716,0.45075450
-5.84992496,3.86218811,0.01199429,0.22292937,0.01862244,0.00000000,0.05067265,2.15570477,0.69486130,0.44610139
-5.84392196,3.83202236,0.01179340,0.21939433,0.01864289,0.00000000,0.05066555,2.14151692,0.69224113,0.44078182
-5.83791896,3.79477600,0.01158635,0.21567186,0.01865682,0.00000000,0.05054431,2.12309772,0.68825213,0.43497346
-5.83191596,3.75180627,0.01137822,0.21188408,0.01867138,0.00000000,0.05032352,2.10114233,0.68318257,0.42888325
-5.82591296,3.70456738,0.01117412,0.20816561,0.01869418,0.00000000,0.05001854,2.07638991,0.67735320,0.42274007
-5.81990995,3.65455994,0.01097909,0.20465879,0.01873299,0.00000000,0.04964499,2.04959806,0.67110578,0.41678657
-5.81390695,3.60327987,0.01079788,0.20150849,0.01879543,0.00000000,0.04921804,2.02151762,0.66479094,0.41127037
-5.80790395,3.55216888,0.01063478,0.19885684,0.01888870,0.00000000,0.04875200,1.99286856,0.65875565,0.40643505
-5.80190095,3.50256818,0.01049353,0.19683788,0.01901932,0.00000000,0.04825972,1.96431797,0.65333099,0.40251117
-5.79589795,3.45567701,0.01037715,0.19557241,0.01919284,0.00000000,0.04775229,1.93646086,0.64882046,0.39970773
-5.78989495,3.41251737,0.01028791,0.19516335,0.01941360,0.00000000,0.04723871,1.90980425,0.64548936,0.39820433
-5.78389195,3.37390587,0.01022728,0.19569150,0.01968457,0.00000000,0.04672571,1.88475510,0.64355560,0.39814423
-5.77788894,3.34043349,0.01019590,0.19721216,0.02000715,0.00000000,0.04621767,1.86161213,0.64318213,0.39962869
-5.77188594,3.31245347,0.01019364,0.19975243,0.02038107,0.00000000,0.04571664,1.84056177,0.64447135,0.40271266
-5.76588294,3.29007763,0.01021967,0.20330960,0.02080435,0.00000000,0.04522248,1.82167807,0.64746165,0.40740203
-5.75987994,3.27318062,0.01027250,0.20785035,0.02127325,0.00000000,0.04473307,1.80492629,0.65212603,0.41365248
-5.75387694,3.26141208,0.01035019,0.21331116,0.02178235,0.00000000,0.04424459,1.79017009,0.65837307,0.42136997
-5.74787394,3.25421575,0.01045041,0.21959957,0.02232462,0.00000000,0.04375186,1.77718173,0.66604994,0.43041301
-5.74187094,3.25085494,0.01057063,0.22659652,0.02289159,0.00000000,0.04324870,1.76565496,0.67494758,0.44059637
