energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.34550045,0.02254383,0.11023002,0.69102668,0.11793749,0.62052775,0.00000000,1.03798079,0.02765537
-5.99399700,1.35020388,0.02257040,0.11218213,0.70298987,0.12019681,0.62250612,0.00000000,1.03825502,0.02701436
-5.98799400,1.35084825,0.02250438,0.11366172,0.71225373,0.12249035,0.62198700,0.00000000,1.03373435,0.02642536
-5.98199100,1.34733386,0.02233551,0.11465842,0.71868573,0.12478365,0.61894426,0.00000000,1.02436289,0.02588354
-5.97598799,1.33967655,0.02205801,0.11517114,0.72221590,0.12704893,0.61341220,0.00000000,1.01019161,0.02538423
-5.96998499,1.32800186,0.02167035,0.11520770,0.72283491,0.12926452,0.60548266,0.00000000,0.99137433,0.02492315
-5.96398199,1.31253468,0.02117502,0.11478410,0.72059034,0.13141402,0.59530000,0.00000000,0.96816011,0.02449649
-5.95797899,1.29358523,0.02057800,0.11392363,0.71558136,0.13348523,0.58305412,0.00000000,0.94088276,0.02410099
-5.95197599,1.27153184,0.01988836,0.11265573,0.70795208,0.13546891,0.56897212,0.00000000,0.90994780,0.02373390
-5.94597299,1.24680175,0.01911763,0.11101468,0.69788399,0.13735747,0.55330877,0.00000000,0.87581771,0.02339287
-5.93996998,1.21985065,0.01827917,0.10903830,0.68558773,0.13914362,0.53633644,0.00000000,0.83899601,0.02307583
-5.93396698,1.19114232,0.01738759,0.10676653,0.67129479,0.14081907,0.51833501,0.00000000,0.80001120,0.02278080
-5.92796398,1.16112904,0.01645809,0.10424018,0.65524916,0.14237340,0.49958203,0.00000000,0.75940087,0.02250570
-5.92196098,1.13023405,0.01550588,0.10149964,0.63769964,0.14379313,0.48034378,0.00000000,0.71769693,0.02224820
-5.91595798,1.09883657,0.01454568,0.09858388,0.61889280,0.14506106,0.46086747,0.00000000,0.67541229,0.02200549
-5.90995498,1.06726023,0.01359117,0.09552953,0.59906695,0.14615596,0.44137497,0.00000000,0.63302946,0.02177420
-5.90395198,1.03576522,0.01265471,0.09237022,0.57844734,0.14705255,0.42205810,0.00000000,0.59099135,0.02155032
-5.89794897,1.00454436,0.01174700,0.08913615,0.55724256,0.14772197,0.40307582,0.00000000,0.54969437,0.02132918
-5.89194597,0.97372320,0.01087691,0.08585389,0.53564229,0.14813252,0.38455310,0.00000000,0.50948397,0.02110547
-5.88594297,0.94336388,0.01005141,0.08254633,0.51381629,0.14825079,0.36658155,0.00000000,0.47065229,0.02087341
-5.87993997,0.91347231,0.00927552,0.07923296,0.49191467,0.14804310,0.34922153,0.00000000,0.43343809,0.02062683
-5.87393697,0.88400822,0.00855245,0.07593021,0.47006921,0.14747715,0.33250564,0.00000000,0.39802835,0.02035946
-5.86793397,0.85489727,0.00788375,0.07265195,0.44839550,0.14652384,0.31644315,0.00000000,0.36456149,0.02006516
-5.86193097,0.82604467,0.00726947,0.06941017,0.42699590,0.14515917,0.30102524,0.00000000,0.33313174,0.01973818
-5.85592796,0.79734921,0.00670846,0.06621561,0.40596285,0.14336604,0.28623055,0.00000000,0.30379442,0.01937343
-5.84992496,0.76871724,0.00619862,0.06307846,0.38538251,0.14113602,0.27203087,0.00000000,0.27657164,0.01896681
-5.84392196,0.74007556,0.00573716,0.06000906,0.36533827,0.13847075,0.25839656,0.00000000,0.25145834,0.01851537
-5.83791896,0.71138271,0.00532090,0.05701846,0.34591411,0.13538312,0.24530151,0.00000000,0.22842811,0.01801758
-5.83191596,0.68263810,0.00494648,0.05411897,0.32719744,0.13189800,0.23272729,0.00000000,0.20743881,0.01747343
-5.82591296,0.65388839,0.00461062,0.05132448,0.30928132,0.12805249,0.22066650,0.00000000,0.18843758,0.01688452
-5.81990995,0.62523103,0.00431025,0.04865070,0.29226586,0.12389569,0.20912499,0.00000000,0.17136527,0.01625412
-5.81390695,0.59681471,0.00404268,0.04611523,0.27625872,0.11948796,0.19812304,0.00000000,0.15616003,0.01558703
-5.80790395,0.56883677,0.00380570,0.04373739,0.26137463,0.11489966,0.18769541,0.00000000,0.14276006,0.01488953
-5.80190095,0.54153768,0.00359757,0.04153790,0.24773395,0.11020945,0.17789031,0.00000000,0.13110549,0.01416913
-5.79589795,0.51519308,0.00341707,0.03953848,0.23546017,0.10550211,0.16876738,0.00000000,0.12113944,0.01343439
-5.78989495,0.49010346,0.00326346,0.03776111,0.22467661,0.10086611,0.16039489,0.00000000,0.11280822,0.01269457
-5.78389195,0.46658234,0.00313640,0.03622735,0.21550226,0.09639088,0.15284616,0.00000000,0.10606082,0.01195934
-5.77788894,0.44494316,0.00303586,0.03495747,0.20804709,0.09216397,0.14619548,0.00000000,0.10084771,0.01123846
-5.77188594,0.42548575,0.00296198,0.03396949,0.20240684,0.08826814,0.14051386,0.00000000,0.09711918,0.01054142
-5.76588294,0.40848281,0.00291500,0.03327825,0.19865771,0.08477856,0.13586446,0.00000000,0.09482326,0.00987714
-5.75987994,0.39416703,0.00289510,0.03289450,0.19685098,0.08176024,0.13229837,0.00000000,0.09390338,0.00925365
-5.75387694,0.38271942,0.00290226,0.03282400,0.19700806,0.07926563,0.12985051,0.00000000,0.09429604,0.00867786
-5.74787394,0.37425931,0.00293616,0.03306676,0.19911599,0.07733272,0.12853619,0.00000000,0.09592845,0.00815536
-5.74187094,0.36883645,0.00299611,0.03361641,0.20312384,0.07598353,0.12834816,0.00000000,0.09871651,0.00769019
-5.73586793,0.36642557,0.00308092,0.03445978,0.20894007,0.07522317,0.12925465,0.00000000,0.10256314,0.00728485
-5.72986493,0.36692362,0.00318887,0.03557665,0.21643123,0.07503937,0.13119816,0.00000000,0.10735713,0.00694016
-5.72386193,0.37014988,0.00331769,0.03693976,0.22542199,0.07540266,0.13409532,0.00000000,0.11297272,0.00665535
-5.71785893,0.37584884,0.00346456,0.03851505,0.23569672,0.07626713,0.13783775,0.00000000,0.11926981,0.00642811
-5.71185593,0.38369605,0.00362613,0.04026223,0.24700268,0.07757173,0.14229394,0.00000000,0.12609506,0.00625469
-5.70585293,0.39330652,0.00379859,0.04213551,0.25905467,0.07924208,0.14731215,0.00000000,0.13328376,0.00613016
-5.69984992,0.40424552,0.00397778,0.04408464,0.27154126,0.08119273,0.15272412,0.00000000,0.14066252,0.00604852
-5.69384692,0.41604142,0.00415926,0.04605610,0.28413224,0.08332992,0.15834968,0.00000000,0.14805272,0.00600303
-5.68784392,0.42820012,0.00433848,0.04799455,0.29648719,0.08555446,0.16400192,0.00000000,0.15527458,0.00598642
-5.68184092,0.44022054,0.00451092,0.04984432,0.30826485,0.08776493,0.16949284,0.00000000,0.16215174,0.00599120
-5.67583792,0.45161067,0.00467224,0.05155099,0.31913294,0.08986090,0.17463924,0.00000000,0.16851622,0.00600991
-5.66983492,0.46190349,0.00481848,0.05306302,0.32877802,0.09174617,0.17926869,0.00000000,0.17421343,0.00603543
-5.66383192,0.47067232,0.00494618,0.05433327,0.33691509,0.09333176,0.18322518,0.00000000,0.17910726,0.00606118
-5.65782891,0.47754483,0.00505256,0.05532042,0.34329641,0.09453870,0.18637451,0.00000000,0.18308474,0.00608142
-5.65182591,0.48221539,0.00513566,0.05599024,0.34771928,0.09530044,0.18860889,0.00000000,0.18606032,0.00609140
-5.64582291,0.48445509,0.00519448,0.05631652,0.35003233,0.09556480,0.18985086,0.00000000,0.18797942,0.00608755
-5.63981991,0.48411925,0.00522904,0.05628187,0.35014015,0.09529536,0.19005609,0.00000000,0.18882110,0.00606761
-5.63381691,0.48115197,0.00524049,0.05587811,0.34800600,0.09447231,0.18921522,0.00000000,0.18859978,0.00603070
-5.62781391,0.47558770,0.00523114,0.05510632,0.34365247,0.09309273,0.18735444,0.00000000,0.18736587,0.00597735
-5.62181091,0.46754972,0.00520447,0.05397669,0.33716017,0.09117020,0.18453490,0.00000000,0.18520522,0.00590951
-5.61580790,0.45724565,0.00516508,0.05250787,0.32866439,0.08873397,0.18085096,0.00000000,0.18223750,0.00583048
-5.60980490,0.44496028,0.00511869,0.05072624,0.31834997,0.08582749,0.17642735,0.00000000,0.17861341,0.00574481
-5.60380190,0.43104580,0.00507202,0.04866476,0.30644461,0.08250663,0.17141528,0.00000000,0.17451089,0.00565818
-5.59779890,0.41591015,0.00503268,0.04636177,0.29321096,0.07883747,0.16598773,0.00000000,0.17013049,0.00557719
-5.59179590,0.40000365,0.00500905,0.04385956,0.27893774,0.07489394,0.16033406,0.00000000,0.16568984,0.00550917
-5.58579290,0.38380460,0.00501011,0.04120296,0.26393036,0.07075520,0.15465411,0.00000000,0.16141771,0.00546194
-5.57978989,0.36780424,0.00504528,0.03843781,0.24850141,0.06650317,0.14915196,0.00000000,0.15754748,0.00544356
-5.57378689,0.35249167,0.00512422,0.03560966,0.23296133,0.06221996,0.14402963,0.00000000,0.15431054,0.00546204
-5.56778389,0.33833913,0.00525666,0.03276237,0.21760969,0.05798554,0.13948083,0.00000000,0.15192953,0.00552508
-5.56178089,0.32578808,0.00545218,0.02993707,0.20272720,0.05387571,0.13568498,0.00000000,0.15061177,0.00563978
-5.55577789,0.31523652,0.00572003,0.02717112,0.18856892,0.04996025,0.13280161,0.00000000,0.15054306,0.00581233
-5.54977489,0.30702777,0.00606894,0.02449746,0.17535861,0.04630151,0.13096542,0.00000000,0.15188186,0.00604782
-5.54377189,0.30144107,0.00650692,0.02194401,0.16328447,0.04295327,0.13028190,0.00000000,0.15475418,0.00634993
-5.53776888,0.29868411,0.00704109,0.01953345,0.15249619,0.03996007,0.13082392,0.00000000,0.15924917,0.00672073
-5.53176588,0.29888766,0.00767752,0.01728307,0.14310347,0.03735678,0.13262903,0.00000000,0.16541571,0.00716051
-5.52576288,0.30210236,0.00842109,0.01520495,0.13517569,0.03516854,0.13569789,0.00000000,0.17325988,0.00766765
-5.51975988,0.30829777,0.00927533,0.01330616,0.12874285,0.03341103,0.13999364,0.00000000,0.18274365,0.00823852
-5.51375688,0.31736362,0.01024233,0.01158924,0.12379755,0.03209089,0.14544229,0.00000000,0.19378462,0.00886745
-5.50775388,0.32911311,0.01132264,0.01005266,0.12029782,0.03120640,0.15193427,0.00000000,0.20625709,0.00954677
-5.50175088,0.34328838,0.01251518,0.00869145,0.11817072,0.03074824,0.15932696,0.00000000,0.21999431,0.01026694
-5.49574787,0.35956786,0.01381721,0.00749780,0.11731646,0.03070043,0.16744828,0.00000000,0.23479194,0.01101666
-5.48974487,0.37757530,0.01522427,0.00646169,0.11761298,0.03104118,0.17610119,0.00000000,0.25041276,0.01178315
-5.48374187,0.39689038,0.01673019,0.00557158,0.11892069,0.03174393,0.18506911,0.00000000,0.26659240,0.01255243
-5.47773887,0.41706055,0.01832708,0.00481491,0.12108740,0.03277821,0.19412202,0.00000000,0.28304604,0.01330969
-5.47173587,0.43761378,0.02000539,0.00417873,0.12395320,0.03411052,0.20302312,0.00000000,0.29947592,0.01403968
-5.46573287,0.45807201,0.02175393,0.00365017,0.12735524,0.03570524,0.21153592,0.00000000,0.31557935,0.01472714
-5.45972986,0.47796468,0.02355997,0.00321687,0.13113224,0.03752530,0.21943142,0.00000000,0.33105714,0.01535728
-5.45372686,0.49684227,0.02540938,0.00286733,0.13512879,0.03953298,0.22649528,0.00000000,0.34562201,0.01591620
-5.44772386,0.51428921,0.02728671,0.00259130,0.13919925,0.04169050,0.23253464,0.00000000,0.35900681,0.01639137
