energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,1.33097296,0.00380794,0.10761363,0.28880093,0.46663115,0.02481215,0.69678930,0.34451672,0.18170596
-5.99399700,1.39275565,0.00398059,0.11419132,0.30051996,0.48558165,0.02593790,0.72943913,0.35435193,0.19115612
-5.98799400,1.45735828,0.00413457,0.12197718,0.31342247,0.50437308,0.02695331,0.76346270,0.36648378,0.20090121
-5.98199100,1.52422762,0.00426661,0.13095580,0.32743186,0.52274451,0.02784139,0.79858804,0.38088875,0.21084858
-5.97598799,1.59278588,0.00437387,0.14109129,0.34245257,0.54044541,0.02858788,0.83453107,0.39749727,0.22090619
-5.96998499,1.66243679,0.00445405,0.15232502,0.35837002,0.55724101,0.02918180,0.87099932,0.41619190,0.23098353
-5.96398199,1.73257152,0.00450547,0.16457411,0.37505102,0.57291724,0.02961589,0.90769536,0.43680662,0.24099240
-5.95797899,1.80257428,0.00452711,0.17773054,0.39234448,0.58728483,0.02988696,0.94431994,0.45912714,0.25084767
-5.95197599,1.87182721,0.00451863,0.19166108,0.41008258,0.60018250,0.02999601,0.98057457,0.48289252,0.26046774
-5.94597299,1.93971457,0.00448041,0.20620799,0.42808224,0.61147908,0.02994831,1.01616355,0.50779781,0.26977491
-5.93996998,2.00562636,0.00441348,0.22119066,0.44614692,0.62107452,0.02975320,1.05079559,0.53349802,0.27869556
-5.93396698,2.06896142,0.00431954,0.23640805,0.46406886,0.62889979,0.02942376,1.08418495,0.55961322,0.28716019
-5.92796398,2.12913047,0.00420085,0.25164200,0.48163172,0.63491590,0.02897640,1.11605244,0.58573489,0.29510344
-5.92196098,2.18555930,0.00406017,0.26666138,0.49861361,0.63911191,0.02843020,1.14612636,0.61143333,0.30246399
-5.91595798,2.23769251,0.00390068,0.28122683,0.51479058,0.64150252,0.02780627,1.17414367,0.63626618,0.30918459
-5.90995498,2.28499812,0.00372585,0.29509613,0.52994050,0.64212502,0.02712690,1.19985155,0.65978784,0.31521211
-5.90395198,2.32697321,0.00353935,0.30803000,0.54384729,0.64103615,0.02641478,1.22300950,0.68155952,0.32049778
-5.89794897,2.36315074,0.00334492,0.31979802,0.55630541,0.63830893,0.02569216,1.24339206,0.70115976,0.32499753
-5.89194597,2.39310754,0.00314630,0.33018465,0.56712455,0.63402955,0.02498006,1.26079223,0.71819506,0.32867257
-5.88594297,2.41647318,0.00294709,0.33899502,0.57613428,0.62829466,0.02429751,1.27502547,0.73231028,0.33149009
-5.87993997,2.43293946,0.00275070,0.34606020,0.58318857,0.62120894,0.02366090,1.28593409,0.74319841,0.33342411
-5.87393697,2.44227009,0.00256023,0.35124195,0.58816996,0.61288313,0.02308350,1.29339200,0.75060937,0.33445639
-5.86793397,2.44430987,0.00237848,0.35443658,0.59099317,0.60343245,0.02257499,1.29730931,0.75435739,0.33457741
-5.86193097,2.43899298,0.00220784,0.35557775,0.59160804,0.59297535,0.02214132,1.29763668,0.75432672,0.33378728
-5.85592796,2.42634959,0.00205030,0.35463831,0.59000152,0.58163260,0.02178451,1.29436898,0.75047537,0.33209650
-5.84992496,2.40651030,0.00190744,0.35163079,0.58619873,0.56952652,0.02150285,1.28754808,0.74283654,0.32952660
-5.84392196,2.37970805,0.00178044,0.34660681,0.58026285,0.55678041,0.02129102,1.27726438,0.73151785,0.32611046
-5.83791896,2.34627705,0.00167006,0.33965521,0.57229389,0.54351785,0.02114051,1.26365704,0.71669819,0.32189235
-5.83191596,2.30664859,0.00157674,0.33089917,0.56242643,0.52986214,0.02104006,1.24691269,0.69862230,0.31692768
-5.82591296,2.26134382,0.00150055,0.32049230,0.55082617,0.51593542,0.02097628,1.22726261,0.67759335,0.31128238
-5.81990995,2.21096362,0.00144130,0.30861393,0.53768568,0.50185784,0.02093423,1.20497850,0.65396370,0.30503191
-5.81390695,2.15617594,0.00139856,0.29546380,0.52321935,0.48774650,0.02089810,1.18036697,0.62812434,0.29826007
-5.80790395,2.09770115,0.00137170,0.28125634,0.50765778,0.47371429,0.02085193,1.15376294,0.60049334,0.29105749
-5.80190095,2.03629596,0.00135994,0.26621481,0.49124193,0.45986878,0.02078023,1.12552223,0.57150379,0.28351992
-5.79589795,1.97273665,0.00136241,0.25056543,0.47421708,0.44631100,0.02066862,1.09601377,0.54159178,0.27574645
-5.78989495,1.90780221,0.00137814,0.23453180,0.45682705,0.43313445,0.02050433,1.06561165,0.51118485,0.26783765
-5.78389195,1.84225825,0.00140615,0.21832975,0.43930868,0.42042414,0.02027669,1.03468740,0.48069131,0.25989370
-5.77788894,1.77684212,0.00144546,0.20216283,0.42188700,0.40825598,0.01997745,1.00360281,0.45049095,0.25201267
-5.77188594,1.71224982,0.00149509,0.18621841,0.40477100,0.39669642,0.01960103,0.97270353,0.42092718,0.24428883
-5.76588294,1.64912514,0.00155410,0.17066467,0.38815025,0.38580237,0.01914459,0.94231366,0.39230116,0.23681125
-5.75987994,1.58805114,0.00162159,0.15564841,0.37219242,0.37562147,0.01860807,0.91273142,0.36486769,0.22966251
-5.75387694,1.52954416,0.00169669,0.14129362,0.35704163,0.36619263,0.01799403,0.88422601,0.33883317,0.22291763
-5.74787394,1.47405028,0.00177860,0.12770098,0.34281767,0.35754682,0.01730748,0.85703557,0.31435529,0.21664326
-5.74187094,1.42194393,0.00186653,0.11494795,0.32961597,0.34970802,0.01655552,0.83136614,0.29154459,0.21089696
-5.73586793,1.37352850,0.00195971,0.10308966,0.31750821,0.34269426,0.01574706,0.80739157,0.27046733,0.20572677
-5.72986493,1.32903840,0.00205741,0.09216023,0.30654351,0.33651862,0.01489235,0.78525405,0.25114968,0.20117080
-5.72386193,1.28864239,0.00215885,0.08217453,0.29674991,0.33119016,0.01400259,0.76506518,0.23358279,0.19725703
-5.71785893,1.25244745,0.00226324,0.07313034,0.28813616,0.32671462,0.01308948,0.74690732,0.21772834,0.19400314
-5.71185593,1.22050313,0.00236973,0.06501061,0.28069366,0.32309488,0.01216484,0.73083502,0.20352446,0.19141645
-5.70585293,1.19280580,0.00247741,0.05778580,0.27439830,0.32033112,0.01124021,0.71687645,0.19089156,0.18949393
-5.69984992,1.16930283,0.00258527,0.05141627,0.26921234,0.31842064,0.01032650,0.70503469,0.17973780,0.18822231
-5.69384692,1.14989634,0.00269224,0.04585454,0.26508612,0.31735737,0.00943379,0.69528886,0.16996421,0.18757825
-5.68784392,1.13444672,0.00279709,0.04104737,0.26195960,0.31713120,0.00857102,0.68759514,0.16146902,0.18752868
-5.68184092,1.12277592,0.00289855,0.03693770,0.25976388,0.31772710,0.00774595,0.68188767,0.15415133,0.18803132
-5.67583792,1.11467069,0.00299520,0.03346626,0.25842248,0.31912418,0.00696499,0.67807961,0.14791405,0.18903537
-5.66983492,1.10988611,0.00308558,0.03057310,0.25785268,0.32129487,0.00623325,0.67606437,0.14266596,0.19048250
-5.66383192,1.10814960,0.00316816,0.02819868,0.25796689,0.32420430,0.00555457,0.67571731,0.13832325,0.19230810
-5.65782891,1.10916572,0.00324138,0.02628492,0.25867402,0.32781000,0.00493157,0.67689798,0.13481033,0.19444283
-5.65182591,1.11262200,0.00330371,0.02477593,0.25988111,0.33206210,0.00436583,0.67945308,0.13206030,0.19681451
-5.64582291,1.11819597,0.00335367,0.02361863,0.26149504,0.33690400,0.00385804,0.68322019,0.13001491,0.19935029
-5.63981991,1.12556342,0.00338990,0.02276320,0.26342454,0.34227373,0.00340814,0.68803246,0.12862449,0.20197902
-5.63381691,1.13440770,0.00341116,0.02216339,0.26558225,0.34810578,0.00301553,0.69372385,0.12784760,0.20463391
-5.62781391,1.14443008,0.00341646,0.02177682,0.26788708,0.35433357,0.00267930,0.70013521,0.12765073,0.20725516
-5.62181091,1.15536055,0.00340501,0.02156514,0.27026654,0.36089228,0.00239832,0.70712066,0.12800800,0.20979266
-5.61580790,1.16696877,0.00337634,0.02149414,0.27265900,0.36772207,0.00217147,0.71455404,0.12890095,0.21220848
-5.60980490,1.17907436,0.00333028,0.02153390,0.27501590,0.37477130,0.00199778,0.72233524,0.13031830,0.21447911
