energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.27939347,0.05936821,0.00035292,0.00018590,0.14998862,0.10329874,0.09225742
-5.99399700,0.25029442,0.05373997,0.00031275,0.00015146,0.13412671,0.09158661,0.08244491
-5.98799400,0.22352367,0.04841342,0.00027707,0.00012266,0.11963949,0.08115466,0.07346170
-5.98199100,0.19921838,0.04344854,0.00024587,0.00009878,0.10658855,0.07199392,0.06534352
-5.97598799,0.17750028,0.03889810,0.00021917,0.00007914,0.09502976,0.06410122,0.05812180
-5.96998499,0.15847802,0.03480807,0.00019700,0.00006314,0.08501476,0.05748017,0.05182471
-5.96398199,0.14225048,0.03121833,0.00017941,0.00005024,0.07659293,0.05214226,0.04647835
-5.95797899,0.12891090,0.02816362,0.00016649,0.00003997,0.06981368,0.04810807,0.04210821
-5.95197599,0.11855138,0.02567482,0.00015838,0.00003192,0.06472879,0.04540853,0.03874072
-5.94597299,0.11126760,0.02378027,0.00015522,0.00002573,0.06139476,0.04408605,0.03640486
-5.93996998,0.10716321,0.02250717,0.00015725,0.00002109,0.05987494,0.04419548,0.03513364
-5.93396698,0.10635379,0.02188293,0.00016472,0.00001777,0.06024121,0.04580484,0.03496543
-5.92796398,0.10896994,0.02193644,0.00017794,0.00001556,0.06257520,0.04899564,0.03594501
-5.92196098,0.11515936,0.02269919,0.00019727,0.00001430,0.06696874,0.05386274,0.03812430
-5.91595798,0.12508775,0.02420619,0.00022312,0.00001385,0.07352362,0.06051376,0.04156273
-5.90995498,0.13893830,0.02649663,0.00025595,0.00001413,0.08235055,0.06906799,0.04632711
-5.90395198,0.15691001,0.02961435,0.00029623,0.00001506,0.09356721,0.07965470,0.05249117
-5.89794897,0.17921461,0.03360806,0.00034448,0.00001659,0.10729566,0.09241109,0.06013465
-5.89194597,0.20607241,0.03853133,0.00040122,0.00001871,0.12365896,0.10747981,0.06934199
-5.88594297,0.23770732,0.04444241,0.00046698,0.00002141,0.14277735,0.12500621,0.08020078
-5.87993997,0.27434112,0.05140388,0.00054230,0.00002469,0.16476402,0.14513542,0.09279990
-5.87393697,0.31618753,0.05948222,0.00062769,0.00002858,0.18972079,0.16800952,0.10722762
-5.86793397,0.36344635,0.06874723,0.00072364,0.00003312,0.21773393,0.19376483,0.12356962
