energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,3.99780401,0.00913432,0.73683632,0.32710637,0.15505868,3.07209869,1.89600998,1.02455966,0.00000000
-5.99399700,3.81630314,0.00788388,0.70386375,0.31296940,0.14561452,2.94594030,1.81881437,0.95477921,0.00000000
-5.98799400,3.66659942,0.00676737,0.67731909,0.30168679,0.13741140,2.84097271,1.75638000,0.89454987,0.00000000
-5.98199100,3.54648194,0.00578198,0.65677579,0.29313978,0.13040713,2.75582832,1.70748482,0.84342341,0.00000000
-5.97598799,3.45337211,0.00492340,0.64173394,0.28717943,0.12454378,2.68886410,1.67074489,0.80083769,0.00000000
-5.96998499,3.38444180,0.00418625,0.63163865,0.28363670,0.11975285,2.63824128,1.64467056,0.76615252,0.00000000
-5.96398199,3.33672545,0.00356457,0.62589752,0.28233193,0.11596030,2.60200270,1.62771927,0.73868385,0.00000000
-5.95797899,3.30722282,0.00305220,0.62389684,0.28308359,0.11309109,2.57814508,1.61834373,0.71773491,0.00000000
-5.95197599,3.29298929,0.00264317,0.62501597,0.28571579,0.11107308,2.56468365,1.61503401,0.70262360,0.00000000
-5.94597299,3.29121222,0.00233207,0.62863998,0.29006452,0.10984029,2.55970763,1.61635305,0.69270529,0.00000000
-5.93996998,3.29927219,0.00211423,0.63417033,0.29598246,0.10933519,2.56142528,1.62096522,0.68739064,0.00000000
-5.93396698,3.31478914,0.00198599,0.64103382,0.30334223,0.10951014,2.56819824,1.62765796,0.68615851,0.00000000
-5.92796398,3.33565401,0.00194481,0.64868978,0.31203832,0.11032794,2.57856511,1.63535709,0.68856378,0.00000000
-5.92196098,3.36004721,0.00198935,0.65663597,0.32198758,0.11176152,2.59125499,1.64313621,0.69424069,0.00000000
-5.91595798,3.38644548,0.00211948,0.66441331,0.33312849,0.11379285,2.60519213,1.65022123,0.70290194,0.00000000
-5.90995498,3.41361909,0.00233624,0.67160973,0.34541938,0.11641111,2.61949274,1.65599083,0.71433432,0.00000000
-5.90395198,3.44062151,0.00264171,0.67786334,0.35883576,0.11961049,2.63345577,1.65997385,0.72839139,0.00000000
-5.89794897,3.46677328,0.00303884,0.68286528,0.37336692,0.12338743,2.64654893,1.66184431,0.74498399,0.00000000
-5.89194597,3.49164208,0.00353123,0.68636200,0.38901204,0.12773778,2.65839159,1.66141495,0.76406926,0.00000000
-5.88594297,3.51502018,0.00412289,0.68815739,0.40577589,0.13265389,2.66873574,1.65862966,0.78563878,0.00000000
-5.87993997,3.53690069,0.00481785,0.68811434,0.42366436,0.13812186,2.67744621,1.65355518,0.80970646,0.00000000
-5.87393697,3.55745301,0.00561992,0.68615594,0.44267992,0.14411906,2.68448096,1.64637223,0.83629664,0.00000000
-5.86793397,3.57699817,0.00653222,0.68226574,0.46281710,0.15061209,2.68987202,1.63736600,0.86543289,0.00000000
-5.86193097,3.59598395,0.00755688,0.67648730,0.48405814,0.15755542,2.69370745,1.62691584,0.89712779,0.00000000
-5.85592796,3.61495984,0.00869462,0.66892233,0.50636891,0.16489054,2.69611451,1.61548385,0.93137392,0.00000000
-5.84992496,3.63455154,0.00994440,0.65972768,0.52969513,0.17254593,2.69724408,1.60360212,0.96813628,0.00000000
-5.84392196,3.65543473,0.01130312,0.64911070,0.55395912,0.18043782,2.69725615,1.59185836,1.00734618,0.00000000
-5.83791896,3.67830812,0.01276530,0.63732303,0.57905699,0.18847158,2.69630650,1.58087979,1.04889665,0.00000000
-5.83191596,3.70386558,0.01432292,0.62465296,0.60485659,0.19654397,2.69453428,1.57131524,1.09263938,0.00000000
-5.82591296,3.73276783,0.01596526,0.61141621,0.63119611,0.20454591,2.69205069,1.56381557,1.13838316,0.00000000
-5.81990995,3.76561391,0.01767888,0.59794568,0.65788369,0.21236584,2.68892881,1.55901298,1.18589372,0.00000000
-5.81390695,3.80291339,0.01944769,0.58458026,0.68469792,0.21989342,2.68519476,1.55749939,1.23489500,0.00000000
-5.80790395,3.84506013,0.02125313,0.57165325,0.71138951,0.22702355,2.68082052,1.55980496,1.28507169,0.00000000
-5.80190095,3.89230878,0.02307445,0.55948081,0.73768415,0.23366042,2.67571882,1.56637736,1.33607305,0.00000000
-5.79589795,3.94475519,0.02488913,0.54835088,0.76328657,0.23972144,2.66974051,1.57756272,1.38751795,0.00000000
-5.78989495,4.00232196,0.02667335,0.53851316,0.78788595,0.24514098,2.66267469,1.59358930,1.43900104,0.00000000
-5.78389195,4.06475018,0.02840259,0.53017056,0.81116254,0.24987365,2.65425216,1.61455468,1.49010002,0.00000000
-5.77788894,4.13159838,0.03005228,0.52347252,0.83279538,0.25389707,2.64415212,1.64041721,1.54038390,0.00000000
-5.77188594,4.20224915,0.03159846,0.51851044,0.85247112,0.25721390,2.63201245,1.67099243,1.58942221,0.00000000
-5.76588294,4.27592390,0.03301853,0.51531561,0.86989354,0.25985326,2.61744332,1.70595476,1.63679493,0.00000000
-5.75987994,4.35170539,0.03429193,0.51385947,0.88479354,0.26187124,2.60004382,1.74484463,1.68210314,0.00000000
-5.75387694,4.42856777,0.03540083,0.51405640,0.89693935,0.26335067,2.57942122,1.78708086,1.72497995,0.00000000
-5.74787394,4.50541297,0.03633073,0.51576869,0.90614642,0.26440013,2.55521200,1.83197802,1.76510167,0.00000000
-5.74187094,4.58111219,0.03707099,0.51881362,0.91228665,0.26515223,2.52710404,1.87876792,1.80219886,0.00000000
-5.73586793,4.65455090,0.03761526,0.52297203,0.91529655,0.26576118,2.49485878,1.92662450,1.83606683,0.00000000
-5.72986493,4.72467536,0.03796184,0.52799826,0.91518378,0.26639997,2.45833262,1.97469101,1.86657538,0.00000000
-5.72386193,4.79053879,0.03811381,0.53363074,0.91203196,0.26725698,2.41749630,2.02210829,1.89367728,0.00000000
-5.71785893,4.85134513,0.03807914,0.53960287,0.90600304,0.26853244,2.37245148,2.06804299,1.91741527,0.00000000
-5.71185593,4.90648827,0.03787064,0.54565365,0.89733741,0.27043466,2.32344361,2.11171443,1.93792699,0.00000000
-5.70585293,4.95558521,0.03750572,0.55153762,0.88635128,0.27317626,2.27087042,2.15241914,1.95544782,0.00000000
-5.69984992,4.99850150,0.03700616,0.55703380,0.87343152,0.27697048,2.21528541,2.18955188,1.97031116,0.00000000
-5.69384692,5.03536778,0.03639765,0.56195312,0.85902796,0.28202769,2.15739629,2.22262257,1.98294604,0.00000000
-5.68784392,5.06658672,0.03570935,0.56614432,0.84364339,0.28855215,2.09805791,2.25126841,1.99387198,0.00000000
-5.68184092,5.09282993,0.03497326,0.56949793,0.82782156,0.29673909,2.03826014,2.27526095,2.00369109,0.00000000
-5.67583792,5.11502496,0.03422365,0.57194853,0.81213364,0.30677209,1.97911089,2.29450802,2.01307748,0.00000000
-5.66983492,5.13433275,0.03349633,0.57347507,0.79716358,0.31882077,1.92181467,2.30905070,2.02276419,0.00000000
-5.66383192,5.15211647,0.03282795,0.57409957,0.78349291,0.33303883,1.86764747,2.31905573,2.03352780,0.00000000
-5.65782891,5.16990272,0.03225523,0.57388417,0.77168549,0.34956222,1.81792863,2.32480395,2.04617120,0.00000000
